,htid,author,title,year
17315,mdp.39015068634875,"(Feliks I͡Akovlevich), Kon, F. I͡A.","Escape from the gallows, | $c: by Felix Kohn.",1930
962,uiuo.ark:/13960/t7mp5bz37,"Craik, Dinah Maria Mulock,",Agatha's husband;,1853
6866,uiuo.ark:/13960/t0vq3m335,"Walker, George,",The three Spaniards,1832
3400,njp.32101033250323,"Kay-Shuttleworth, James,",Scarsdale,1860
11532,mdp.39015030381134,"Panova, Vera Fedorovna,",Span of the year. | $c: Translated by Vera Traill.,1957
16502,mdp.39076006258102,"Faulkner, William,","The hamlet, | $c: by William Faulkner.",1957
19631,inu.39000004026485,"Defoe, Daniel,","The life & strange surprizing adventures of Robinson Crusoe of York, mariner ... / | $c: written by himself.",1981
18543,uc1.b5015714,"Robey, George,",An honest living / | $c: by George Robey.,1924
2126,dul1.ark:/13960/t83j4512f,"Harris-Burland, J. B.",Dr. Silex,1905
3431,uiuo.ark:/13960/t8mc9k22p,"Smart, Hawley,",Bound to win,1877
14520,mdp.39015059421944,"Graham, Stephen,","Midsummer music, | $c: by Stephen Graham.",1926
6846,mdp.39015059376262,,The New British novelist;,1830
3656,uc2.ark:/13960/t7sn03f9t,"Dean, Andrew,",The grasshoppers,1895
19139,uc1.b4449967,"Epstein, Seymour,",The successor / | $c: Seymour Epstein.,1962
10373,mdp.39015063558210,"Oliphant,",Memoirs and resolutions of Adam Graeme of Mossgray,1852
9937,mdp.39015063994068,"Galt, John,",The entail,1850
13301,wu.89100004720,"Zbyszewski, Karol.","The fight for Narvik; | impressions of the Polish campaign in Norway. | $c: Text by Karol Zbyszewski, drawings by Józef Natanson.",1940
7311,uc2.ark:/13960/t7xk8992q,"Rolfe, Frederick,",Don Tarquinio,1905
13594,mdp.39015005669752,"Hansen, Joseph,",Fadeout.,1972
11283,uc1.b3796995,"Bates, H. E. (Herbert Ernest),",Death of a huntsman : | four short novels / | $n: H.E. Bates.,1957
7981,uiuo.ark:/13960/t45q5f55m,"Carter, Mary Elizabeth.",Juliet,1883
2433,uiuo.ark:/13960/t2z32dz67,"Poynter, E. Frances","The wooing of Catherine, and other tales",1886
