htid,author,title,year,authgender,period,diff
uc1.b3331938,,The little merchant,1855,u,1851-1900,-0.6106073723301984
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,1851-1900,-0.5723560062099796
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,1851-1900,-0.5704467297599173
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,1851-1900,-0.5695114819192395
uiuo.ark:/13960/t1vd7bz9n,"St. Aubyn, Alan.",The master of St. Benedict's,1893,f,1851-1900,-0.5629883247111509
uiuo.ark:/13960/t1jh46x85,"Walford, Lucy Bethia,",A stiff-necked generation,1889,f,1851-1900,-0.5517838429184337
njp.32101067179398,"Trollope, Frances Milton,",The life and adventures of a clever woman,1854,f,1851-1900,-0.5424255541483801
uc1.b4105470,"Pain, Barry,",The octave of Claudius,1897,m,1851-1900,-0.5416418550888197
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,1851-1900,-0.5366943288519377
njp.32101067643617,"Conway, Hugh,",Living or dead,1886,m,1851-1900,-0.5357774403574094
uc2.ark:/13960/t9v11ww43,,The story of Jack and the giants,1851,m,1851-1900,-0.5336842954071215
inu.32000009367949,"Trollope, Anthony,",Cousin Henry,1881,m,1851-1900,-0.5261917879146139
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,1851-1900,-0.5228880740845845
njp.32101067643609,"Conway, Hugh,",Living or dead,1886,m,1851-1900,-0.5191041043563421
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,1851-1900,-0.5185828324528977
mdp.39015063870185,"Gissing, Algernon,",A vagabond in arts,1894,m,1851-1900,-0.5080432697660957
uiuo.ark:/13960/t6ww7wn88,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,1851-1900,-0.5070037687265948
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,1851-1900,-0.5045467662695924
uiuo.ark:/13960/t5m90wk7m,"Pemberton, T. Edgar",A very old question,1877,m,1851-1900,-0.503811255825344
njp.32101067630614,"Forrester,",The light of other days,1894,f,1851-1900,-0.5034645151873415
uc1.b3326046,"Smart, Hawley,",A racing rubber;,1895,m,1851-1900,-0.49820427155500413
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,1851-1900,-0.49793131599217016
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,1851-1900,-0.49793131599217016
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,1851-1900,-0.49647693754758987
