htid,author,title,year,authgender,period,diff
mdp.39015057591961,"Mills, Magnus.",Once in a blue moon / | $c: Magnus Mills.,2003,m,1951-2009,-0.733316418591016
inu.30000000878250,"Bednarczyk, Czesław.",Kubus : | my friend the cat / | $c: Czesław Bednarczyk.,1988,u,1951-2009,-0.733316418591016
mdp.49015002055169,"Kavan, Anna,",Eagles' nest : | a novel / | $c: Anna Kavan.,1976,f,1951-2009,-0.733316418591016
mdp.39015027553141,"Beaton-Jones, Cynon,",So Hi and the White Horse of Fu. | $c: Illustrated by John Ward.,1952,u,1951-2009,-0.733316418591016
mdp.39015022220324,"Sturgeon, Theodore.","Starshine, | $c: by Theodore Sturgeon.",1968,m,1951-2009,-0.6512268663522102
uc1.b3475489,"Val Baker, Denys,",Karenza : | a novel of Cornwall / | $c: [by] Denys Val Baker.,1980,m,1951-2009,-0.6352772029047418
mdp.39015050563843,"Hocking, Mary.",March house / | $c: Mary Hocking.,1981,f,1951-2009,-0.6252083104829084
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,1951-2009,-0.6229268082014057
uc1.b4974507,"Gray, Alasdair.",The fall of Kelvin Walker : | a fable of the sixties / | $c: by Alasdair Gray.,1985,u,1951-2009,-0.6208164185910161
mdp.39015030851813,"Blackwood, Caroline.",Great Granny Webster / | $c: Caroline Blackwood.,1977,f,1951-2009,-0.6207336371340624
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,1951-2009,-0.6152836317057704
mdp.39015077638164,"Marston, Edward.",Murder on the Brighton Express / | $c: Edward Marston.,2008,m,1951-2009,-0.6116434147887345
uc1.b2831241,"Levene, Ralph.",The camel's back.,1967,m,1951-2009,-0.611365199078821
mdp.39015065907977,"Green, Henry,",Doting : | a novel / | $c: by Henry Green.,1952,m,1951-2009,-0.6113651990788208
uc1.b3472573,"Val Baker, Denys,","Rose, a novel of Cornwall / | $c: Denys Val Baker",1980,m,1951-2009,-0.6065558552107344
mdp.39015014137973,"Leiber, Fritz,","Gather, darkness! / | $c: Fritz Leiber.",1968,m,1951-2009,-0.6051112903858877
mdp.39015025272611,"Prichard, Thomas Jeffery Llewelyn.","The comical adventures of Twm Shon Catty (Thomas Jones, Esq.), commonly known as the Welsh Robin Hood.",1991,m,1951-2009,-0.6043856009809532
mdp.39015055183290,"Jones, Vanessa,",The kindest use a knife / | $c: Vanessa Jones.,2002,f,1951-2009,-0.6028816359823205
inu.39000005534958,"Sheffield, John.",The original Robin Hood : | a translation of the early tales / | $c: John Sheffield ; illustrated by John Clark.,1982,m,1951-2009,-0.599295800034315
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,1951-2009,-0.5989078164404786
uc1.b4451122,"McEwen, Todd.",McX / | $c: Todd McEwen.,1990,m,1951-2009,-0.5971907641407543
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,1951-2009,-0.5947813867438824
mdp.39015079149228,"Knight, Alanna.",Murder in paradise / | $c: Alanna Knight.,2008,f,1951-2009,-0.594122279396877
mdp.39015013115574,"Bates, H. E. (Herbert Ernest),","The triple echo, | $c: by H. E. Bates; drawings by Ron Clarke,",1970,m,1951-2009,-0.5904592757338731
uc1.$b86271,"Auld, Philip.",Honour a physician.,1959,m,1951-2009,-0.5840626872477325
mdp.39015031305736,"Storey, Anthony.",Brothers keepers : | a novel / | $c: by Anthony Storey.,1975,m,1951-2009,-0.5802551941012202
mdp.39015048886603,"Forster, Margaret,",Marital rites / | $c: Margaret Forster.,1981,f,1951-2009,-0.5783868411262274
inu.39000005590711,"Price, Merlin.",Folktales and legends of Gloucestershire / | $c: by Merlin Price ; and illustrated by Kate Fitzsimons.,1984,m,1951-2009,-0.5764536734929767
