docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015038919323,mdp.39015038919323," Clarke, Arthur C.   (Arthur Charles),",Arthur C.  Arthur Charles,1988,1917.0,m,,2061 : | Odyssey three / | $c: Arthur C. Clarke.
inu.30000126982333,inu.30000126982333,"&#xd6;stergren, Klas,",Klas,2009,1969.0,u,,The hurricane party / | $c: Klas &#xd6;stergren ; translated from the Swedish by Tiina Nunnally.
mdp.39015021992469,mdp.39015021992469,"(Alfred), Alvarez, A.",Alvarez A,1991,1951.0,u,,Day of atonement / | $c: A. Alvarez.
mdp.39015032539309,mdp.39015032539309,"(André Philippus), Brink, André P.",Brink André P,1993,1953.0,u,,"On the contrary : | being the life of a famous rebel, soldier, traveller, explorer, reader, builder, scribe, latinist, lover and liar / | $c: André Brink."
mdp.39015066051494,mdp.39015066051494,"(Antonia Susan), Byatt, A. S.",Byatt A. S,1990,1950.0,u,,Possession : | a romance / | $c: A.S. Byatt.
mdp.39015041058465,mdp.39015041058465,"(Arthur Charles), Clarke, Arthur C.",Clarke Arthur C,1997,1917.0,m,,3001: | the final odyssey / | $c: Arthur C. Clarke.
mdp.39015029184838,mdp.39015029184838,"(Audrey Lillian), Barker, A. L.",Barker A. L,1992,1952.0,u,,Zeph / | $c: A.L. Barker.
mdp.39015019487167,mdp.39015019487167,"(Audrey Lillian), Barker, A. L.",Barker A. L,1991,1951.0,u,,Any excuse for a party / | $c: A.L. Barker.
mdp.39015022371531,mdp.39015022371531,"(Benjamin Letholoa), Leshoai, B. L.",Leshoai B. L,1968,1928.0,u,,"Masilo's adventures, | and other stories | $c: [by] B. L. Leshoai."
mdp.39015068635559,mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",Phillips C. E. Lucas,1960,1897.0,m,,The Spanish pimpernel.
inu.32000002740027,inu.32000002740027,"(Charles Grimshaw), Campbell, C. G.",Campbell C. G,1952,1912.0,m,,"From town and tribe, | $c: translated & set down by C. G. Campbell."
mdp.39015008821582,mdp.39015008821582,"(Charles Percy), Snow, C. P.",Snow C. P,1953,1905.0,f,,Strangers and brothers.
mdp.39015010860461,mdp.39015010860461,"(Charles Percy), Snow, C. P.",Snow C. P,1951,1905.0,f,,The masters.
mdp.39015046831205,mdp.39015046831205,"(Charles Percy), Snow, C. P.",Snow C. P,1959,1905.0,f,,Death under sail.
mdp.39015029505735,mdp.39015029505735,"(Charles Percy), Snow, C. P.",Snow C. P,1968,1905.0,f,,The sleep of reason | $c: [by] C. P. Snow.
