docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015008843693,mdp.39015008843693,"(Charles Percy), Snow, C. P.",Snow C. P,1956,1905.0,f,,Homecomings.
mdp.39015010838269,mdp.39015010838269,"(Charles Percy), Snow, C. P.",Snow C. P,1974,1905.0,f,,In their wisdom / | $c: C. P. Snow.
mdp.39015046831205,mdp.39015046831205,"(Charles Percy), Snow, C. P.",Snow C. P,1959,1905.0,f,,Death under sail.
mdp.39015010466368,mdp.39015010466368,"(Charles Percy), Snow, C. P.",Snow C. P,1949,1905.0,f,,"Time of hope, | a novel."
mdp.39015029505735,mdp.39015029505735,"(Charles Percy), Snow, C. P.",Snow C. P,1968,1905.0,f,,The sleep of reason | $c: [by] C. P. Snow.
mdp.39015010860461,mdp.39015010860461,"(Charles Percy), Snow, C. P.",Snow C. P,1951,1905.0,f,,The masters.
mdp.39015008821582,mdp.39015008821582,"(Charles Percy), Snow, C. P.",Snow C. P,1953,1905.0,f,,Strangers and brothers.
mdp.39015010480427,mdp.39015010480427,"(Hilda Doolittle), H. D.",H. D,1928,1886.0,f,,Hedylus.
mdp.39015030151123,mdp.39015030151123,"(Margaret Louisa), Woods, Margaret L.",Woods Margaret L,1923,1883.0,f,,A poet's youth.
mdp.39015002753641,mdp.39015002753641,"(Victoria), Sackville-West, V.",Sackville-West V,1923,1892.0,f,,"Grey Wethers; | a romantic novel, | $c: by V. Sackville-West."
uc1.b4088948,uc1.b4088948,"(Victoria), Sackville-West, V.",Sackville-West V,1953,1892.0,f,,The Easter party / | $c: V. Sackville-West.
uc1.32106002011796,uc1.32106002011796,"(Victoria), Sackville-West, V.",Sackville-West V,1924,1892.0,f,,Seducers in Ecuador
5584,uc2.ark:/13960/t1hh6dj28,"A. L. O. E.,",,1864,,f,,The rambles of a rat
8522,uc2.ark:/13960/t55d8t254,"A. L. O. E.,",,1888,,f,,Pride and his prisoners
11244,inu.39000000258256,"A. L. O. E.,",,1870,,f,,Claudia
