docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
uc1.$b605193,uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015035775363,mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015011705624,mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015054151512,mdp.39015054151512,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.18,The works of H. G. Wells.
mdp.39015042022882,mdp.39015042022882,"(Terence Hanbury), White, T. H.",White T. H,1947,1906.0,m,,Mistress Masham's repose.
7465,nyp.33433082289871,"A. L. O. E.,",,1861,,f,,"The giant killer, or, The battle which all must fight"
8522,uc2.ark:/13960/t55d8t254,"A. L. O. E.,",,1888,,f,,Pride and his prisoners
11244,inu.39000000258256,"A. L. O. E.,",,1870,,f,,Claudia
mdp.39015012940006,mdp.39015012940006,"Abelard, Peter,",Peter,1908,,m,,The love letters of Abelard and Heloise
uc1.b4137344,uc1.b4137344,"Acōkamittiran̲,",Acōkamittiran̲,1993,1953.0,u,,Water (Tannir) / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström.
uc1.$b322893,uc1.$b322893,"Adam, Ruth.",Ruth,1954,1914.0,f,,Fetch her away / | $c: Ruth Adam.
1612,mdp.39015064364675,"Adams, William,",,1867,,m,,Sacred allegories
mdp.39015041544001,mdp.39015041544001,"Adisa, Opal Palmer,",Opal Palmer,1997,1957.0,f,,It begins with tears / | $c: by Opal Palmer Adisa.
uc1.32106017520823,uc1.32106017520823,"Alcoe, Tony",Tony,2004,1964.0,m,,The gardener's boy / | $c: Tony Alcoe
4115,nyp.33433034410898,"Alexander,",,1867,,f,,Which shall it be?
uc1.$b485541,uc1.$b485541,"Allen, Johannes,",Johannes,1969,1929.0,m,,Tumult: | a novel; | $c: translated by Frederick Marker.
nyp.33433074946165,nyp.33433074946165,"Allonby, Edith.",Edith,1903,,f,,Jewel sowers
1818,uiuo.ark:/13960/t6d22890z,"Anderson,",,1852,,f,v.1,"The three paths, or, Truth, vanity, and profession"
1818,uiuo.ark:/13960/t1pg2118k,"Anderson,",,1852,,f,v.2,"The three paths, or, Truth, vanity, and profession"
uc1.b4098088,uc1.b4098088,"Anderson, Sherwood,",Sherwood,1929,1876.0,m,,Alice | and The lost novel / | $c: by Sherwood Anderson.
12084,nyp.33433074859970,"Anstey, F.,",,1896,,m,,The statement of Stella Maberly
mdp.39015008982939,mdp.39015008982939,Apuleius.,Apuleius,1903,,m,,The story of Cupid & Psyche
mdp.39015069131202,mdp.39015069131202,"Arditti, Michael.",Michael,2006,1966.0,m,,A sea change / | $c: Michael Arditti.
uc1.b3815024,uc1.b3815024,"Arnott, Kathleen.",Kathleen,1951,1911.0,f,,"Ayo, an African schoolgirl."
mdp.39015048945987,mdp.39015048945987,"Arrowsmith, Pat.",Pat,1998,1958.0,u,,Many are called / | $c: Pat Arrowsmith.
uc1.$b391222,uc1.$b391222,"Asalache, Khadambi,",Khadambi,1967,1927.0,u,,A calabash of life: | a novel.
uc1.32106011930507,uc1.32106011930507,"Ashokamitran,",Ashokamitran,1993,1953.0,u,,Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström
mdp.39015032967500,mdp.39015032967500,"Ashokamitran,",Ashokamitran,1993,1953.0,u,,Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström
11462,nyp.33433074943758,"Austen, Jane,",,1892,,f,"v. 9, Northanger Abbey",The novels of Jane Austen
11416,nyp.33433009367628,"Austin, Alfred,",,1896,,m,,The garden that I love
mdp.39015024082565,mdp.39015024082565,"Avery, Gillian,",Gillian,1964,1924.0,f,,The Italian spring. | $c: Illustrated by John Verney.
mdp.39015019569535,mdp.39015019569535,"Azpadu, Dodici.",Dodici,1987,1947.0,u,,Saturday night in the prime of life / | $c: by Dodici Azpadu.
mdp.39015078779710,mdp.39015078779710,"Badoe, Yaba.",Yaba,2009,1969.0,u,,True murder / | $c: Yaba Badoe.
uc1.$b396466,uc1.$b396466,"Bainbridge, Beryl,",Beryl,1972,1932.0,f,,Harriet said ...
uc1.32106016496827,uc1.32106016496827,"Bakin, Dmitriĭ",Dmitriĭ,2002,1962.0,u,,Reasons for living / | $c: Dmitry Bakin ; translated by Andrew Bromfield
mdp.39015016452909,mdp.39015016452909,"Balchin, Nigel,",Nigel,1966,1908.0,m,,In the absence of Mrs. Petersen.
uc2.ark+=13960=t3bz64c64,uc2.ark:/13960/t3bz64c64,"Baldwin, May.",May,1909,,f,,"Barbara Bellamy, a public school girl"
1222,njp.32101007989260,"Balzac, Honoré de,",,1887,,f,v.38,Comedy of human life
uc1.$b322798,uc1.$b322798,"Bankoff, George,",George,1947,1907.0,m,,Pillar of fire.
13223,uiuo.ark:/13960/t06w9mk41,"Banks, G. Linnaeus",,1883,,f,v.1,Forbidden to marry
13223,uiuo.ark:/13960/t6sx6jz1t,"Banks, G. Linnaeus",,1883,,f,v.3,Forbidden to marry
13223,uiuo.ark:/13960/t5gb2c36h,"Banks, G. Linnaeus",,1883,,f,v.2,Forbidden to marry
njp.32101064786856,njp.32101064786856,"Barber, Margaret Fairless,",Margaret Fairless,1905,,u,,The grey brethren and other fragments in prose and verse
mdp.39015038896026,mdp.39015038896026,"Barne, Kitty,",Kitty,1953,1913.0,f,,Elizabeth Fry; | $c: illustrated by Ruth Gervis.
uc1.b4097323,uc1.b4097323,"Baron, Dunsany, Edward John Moreton Drax Plunkett,",Dunsany Edward John Moreton Drax Plunkett,1951,1878.0,m,,"The last revolution, a novel."
wu.89087922050,wu.89087922050,"Barsley, Michael.",Michael,1940,1900.0,m,,Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.
wu.89098654809,wu.89098654809,"Bason, Frederick T.",Frederick T,1960,1920.0,m,,Summer.
mdp.39015003450064,mdp.39015003450064,"Bates, H. E. (Herbert Ernest),",H. E. Herbert Ernest,1926,1905.0,m,,"The two sisters, | $c: by H. E. Bates; with a foreword by Edward Garnett."
mdp.39015008364864,mdp.39015008364864,"Bates, H. E. (Herbert Ernest),",H. E. Herbert Ernest,1953,1905.0,m,,The fallow land.
uc1.32106012884018,uc1.32106012884018,"Batory, Elizabeth,",Elizabeth,1996,1956.0,f,,I do dance / | $c: Elizabeth Batory
uc1.$b391235,uc1.$b391235,"Bawden, Nina,",Nina,1957,1917.0,f,,Devil by the sea.
mdp.39015040368758,mdp.39015040368758,"Bayley, John,",John,1997,1957.0,m,,The red hat / | $c: John Bayley.
njp.32101064787276,njp.32101064787276,"Bayley, Stanhope.",Stanhope,1911,,u,,A singer of dreams;
uc1.b4948499,uc1.b4948499,"Beattie, Sally,",Sally,1983,1943.0,f,,Annie's story / | $c: Sally Beattie.
uc1.32106015858761,uc1.32106015858761,"Beauvoir, Simone de,",Simone de,1966,1908.0,u,,A very easy death; | $c: translated [from the French] by Patrick O'Brian
uc1.32106001758629,uc1.32106001758629,"Beckett, Samuel,",Samuel,1973,1906.0,m,,First love; | $c: translated from the original French by the author.
wu.89009176827,wu.89009176827,"Beckett, Samuel,",Samuel,1982,1906.0,m,,Ill seen ill said / | $c: by Samuel Beckett ; translated from French by the author.
uc1.b3898302,uc1.b3898302,"Beechey, Winifred.",Winifred,1984,1944.0,f,,The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.
mdp.39015051597329,mdp.39015051597329,"Bell, Julia N.",Julia N,1903,,f,,My friends from the fifties
uc1.$b696719,uc1.$b696719,"Bellocq, Louise.",Louise,1962,1922.0,f,,Fled is that music. | Winner of the Prix Fémina. | $c: Translated from the French by Anne Carter.
uc1.$b111967,uc1.$b111967,"Benson, E. F. (Edward Frederic),",E. F. Edward Frederic,1929,1867.0,m,,"The male impersonator, | $c: by E. F. Benson."
uc1.b2808856,uc1.b2808856,"Benzoni, Juliette.",Juliette,1965,1925.0,f,,Catherine / | $c: Juliette Benzoni ; translated by Jocasta Goodwin.
uc1.32106017308997,uc1.32106017308997,"Berg, Jean de",Jean de,2004,1964.0,f,,The image / | $c: Jean de Berg
mdp.39015010308206,mdp.39015010308206,"Bergman, Ingmar,",Ingmar,1976,1918.0,u,,Face to face : a film / | $c: by Ingmar Bergman ; translated from the Swedish by Alan Blair.
uc1.32106013881914,uc1.32106013881914,"Bergman, Margareta,",Margareta,1998,1958.0,f,,"Mirror, mirror-- / | $c: by Margareta Bergman ; translated by Veronica Ralston"
mdp.39015038015247,mdp.39015038015247,"Beyala, Calixthe.",Calixthe,1996,1956.0,u,,The sun hath looked upon me / | $c: Calixthe Beyala ; translated from the French by Marjolijn de Jager.
mdp.39015037456459,mdp.39015037456459,"Bhattacharya, Nalinaksha,",Nalinaksha,1995,1955.0,u,,Hem & Maxine / | $c: Nalinaksha Bhattacharya.
uc1.$b164862,uc1.$b164862,"Bigiaretti, Libero.",Libero,1965,1925.0,m,,A business convention. | $c: Translated from the Italian by Joseph Green.
