docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015064002572,mdp.39015064002572,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1929,1890.0,m,,"Topsy, M. P.,"
mdp.39015035775363,mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015011705624,mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
uc1.$b605193,uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015014331220,mdp.39015014331220,"(Aleksandr), Tarasov-Rodionov, A.",Tarasov-Rodionov A,1933,1893.0,u,,"Chocolate, | a novel | $c: by Alexander Tarasov-Rodionov; translated from the Russian by Charles Malamuth."
mdp.39015029184838,mdp.39015029184838,"(Audrey Lillian), Barker, A. L.",Barker A. L,1992,1952.0,u,,Zeph / | $c: A.L. Barker.
mdp.39015025198402,mdp.39015025198402,"(Christian Karlson), Stead, C. K.",Stead C. K,1991,1951.0,u,,Sister Hollywood / | $c: C.K. Stead.
mdp.39015021317550,mdp.39015021317550,"(Edith Martha), Almedingen, E. M.",Almedingen E. M,1942,1898.0,u,,Tomorrow will come
uc1.32106019365086,uc1.32106019365086,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.12,The works of H. G. Wells.
mdp.39015018653595,mdp.39015018653595,"(Herbert George), Wells, H. G.",Wells H. G,1925,1866.0,m,,"Tono-Bungay, | $c: by H.G. Wells."
uc1.32106019365094,uc1.32106019365094,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.13,The works of H. G. Wells.
mdp.39015054151462,mdp.39015054151462,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.13,The works of H. G. Wells.
mdp.39015054151512,mdp.39015054151512,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.18,The works of H. G. Wells.
mdp.39015054151454,mdp.39015054151454,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.12,The works of H. G. Wells.
uc1.32106015660035,uc1.32106015660035,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.15,The works of H. G. Wells.
mdp.39015054151488,mdp.39015054151488,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.15,The works of H. G. Wells.
mdp.39015010480427,mdp.39015010480427,"(Hilda Doolittle), H. D.",H. D,1928,1886.0,f,,Hedylus.
uc1.b4096972,uc1.b4096972,"(Ivy), Compton-Burnett, I.",Compton-Burnett I,1951,1884.0,u,,Darkness and day / | $c: by I. Compton-Burnett.
mdp.39015024822465,mdp.39015024822465,"(Izrailʹ) Metter, I.",I,1991,1951.0,u,,The fifth corner of the room / | $c: Israel Metter ; translated from the Russian by Michael Duncan.
mdp.39015002759036,mdp.39015002759036,"(Jerome David), Salinger, J. D.",Salinger J. D,1953,1919.0,u,,"For Esmé-- | with love and squalor, and other stories."
uc1.$b302077,uc1.$b302077,"(Ralph Hale), Mottram, R. H.",Mottram R. H,1930,1890.0,u,,"The New providence, | $c: by R. H. Mottram."
mdp.39015002741448,mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Roberts S. C,1941,1887.0,u,,Zuleika in Cambridge / | $c: by S. C. Roberts.
mdp.39015042022882,mdp.39015042022882,"(Terence Hanbury), White, T. H.",White T. H,1947,1906.0,m,,Mistress Masham's repose.
