docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015038919323,mdp.39015038919323," Clarke, Arthur C.   (Arthur Charles),",Arthur C.  Arthur Charles,1988,1917.0,m,,2061 : | Odyssey three / | $c: Arthur C. Clarke.
mdp.39015008792726,mdp.39015008792726,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1948,1890.0,m,,"Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733."
mdp.39015028026352,mdp.39015028026352,"(Alekseĭ Silych), Novikov-Priboĭ, A. S.",Novikov-Priboĭ A. S,1946,1877.0,u,,The captain.
mdp.39015041058465,mdp.39015041058465,"(Arthur Charles), Clarke, Arthur C.",Clarke Arthur C,1997,1917.0,m,,3001: | the final odyssey / | $c: Arthur C. Clarke.
mdp.39015063006624,mdp.39015063006624,"(Audrey Lillian), Barker, A. L.",Barker A. L,1950,1910.0,u,,Apology for a hero.
mdp.39015022371531,mdp.39015022371531,"(Benjamin Letholoa), Leshoai, B. L.",Leshoai B. L,1968,1928.0,u,,"Masilo's adventures, | and other stories | $c: [by] B. L. Leshoai."
mdp.39015068635559,mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",Phillips C. E. Lucas,1960,1897.0,m,,The Spanish pimpernel.
inu.32000002740027,inu.32000002740027,"(Charles Grimshaw), Campbell, C. G.",Campbell C. G,1952,1912.0,m,,"From town and tribe, | $c: translated & set down by C. G. Campbell."
mdp.39015008821582,mdp.39015008821582,"(Charles Percy), Snow, C. P.",Snow C. P,1953,1905.0,f,,Strangers and brothers.
mdp.39015022221298,mdp.39015022221298,"(Clive Staples), Lewis, C. S.",Lewis C. S,1944,1898.0,m,,"The pilgrim's regress, | an allegorical apology for Christianity, reason and romanticism, | $c: by C. S. Lewis ..."
mdp.39015062980498,mdp.39015062980498,"(Clive Staples), Lewis, C. S.",Lewis C. S,1942,1898.0,m,,Broadcast talks : | reprinted with some alterations from two series of Broadcast Talks (Right and Wrong : a clue to the Meaning of the Universe and what Christians believe) given in 1941 and 1942.
inu.39000005792002,inu.39000005792002,"(Donald Alexander), Mackenzie, Donald A.",Mackenzie Donald A,1931,1873.0,m,,Tales from the moors and the mountains / | $c: by Donald A. Mackenzie.
mdp.39015017691257,mdp.39015017691257,"(Edward Evan), Evans-Pritchard, E. E.",Evans-Pritchard E. E,1967,1902.0,u,,"The Zande trickster, | $c: edited by E. E. Evans-Pritchard."
mdp.39015024648571,mdp.39015024648571,"(Edward Harold) Visiak, E. H.",E. H,1963,1923.0,u,,"Medusa, | a story of mystery, and exstasy, & strange horror."
mdp.39015062194017,mdp.39015062194017,"(Francis Downes), Ommanney, F. D.",Ommanney F. D,1938,1898.0,u,,"Below the roaring forties; | an Antarctic journal, | $c: by F. D. Ommanney; with 16 illustrations."
uc1.31822029821618,uc1.31822029821618,"(Francis Downes), Ommanney, F. D.",Ommanney F. D,1938,1898.0,u,,"South latitude, | $c: by F. D. Ommanney; with 16 illustrations"
mdp.39015058387252,mdp.39015058387252,"(Francis William), Bain, F. W.",Bain F. W,1923,1863.0,u,,A heifer of the dawn.
mdp.39015008510227,mdp.39015008510227,"(George Bagshawe), Harrison, G. B.",Harrison G. B,1945,1894.0,m,,"More new tales from Shakespeare, | $c: told by G. B. Harrison ... Illustrated by C. Walter Hodges."
mdp.49015001034512,mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.",Chesterton G. K,1928,1874.0,u,,"The sword of wood, | a story | $c: by G.K. Chesterton."
13218,uc1.b3290867,"(Goodwin, William)",,1830,,m,v. 2,Cloudesley
13218,uc1.b3290866,"(Goodwin, William)",,1830,,m,v. 1,Cloudesley
13218,uc1.b3290868,"(Goodwin, William)",,1830,,m,v. 3,Cloudesley
uc1.b4584501,uc1.b4584501,"(Harold Alfred), Manhood, H. A.",Manhood H. A,1931,1891.0,u,,"Little Peter the Great, / | $c: by H.A. Manhood, with a frontispiece by Rowland Hilder and a foreword by Henry Williamson ..."
uc1.$b245247,uc1.$b245247,"(Henry Major), Tomlinson, H. M.",Tomlinson H. M,1930,1873.0,m,,All our yesterdays /
