docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015038919323,mdp.39015038919323," Clarke, Arthur C.   (Arthur Charles),",Arthur C.  Arthur Charles,1988,1917.0,m,,2061 : | Odyssey three / | $c: Arthur C. Clarke.
mdp.39015028106451,mdp.39015028106451,"(Alan Alexander), Milne, A. A.",Milne A. A,1928,1882.0,m,,Once a week. | $c: by A. A. Milne ...
uc1.b4089288,uc1.b4089288,"(Alan Alexander), Milne, A. A.",Milne A. A,1929,1882.0,m,,"Those were the days: | The day's play, The holiday round, Once a week, The sunny side."
mdp.39015008792726,mdp.39015008792726,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1948,1890.0,m,,"Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733."
mdp.39015064002572,mdp.39015064002572,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1929,1890.0,m,,"Topsy, M. P.,"
mdp.39015041058465,mdp.39015041058465,"(Arthur Charles), Clarke, Arthur C.",Clarke Arthur C,1997,1917.0,m,,3001: | the final odyssey / | $c: Arthur C. Clarke.
mdp.39015068635559,mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",Phillips C. E. Lucas,1960,1897.0,m,,The Spanish pimpernel.
inu.32000002740027,inu.32000002740027,"(Charles Grimshaw), Campbell, C. G.",Campbell C. G,1952,1912.0,m,,"From town and tribe, | $c: translated & set down by C. G. Campbell."
mdp.39015046868231,mdp.39015046868231,"(Clive Staples), Lewis, C. S.",Lewis C. S,1962,1898.0,m,,"Prince Caspian, the return to Narnia. | $c: Illus. by Pauline Baynes."
mdp.39015062980498,mdp.39015062980498,"(Clive Staples), Lewis, C. S.",Lewis C. S,1942,1898.0,m,,Broadcast talks : | reprinted with some alterations from two series of Broadcast Talks (Right and Wrong : a clue to the Meaning of the Universe and what Christians believe) given in 1941 and 1942.
mdp.39015022221298,mdp.39015022221298,"(Clive Staples), Lewis, C. S.",Lewis C. S,1944,1898.0,m,,"The pilgrim's regress, | an allegorical apology for Christianity, reason and romanticism, | $c: by C. S. Lewis ..."
mdp.39015024030150,mdp.39015024030150,"(Cyril Lionel Robert), James, C. L. R.",James C. L. R,1971,1901.0,m,,Minty Alley / | $c: by C.L.R. James ; with an introduction by Kenneth Ramchand.
inu.39000004569351,inu.39000004569351,"(David Herbert), Lawrence, D. H.",Lawrence D. H,1930,1885.0,m,,"Love among the haystacks | & other pieces | $c: by D. H. Lawrence, with a reminiscence by David Garnett."
inu.39000005792002,inu.39000005792002,"(Donald Alexander), Mackenzie, Donald A.",Mackenzie Donald A,1931,1873.0,m,,Tales from the moors and the mountains / | $c: by Donald A. Mackenzie.
mdp.39015063697877,mdp.39015063697877,"(Felix Alan), Walbank, F. Alan",Walbank F. Alan,1949,1909.0,m,,"England, yesterday & to-day, in the works of the novelists, 1837 to 1938."
uc1.$b278645,uc1.$b278645,"(Frederick Charles), Green, F. C.",Green F. C,1933,1891.0,m,,"French short stories of the nineteenth and twentieth centuries, | $c: selected, with an introd. by F.C. Green."
mdp.39015008510227,mdp.39015008510227,"(George Bagshawe), Harrison, G. B.",Harrison G. B,1945,1894.0,m,,"More new tales from Shakespeare, | $c: told by G. B. Harrison ... Illustrated by C. Walter Hodges."
13218,uc1.b3290868,"(Goodwin, William)",,1830,,m,v. 3,Cloudesley
13218,uc1.b3290867,"(Goodwin, William)",,1830,,m,v. 2,Cloudesley
13218,uc1.b3290866,"(Goodwin, William)",,1830,,m,v. 1,Cloudesley
mdp.39015030716776,mdp.39015030716776,"(Henry Major), Tomlinson, H. M.",Tomlinson H. M,1928,1873.0,m,,London river.
mdp.39015030716842,mdp.39015030716842,"(Henry Major), Tomlinson, H. M.",Tomlinson H. M,1918,1873.0,m,,"Old junk,"
mdp.39015012084607,mdp.39015012084607,"(Henry Major), Tomlinson, H. M.",Tomlinson H. M,1933,1873.0,m,,The snows of Helicon.
uc1.$b245247,uc1.$b245247,"(Henry Major), Tomlinson, H. M.",Tomlinson H. M,1930,1873.0,m,,All our yesterdays /
mdp.39015050998288,mdp.39015050998288,"(Henry Major), Tomlinson, H. M.",Tomlinson H. M,1937,1873.0,m,,All hands.
uc1.32106019365052,uc1.32106019365052,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.7,The works of H. G. Wells.
mdp.39015008568647,mdp.39015008568647,"(Herbert George), Wells, H. G.",Wells H. G,1939,1866.0,m,,The holy terror.
mdp.39015063009057,mdp.39015063009057,"(Herbert George), Wells, H. G.",Wells H. G,1926,1866.0,m,,Kipps; | the story of a simple soul.
uc1.32106019365151,uc1.32106019365151,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.24,The works of H. G. Wells.
mdp.39015054151462,mdp.39015054151462,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.13,The works of H. G. Wells.
mdp.39015054151363,mdp.39015054151363,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.3,The works of H. G. Wells.
uc1.32106009967594,uc1.32106009967594,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.2,The works of H. G. Wells.
uc1.32106005852287,uc1.32106005852287,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.6,The works of H. G. Wells.
uc1.32106005854119,uc1.32106005854119,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.10,The works of H. G. Wells.
uc1.b3759962,uc1.b3759962,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,,"The dream, | a novel."
uc1.32106005506826,uc1.32106005506826,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.25,The works of H. G. Wells.
mdp.39015054151413,mdp.39015054151413,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.8,The works of H. G. Wells.
mdp.39015054159945,mdp.39015054159945,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.25,The works of H. G. Wells.
mdp.39015054151561,mdp.39015054151561,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.23,The works of H. G. Wells.
uc1.32106015660035,uc1.32106015660035,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.15,The works of H. G. Wells.
mdp.39015018653595,mdp.39015018653595,"(Herbert George), Wells, H. G.",Wells H. G,1925,1866.0,m,,"Tono-Bungay, | $c: by H.G. Wells."
mdp.39015054151504,mdp.39015054151504,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.17,The works of H. G. Wells.
uc1.32106005849879,uc1.32106005849879,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.1,The works of H. G. Wells.
uc1.32106005850737,uc1.32106005850737,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.3,The works of H. G. Wells.
uc1.32106019365136,uc1.32106019365136,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.22,The works of H. G. Wells.
mdp.39015053239581,mdp.39015053239581,"(Herbert George), Wells, H. G.",Wells H. G,1941,1866.0,m,,You can't be too careful : | a sample of life 1901-1951.
mdp.39015008910344,mdp.39015008910344,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,,"The invisible man. | a grotesque romance, | $c: by H. G. Wells ..."
mdp.39015054151355,mdp.39015054151355,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.2,The works of H. G. Wells.
uc1.32106019365110,uc1.32106019365110,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.16,The works of H. G. Wells.
uc1.32106019365094,uc1.32106019365094,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.13,The works of H. G. Wells.
uc1.32106019365060,uc1.32106019365060,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.8,The works of H. G. Wells.
mdp.39015054151397,mdp.39015054151397,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.6,The works of H. G. Wells.
