docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015038919323,mdp.39015038919323," Clarke, Arthur C.   (Arthur Charles),",Arthur C.  Arthur Charles,1988,1917.0,m,,2061 : | Odyssey three / | $c: Arthur C. Clarke.
mdp.39015008792726,mdp.39015008792726,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1948,1890.0,m,,"Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733."
mdp.39015028026352,mdp.39015028026352,"(Alekseĭ Silych), Novikov-Priboĭ, A. S.",Novikov-Priboĭ A. S,1946,1877.0,u,,The captain.
mdp.39015027657256,mdp.39015027657256,"(Alfred Edward), Chamot, A. E.",Chamot A. E,1928,1888.0,u,,Selected Russian short stories / | $c: chosen and translated by A.E.Chamot.
mdp.39015021992469,mdp.39015021992469,"(Alfred), Alvarez, A.",Alvarez A,1991,1951.0,u,,Day of atonement / | $c: A. Alvarez.
mdp.39015032539309,mdp.39015032539309,"(André Philippus), Brink, André P.",Brink André P,1993,1953.0,u,,"On the contrary : | being the life of a famous rebel, soldier, traveller, explorer, reader, builder, scribe, latinist, lover and liar / | $c: André Brink."
mdp.39015041058465,mdp.39015041058465,"(Arthur Charles), Clarke, Arthur C.",Clarke Arthur C,1997,1917.0,m,,3001: | the final odyssey / | $c: Arthur C. Clarke.
mdp.39015063006624,mdp.39015063006624,"(Audrey Lillian), Barker, A. L.",Barker A. L,1950,1910.0,u,,Apology for a hero.
mdp.39015022371531,mdp.39015022371531,"(Benjamin Letholoa), Leshoai, B. L.",Leshoai B. L,1968,1928.0,u,,"Masilo's adventures, | and other stories | $c: [by] B. L. Leshoai."
mdp.39015068635559,mdp.39015068635559,"(Cecil Ernest Lucas), Phillips, C. E. Lucas",Phillips C. E. Lucas,1960,1897.0,m,,The Spanish pimpernel.
mdp.39015063025392,mdp.39015063025392,"(Charles Edward), Montague, C. E.",Montague C. E,1926,1867.0,u,,"Rough justice; | a novel,"
inu.32000002740027,inu.32000002740027,"(Charles Grimshaw), Campbell, C. G.",Campbell C. G,1952,1912.0,m,,"From town and tribe, | $c: translated & set down by C. G. Campbell."
mdp.39015010860461,mdp.39015010860461,"(Charles Percy), Snow, C. P.",Snow C. P,1951,1905.0,f,,The masters.
mdp.39015008821582,mdp.39015008821582,"(Charles Percy), Snow, C. P.",Snow C. P,1953,1905.0,f,,Strangers and brothers.
mdp.39015046831205,mdp.39015046831205,"(Charles Percy), Snow, C. P.",Snow C. P,1959,1905.0,f,,Death under sail.
mdp.39015022221298,mdp.39015022221298,"(Clive Staples), Lewis, C. S.",Lewis C. S,1944,1898.0,m,,"The pilgrim's regress, | an allegorical apology for Christianity, reason and romanticism, | $c: by C. S. Lewis ..."
mdp.39015062980498,mdp.39015062980498,"(Clive Staples), Lewis, C. S.",Lewis C. S,1942,1898.0,m,,Broadcast talks : | reprinted with some alterations from two series of Broadcast Talks (Right and Wrong : a clue to the Meaning of the Universe and what Christians believe) given in 1941 and 1942.
mdp.39015020080571,mdp.39015020080571,"(Colin Metcalfe), Enriquez, C. M.",Enriquez C. M,1939,1899.0,u,,Khyberie in Burma : | the adventures of a mountain pony / | $c: by C. M. Enriquez ; with twenty-two illustrations by K. F. Barker.
inu.39000004569351,inu.39000004569351,"(David Herbert), Lawrence, D. H.",Lawrence D. H,1930,1885.0,m,,"Love among the haystacks | & other pieces | $c: by D. H. Lawrence, with a reminiscence by David Garnett."
inu.39000005792002,inu.39000005792002,"(Donald Alexander), Mackenzie, Donald A.",Mackenzie Donald A,1931,1873.0,m,,Tales from the moors and the mountains / | $c: by Donald A. Mackenzie.
mdp.39015017691257,mdp.39015017691257,"(Edward Evan), Evans-Pritchard, E. E.",Evans-Pritchard E. E,1967,1902.0,u,,"The Zande trickster, | $c: edited by E. E. Evans-Pritchard."
mdp.39015024648571,mdp.39015024648571,"(Edward Harold) Visiak, E. H.",E. H,1963,1923.0,u,,"Medusa, | a story of mystery, and exstasy, & strange horror."
