docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
inu.30000126982333,inu.30000126982333,"&#xd6;stergren, Klas,",Klas,2009,1969.0,u,,The hurricane party / | $c: Klas &#xd6;stergren ; translated from the Swedish by Tiina Nunnally.
mdp.39015010838269,mdp.39015010838269,"(Charles Percy), Snow, C. P.",Snow C. P,1974,1905.0,f,,In their wisdom / | $c: C. P. Snow.
mdp.39015029505735,mdp.39015029505735,"(Charles Percy), Snow, C. P.",Snow C. P,1968,1905.0,f,,The sleep of reason | $c: [by] C. P. Snow.
mdp.39015046868231,mdp.39015046868231,"(Clive Staples), Lewis, C. S.",Lewis C. S,1962,1898.0,m,,"Prince Caspian, the return to Narnia. | $c: Illus. by Pauline Baynes."
mdp.39015008402094,mdp.39015008402094,"(Colwyn Edward), Vulliamy, C. E.",Vulliamy C. E,1945,1886.0,u,,Edwin & Eleanor : | family documents: 1854-56.
mdp.39015030783222,mdp.39015030783222,"(Colwyn Edward), Vulliamy, C. E.",Vulliamy C. E,1955,1886.0,u,,"Don among the dead men, | a satirical thriller."
mdp.39015024030150,mdp.39015024030150,"(Cyril Lionel Robert), James, C. L. R.",James C. L. R,1971,1901.0,m,,Minty Alley / | $c: by C.L.R. James ; with an introduction by Kenneth Ramchand.
mdp.39015068634875,mdp.39015068634875,"(Feliks I͡Akovlevich), Kon, F. I͡A.",Kon F. I͡A,1930,1864.0,u,,"Escape from the gallows, | $c: by Felix Kohn."
mdp.39015063697877,mdp.39015063697877,"(Felix Alan), Walbank, F. Alan",Walbank F. Alan,1949,1909.0,m,,"England, yesterday & to-day, in the works of the novelists, 1837 to 1938."
mdp.39015065992979,mdp.39015065992979,"(Herbert Ernest), Bates, H. E.",Bates H. E,1951,1905.0,u,,Thirty-one selected tales.
mdp.39015054151579,mdp.39015054151579,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.24,The works of H. G. Wells.
mdp.39015054151397,mdp.39015054151397,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.6,The works of H. G. Wells.
mdp.39015054159937,mdp.39015054159937,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.1,The works of H. G. Wells.
uc1.32106019365052,uc1.32106019365052,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.7,The works of H. G. Wells.
mdp.39015054151389,mdp.39015054151389,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.5,The works of H. G. Wells.
mdp.39015054151520,mdp.39015054151520,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.19,The works of H. G. Wells.
mdp.39015053239581,mdp.39015053239581,"(Herbert George), Wells, H. G.",Wells H. G,1941,1866.0,m,,You can't be too careful : | a sample of life 1901-1951.
uc1.32106005849879,uc1.32106005849879,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.1,The works of H. G. Wells.
uc1.32106019365144,uc1.32106019365144,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.23,The works of H. G. Wells.
mdp.39015030719622,mdp.39015030719622,"(Herbert George), Wells, H. G.",Wells H. G,1927,1866.0,m,,"The Plattner story, and others ..."
mdp.39015054151561,mdp.39015054151561,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.23,The works of H. G. Wells.
mdp.39015054151405,mdp.39015054151405,"(Herbert George), Wells, H. G.",Wells H. G,1924,1866.0,m,v.7,The works of H. G. Wells.
uc1.b4386261,uc1.b4386261,"(James Patrick), Donleavy, J. P.",Donleavy J. P,1990,1950.0,u,,"That Darcy, that dancer, that gentleman / | $c: J.P. Donleavy."
mdp.39015002712217,mdp.39015002712217,"(John Boynton), Priestley, J. B.",Priestley J. B,1954,1894.0,m,,Low notes on a high level; | a frolic.
mdp.39015063080595,mdp.39015063080595,"(John Desmond), Bernal, J. D.",Bernal J. D,1949,1909.0,u,,"Science for peace and socialism,"
mdp.39015002704842,mdp.39015002704842,"(John Dick), Scott, J. D.",Scott J. D,1952,1912.0,m,,"The way to glory : | or, The last night of the holidays, a love story / | $c: J. D. Scott."
mdp.39015018850514,mdp.39015018850514,"(Maurice S), Power, M. S.",Power M. S,1990,1950.0,u,,Crucible of fools / | $c: M.S. Power.
uc1.b2838975,uc1.b2838975,"(Novelist) Murray, James",James,1932,1892.0,m,,Coloured. A glimpse of a quadroon girl.
mdp.39015050056350,mdp.39015050056350,"(Paul C.) Buckland, P. C.",P. C,1959,1919.0,u,,Chorus of witches / | $c: Paul Buckland.
uc1.b4402129,uc1.b4402129,"(Pavel Petrovich), Bazhov, P. P.",Bazhov P. P,1944,1879.0,u,,"The malachite casket; | tales from the Urals, | $c: by Pavel Bazhov,translated by Alan Moray Williams"
inu.30000011907551,inu.30000011907551,"(Pelham Grenville), Wodehouse, P. G.",Wodehouse P. G,1946,1881.0,m,,Money in the bank : | [a novel] / | $c: by P. G. Wodehouse.
mdp.39015000523301,mdp.39015000523301,"(Pelham Grenville), Wodehouse, P. G.",Wodehouse P. G,1935,1881.0,m,,"Jill the reckless,"
mdp.39015019865933,mdp.39015019865933,"(Percy Howard), Newby, P. H.",Newby P. H,1991,1951.0,u,,Coming in with the tide / | $c: P.H. Newby.
uc1.32106000768884,uc1.32106000768884,"(Robert Sutherland), Rattray, R. S.",Rattray R. S,1930,1881.0,u,,"Akan-Ashanti folk-tales,"
mdp.39015030857836,mdp.39015030857836,"(Terence Hanbury), White, T. H.",White T. H,1969,1906.0,m,,They winter abroad | $c: [by] T. H. White.
