docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
inu.30000126982333,inu.30000126982333,"&#xd6;stergren, Klas,",Klas,2009,1969.0,u,,The hurricane party / | $c: Klas &#xd6;stergren ; translated from the Swedish by Tiina Nunnally.
uc1.$b111876,uc1.$b111876,"'Edith', pseud.",pseud,1937,1897.0,u,,"Somersaults and strange company, | $c: by 'Edith'."
mdp.39015011705624,mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015035775363,mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
uc1.$b605193,uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015014331220,mdp.39015014331220,"(Aleksandr), Tarasov-Rodionov, A.",Tarasov-Rodionov A,1933,1893.0,u,,"Chocolate, | a novel | $c: by Alexander Tarasov-Rodionov; translated from the Russian by Charles Malamuth."
mdp.39015028026352,mdp.39015028026352,"(Alekseĭ Silych), Novikov-Priboĭ, A. S.",Novikov-Priboĭ A. S,1946,1877.0,u,,The captain.
mdp.39015027657256,mdp.39015027657256,"(Alfred Edward), Chamot, A. E.",Chamot A. E,1928,1888.0,u,,Selected Russian short stories / | $c: chosen and translated by A.E.Chamot.
mdp.39015021992469,mdp.39015021992469,"(Alfred), Alvarez, A.",Alvarez A,1991,1951.0,u,,Day of atonement / | $c: A. Alvarez.
mdp.39015032539309,mdp.39015032539309,"(André Philippus), Brink, André P.",Brink André P,1993,1953.0,u,,"On the contrary : | being the life of a famous rebel, soldier, traveller, explorer, reader, builder, scribe, latinist, lover and liar / | $c: André Brink."
mdp.39015066051494,mdp.39015066051494,"(Antonia Susan), Byatt, A. S.",Byatt A. S,1990,1950.0,u,,Possession : | a romance / | $c: A.S. Byatt.
mdp.39015063006624,mdp.39015063006624,"(Audrey Lillian), Barker, A. L.",Barker A. L,1950,1910.0,u,,Apology for a hero.
mdp.39015029184838,mdp.39015029184838,"(Audrey Lillian), Barker, A. L.",Barker A. L,1992,1952.0,u,,Zeph / | $c: A.L. Barker.
mdp.39015019487167,mdp.39015019487167,"(Audrey Lillian), Barker, A. L.",Barker A. L,1991,1951.0,u,,Any excuse for a party / | $c: A.L. Barker.
mdp.39015022371531,mdp.39015022371531,"(Benjamin Letholoa), Leshoai, B. L.",Leshoai B. L,1968,1928.0,u,,"Masilo's adventures, | and other stories | $c: [by] B. L. Leshoai."
mdp.39015063025392,mdp.39015063025392,"(Charles Edward), Montague, C. E.",Montague C. E,1926,1867.0,u,,"Rough justice; | a novel,"
mdp.39015025198402,mdp.39015025198402,"(Christian Karlson), Stead, C. K.",Stead C. K,1991,1951.0,u,,Sister Hollywood / | $c: C.K. Stead.
mdp.39015020080571,mdp.39015020080571,"(Colin Metcalfe), Enriquez, C. M.",Enriquez C. M,1939,1899.0,u,,Khyberie in Burma : | the adventures of a mountain pony / | $c: by C. M. Enriquez ; with twenty-two illustrations by K. F. Barker.
mdp.39015030783222,mdp.39015030783222,"(Colwyn Edward), Vulliamy, C. E.",Vulliamy C. E,1955,1886.0,u,,"Don among the dead men, | a satirical thriller."
mdp.39015008402094,mdp.39015008402094,"(Colwyn Edward), Vulliamy, C. E.",Vulliamy C. E,1945,1886.0,u,,Edwin & Eleanor : | family documents: 1854-56.
mdp.39015021317550,mdp.39015021317550,"(Edith Martha), Almedingen, E. M.",Almedingen E. M,1942,1898.0,u,,Tomorrow will come
mdp.39015017691257,mdp.39015017691257,"(Edward Evan), Evans-Pritchard, E. E.",Evans-Pritchard E. E,1967,1902.0,u,,"The Zande trickster, | $c: edited by E. E. Evans-Pritchard."
mdp.39015024648571,mdp.39015024648571,"(Edward Harold) Visiak, E. H.",E. H,1963,1923.0,u,,"Medusa, | a story of mystery, and exstasy, & strange horror."
mdp.39015068634875,mdp.39015068634875,"(Feliks I͡Akovlevich), Kon, F. I͡A.",Kon F. I͡A,1930,1864.0,u,,"Escape from the gallows, | $c: by Felix Kohn."
mdp.39015062194017,mdp.39015062194017,"(Francis Downes), Ommanney, F. D.",Ommanney F. D,1938,1898.0,u,,"Below the roaring forties; | an Antarctic journal, | $c: by F. D. Ommanney; with 16 illustrations."
uc1.31822029821618,uc1.31822029821618,"(Francis Downes), Ommanney, F. D.",Ommanney F. D,1938,1898.0,u,,"South latitude, | $c: by F. D. Ommanney; with 16 illustrations"
mdp.39015058387252,mdp.39015058387252,"(Francis William), Bain, F. W.",Bain F. W,1923,1863.0,u,,A heifer of the dawn.
mdp.49015001034512,mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.",Chesterton G. K,1928,1874.0,u,,"The sword of wood, | a story | $c: by G.K. Chesterton."
mdp.39015059706104,mdp.39015059706104,"(Gopal Das), Khosla, G. D.",Khosla G. D,1966,1926.0,u,,Grim fairy tales and other facts and fancies / | $c: G.D. Khosla.
mdp.39015004687557,mdp.39015004687557,"(Hans Christian), Branner, H. C.",Branner H. C,1958,1903.0,u,,No man knows the night; | a novel. | $c: Translated from the Danish by A.I. Roughton.
mdp.39015008775283,mdp.39015008775283,"(Hans Christian), Branner, H. C.",Branner H. C,1951,1903.0,u,,"The riding master, | a novel;"
uc1.b4584501,uc1.b4584501,"(Harold Alfred), Manhood, H. A.",Manhood H. A,1931,1891.0,u,,"Little Peter the Great, / | $c: by H.A. Manhood, with a frontispiece by Rowland Hilder and a foreword by Henry Williamson ..."
uc1.b3346191,uc1.b3346191,"(Herbert Ernest), Bates, H. E.",Bates H. E,1932,1905.0,u,,"The story without an end ; | and, The country doctor / | $c: by H.E. Bates."
mdp.39015065992979,mdp.39015065992979,"(Herbert Ernest), Bates, H. E.",Bates H. E,1951,1905.0,u,,Thirty-one selected tales.
mdp.39015030402948,mdp.39015030402948,"(Ivan), Nazhivin, Iv.",Nazhivin Iv,1931,1874.0,u,,The dogs | $c: by Ivan Nazhivin; translated from the Russian.
