docid,htid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
mdp.39015038919323,mdp.39015038919323," Clarke, Arthur C.   (Arthur Charles),",Arthur C.  Arthur Charles,1988,1917.0,m,,2061 : | Odyssey three / | $c: Arthur C. Clarke.
inu.30000126982333,inu.30000126982333,"&#xd6;stergren, Klas,",Klas,2009,1969.0,u,,The hurricane party / | $c: Klas &#xd6;stergren ; translated from the Swedish by Tiina Nunnally.
uc1.$b111876,uc1.$b111876,"'Edith', pseud.",pseud,1937,1897.0,u,,"Somersaults and strange company, | $c: by 'Edith'."
uc1.b4089288,uc1.b4089288,"(Alan Alexander), Milne, A. A.",Milne A. A,1929,1882.0,m,,"Those were the days: | The day's play, The holiday round, Once a week, The sunny side."
mdp.39015028106451,mdp.39015028106451,"(Alan Alexander), Milne, A. A.",Milne A. A,1928,1882.0,m,,Once a week. | $c: by A. A. Milne ...
mdp.39015008792726,mdp.39015008792726,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1948,1890.0,m,,"Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733."
mdp.39015064002572,mdp.39015064002572,"(Alan Patrick), Herbert, A. P.",Herbert A. P,1929,1890.0,m,,"Topsy, M. P.,"
uc1.$b605193,uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015035775363,mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015011705624,mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Neverov A. S,1930,1886.0,u,,Tashkent.
mdp.39015014331220,mdp.39015014331220,"(Aleksandr), Tarasov-Rodionov, A.",Tarasov-Rodionov A,1933,1893.0,u,,"Chocolate, | a novel | $c: by Alexander Tarasov-Rodionov; translated from the Russian by Charles Malamuth."
mdp.39015028026352,mdp.39015028026352,"(Alekseĭ Silych), Novikov-Priboĭ, A. S.",Novikov-Priboĭ A. S,1946,1877.0,u,,The captain.
mdp.39015027657256,mdp.39015027657256,"(Alfred Edward), Chamot, A. E.",Chamot A. E,1928,1888.0,u,,Selected Russian short stories / | $c: chosen and translated by A.E.Chamot.
mdp.39015021992469,mdp.39015021992469,"(Alfred), Alvarez, A.",Alvarez A,1991,1951.0,u,,Day of atonement / | $c: A. Alvarez.
