htid,author,title,year,authgender,female_category,clubs
uc1.$b281591,"Astle, M. J.",The principles of golf / | $c: by M.J. Astle ; illustrated by Marjorie Bates.,1923,u,high_male,399.7002248313765
njp.32101068583473,"Lang, Andrew,",A batch of golfing papers,1892,m,high_male,209.0626215480358
umn.31951002071214v,"Hilton, Harold H.",My golfing reminiscences,1907,m,high_male,166.14467955083646
mdp.39015084108151,"Hudson, Robert.",The Kilburn Social Club / | $c: Robert Hudson.,2009,m,mixed,152.5680742001805
uc2.ark:/13960/t03x85w94,"Joad, C. E. M.",The highbrows,1922,u,mixed,147.31244610520264
mdp.39015003941690,"Glanville, Brian.",A bad lot / | $c: Brian Glanville.,1977,m,high_male,133.86427179530628
inu.30000113547149,"Blandy, Mary.",Razor edge: | the story of a youth club.,1967,f,mixed,130.10542186987027
inu.32000003398718,"O'Hara, John,",Pal Joey / | $c: John O'Hara.,1952,m,,122.76504658776128
uc1.$b105363,"Stucley, Elizabeth Florence,",Teddy boys' picnic.,1958,f,high_male,117.65206174606999
mdp.39015003941518,"Glanville, Brian.",The rise of Gerry Logan.,1963,m,high_male,111.92041215135903
mdp.39015033964035,"Valenzuela, Luisa,",Bedside manners / | $c: Luisa Valenzuela.,1994,f,high_female,109.68670734215397
mdp.39015037456459,"Bhattacharya, Nalinaksha,",Hem & Maxine / | $c: Nalinaksha Bhattacharya.,1995,u,high_female,109.24403130338061
mdp.49015000936683,"Lyle, Sandy.",The championship courses of Scotland / | $c: Sandy Lyle with Bob Ferrier ; [paintings by Ken Turner ; photographs by David Pocknell].,1982,u,high_male,107.85106748045199
mdp.39015079340884,"Rogers, John.",Marriage secrets / | $c: John Rogers.,2008,m,,103.32962149256127
njp.32101068599958,"Roberts, S. C.",Doctor Johnson in Cambridge,1922,u,high_male,101.74532362839477
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,99.26789924308227
nyp.33433075761290,"Dickinson, H. N.",Things that are Caesar's,1906,u,,93.56705777144798
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,91.6474417722719
mdp.39015003941575,"Glanville, Brian.","The director's wife, and other stories.",1963,m,high_male,89.38729075247846
mdp.39015078786285,"Drayson, Nicholas.",A guide to the birds of East Africa : | a novel / | $c: Nicholas Drayson.,2009,m,high_male,87.7141687620607
umn.31951002087402u,"Hutchinson, Horace G.",'Bert Edward the Golf Caddie,1903,m,,80.69467590562232
osu.32435053573192,"Fischer, Leonard.",Let out the beast / | $c: by Leonard Fischer.,1950,m,mixed,80.39662334181965
mdp.39015046013309,"Smith, Rupert.",I must confess / | $c: Rupert Smith.,1998,m,,78.48677497841614
inu.39000004449364,Firdawsī.,A Persian hero,1922,u,high_male,78.28197166192626
mdp.39015003941591,"Glanville, Brian.",The dying of the light / | $c: [by] Brian Glanville.,1976,m,,77.68156771761197
mdp.39015003941732,"Glanville, Brian.","A bad streak, and other stories.",1961,m,,77.33952049497293
uc2.ark:/13960/t9v11ww43,,The story of Jack and the giants,1851,m,high_male,77.04160246533128
uc1.32106007797985,"Allbeury, Ted.",The secret whispers / | $c: Ted Allbeury.,1983,m,high_male,76.32104795737122
inu.32000011401025,"Lyulph,",Shakespeare,1899,u,,75.89256252887218
mdp.39015038922673,"Williams, Allan.",The man who gave the Beatles away / | $c: Allan Williams and William Marshall.,1975,m,high_male,71.85087863360158
mdp.39015064729026,"Yokomori, Rika,",Tokyo tango / | $c: Rika Yokomori,2006,u,,70.24976493347887
uiuo.ark:/13960/t0ks77w06,"Monro, Theodore Russell.",County versus counter,1878,m,,70.06697578567749
mdp.39015049623997,"Padfield, Fiona.",Strip ; Snapshots / | $c: Fiona Padfield.,2000,f,high_female,69.69645990050229
mdp.39015030739778,"De Polnay, Peter,",The moon and the marabou stork.,1973,m,,66.60832995938198
uc1.$b794734,"Forster, Peter,",The primrose path.,1955,m,,65.29826701836085
inu.30000107641973,"Baker, Carleen.",Hate loves games / | $c: Carleen Baker.,2006,f,high_female,63.55679726705772
mdp.39015030701141,"Kersh, Gerald,",Night and the city.,1946,m,,62.75338744436829
uc1.b4381825,"Gill, Brendan,",Ways of loving.,1974,m,mixed,62.19198477238676
inu.30000125114375,"Jones, Nina.",Bush town blues : | a '70s African tale / | $c: Nina Jones.,2007,f,mixed,62.19039996538969
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,61.00536847242557
uc1.b3346916,"Fitzgerald, Kevin.","Kill him gently, nurse : | a story for a journey / | $c: Kevin Fitzgerald.",1966,m,high_male,60.96455817172233
mdp.49015000927757,"Squire, Roger.",Wizards and wampum; | legends of the Iroquois. | $c: Retold by Roger Squire. Illustrated by Charles Keeping.,1973,m,high_male,59.64045326744483
inu.30000011401092,"Johnson, B. S. (Bryan Stanley),",Travelling people / | $c: B.S. Johnson.,1963,m,,59.62792176816664
uc1.$b312587,"Stewart, Leone.",Sins of the son.,1954,f,,59.39571317896186
mdp.39015049548467,"Edric, Robert,",The sword cabinet / | $c: Robert Edric.,1999,m,,59.03950111621557
mdp.39015014603172,"Chodzko, Alexander,",Fairy tales of the Slav peasants and herdsmen,1896,f,mixed,58.69640617913076
uiuo.ark:/13960/t00z7tx5j,"Wilkins, W. H.",The holy estate,1895,m,high_female,57.00101130826515
mdp.39015037447334,"Mount, Ferdinand,",The liquidator / | $c: Ferdinand Mount.,1995,m,,56.86756295668408
inu.30000039204940,"Moorhouse, Frank.",Grand days / | $c: Frank Moorhouse.,1993,m,high_female,55.171008907995976
mdp.39015049862678,"Kennaway, James,",Silence.,1972,m,mixed,55.16614745586708
