htid,author,title,year,authgender,female_category,home
uc1.32106015045849,"Daoud, Hassan",The house of Mathilde / | $c: Hassan Daoud ; translated from the Arabic by Peter Theroux,1999,m,high_female,348.7551658098982
uc1.b3579008,"Borrow, George,",The story of Tim;,1913,m,high_male,243.90243902439025
inu.30000056655057,"Mahlobo, Si.",Pinkie of White City / | $c: Si Mahlobo.,1996,m,high_female,222.0483430964113
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,high_male,204.047868526995
mdp.39015058209969,"Cross, Neil.",Always the sun / | $c: Neil Cross.,2004,m,high_male,198.60973187686196
uc1.$b243945,"Norris, Kathleen Thompson,","The Callahans and the Murphys, | $c: by Kathleen Norris;",1924,f,high_female,192.4106415498367
mdp.39015061161264,"Gibson, Miles.",Vinegar soup / | $c: Miles Gibson.,1987,m,,191.4281672874723
mdp.39015013115574,"Bates, H. E. (Herbert Ernest),","The triple echo, | $c: by H. E. Bates; drawings by Ron Clarke,",1970,m,,190.78305846440836
uc1.32106016400241,"Kurkov, Andreĭ",Death and the penguin / | $c: Andrey Kurkov ; translated from the Russian by George Bird,2001,u,,185.09761534824023
wu.89009593054,"Vik, Bjørg,",Out of season and other stories / | $c: Bjørg Vik ; translated by David McDuff and Patrick Browne.,1983,u,high_female,184.83364971525626
mdp.39015082743819,"Weisgarber, Ann.",The personal history of Rachel DuPree / | $c: Ann Weisgarber.,2008,f,,181.85342798327318
nyp.33433075728547,"Fletcher, J. S.",The making of Matthias,1898,m,high_male,180.69907956406348
uc1.$b252103,"Nash, Mary,","The even temperature in the cave, | and other stories.",1964,f,high_female,178.30962475730078
mdp.39015004192962,"Trevor, William,",Lovers of their time : | and other stories / | $c: William Trevor.,1978,m,,174.40634762443221
uc1.$b389713,"Davies, Rhys,",Nobody answered the bell.,1971,m,high_female,172.7436521351487
mdp.39015024534706,"Potter, Beatrix,",The roly-poly pudding,1908,f,mixed,172.41379310344828
mdp.39015062631083,"Mehran, Marsha,",Pomegranate soup / | $c: Marsha Mehran.,2005,f,mixed,163.92568702188342
mdp.39015024030150,"(Cyril Lionel Robert), James, C. L. R.",Minty Alley / | $c: by C.L.R. James ; with an introduction by Kenneth Ramchand.,1971,m,mixed,163.77296257272437
uc1.32106017248482,,Further up in the air / | $c: Will Self ... [et al.],2003,u,high_male,162.06096845399424
njp.32101068174737,"Jameson, Margaret.",Training,1887,f,high_female,161.81924933052656
inu.30000110625906,"Rusbridge, Jane.",The devil's music / | $c: Jane Rusbridge.,2009,f,,161.73251020689926
mdp.39015041189070,"Tennant, Emma.",Alice fell / | $c: Emma Tennant.,1980,f,high_female,161.4039206479634
uc1.b3815024,"Arnott, Kathleen.","Ayo, an African schoolgirl.",1951,f,high_female,159.1144932549291
mdp.39015024986732,"Poliakoff, Stephen,",Close my eyes / | $c: Stephen Poliakoff.,1991,m,high_female,157.9778830963665
mdp.39015048719069,"Oyegoke, Lekan.",Laughing shadows / | $c: Lekan Oyegoke.,1984,u,high_male,157.29828282707913
inu.30000121124410,"Hinde, Thomas,",Mr Nicholas / | $c: Thomas Hinde.,1980,m,,157.1171025994823
mdp.39015029191700,"Bolger, Dermot,",Emily's shoes / | $c: Dermot Bolger.,1992,m,high_female,156.4265229860085
uiuo.ark:/13960/t88g8zb4b,"Craik, Dinah Maria Mulock,",Mistress and maid,1863,f,high_female,156.0585730120763
wu.89092583749,"Toole, Millie.",Resurrection road / | $c: by Millie Toole.,1949,f,high_female,154.46334713491945
uc1.$b118705,"Hayes, Douglas.",My father in his Dizzerbell.,1968,m,high_female,154.43012397708083
mdp.39015012972769,"Trevor, William,",The news from Ireland & other stories / | $c: William Trevor.,1986,m,,145.66925310518292
uc1.$b284292,"Davies, Rhys,","A bed of feathers, | $c: by Rhys Davies; frontispiece wood-engraving by Lionel Ellis.",1929,m,,144.67372268331684
uc1.32106016004266,"Gibson, Miles,",Mr. Romance / | $c: by Miles Gibson,2002,m,high_female,143.81474710542352
inu.30000047574516,"Finlay, Ian Hamilton.","The sea-bed, | and other stories / | $c: Ian H. Finlay ; illustrations by Zeliko Kujundzic.",1958,m,high_female,141.53029632905793
mdp.39015029750851,"York, Carol Beach.",The blue umbrella. | $c: Illustrated by Gareth Floyd.,1969,f,high_female,141.42219965913623
mdp.39015019488579,"Scott, Mary.",Nudists may be encountered / | $c: Mary Scott.,1991,f,high_female,141.3452534497076
uc1.32106014483421,"Kristof, Agota",Yesterday / | $c: Agota Kristof ; translated from the French by David Watson,1997,u,,140.82419211384524
uc1.b2800726,"Ohlsson, Berndt.",Noah / | $c: Berndt Ohlsson ; translated from the Swedish by Joan Tate ; drawings by Douglas Hall.,1964,u,mixed,139.07807011255287
uc1.$b105031,"Royde-Smith, Naomi Gwladys.",Love and a birdcage.,1960,f,high_female,139.04019264950404
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,138.30087496471916
mdp.39015002272766,"Ellis, Alice Thomas.",The sin eater / | $c: Alice Thomas Ellis.,1977,f,high_female,138.00186142045638
mdp.39015034300999,"Gébler, Carlo,",The cure / | $c: Carlo Gébler.,1994,m,mixed,137.34639488452896
uc1.$b244070,"Oursler, Fulton,","Sandalwood, | $c: by Fulton Oursler ...",1925,m,high_female,136.9399310684392
mdp.39015039762805,"Sharp, Margery,",The gipsy in the parlour.,1953,f,high_female,136.39587538872826
mdp.39015050804718,"Virtue, Noel,",Lady Jean / | $c: Noel Virtue.,2001,m,high_female,135.95716648445602
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,135.8695652173913
mdp.39015032618541,"Habens, Alison,",Dreamhouse / | $c: Alison Habens.,1994,f,high_female,134.37886646509835
mdp.39015079338557,"Clarke, Carole Patti.",I wish you weren't my mummy / | $c: Carole Patti Clarke.,2008,f,,133.89285306075797
uc1.32106006760877,"Farrell, M. J.,",Time after time / | $c: Molly Keane.,1983,u,high_female,133.769322235434
mdp.39015014869237,"Ramondino, Fabrizia,",Althenopis / | $c: Fabrizia Ramondino ; translated from the Italian by Michael Sullivan.,1988,u,high_female,133.70035391270153
uc1.32106002032487,"McEwan, Ian.","In between the sheets, and other stories / | $c: Ian McEwan.",1978,m,,133.6605023240968
inu.30000093068512,"Mukherjee, Bharati.",Wife / | $c: Bharati Mukherjee.,1975,f,high_female,133.42406169528613
mdp.39015013268829,"Anthony, Michael,",The year in San Fernando. | $c: Introd. by Paul Edwards & Kenneth Ramchand.,1970,m,high_female,132.04980918802573
mdp.39015032154414,"Morazzoni, Marta,",His mother's house / | $c: Marta Morazzoni ; translated from the Italian by Emma Rose.,1994,f,high_male,130.20387185197876
mdp.39015034025968,"Germain, Sylvie,",The medusa child / | $c: Sylvie Germain ; translated from the French by Liz Nash.,1994,f,,130.1394035644962
uc1.32106012839574,"Davison, Philip,",The crooked man / | $c: Philip Davison,1997,m,mixed,129.73113222845652
mdp.39015040129085,"Ballard, J. G.,",High-rise / | $c: J. G. Ballard.,1975,m,,128.73326467559218
uc1.32106012504731,"Faller, Kevin.",Genesis / | $c: by Kevin Faller.,1953,m,,127.97761244966213
uc1.32106014480880,"Dunne, Catherine,",In the beginning / | $c: Catherine Dunne,1997,f,high_female,127.14019325309374
inu.32000003293752,"Bennett, Arnold,",Anna of the five towns.,1939,m,high_female,126.78358931014158
nyp.33433074928908,"Bennett, Arnold,",Anna of the five towns,1902,m,high_female,126.22936424306288
uc1.$b120267,"Blake, Katherine.",Are you trying to annoy me? | $c: [by] Katherine Blake.,1969,f,high_female,125.98689736267428
mdp.39015032231642,"Cowan, Andrew.",Pig / | $c: Andrew Cowan.,1994,m,,125.98080162131814
mdp.39015000550643,"Okoye, Ifeoma.",Behind the clouds / | $c: Ifeoma Okoye.,1982,u,high_female,125.89088103311742
mdp.39015021991370,"Virtue, Noel,",Always the islands of memory / | $c: Noel Virtue.,1991,m,,125.83582126378643
inu.30000055995835,"Verdelle, A. J.",This rain coming / | $c: A. J. Verdelle.,1995,f,,125.82715512949335
inu.30000009170220,"Jolley, Elizabeth,",Cabin fever / | $c: Elizabeth Jolley.,1991,f,high_female,125.47576226525577
mdp.39015019119463,"Trevor, William,",Mrs. Eckdorf in O'Neill's Hotel.,1969,m,,123.81632520566494
mdp.39015066643159,"Simenon, Georges,","The window over the way, | $c: translated from the French by Geoffrey Sainsbury.",1951,m,,123.4557091698698
uc1.32106005184848,"Fraser, Antonia,",A splash of red / | $c: Antonia Fraser.,1981,f,high_female,123.08345270306117
mdp.39015008364864,"Bates, H. E. (Herbert Ernest),",The fallow land.,1953,m,high_female,122.90747639509513
mdp.39015050763211,"Tennant, Emma.",The ballad of Sylvia and Ted / | $c: Emma Tennant.,2001,f,high_female,122.21265001101918
uc1.32106005037798,"Sharpe, Tom.",The wilt alternative / | $c: Tom Sharpe.,1979,m,mixed,121.95121951219512
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,121.16438978584195
mdp.39015040576186,"Smith, Drew",The circus / | $c: Drew Smith,1997,m,high_female,121.15173405495986
mdp.39015058255665,"Schonstein, Patricia.",A time of angels / | $c: Patricia Schonstein.,2003,f,,120.9207894186845
mdp.39015076147670,"Kāniṭakara, Hemanta,",Taking a chance / | $c: V.P. (Hemant) Kanitkar.,2008,u,high_female,120.83990844599877
mdp.39015014859816,"Tomelty, Joseph.",The apprentice; | the story of a nonentity.,1953,m,,120.66202027842311
inu.39000002585144,"Burley, W. J. (William John)",The schoolmaster : | a novel / | $c: by W. J. Burley.,1977,m,,120.30498093869133
uc1.b3486103,,"Anne Hughes, her boke / | $c: edited by Mollie Preston ; introduced by Michael Croucher ; linocuts by Tony Evora.",1981,u,,120.09816719753537
uc1.$b703650,"Marceau, Félicien,",By invitation only; | a novel. | $c: Translated from the French by Anthony Rhodes.,1955,u,,119.7689164435677
mdp.39015055858396,"Trevor, William,",The story of Lucy Gault / | $c: William Trevor.,2002,m,,119.23401180296278
uc1.b2850773,"Bullock, Lotte.",Aquarius Angel / | $c: by Lotte Bullock.,1970,f,mixed,118.79306248515087
mdp.39015061183839,"Alvtegen, Karin,",Betrayal / | $c: Karin Alvtegen ; translated from the Swedish by Steven T. Murray.,2005,f,,118.44351289524717
uc1.32106011483796,"Hegarty, Frances",Let's dance / | $c: Frances Hegarty,1995,f,mixed,118.39198317142525
uc1.b4439334,"Edwards, Page.",Staking claims : | stories / | $c: by Page Edwards.,1980,u,high_female,118.32593120886958
uc1.$b56322,"Booth, Edward Charles.",Miss Parkworth and three short stories.,1924,m,high_female,118.26055616250127
mdp.39015034316854,"Dilke, Caroline,",The sly servant / | $c: [by] Caroline Dilke.,1975,f,high_female,117.91680314444808
inu.39000004492240,"Akoji, Richard,",Teardrops at sunset / | $c: Richard Akoji.,1984,m,mixed,117.81498515984322
mdp.39015001056889,"Mason, Anita.",Bethany : | a novel / | $c: by Anita Mason.,1981,f,high_male,117.63774361758685
inu.30000027170517,"Miss. Read,",Christmas at Fairacre / | $c: Miss Read ; illustrated by John S. Goodall.,1991,m,high_female,117.54516208859194
uc1.32106015673079,"Karason, Einar",Devil's island / | $c: Einar Karason,2000,m,,117.47430249632893
mdp.39015067677479,"Dunlop, Margaret.",Water for tea / | $c: Margaret Dunlop.,2005,f,high_female,117.34658659487816
mdp.39015068801581,"Tennant, Emma.",Confessions of a sugar mummy / | $c: Emma Tennant.,2007,f,mixed,117.29676080483624
mdp.39015055080876,"Charry, Brinda.",The hottest day of the year / | $c: Brinda Charry.,2001,f,high_female,117.2646740169524
uc1.$b784346,"Campbell, Patrick,",Rough Husbandry / | $c: Patrick Campbell ; drawings by Quentin Blake.,1965,m,,117.22488038277513
mdp.39015004124171,"Trevor, William,",The ballroom of romance and other stories. -,1972,m,high_female,117.2086313638276
mdp.39015019360232,"Jones, Glyn,",Selected short stories.,1971,m,,117.03494510806651
uc1.32106016492172,"Clement, Jennifer",A true story based on lies / | $c: Jennifer Clement,2001,f,high_female,117.00819057334013
mdp.39015062402501,"Dagerman, Stig,",The games of night. | $c: Translated by Naomi Walford.,1959,u,,116.70936521491602
inu.30000110628447,"Clews, Alan,",The bay of Naples / | $c: Alan Clews.,2009,m,,116.69230361215722
uc1.$b795402,"Lindsay, Norman,","Redheap, | $c: by Norman Lindsay.",1930,u,,116.33656167291976
mdp.39015056488870,"De la Bere, Imogen.",The welcoming committee / | $c: Imogen De la Bere.,2002,u,high_male,115.84903978968944
uc1.$b252060,"Nzekwu, Onuora,",Highlife for lizards | $c: [by] Onuora Nzekwu.,1965,u,high_male,115.59727580395817
mdp.39015050681363,"De Carlo, Andrea,",The cream train / | $c: Andrea de Carlo ; translated by John Gatt.,1987,f,high_female,115.58865041125225
uc1.$b176726,"Volpini, Flora.","Yes, madam / | $c: by Flora Volpini ; translated from the Italian by Arthur Oliver.",1964,f,high_female,115.50243559483755
mdp.39015060383612,"Rendell, Ruth,",Thirteen steps down / | $c: Ruth Rendell.,2004,f,mixed,115.1076913568802
mdp.39015005572584,"Sandeman, Phyllis Elinor.",Treasure on earth / | $c: by Phyllis Elinor Sandeman ; illustrated by the author.,1981,f,high_female,114.90620780787683
mdp.39015022266798,"Bedford, William.",All shook up / | $c: William Beford.,1992,m,mixed,114.48738012961232
uiuo.ark:/13960/t8qc0pt9p,"Wood, Henry,",The house of Halliwell,1890,f,high_female,114.464832881344
mdp.39015029579920,"Ireland, Timothy.",A time to burn / | $c: Timothy Ireland.,1992,m,high_male,113.88119421360419
mdp.39015054064426,"Himes, Chester B.,",The heat's on | $c: [by] Chester Himes.,1966,m,,112.86996265537039
