htid,author,title,year,authgender,female_category,park
uc1.$b120393,"Forster, Margaret,",The park.,1968,f,high_female,171.5889133375053
mdp.39015062628295,"Haig, Matt,",The last family in England / | $c: Matt Haig.,2005,m,,148.97536788955352
uc1.32106015045849,"Daoud, Hassan",The house of Mathilde / | $c: Hassan Daoud ; translated from the Arabic by Peter Theroux,1999,m,high_female,90.71666162685213
mdp.39015082746192,"Simms, Chris,",Savage moon / | $c: Chris Simms.,2007,m,high_male,84.76111131234832
uc1.b3562480,"Ford, Ford Madox,",Christina's fairy book / | $c: by Ford Madox Ford ; illustrated by Jennetta Vise.,1949,m,mixed,81.9480215406228
uc1.b3550026,"Sherwood,",The heron's plume,1840,f,,80.66684592632429
uiuo.ark:/13960/t5j96nw7d,Lady.,Julia de Vienne,1811,m,high_female,76.23888182973316
mdp.39015040572268,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Guido Waldman.,1997,m,high_male,75.1201923076923
mdp.39015013278679,"Anthony, Michael,",The games were coming / | $c: Michael Anthony ; introductin by Kenneth Ramchand ; study questions by Jean D'Costa.,1977,m,mixed,73.99055739553238
wu.89099048308,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Guido Waldman.,1998,m,high_male,73.88798581350673
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,72.90587467863858
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,72.89538553026597
inu.30000092858632,"Wigley, Anna.",Footprints / | $c: Anna Wigley.,2004,f,,71.80297264306742
uc1.32106018993359,"Baricco, Alessandro,",Silk / | $c: Alessandro Baricco ; translated from the Italian by Ann Goldstein,2006,m,high_male,71.39578764852874
mdp.39015049638961,"Ballard, J. G.,",Super-Cannes / | $c: J.G. Ballard.,2000,m,mixed,70.60302039721259
mdp.39015080896494,"Nicholson, Geoff,",Gravity's Volkswagen / | $c: Geoff Nicholson.,2009,m,high_male,67.0690811535882
uiuo.ark:/13960/t49p3jr5m,Lady.,Julia de Vienne,1811,m,high_female,66.96353835336659
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,65.47300908605024
inu.30000110612037,"Gramich, Johannes,",The bridge over the river / | $c: Johannes Gramich.,2008,m,high_female,63.99122406070025
uc1.32106002184684,"Rechy, John",City of night / | $c: John Rechy,1964,m,,63.595008651212886
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,62.75028808086801
mdp.39015000607815,"Raworth, Tom.",A serial biography.,1969,m,high_male,61.9338855771464
mdp.39015028411851,"Salkey, Andrew.",Riot / | $c: Andrew Salkey ; illustrated by William Papas.,1967,m,mixed,59.401663246570905
mdp.39015065250717,"James, G. P. R.",Charles Tyrrell;,1839,m,,58.6928268980841
mdp.39015031886198,"Alverdes, Paul,","The whistlers' room, | $c: by Paul Alverdes.",1929,m,high_male,57.82017924255565
mdp.39015053541481,"Jullian, Philippe.",Chateau-Bonheur / | $c: Philippe Jullian ; translated from the French by Edward Hyams.,1962,m,,57.80005897965202
mdp.39015030051570,"James, G. P. R.",The gipsy;,1835,m,,57.30316958156748
uc1.b3272210,"Dubkin, Leonard,",The murmur of wings | $c: [by] Leonard Dubkin. Illustrations by Susanne Suba.,1944,m,,56.75264998260806
uiuo.ark:/13960/t4sj24q1v,,True to the life,1868,u,,54.417730285940436
mdp.39015064913356,"Tennant, Emma.",Pemberley revisited / | $c: Emma Tennant.,2005,f,high_female,53.90667114586833
njp.32101076479003,"Balzac, Honoré de,",Comedy of human life,1887,f,high_male,53.12775529581986
mdp.39015053499847,"Ballard, J. G.,",The atrocity exhibition / | $c: J. G. Ballard.,1969,m,,52.827470284547964
inu.30000092837644,"Leith, Prue.",A lovesome thing / | $c: Prue Leith.,2004,u,,51.847343387209484
uiuo.ark:/13960/t0dv1sk2m,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,51.62089613875697
uc1.32106018777273,"Mason, Simon,",Lives of the dog-stranglers / | $c: Simon Mason,1998,m,,51.003727195448896
uiuo.ark:/13960/t02z1gm85,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,50.974635021613246
mdp.39015013157121,"Dressler, Friedrich August.",Moltke in his home,1907,m,high_male,50.51847912789152
wu.89006405088,"Orczy, Emmuska Orczy,",The nest of the sparrowhawk,1909,f,,50.05779399852557
uc1.$b190276,"Bosco, Henri,",The dark bough. | $c: Translated from the French by Mervyn Savill.,1955,m,,49.405699556064725
uc1.32106014861121,"Dunn, Suzannah,",Commencing our descent / | $c: Suzannah Dunn,1999,f,,49.27181936192994
inu.30000055971174,"Scott-Heron, Gil,",The vulture / | $c: Gil Scott-Heron.,1996,m,,49.24415941365094
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,49.16201117318436
mdp.39015059415706,"James, G. P. R.",The convict;,1847,m,,48.84120306911818
uc1.$b259846,"Codet, Louis,",The fortunes of Bécot. | $c: Translated from the French by Anthony Bower. With an introd. by Thérèse Mayer.,1954,m,mixed,47.91375524056698
uiuo.ark:/13960/t4fn1v66s,"James, G. P. R.",The fate,1851,m,mixed,47.87634224745229
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,46.403712296983755
inu.32000002543405,"Thomas, Dylan,",Selected writings [of] Dylan Thomas; | $c: edited by J. P. Harries.,1970,m,mixed,46.06172270842929
mdp.39015034275845,"McLean, Duncan,",Blackden / | $c: Duncan McLean.,1994,m,mixed,46.00186307545456
uiuo.ark:/13960/t77s8c83f,"Wilkins, W. H.",The holy estate,1895,m,high_female,45.756538609367276
mdp.39015064708152,"Haig, Matt,",The dead fathers club / | $c: Matt Haig.,2006,m,mixed,45.33502584096473
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,45.328544779372024
uiuo.ark:/13960/t7wm1w549,"Pickering, Percival,",A life awry,1893,f,high_female,45.15152319991501
uc1.$b800681,"Gratus, Jack.",A man in his position.,1968,m,,45.02689764675214
uiuo.ark:/13960/t82j72z1n,"Tabor, Eliza.",Hope Meredith,1874,f,high_female,44.960418774186294
mdp.39015050246019,"Broady, Bill.",Swimmer / | $c: Bill Broady.,2000,m,mixed,44.74539868150225
mdp.39015053531292,"De Bernières, Louis.",Red dog / | $c: Louis De Bernières.,2001,m,,44.24079633433402
mdp.39015030700333,"Kitchin, C. H. B. (Clifford Henry Benn),","A short walk in Williams Park, | $c: by C. H. B. Kitchin; with a foreword by L. P. Hartley.",1971,m,,43.62665845458978
uc1.32106017009819,"Berti, Eduardo,",Agua / | $c: Eduardo Berti ; translated from the Spanish by Alexander Cameron and Paul Buck ; with an afterword by Alberto Manguel,2003,m,,43.6067638935995
mdp.39015073248778,"Harcourt-Smith, Simon.","The last of Uptake, or, The estranged sisters / | $c: by Simon Harcourt-Smith ; illustrated by Rex Whistler.",1942,m,high_female,43.535045711798
nyp.33433074929146,"Bowen, Marjorie,",A moment's madness;,1908,f,high_male,43.48857436546216
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,43.44355873468109
mdp.39015005572584,"Sandeman, Phyllis Elinor.",Treasure on earth / | $c: by Phyllis Elinor Sandeman ; illustrated by the author.,1981,f,high_female,43.089827927953806
mdp.39015082684104,"Forbes, Elena.",Our lady of pain / | $c: Elena Forbes.,2008,f,,42.932422981310545
mdp.39015011501684,"Desai, Anita,",Games at twilight ; and other stories / | $c: Anita Desai.,1978,f,high_male,42.902443573960085
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,42.80492085370134
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,42.667316835304156
njp.32101064382888,"Tharp, Theodore A.",The sword of Damocles,1880,m,mixed,42.289258528333804
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,41.69988348561967
