htid,author,title,year,authgender,female_category,shops
mdp.39015008794425,"Brecht, Bertolt,",Threepenny novel. | $c: Translated by Desmond I. Vesey. Verses translated by Christopher Isherwood.,1972,u,,248.27274058493856
inu.39000004090481,"Swift, Graham,",The sweet shop owner / | $c: Graham Swift.,1983,m,,223.33285045149452
uc1.b3475735,"Harvey, J. R. (John Robert)",The plate shop / | $c: [by] John Harvey,1979,m,high_male,220.93053838668104
mdp.39015058342216,"Ketlinskai͡a, V.",Days of our life | $c: [tr. by A. Bostock],1956,u,mixed,219.59001252954778
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,208.1165452653486
mdp.39015025200398,"Dibba, Ebou.",Fafa : | an idyll on the banks of a river : a novel / | $c: by Ebou Dibba.,1989,u,mixed,207.75892198361228
uc1.b3726483,"Dibba, Ebou.",Fafa : | an idyll on the banks of a river : a novel / | $c: by Ebou Dibba.,1989,u,mixed,207.15557964841634
mdp.39015035763963,"(Vasiliĭ), Ilʹenkov, V.",Driving axle; | a novel of socialist construction.,1933,u,high_male,186.57629013661298
uc1.b3473131,"Selvon, Samuel.",Turn again tiger / | $c: Samuel Selvon ; introd. and study questions by Sandra Pouchet Paquet.,1979,m,high_male,173.5550532773652
uc1.$b244761,"Strong, L. A. G. (Leonard Alfred George),",Deliverance.,1955,m,mixed,167.3773562348065
uiuo.ark:/13960/t0cv5585s,"Robinson, F. W.",Mattie,1864,m,mixed,166.0427924319443
uc1.b3435455,"Khanna, Balraj.","Nation of fools, or, Scenes from Indian life / | $c: Balraj Khanna.",1984,u,high_male,165.3425133757854
mdp.39015059404098,"Evans, Caradoc.",My neighbours,1919,m,mixed,156.68660068419817
uiuo.ark:/13960/t9f48648v,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,154.12860672272717
uc2.ark:/13960/t0tq5tn4r,"Douie, Marjorie.",The pointing man,1917,f,high_male,153.84108216212653
uc2.ark:/13960/t0dv1fp6r,"Acorn, George.",One of the multitude,1911,m,high_male,146.8186542173246
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,135.72891025788493
uc1.$b176021,"Palumbo, Nino,",Tomorrow will be better / | $c: Nino Palumbo ; translated by Isabel Quigly.,1965,m,mixed,132.31688072058074
mdp.39015005584464,"Totovents, Vahan,","Tell me, Bella: | a selection of stories; | $c: compiled and translated from the Armenian [MSS.] by Misoha Kudian. -",1972,u,,132.20163623474411
wu.89004716627,"Ervine, St. John G.",Mrs. Martin's man,1914,m,high_female,131.3996496009344
uc1.$b244144,"Murry, John Middleton,","The voyage, | $c: by John Middleton Murry.",1924,m,,128.52875107107292
uc1.$b252534,"Everett, Peter.",Negatives / | $c: by Peter Everett.,1964,m,high_female,128.25155410706742
mdp.39015030945532,"Anthony, Michael,",Cricket in the road.,1973,m,,128.01874715212531
nyp.33433074795414,"Rider, Dan,",Adventures with Bernard Shaw,1907,u,high_male,127.0863339828857
mdp.39015064809968,"Sicking, Anja,",The silent sin / | $c: by Anja Sicking ; translated from the Dutch by David Colmer.,2006,f,high_male,125.2845370648127
mdp.39015050740557,"Sarif, Shamim.",The world unseen / | $c: Shamim Sarif.,2001,u,high_female,122.98159969958694
