htid,author,title,year,authgender,female_category,transit
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,756.6204287515762
mdp.39015006100492,,A Book of railway journeys / | $c: compiled by Ludovic Kennedy.,1981,u,,687.816971012849
mdp.39015064331484,"Williams, Herbert Darkin,","The steel highway, a romance of the railway, | $c: by Herbert D. Williams.",1925,m,high_male,570.6325180164492
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,543.511637904563
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,418.90583797857073
mdp.39015047594034,,The Penguin book of Indian railway stories / | $c: edited by Ruskin Bond.,1994,u,high_male,408.277833065401
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,387.84985735329764
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,378.01101861905335
mdp.39015020727973,"Francis, Dick.",The edge / | $c: Dick Francis.,1988,m,,371.7998390605907
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,359.7591178080763
mdp.39015030855764,"Bayley, Victor,",Indian artifex. | $c: Woodcut decorations by P. Youngman Carter.,1939,m,high_male,351.4122125841925
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,337.17516442096894
uc1.b3752270,"Simenon, Georges,",The train. | $c: Translated from the French by Robert Baldick.,1964,m,high_female,327.38409546942654
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,324.22793223636216
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,322.75943011769306
mdp.39015077638164,"Marston, Edward.",Murder on the Brighton Express / | $c: Edward Marston.,2008,m,,302.2980719651397
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,292.6639888907139
uc2.ark:/13960/t1gh9f65g,"Littlefair, Mary.",An English girl's adventures in hostile Germany,1915,f,mixed,270.31650983746795
uc1.$b322906,"Aiken, Conrad,",A heart for the gods of Mexico.,1939,m,high_female,268.91841015435915
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,267.3340538080883
uc1.32106016706043,"Buĭda, I͡Uriĭ",The zero train / | $c: Yuri Buida ; translated and with an afterword by Oliver Ready,2001,u,high_male,262.02398975195064
uc1.$b83911,"Bayley, Victor,","Permanent way through the Khyber, | $c: by Victor Bayley.",1934,m,high_male,258.53390683627714
pst.000049380361,"Jewesbury, Daniel.",Lived between lines / | $c: Daniel Jewesbury.,2001,m,,246.87874726669958
inu.30000003994732,"Morley, Des.",Children of fear / | $c: Des Morley.,1990,u,high_male,244.47570683502607
uiuo.ark:/13960/t55d9b38m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,240.2431069320478
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,237.39435951001803
mdp.39015008009964,"Wain, John.",A winter in the hills.,1970,m,,236.80171000172885
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,228.279134652984
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,226.23400365630712
uc1.b3762859,"Japrisot, Sébastien,",The 10:30 from Marseille. | $c: Translated by Francis Price.,1964,u,,226.21103213802888
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,223.47897473319347
mdp.39015008442041,"Wain, John.",The smaller sky / | $c: John Wain.,1967,m,high_male,223.05705564686545
mdp.39015035917627,"Jecchinis, Chris.","Beyond Olympus; | the thrilling story of the ""train-busters"" in Nazi-occupied Greece. | $c: With a foreword by C. M. Woodhouse.",1960,m,,220.2517162471396
uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,218.5163887291547
mdp.39015063583309,"Southerns, Leonard.",An outline of relativity ...,1923,m,high_male,217.84428869103996
mdp.39015029533471,"Drevet, Patrick,",La micheline / | $c: Patrick Drevet ;translated by James Kirkup.,1993,m,high_female,217.29928037251304
uc1.$b105776,"McDonell, Gordon,",Burning secret / | $c: Gordon McDonell.,1959,m,,213.0673895340406
mdp.39015053482330,"Rees, David,",Out of the winter gardens / | $c: David Rees.,1984,m,,210.64396870432466
mdp.39015058264964,"Baricco, Alessandro,",Lands of glass / | $c: Alessandro Baricco.,2003,m,high_male,210.47771652046387
mdp.39015066053714,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,208.8187453290544
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,207.99718592042578
mdp.39015000630858,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,206.13754148954754
mdp.39076005032920,"Christie, Agatha,",Murder on the Orient express.,1968,f,,199.23295313044778
mdp.39015014612710,"Blyton, Enid.",The big Noddy book / | $c: by Enid Blyton.,1959,f,mixed,199.16711931921057
mdp.39015062063501,"Haddon, Mark.",The curious incident of the dog in the night-time / | $c: Mark Haddon.,2003,m,high_female,198.9968378584669
uc1.b3148809,"Kellermann, Bernhard,",The tunnel / | $c: by Bernhard Kellerman.,1936,u,mixed,198.03054553346175
mdp.39015000618754,"Greene, Graham,",The collected edition.,1970,m,,197.6631819379777
inu.32000000359739,"Greene, Graham,","Stamboul train, | $c: by Graham Greene.",1932,m,mixed,196.48997454561695
uc2.ark:/13960/t55d8sb4t,"Price, Julius M.",On the path of adventure,1919,m,high_male,195.2627557517616
mdp.39015011956490,"MacHarg, William Briggs,",The blind man's eyes,1916,m,mixed,194.99982969447188
mdp.39015033585244,"Strati, Saverio,",The lights of Reggio. | $c: Translated from the Italian by Angus Davidson.,1965,m,,192.68672962080427
uc1.32106005226854,"Avery, Gillian,",The lost railway / | $c: Gillian Avery.,1980,f,,190.81900383806405
uc2.ark:/13960/t78s4p168,"Bone, Gertrude,",Mr. Paul,1921,f,,189.91468012131864
uc1.$b479444,"Hámori, Laszlo,",Dangerous journey. | $c: Translated from the Swedish by Annabelle MacMillan. Illustrated by W.T. Mars.,1963,u,high_male,187.6517021233198
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,185.01007277062862
