htid,author,title,year,authgender,female_category,urban_metric_global_frac
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,6.806406324656848
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,5.333195990228278
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,5.241081700049589
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,5.057813044396
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,4.4915827115794364
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,4.392699877515781
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,4.219877172092212
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,4.182379254447673
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,4.092743731686578
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,4.04789973950749
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,3.983896499892829
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,3.6548941223613993
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,3.5379894008438937
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,3.5342631351504172
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,3.450899688658007
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,3.4422539778073387
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,3.3580874943117944
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,3.3230002499653293
mdp.39015030742483,"Dornfeld, Iris.",Boy Gravely.,1965,f,high_male,3.2792706089751693
inu.30000060703083,"Ajima, Maria,",The web : | a collection of short stories / | $c: Maria Ajima.,1997,f,mixed,3.2054464699973453
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.205243966990159
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,3.184312805756132
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,3.1599683766234223
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,3.1506162317266138
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,3.142662673725759
uc1.32106011414197,"Simenon, Georges,",Madame Maigret's friend / | $c: Georges Simenon ; translated from the French by Helen Sebba,1967,m,high_male,3.1425315768867796
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,3.113515200499821
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,3.1068824576478646
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,3.0677281394232665
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,3.0535959241518347
njp.32101067301109,"Hamilton, Cosmo,",The infinite capacity,1910,m,,3.0349638342557332
mdp.39015030736170,"Caine, Jeffrey,",The cold room / | $c: by Jeffrey Caine.,1976,m,high_female,2.991757749695187
mdp.39015025221246,"Crace, Jim.",Arcadia / | $c: Jim Crace.,1992,m,,2.9691548968474026
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,2.9432339080867678
mdp.39015049678942,"Mathur, Anurag.",Scenes from an executive life / | $c: Anurag Mathur.,2000,u,high_male,2.939778683124479
uc1.b4392665,"Verma, Nirmal,",The world elsewhere : | and other stories / | $c: by Nirmal Verma.,1988,u,,2.937957036716613
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,2.9378149714586645
uc2.ark:/13960/t2891453n,"Lancaster, Percival.",Chaloner of the Bengal Cavalry,1915,m,high_male,2.9327997235759655
mdp.39015015527248,"Ashford, Kent.",The Singalong tribe / | $c: Kent Ashford.,1986,m,,2.926194126160107
njp.32101068551595,"Hugo, Victor,",History of a crime,1877,m,high_male,2.906776958697141
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,2.895834750803308
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,2.8902701771258337
uc1.$b56595,"Galbraith, Winifred.",Men against the sky / | $c: by Winifred Galbraith.,1940,f,,2.8830455681964073
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,2.8619988730260895
uc1.b3898302,"Beechey, Winifred.",The rich Mrs. Robinson / | $c: by Winifred Beechey : illustrated by Mary P. Taylor.,1984,f,high_female,2.855814712991399
uc1.b4948960,"Moore, Brian,",The temptation of Eileen Hughes / | $c: Brian Moore.,1981,m,high_female,2.8518170478037184
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,2.83691329952576
mdp.39015010944059,"Barea, Arturo,",The clash. | $c: Translated from the Spanish by Ilsa Barea.,1946,u,high_male,2.8288797813903335
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,2.8119578151131983
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,2.805033736967224
uiuo.ark:/13960/t13n2sh8d,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,2.804317568054387
uiuo.ark:/13960/t8z89xh0r,"Collins, Wilkie,",Basil,1852,m,,2.803435002848433
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,2.7882015953586357
uc1.32106018341088,"Prinz, Martin,",On the run / | $c: Martin Prinz ; translated by Mike Mitchell,2005,m,high_male,2.7762591934540195
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,,2.776042463204961
pst.000049849950,,The Time Out book of Paris short stories / | $c: edited by Nicholas Royle.,1999,u,,2.7681519134940658
uc1.32106019093969,"Stanley, Oliver",Hotel Victoire / | $c: Oliver Stanley,2007,m,,2.744742781178803
mdp.39015013518900,"Simenon, Georges,",The night-club / | $c: Georges Simenon ; translated from the French by Jean Stewart.,1979,m,high_female,2.7364085104789893
mdp.39015055183043,,Glasgow kiss : | a collection of the best short stories from Glasgow's writing groups.,2001,u,,2.729473339443422
mdp.39015020711639,"Schulz, Bruno,","Cinnamon shops, and other stories. | $c: Translated from the Polish by Celina Wieniewska.",1963,m,,2.7211311494089414
uc1.b3634960,"Weiss, Peter,",Leavetaking [and] Vanishing point; | $c: translated by Christopher Levenson.,1966,m,,2.7006604818940145
uc1.$b193205,"Morris, Ira J.",My East was gorgeous,1958,m,,2.6932277803800435
