htid,author,title,year,authgender,female_category,walking
uc1.b3331888,,The brother and sister,1852,u,high_male,485.43689320388347
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,389.75501113585744
uc1.b3346079,"Blight, Leslie,",Love and idleness.,1958,m,,374.9470840808757
uc1.32106014786138,"Wurlitzer, Rudolph",Quake / | $c: Rudolph Wurlitzer,1995,m,mixed,338.5197645079899
mdp.39015030140290,"Booth, Martin.",On the death of Archdeacon Broix.,1971,m,high_male,317.25888324873097
mdp.39015034434301,"Jordan, Neil,",Sunrise with sea monster / | $c: Neil Jordan,1994,m,high_male,292.71862422246613
mdp.39015032979653,"MacKenna, John.",Clare : | a novel / | $c: John MacKenna.,1993,m,high_male,291.91321499013804
uc1.$b117555,"Chiang, Yee,",The silent traveller; | a Chinese artist in Lakeland ... | $c: by Chiang Yee ... With a preface by Herbert Read.,1938,m,high_male,284.0800030711352
uc1.32106017921815,"Dickson, Jack",Oddfellows / | $c: Jack Dickson,1997,m,high_male,281.70285765879646
uc1.32106013744492,"Jordan, Neil,",Collected fiction / | $c: Neil Jordan,1997,m,,264.02932348017197
inu.30000043459589,"Adyeeri, Mugarra,",Cherished dreams / | $c: Mugarra Adyeeri.,1994,u,,250.56851680282995
mdp.39015048860822,"Thomas, Ruth,",The dance settee and other stories / | $c: Ruth Thomas.,1999,f,high_female,248.271184798537
uc1.b3347023,"Powys, Theodore Francis,",The dewpond : | a story / | $c: by T. F. Powys.,1928,m,,243.20457796852648
mdp.39015019131450,"Hoffman, Alice.",Property of : | a novel / | $c: by Alice Hoffman.,1978,f,high_male,242.51177529397816
mdp.39015038071356,"Minco, Marga.",The glass bridge / | $c: Marga Minco.,1988,f,high_female,233.0097087378641
uc1.$b302082,"Muir, Edwin,",The marionette / | $c: by Edwin Muir.,1927,m,high_male,232.17152029351067
uc1.$b137097,"Rytter, Jørgen.",Autumn crocus; | a novel. | $c: [Translated from the Danish by Maurice Michael],1963,u,high_male,229.00763358778627
mdp.39015030737657,"Dick, Kay.",They : | a sequence of unease / | $c: Kay Dick.,1977,f,,226.8771755345599
mdp.39015061380930,"Hart, Maarten 't,",Bearers of bad tidings : | a story of father and son / | $c: by Martin Hart ; translated by J. W. Arriens.,1984,m,high_male,223.93407380867072
mdp.39015002711391,"Powys, Theodore Francis,",Uriah on the hill / | $c: by T.F. Powys.,1930,m,mixed,223.6802863107665
uc1.$b120267,"Blake, Katherine.",Are you trying to annoy me? | $c: [by] Katherine Blake.,1969,f,high_female,221.73693935830673
