htid,author,title,year,authgender,female_category,female_fraction
mdp.39015015407326,"James, M. R.",The five jars,1922,u,high_female,1.0
coo.31924003623588,"Crowder, Dorothy Elizabeth.",The flying nation. | $c: Illustrated by Helen Haywood.,1952,f,high_female,1.0
mdp.39015008013065,"Vesaas, Tarjei,",The bridges; | $c: translated from the Norwegian by Elizabeth Rokkan.,1969,m,high_female,1.0
mdp.39015063559390,"Oliphant,",A little pilgrim in the unseen,1883,f,high_female,1.0
hvd.hn5cy1,"Budden, Maria Elizabeth,",Always happy,1837,f,high_female,1.0
njp.32101072859349,"Gide, André,",Prometheus illbound,1919,u,high_female,1.0
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,1.0
uc1.32106001758629,"Beckett, Samuel,",First love; | $c: translated from the original French by the author.,1973,m,high_female,1.0
nyp.33433074863964,"Grant-Forbes, G. A.",Another wicked woman,1895,u,high_female,1.0
uc1.$b792381,"Prior, Ann.",Mirror image.,1969,f,high_female,1.0
mdp.39015008790134,,The two brothers of different sex; | a story from the Chinese. | $c: [Translation of Tse-hiong-hoing-ti has been made from the French of Stanislas Julien by Frances Hume] Illustrated by Edy Legrand.,1955,u,high_female,1.0
nyp.33433075963979,"Long, Alice Mattie,",My lady beautiful,1906,f,high_female,1.0
njp.32101068150943,"Doyle, Arthur Conan,",The man from Archangel,1899,m,high_female,1.0
mdp.39015002713280,"Quin, Ann,",Passages : | a novel.,1969,f,high_female,1.0
mdp.39015027198657,"Galli de Bibiena, Jean,",The fairy doll (La poupée) | $c: Translated from the French of Jean-Galli de Bibiena by H.B.V. [Vyvyan Beresford Holland] With an introduction by Shane Leslie.,1925,f,high_female,1.0
mdp.39015064321436,"Snell, Joy",The ministry of angels here and beyond,1920,f,high_female,1.0
mdp.39015011242651,"Vesaas, Tarjei,",The ice palace / | $c: Tarjei Vesaas ; translated by Elizabeth Rokkan.,1966,m,high_female,1.0
uc2.ark:/13960/t8nc5wf3m,"Maeterlinck, Maurice,",Three plays. with introd. by H. Granville Barker,1911,m,high_female,1.0
uc1.31822033034182,"Shibli, Ahlam,",Lost time / | $c: Ahlam Shibli ; [edited by Jonathan Watkins],2003,u,high_female,1.0
uc2.ark:/13960/t7jq0x17x,"Price, A. J.",An angler's lines,1911,u,high_female,1.0
wu.89099759581,"Housman, Laurence,",A thing to be explained / | $c: by Laurence Housman ; illustrated by C.T. Nightingale.,1920,m,high_female,1.0
coo.31924003598400,"Fraser, Grace Lovat.","Doll making at home, | $c: by Grace Lovat Fraser.  With drawings by Helen Lovat Fraser.",1940,f,high_female,1.0
mdp.39015063541489,"Boddingon, Harry.","Outline of an address delivered to the ""Link Association of Spirit Circles"" Wortley Hall, Finsbury Park, | preliminary to the public demonstration o[f] kilnascrene, November 28th, 1936. The development of clairvoyance and the scientific formation of circles.",1937,m,high_female,1.0
dul1.ark:/13960/t2d800x3c,"Hodgson, William Hope,",The night land;,1921,m,high_female,1.0
uc2.ark:/13960/t55d8qw45,"Tagore, Rabindranath,",The king of the dark chamber,1914,m,high_female,1.0
njp.32101064787276,"Bayley, Stanhope.",A singer of dreams;,1911,u,high_female,1.0
uc1.b4098088,"Anderson, Sherwood,",Alice | and The lost novel / | $c: by Sherwood Anderson.,1929,m,high_female,1.0
uc1.$b111967,"Benson, E. F. (Edward Frederic),","The male impersonator, | $c: by E. F. Benson.",1929,m,high_female,1.0
uc1.32106014491903,"Guðbergur Bergsson,",The Swan / | $c: Gudbergur Bergsson ; translated from the Icelandic by Bernard Scudder,1997,u,high_female,1.0
inu.30000118322431,"Rafy, K U .",Folk-tales of the Khasis,1920,f,high_female,1.0
wu.89009176827,"Beckett, Samuel,",Ill seen ill said / | $c: by Samuel Beckett ; translated from French by the author.,1982,m,high_female,1.0
mdp.39015066609572,"Vittorini, Elio,",Tune for an elephant / | $c: Elio Vittorini ; translated from the Italian by Eric Mosbacher.,1955,m,high_female,1.0
mdp.39015012940006,"Abelard, Peter,",The love letters of Abelard and Heloise,1908,m,high_female,1.0
uc1.32106017308997,"Berg, Jean de",The image / | $c: Jean de Berg,2004,f,high_female,0.998641765704584
mdp.39015065155890,"Potrč, Ivan.",The land and the flesh: | a novel; | $c: translated from the Slovene by H. Leeming.,1969,m,high_female,0.9978563772775992
nyp.33433075729792,"Edgeworth, Maria,",Leonora,1806,f,high_female,0.9960066555740432
nyp.33433075729800,"Edgeworth, Maria,",Leonora,1806,f,high_female,0.9960066555740432
nyp.33433081859427,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,high_female,0.9959322033898306
uc1.b3730682,"Wasilewska, Wanda,",Just love; | $c: translated by Edith Bone.,1945,f,high_female,0.9936356404136836
uc1.$b661973,"Wasilewska, Wanda,",Just love; | $c: translated by Edith Bone.,1945,f,high_female,0.9936051159072744
pst.000051395018,,The descent of the sun / | $c: F.W. Bain ; translated from the original manuscript by F.W. Bain.,2001,u,high_female,0.9921951219512196
uc1.$b391222,"Asalache, Khadambi,",A calabash of life: | a novel.,1967,u,high_female,0.9914163090128756
wu.89099916504,"Bretherton, Ralph Harold.",The child mind,1903,m,high_female,0.9910112359550562
uc2.ark:/13960/t3125wc06,"Rodziewiczówna, Maria,",Distaff,1901,f,high_female,0.9870361494778732
mdp.39015060622647,"Mengara, Daniel M.,",Mema / | $c: Daniel Mengara.,2003,m,high_female,0.9866666666666668
mdp.39015008982939,Apuleius.,The story of Cupid & Psyche,1903,m,high_female,0.9836734693877552
uc1.$b56322,"Booth, Edward Charles.",Miss Parkworth and three short stories.,1924,m,high_female,0.9833550065019508
inu.30000036529612,,Facets : | Gemma's 3rd collection of women's writing : fact fiction poetry.,1991,u,high_female,0.982286793072314
uc1.$b322798,"Bankoff, George,",Pillar of fire.,1947,m,high_female,0.97761436244686
mdp.39015002742305,"Rodker, John,",Adolphe 1920 | $c: [by] John Rodker.,1929,m,high_female,0.9768115942028984
uva.x030788419,"Rynd, Evelyne Elsye.",Mrs. Green,1901,u,high_female,0.9753700340667738
mdp.39015008463690,"Pinget, Robert.",Baga: | a novel; | $c: translated from the French by John Stevenson.,1967,m,high_female,0.975
uc2.ark:/13960/t5r788w3v,"Corelli, Marie,",Jane,1897,f,high_female,0.9733559623819852
mdp.39015030709573,"Mitchison, Naomi,",Beyond this limit. | $c: Pictures by Wyndham Lewis and words by Naomi Mitchison.,1935,f,high_female,0.9731543624161074
hvd.hxjgrb,"Rousseau, Jean-Jacques,",Eloisa,1803,m,high_female,0.9724465558194776
mdp.39015031232187,"Egbuna, Obi B.",The Minister's daughter / | $c: Obi B. Egbuna.,1975,u,high_female,0.9717884130982368
nnc1.cu58507701,"Heeley, Sibyl.",Ellie and the China lady;,1895,f,high_female,0.9712235013247748
mdp.39015048891561,"Roe, Sue.","Estella, her expectations : | a novel / | $c: by Sue Roe.",1982,f,high_female,0.9697458152510848
