htid,author,title,year,authgender,female_category,gb_england_intensity
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1011.3489441172248
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1009.457469702118
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,915.501670171966
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,905.986869987286
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,806.2834503371099
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,mixed,700.5164391266554
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,685.4471254804074
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,685.1774280414098
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,660.8288030209317
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,654.4985250737464
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,620.4949097124173
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,595.3327728419188
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,589.0965660817643
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,583.4609993806837
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,576.1471333395889
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,mixed,564.141083214805
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,554.047162920187
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,550.4867730261482
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,542.760745195834
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,536.1624458133698
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,529.1927089004552
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,518.4738170722378
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,509.2544721331817
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,503.725299643667
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,499.6308569270127
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,495.2164575161079
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,490.3318743420688
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,483.17278380685286
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,481.9514114291335
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,474.61943624471854
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,468.6318972033257
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,464.73428016265706
inu.30000114945995,"Lane, Jane,",Heirs of Squire Harry / | $c: Jane Lane.,1974,f,mixed,462.12445527491474
uiuo.ark:/13960/t9d516b21,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,453.0142873736787
uc1.b3321304,"Crake, A. D.",The last abbot of Glastonbury,1886,u,mixed,452.06792463627136
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,448.39542219557336
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,448.06416476878894
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,447.60814077949686
mdp.39015059376221,,The New British novelist;,1830,u,,445.0552024610772
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,444.2708587609237
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,443.5191167907083
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,442.7895743182047
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,440.1329381119195
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,436.8279569892473
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,434.73992735636057
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,433.6304504938569
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,431.6101730658381
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,431.1494979285162
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,431.0084996081741
njp.32101062933443,"West, Jane,",Alicia de Lacy,1814,f,,430.0936181221402
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,429.2343387470998
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,428.3594876402617
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,428.33607907742993
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,427.88884398697314
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,422.494770089011
mdp.39015031233144,"Duggan, Alfred Leo,",Leopards and Lilies.,1954,m,,417.67648120455834
uc2.ark:/13960/t12n5226r,"Buchanan, Robert Williams,",Andromeda; an idyll of the great river,1901,m,,416.8488829752589
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,415.8632943934067
uiuo.ark:/13960/t1zc8db1h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,410.6570512820512
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,405.6415376934599
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,405.3844363410661
inu.39000005593822,"Dixon, Geoffrey M.",Folktales and legends of Kent / | $c: by Geoffrey M. Dixon ; and illustrated by Susy-Jane Tanner.,1984,m,mixed,403.8312192596427
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,403.5951834101138
nnc1.1002331357,"Neele, Henry,",The romance of history,1833,m,,401.08414259148975
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,401.01308569016464
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,396.2722217871406
mdp.39015030850195,"Ashton, John,",Varia,1894,m,,395.186273731035
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,394.3446972450389
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,392.9491734369784
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,391.78503703173646
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,391.60976087328976
uc2.ark:/13960/t2w37sp12,"Bell, May.",What of the night?,1918,f,high_female,389.0716635674439
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,387.04326590793903
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,386.3826232247285
uc2.ark:/13960/t9k35vq9k,"Newbigging, Thomas.",Lancashire humour,1901,m,high_male,382.65690439603486
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,382.4614123753586
inu.30000060903774,"Ainsworth, William Harrison,",Windsor castle ;,1863,m,mixed,379.2421639493048
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,379.23435658279095
mdp.39015029992768,"Tennant, Emma.",Tess / | $c: Emma Teennant.,1993,f,high_female,378.7121434872097
uc2.ark:/13960/t4nk3bv1m,"James, G. P. R.",Dark scenes of history,1849,m,high_male,378.7060875342579
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,378.02484163245015
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,377.86019172906026
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,376.6237093592272
inu.32000009540487,"Jarman, Rosemary Hawley.",The King's grey mare.,1973,f,mixed,375.3242129888623
mdp.39015030931433,,England invaded : | a collection of fantasy fiction / | $c: edited and introduced by Michael Moorcock.,1977,u,high_female,374.6215943491422
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,374.5403886998424
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,368.07795713484137
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,366.9139347531307
wu.89042045070,"Wardle, C      Francis.","All dogs, | $c: by C. Francis Wardle.",1935,u,high_male,365.32713384257727
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,364.46855399220215
wu.89092530534,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,359.15854284248326
uc2.ark:/13960/t1wd3tw5d,"Trowbridge, W. R. H.",Court beauties of old Whitehall,1906,m,mixed,359.1453412952817
uc2.ark:/13960/t8x926w87,"Baring-Gould, S.",The vicar of Morwenstow,1886,m,high_male,357.1729109592243
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,354.71475022169665
mdp.39015073484456,"Henty, G. A.",Friends though divided,1883,m,high_male,353.45830249384466
uiuo.ark:/13960/t8ff4f989,"Vincent, Francis,",Arundel,1840,m,mixed,353.2453659306376
mdp.39015063064987,,"The life and adventures of Bampfylde Moore Carew, commonly called the King of the beggars",1835,u,high_male,353.2295271049597
uc2.ark:/13960/t3zs2pc7k,"Roper, Edward.",A sportsman's memories,1921,m,high_male,351.95776506819175
inu.39000005534958,"Sheffield, John.",The original Robin Hood : | a translation of the early tales / | $c: John Sheffield ; illustrated by John Clark.,1982,m,high_male,351.53995487696096
hvd.hwadc2,"Scott, Walter,",The Waverley novels,1829,m,mixed,350.0309836038119
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,349.01365705614575
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,347.88694703472703
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,347.5366504319733
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,347.4421729532585
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,345.4336100842373
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,342.30198082102135
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,342.29932174023287
mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.","The sword of wood, | a story | $c: by G.K. Chesterton.",1928,u,high_male,341.4134516899966
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,340.4506004123768
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,338.5485938142335
umn.31951002375620f,"Griffith, George Chetwynd.",The world peril of 1910,1907,m,high_male,338.3911041140758
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,336.59766609980653
uc2.ark:/13960/t3qv3dp2s,"Temple, Dorothy Osborne,","Letters from Dorothy Osborne to Sir William Temple, 1652-54",1888,f,,335.6863346888668
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,333.7426917286484
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,333.4536016480639
uc1.b3164053,"Raven, Simon,",The rich pay late / | $c: by Simon Raven.,1964,m,,330.28776796335194
mdp.39015028701145,"Tongue, Ruth L.","Forgotten folk tales of the English counties; | $c: collected by Ruth L. Tongue, with an introduction by Katharine Briggs.",1970,f,mixed,327.5638421928434
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,326.2402649169068
mdp.39015059376056,,The New British novelist;,1830,u,high_female,326.05541234913534
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,325.5861113301713
uc1.b3457588,"Farrington, Robert,",The killing of Richard the Third.,1971,m,,324.14910858995137
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,322.6631275189032
uc1.32106006909912,"Kay, Susan.",Legacy / | $c: Susan Kay.,1985,f,,322.3957838928676
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,321.32247438514236
nyp.33433075876734,"Thurston, E. Temple","The ""Flower of Gloster,""",1911,f,high_male,321.0053614725267
uiuo.ark:/13960/t9k36fx9p,"Wilbraham, Frances M.",For and against,1858,f,mixed,319.66452411232933
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,319.30120747238226
uc1.b3321849,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,319.106501794974
uiuo.ark:/13960/t2j67qd9f,"Lyall, Edna,",To right the wrong,1894,f,high_male,319.083124409859
uc2.ark:/13960/t6f191d5f,"Cooper, Arthur Nevile.",Quaint talks about long walks,1907,m,,316.9243999936297
nyp.33433076078959,"Scott, Walter,",The handy volume  Waverly,1877,m,,315.7092571760351
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,315.1584085685175
uc1.$b100785,"Harwood, Alice.",Merchant of the ruby / | $c: Alice Harwood.,1951,f,mixed,314.230202390805
nyp.33433074870076,"Holt, Emily Sarah,",The White Rose of Langley: a story of the court of England in the olden time,1875,f,,314.21907318575893
uva.x004061217,"Marshall, Emma,",The white king's daughter;,1895,f,,313.91488077271356
uiuo.ark:/13960/t5x645x9n,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,313.1858647135706
mdp.39015063933876,"Letts, E. F.","Nicholas Mosley, loyalist;",1903,u,mixed,311.79087676666603
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,310.38347686972514
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,310.31486615085447
njp.32101063882664,"Norris, W. E.",Adrian Vidal,1885,f,high_female,309.12444015104944
inu.30000026046338,"Janaway, John.",Ghosts of Surrey / | $c: John Janaway.,1991,m,high_male,309.03575175073
njp.32101007059759,"James, G. P. R.",Forest days;,1843,m,,308.6914105158932
mdp.39015062281574,"Baring, Maurice,",A triangle : | passages from three notebooks / | $c: by Maurice Baring.,1923,m,,308.2978025582158
njp.32101062933435,"West, Jane,",Alicia de Lacy,1814,f,,306.6395532745876
uc1.$b469407,"Meek, George,",George Meek,1910,m,high_female,306.6025929819292
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,306.0590120032519
uiuo.ark:/13960/t88g8zn9s,"Curling, Henry,",Shakespeare,1848,m,high_male,305.3719659933191
