htid,author,title,year,authgender,female_category,gb_suba1_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1044.0835266821346
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1020.7837807226186
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1019.9683953454964
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,945.169002934662
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,938.4775808133472
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,834.0863279349413
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,722.5779426724912
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,714.4174041297933
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,707.2387970997268
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,659.2011458706338
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,620.945923921901
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,606.7961165048544
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,600.5442432204185
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,581.8226359627635
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,578.1920337986454
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,569.9088145896656
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,560.6082685433614
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,558.9778690394706
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,558.2118917434971
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,557.8873276154225
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,556.7030589161011
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,553.4869678977559
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,553.238751859846
uc1.b3322565,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,552.6606663508605
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,549.8996804636993
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,542.6167540543836
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,526.4336917562725
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,524.8044360827804
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,522.3844163452619
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,514.6674543843308
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,514.1710559317783
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,507.0062212919355
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,503.7062476746517
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,499.8537661854244
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,498.91427980560434
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,498.6425840766802
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,497.91391240149034
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,496.4449493037149
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,495.62682215743433
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,494.3473070711327
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,493.78026778083745
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,493.4696115508442
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,489.8915493707734
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,487.67653033751856
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,482.4183569582582
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,480.1330762542059
inu.30000114945995,"Lane, Jane,",Heirs of Squire Harry / | $c: Jane Lane.,1974,f,mixed,473.1012831911834
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,470.7437751647604
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,470.67772838567055
