htid,author,title,year,authgender,female_category,gb_subcity_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,661.2529002320185
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,485.89530072283367
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,470.3668861712136
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,469.7116942014901
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,466.4065357883185
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,465.29294463963544
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,458.3456280121964
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,452.71529015845033
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,425.6491915727585
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,410.1890971737971
mdp.39015059376221,,The New British novelist;,1830,u,,348.2361759607727
mdp.39015063587425,"Burke, Barbara, 1867-1941.",Barbara goes to Oxford,1907,f,mixed,255.2125969085569
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,252.95900840068705
mdp.39015065711627,"Smith, Logan Pearsall,","The youth of Parnassus, and other stories",1895,m,high_male,246.55282622591545
uc2.ark:/13960/t3rv0kp5g,"Tearle, Christian",The pilgrim from Chicago,1913,m,high_male,239.8660156693539
uc2.ark:/13960/t9862t682,"Pease, Howard,",Tales of Northumbria,1899,m,high_male,237.20445867242643
mdp.39015072453833,,"Coventry constables' presentments, 1629-1742 / | $c: edited by Levi Fox.",1986,u,high_male,235.84099531735995
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,232.50691402139063
inu.30000094670670,,Victorian novels of Oxbridge life / | $c: edited and introduced by Christopher Stray.,2004,u,,227.69475638871697
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,222.986748216106
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,221.4960058097313
iau.31858013754290,"Lubbock, Percy,",Earlham.,1963,m,high_female,219.53762188017413
uc1.b3548775,"Thackeray, William Makepeace,",Works,1883,m,mixed,217.2465265816971
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,216.51162443445668
uc1.$b675574,"Lubbock, Percy,",Earlham.,1963,m,high_female,214.0908479220954
uc2.ark:/13960/t9t14vp4t,"Miles, Hamish,",The Oxford circus;,1922,u,,211.231324059763
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,211.1559017569383
uiuo.ark:/13960/t2x35cg1z,"Parker, Hastings,",Bentley Priory,1859,f,high_female,208.8853644856198
uc2.ark:/13960/t9s18647f,"Thackeray, William Makepeace,",The Newcomes,1869,m,mixed,208.44521713801987
mdp.39015019996829,"Burgess, Anthony,",The worm and the ring.,1961,m,,207.96815116313616
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,204.7273404057325
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,204.10850671582824
