htid,author,title,year,authgender,female_category,geo_range
mdp.39015019670390,"Louvish, Simon.",The last trump of Avram Blok / | $c: Simon Louvish.,1990,m,,1008737.0867190668
mdp.39015050023897,"Ballard, J. G.,",The complete short stories / | $c: J.G. Ballard.,2001,m,,793109.0176114005
mdp.39015030910205,,Great sea stories of all nations / | $c: by Giovanni Boccaccio ... [et al.] ; edited and with an introduction by H.M. Tomlinson.,1930,u,high_male,774380.3606876285
mdp.39015059159825,"Louvish, Simon.",The cosmic follies / | $c: Simon Louvish.,2004,m,,747630.0758838735
mdp.39015061196617,"MacNeil, Kevin.",The Stornoway way / | $c: Kevin MacNeil.,2005,m,,712723.9277992556
mdp.39015006100492,,A Book of railway journeys / | $c: compiled by Ludovic Kennedy.,1981,u,,697557.974478724
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,687497.5483065847
mdp.39015016924485,"Moorcock, Michael,",The condition of muzak : | a Jerry Cornelius novel / | $c: Michael Moorcock ; illustrated by Richard Glyn Jones.,1977,m,,685380.173188921
uc1.b4359234,"Paso, Fernando del,",Palinuro of Mexico / | $c: Fernando del Paso ; translated by Elisabeth Plaister.,1989,m,mixed,630492.6570393922
mdp.39015054387736,"Sinclair, Andrew,",Blood & kin : | an empire saga / | $c: [Andrew Sinclair].,2001,m,mixed,629871.8514444552
uc1.b4980414,"Megaw, Arthur Stanley,","The golden road; | an anthology of travel, | $c: selected and arranged by Arthur Stanley [pseud.] Illustrated by Phyllis Bray.",1938,m,high_male,617168.9915197518
inu.30000110619701,"Gardner, Frank,",Far horizons : | unusual journeys and strange encounters from a travelling life / | $c: Frank Gardner ; with a foreword by Michael Palin.,2009,m,,605390.9448465052
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,593840.1313092428
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,592512.3735041927
mdp.39015060028050,,The new Penguin book of gay short stories / | $c: edited by David Leavitt and Mark Mitchell ; introduction by David Leavitt.,2003,u,high_male,588541.8802472729
mdp.39015060001743,"Mahjoub, Jamal,",Travelling with Djinns / | $c: Jamal Mahjoub.,2003,m,mixed,582803.3162512442
mdp.39015037702654,,The Oxford book of travel stories / | $c: edited by Patricia Craig.,1996,u,mixed,574296.1406056836
uc1.31822011370293,"Mielche, Hakon,",Round the world with Galathea. | $c: [Tr. from the Danish by M. A. Michael],1953,u,high_male,554765.9692384544
mdp.39015047457992,"Preston, Peter,",51st state / | $c: Peter Preston.,1998,m,,546379.8413828356
uc2.ark:/13960/t53f4p91w,"Macdonald, Robert M.",The moon god's secret,1910,m,high_male,536524.2534050469
mdp.39015051554213,,The mammoth book of travel in dangerous places / | $c: edited by John Keay ; with a foreword by Wilfred Thesiger.,2002,u,high_male,532241.8731051148
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,529412.3803986935
mdp.39015041008353,"Buchan, James.",High latitudes : | a romance / | $c: James Buchan.,1996,m,,524528.9374225668
mdp.39015054286805,"Capote, Truman,",A Capote reader / | $c: Truman Capote.,2002,m,,523909.3910987001
mdp.39015046482132,"Murray, Les A.,",Fredy Neptune / | $c: Les Murray.,1998,m,,515555.4861872706
inu.30000029791955,"Sinclair, Iain,","Downriver, (or the vessels of wrath) : | a narrative in twelve tales / | $c: Iain Sinclair.",1991,m,,511926.1757530821
mdp.39015063276755,"Mahjoub, Jamal,",The drift latitudes / | $c: Jamal Mahjoub.,2006,m,,509747.9684836848
pst.000024504690,"Bellow, Saul.",The adventures of Augie March / | $c: Saul Bellow.,1953,m,mixed,506692.9402365929
mdp.39015050556318,"Heppenstall, Rayner,",The Shearers: | a novel.,1969,u,,504530.8807664623
mdp.39015054156867,,Sightlines / | $c: edited by P.D. James and Harriet Harvey Wood.,2001,u,,491887.7437007519
inu.30000104170877,,The second century of humour / | $c: with illustrations by Fougasse ; and stories by Anthony Armstrong ... [et al.],1936,u,,489983.0686694744
uc1.b4102452,"Tomlinson, H. M. (Henry Major),",H.M. Tomlinson; | a selection from his writings | $c: made by Kenneth Hopkins.,1953,m,high_male,488845.0284270988
mdp.39015002206608,"De Sélincourt, Aubrey,",The book of the sea.,1961,m,high_male,488468.58823159966
nyp.33433073357125,"Turgenev, Ivan Sergeevich,",The unfortunate one,1888,m,,487423.0498408116
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,486576.1464780891
mdp.39015001048407,"Bail, Murray,",Homesickness / | $c: Murray Bail.,1980,m,,483724.8975938231
mdp.39015005310183,"Sproul, Barbara C.",Primal myths : | creating the world / | $c: Barbara C. Sproul.,1980,f,high_male,482490.11319682794
uc1.32106012911464,,The Penguin book of international women's stories / | $c: selected and with an introduction by Kate Figes,1996,u,,477879.9820167095
uc1.b3862769,"Coward, Noel,",Collected short stories.,1962,m,high_female,476424.09401805705
mdp.39015009349294,"Abdullah, Achmed,","My nine lives; | adventures and reminiscences, | $c: by Achmed Abdullah. Illustrated by Erick Berry.",1934,m,,476119.3440582426
uc1.32106017526077,,The voice of war : | the second world war told by those who fought it / | $c: edited by James Owen and Guy Walters,2004,u,high_male,472368.1364043775
mdp.39015012987494,"Twain, Mark,",More tramps abroad,1898,m,high_male,467725.2888388686
mdp.49015000947144,"Coward, Noel,",The collected short stories of Noël Coward.,1969,m,high_female,464496.90830156254
mdp.39015062821759,"Rowson, Martin.",Snatches / | $c: Martin Rowson.,2006,m,,463559.89120335254
mdp.39015034866338,"Thorpe, Adam,",Still / | $c: Adam Thorpe.,1995,m,,461519.576132768
mdp.39015021871309,"Thomas, Leslie,",The loves and journeys of revolving Jones / | $c: Leslie Thomas.,1991,m,mixed,461475.5748988619
mdp.39015049630034,"Pears, Tim,",A revolution of the sun / | $c: Tim Pears.,2000,m,mixed,461097.97052024974
uc1.$b559792,"O'Donnell, Elliott,","Strange sea mysteries, | $c: by Elliott O'Donnell.",1926,m,,459962.527360254
mdp.39015056903647,"Fell, Alison.",Tricks of the light / | $c: Alison Fell.,2003,f,,459440.4218059386
mdp.39015048707544,"Caute, David.",News from nowhere / | $c: David Caute.,1986,m,mixed,459303.1067326628
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,453588.3167511218
mdp.39015080861803,,The mammoth book of best short SF novels / | $c: edited and with an introduction by Gardner Dozois.,2009,u,,452933.22576367354
uc1.32106015140988,"Dewitt, Helen,",The last Samurai / | $c: Helen DeWitt,2000,f,high_male,452045.992545195
uc1.b4110031,"Priestley, J. B. (John Boynton),",The Priestley companion : | a selection from the writings of J.B. Priestley / | $c: with an introduction by Ivor Brown.,1951,m,,445530.72177274193
uc1.$b236238,"Frankau, Gilbert,","The woman of the horizon; | a romance of nineteen-thirteen, | $c: by Gilbert Frankau.",1927,m,,444561.2874420512
mdp.39015073893789,,The new Granta book of the American short story / | $c: edited and introduced by Richard Ford.,2007,u,mixed,444221.8651658801
pst.000017893428,,The green man revisited : | classic English short stories / | $c: selected by Roger Sharrock.,1988,u,mixed,440185.92611873575
mdp.39015063317658,"Ings, Simon.",The weight of numbers / | $c: Simon Ings.,2006,m,,437724.05346695264
mdp.39076005077875,"Maugham, W. Somerset (William Somerset),",Complete short stories.,1951,m,mixed,435540.2053860203
umn.31951002009585y,"Maugham, W. Somerset (William Somerset),",The complete short stories of W. Somerset Maugham.,1952,m,mixed,433874.36879681423
inu.32000000353864,"Maugham, W. Somerset (William Somerset),",The complete short stories of W. Somerset Maugham.,1952,m,mixed,432672.3511109636
uc1.32106007606244,,The Penguin world omnibus of science fiction : | an anthology / | $c: edited by Brian Aldiss and Sam J. Lundwall.,1986,u,high_male,432629.2827193512
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,431418.45884657453
mdp.39015003507715,"Maugham, W. Somerset (William Somerset),",Complete short stories.,1951,m,mixed,431119.78428373905
mdp.39015008603857,"Maugham, W. Somerset (William Somerset),",Altogether : | being the collected stories of W. Somerset Maugham.,1934,m,mixed,430893.6030692855
mdp.39015019554131,"Ballard, J. G.,",War fever / | $c: J.G. Ballard.,1990,m,mixed,428646.42727092974
mdp.39015060364406,"Gibson, Miles.",Einstein / | $c: by Miles Gibson.,2004,m,high_male,428146.2068764139
mdp.39015064707220,"Thorpe, Adam,",Is this the way you said? / | $c: Adam Thorpe.,2006,m,,427543.37339325785
uc1.$b396668,"Sinclair, Andrew,",Magog: | a novel.,1972,m,mixed,425919.0317161515
uiuo.ark:/13960/t5s76129n,"Southey, Robert,",The doctor,1865,m,high_male,424150.6692908264
mdp.39015051280033,,Signals -- 3 : | thirty London magazine stories / | $c: selected by Jane Rye and with introduction by Alan Ross.,2001,u,,423437.6005728503
njp.32101017763853,"Yonge, Charlotte M.","The pillars of the house; or, Under wode, under rode",1893,f,mixed,422264.7650608111
inu.30000029840364,"Japrisot, Sébastien,",Women in evidence / | $c: Sebastien Japrisot ; translated from the French by Ros Schwartz.,1990,u,mixed,421828.02001805336
uiuo.ark:/13960/t1zc8697g,"Besant, Walter,","The captains' room, etc",1883,m,,421393.7384381401
mdp.39015002978644,"Shute, Nevil,","A Nevil Shute omnibus: | No highway, A town like Alice [and] On the beach.",1973,m,,420651.8291356975
inu.30000092776560,,Concertina / | $c: [introductions by Patricia Duncker ... [et al.].,2004,u,,420012.44383911754
mdp.39015045696674,"Boyd, William,",Armadillo / | $c: William Boyd.,1998,m,,418217.8665372633
umn.31951d00413670x,,Catalogue of the Batrachia Salientia s. Ecaudata in the collection of the British Museum.,1966,u,high_male,417445.5200377097
uiuo.ark:/13960/t9q24dz8c,"Lennox, William Pitt,","Philip Courtenay, or, Scenes at home and abroad",1855,m,,416758.6419997849
mdp.39015078788174,,"Poe : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe / | $c: edited by Ellen Datlow.",2009,u,mixed,416600.4970238789
mdp.39015050556532,"Higgins, Aidan,",Balcony of Europe. -,1972,m,mixed,414205.4794949253
mdp.39015056946067,"Markham, E. A. (Edward Archibald),",Taking the drawing room through customs : | selected stories (1972-2002) / | $c: E.A. Markham.,2002,m,,413687.8032585544
uc1.32106013752057,"Hand, Elizabeth",Glimmering / | $c: Elizabeth Hand,1997,f,high_male,413681.4523981555
nnc1.cu58499598,"Sala, George Augustus,",Margaret Forster,1897,m,high_female,412673.7258428117
inu.30000029843996,"Sollers, Philippe,",Women / | $c: Philippe Sollers ; translated by Barbara Bray.,1991,m,high_female,411581.06057734834
mdp.39015046883206,"Fowler, Bo,","Scepticism, Inc. / | $c: Bo Fowler.",1998,m,,410750.15237086895
mdp.39015050494759,"Drabble, Margaret,",The peppered moth / | $c: Margaret Drabble.,2000,f,high_female,409753.22714081645
mdp.39015022630928,"Newby, Eric.","The last grain race. Boston, Houghton Mifflin, 1956.",1956,m,high_male,405637.5341395484
uiuo.ark:/13960/t4rj5246n,"Mitford, Mary Russell,","Atherton, and other tales",1854,f,,403790.97502410394
uc1.32106015350421,"Mo, Timothy",Renegade or halo2 / | $c: Timothy Mo,1999,m,mixed,403047.4705653226
inu.39000002489586,"Boldrewood, Rolf,",A modern buccaneer,1894,m,,398780.305432508
uc1.b4104233,"Trollope, Anthony,",Harry Heathcote of Gangoil,1874,m,,397546.7900257911
mdp.39015060459222,,'Blackwood' tales from the outposts ...,1932,u,high_male,395607.11032741104
mdp.39015059447808,"Frey, Albert R.",Sobriquets and nicknames,1895,m,high_male,394664.4057886285
mdp.39015077143058,"Llewellyn, Julia.",The model wife / | $c: Julia Llewellyn.,2008,f,high_female,393673.38262028195
inu.30000120064880,,The wild blue yonder : | the Picador book of aviation / | $c: edited and introduced by Graham Coster.,1997,u,high_male,393646.00107840693
mdp.39015017728224,"Davies, Pete,",Dollarville.,1990,m,high_male,393044.48294363485
uc1.32106012883259,"Grant, Linda,",The cast iron shore / | $c: Linda Grant,1996,f,high_male,393000.31313784426
mdp.39015008683057,"Moorcock, Michael,","The lives and times of Jerry Cornelius / | $c: [by] Michael Moorcock ; illustrated by Mal Dean, Richard Glyn Jones and Harry Douthwaite.",1976,m,,391022.51502597186
mdp.39015029195693,"Moorcock, Michael,",Jerusalem commands / | $c: Michael Moorcock.,1992,m,,390232.1536514217
mdp.39015034340722,"Louvish, Simon.",City of Blok / | $c: Simon Louvish.,1988,m,,390053.1573031151
uc1.$b557742,"Campbell, A. B. (Archibald Bruce),",With the corners off : | my adventurous life on land and sea / | $c: by Commander A. B. Campbell.,1937,m,high_male,390000.3028359064
uiuo.ark:/13960/t3st88k9b,"Black, William,",Donald Ross of Heimra,1891,m,,389448.9475508144
njp.32101068142312,"Wordsworth, Elizabeth,",Thornwell Abbas,1876,f,,388735.8260295002
mdp.39015001573347,"Firbank, Ronald,",The complete Ronald Firbank. | $c: With a pref. by Anthony Powell.,1961,m,high_female,388557.2793663069
mdp.39015043007551,"Rushdie, Salman",The ground beneath her feet / | $c: Salman Rushdie,1999,m,,386546.1635865241
uc1.31822020605192,,The Oxford book of sea stories / | $c: selected by Tony Tanner,1994,u,,386421.58776472136
mdp.39015013436004,"Raban, Jonathan.",Foreign land : | a novel / | $c: Jonathan Raban.,1985,m,mixed,386204.9071316084
mdp.39015046359942,"(Herbert George), Wells, H. G.",The short stories of H. G. Wells.,1927,m,,385709.85660234705
mdp.39015024993373,,Signals : | thirty new stories to celebrate thirty years of the 'London Magazine' / | $c: selected and introduced by Alan Ross.,1991,u,mixed,382823.4231355141
uc1.32106018646270,"Brooke-Rose, Christine,",The Christine Brooke-Rose omnibus : | four novels / | $c: Christine Brooke-Rose,2006,f,mixed,382345.78747424466
mdp.39015046342658,"Brooke-Rose, Christine,",Next / | $c: Christine Brooke-Rose.,1998,f,mixed,381928.93249400094
mdp.39015043091290,,Echoes of the sea : | Scotland and the sea : an anthology / | $c: edited by Brian D. Osborne & Ronald Armstrong.,1998,u,,381652.2597027326
mdp.39015030700093,"Lamb, Charles,",The essays of Elia and Eliana,1890,m,,380917.47458267247
mdp.39015050511990,"Mount, Ferdinand,",Fairness / | $c: Ferdinand Mount.,2001,m,,380132.85364322714
uc1.32106005199515,"Niven, David,","Go slowly, come back quickly / | $c: by David Niven.",1981,m,,379819.4895349609
mdp.39015070219079,"Sala, George Augustus,",Under the sun,1886,m,,378666.507181437
uc1.32106011480982,"Aldiss, Brian Wilson,",The secret of this book : | 20-odd stories / | $c: Brian W. Aldiss ; illustrations by Rosamund Chorley & Brian Aldiss,1995,m,mixed,377846.1059880274
mdp.39015041369060,"Everett, Peter",Matisse's war / | $c: Peter Everett.,1997,m,mixed,377776.69894172496
mdp.39015055165735,"Lodge, David,",Small world : | an academic romance / | $c: David Lodge.,1984,m,,377670.8940300586
mdp.39015011487181,,The Best of the Fiction Magazine.,1986,u,,377452.2074453363
uc1.32106017065423,"Wright, Ronald,",A scientific romance / | $c: Ronald Wright,1997,m,,377366.39589237946
uc1.32106016344399,,The Oxford book of detective stories / | $c: edited by Patricia Craig,2000,u,,376307.5331740283
mdp.39015015448262,"Higgins, Aidan,",Helsingør Station & other departures : | fictions and autobiographies 1956-1989 / | $c: Aidan Higgins.,1989,m,mixed,375381.82088800496
mdp.39015030948015,"Boldrewood, Rolf,",The squatter's dream,1890,m,high_male,372027.7679035282
mdp.39015065815683,"Poe, Edgar Allan,",The works of Edgar Allan Poe,1883,m,,371904.59762479033
mdp.39015045663039,"Sampson, Kevin.",Powder : | an everyday story of rock 'n' roll folk / | $c: Kevin Sampson.,1999,m,,371813.0378706805
mdp.39015048772746,"Beaven, Derek.",Acts of mutiny / | $c: Derek Beaven.,1998,m,,370879.2291547146
