htid,author,title,year,authgender,female_category,intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,2459.3967517401393
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,2390.003519887364
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,1762.1813439286636
uc1.31822022095780,"Mathews, Basil,",The ships of peace. | $c: Rev. and edited by Joyce Reason,1947,m,high_male,1692.3021763292818
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,1512.258064516129
uc1.$b582056,"Macdonald, Mina",Some experiences in Hungary,1916,f,mixed,1509.1042202961528
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,1508.2956259426846
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,1493.329612395576
uc2.ark:/13960/t1qf8mt9n,"Larrouy, Maurice,",The odyssey of a torpedoed tramp,1918,m,high_male,1492.4039320822162
mdp.39015073316757,"Carlyle, Thomas,",[Works],1885,m,high_male,1488.8337468982631
uc2.ark:/13960/t4rj4bm4w,"Mathews, Basil,",The ships of peace,1919,m,high_male,1482.1501368586569
uc1.b4567288,"Divine, A. D. (Arthur Durham),","The wake of the raiders : | the exploits and the failure of the pocket battleships, and a consecutive account of events at sea / | $c: A.D. Divine.",1940,m,high_male,1448.856049140924
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,1436.8858449960749
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,1433.4195967829414
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,1404.1597031753522
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,1397.51552795031
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,1376.8389287061486
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,1363.118678438947
mdp.39015050674871,"Jones, Tristan,",Somewheres east of Suez / | $c: Tristan Jones.,1988,m,high_male,1352.454555349951
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,1348.4173237344305
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,1346.7443918180395
wu.89095837944,"McMillan, Richard.","Miracle before Berlin, | $c: by Richard McMillan.",1946,m,high_male,1341.065925379895
mdp.39015073316914,"Carlyle, Thomas,",[Works],1885,m,high_female,1334.5087436511244
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1324.8719661545315
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,1313.428926864401
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,1313.1616620420282
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,1299.784527698617
uc1.b4084788,"Viscount Samuel, Samuel, Edwin,","My friend Musa, and other stories.",1963,m,,1278.1616944772177
mdp.39015070528594,"Donatti, Arthur Louis.","The orphan of Novogorod, an Illyrian tale",1841,m,high_male,1272.9751121273416
mdp.39015059447808,"Frey, Albert R.",Sobriquets and nicknames,1895,m,high_male,1269.186900351123
nnc1.cu01579681,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,1266.7289137877372
