htid,author,title,year,authgender,female_category,urban_gb_intensity
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,806.2834503371099
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,448.7089601570482
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,412.8741672140377
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,324.2971658254733
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,320.36887331956046
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,317.5078628126404
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,316.4747724395684
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,311.9483471574009
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,310.16622500602267
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,307.62011522719575
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,304.4178323437657
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,304.20353982300884
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,297.5333525290335
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,277.3925104022192
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,256.45010879701584
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,255.8662006989516
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,255.69530859988555
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,255.05312008591264
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,253.89115796445523
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,252.9815684857246
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,250.03397200706615
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,239.87788035182092
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,238.0952380952381
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,237.27060093558836
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,231.58561170257076
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,231.4974777140488
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,230.22081394197448
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,222.61299012271775
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,222.13542938046183
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,220.228823118655
uiuo.ark:/13960/t1sf3bm7d,"Warden, Florence,",Scheherazade,1887,f,mixed,217.03240646274276
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,215.1584912342837
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,213.74499035178863
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,205.9791990020163
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,205.3388090349076
nyp.33433075752430,,Almack's;,1827,u,high_female,202.48481363897704
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,201.07915849887843
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,192.8707941016604
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,191.9774873604884
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,191.8031551619024
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,190.11194238489844
inu.39000001687552,"Manifold, J. S. (John Streeter),",The death of Ned Kelly : | and other ballads / | $c: by John Manifold.,1941,m,high_male,188.67924528301887
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,184.35328021698595
