htid,author,title,year,authgender,female_category,urban_global_fraction
uc2.ark:/13960/t3st7gj33,"MacDonald, George,",The wise woman;,1875,m,high_female,1.0
uc2.ark:/13960/t9571977v,,The robins' nest; and where do you think they built it?,1864,u,,1.0
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,1.0
mdp.39015027553141,"Beaton-Jones, Cynon,",So Hi and the White Horse of Fu. | $c: Illustrated by John Ward.,1952,u,mixed,1.0
uc2.ark:/13960/t78s4kw9p,,Jack and Jill and old Dame Gill,1806,u,mixed,1.0
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,0.952054794520548
uiuo.ark:/13960/t8z89xh0r,"Collins, Wilkie,",Basil,1852,m,,0.9193548387096774
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,0.909547738693468
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,0.9036144578313252
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,0.8947368421052632
wu.89099916504,"Bretherton, Ralph Harold.",The child mind,1903,m,high_female,0.875
uc1.$b389725,"Langley, Noel,",The loner.,1967,m,mixed,0.8426501035196688
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,,0.8421052631578947
uiuo.ark:/13960/t0zp49609,"Banim, John,",Father Connell,1842,m,mixed,0.838709677419355
nyp.33433074875943,"MacDonald, George,",David Elginbrod,1863,m,mixed,0.8360655737704917
hvd.hn2hcf,,"Variety, or, Stories for children from the age of seven years to twelve",1823,u,,0.8333333333333334
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,0.8333333333333334
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,high_female,0.8333333333333333
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,0.8282208588957053
uiuo.ark:/13960/t72v3222s,"James, G. P. R.",The gentleman of the old school,1839,m,mixed,0.8264840182648402
mdp.39015010309220,"McEwan, Ian.",The comfort of strangers / | $c: Ian McEwan.,1981,m,high_female,0.823529411764706
uiuo.ark:/13960/t3rv14r6v,"Oliphant,",Squire Arden,1871,f,,0.816901408450704
uiuo.ark:/13960/t13n2sh8d,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,0.8098765432098769
uiuo.ark:/13960/t71v6546p,"Tabor, Eliza.",Alec's bride,1867,f,,0.8059701492537313
uc2.ark:/13960/t0js9k39t,"Makower, Stanley Victor.",The mirror of music,1895,m,,0.8046875000000001
mdp.39015025389233,"García Morales, Adelaida.","The South ; and, Bene / | $c: Adelaida García Morales ; translated by Sarah Marsh.",1992,f,high_female,0.8028169014084507
uc2.ark:/13960/t3xs5xp5c,"Pearse, Mark Guy,",Gold and incense,1895,m,high_female,0.8
uc1.b3339470,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,0.7972972972972971
mdp.39015059376494,,The New British novelist;,1830,u,mixed,0.7969924812030074
