htid,author,title,year,authgender,female_category,urban_intensity
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,938.347118926809
uc1.$b102383,"King-Hall, Stephen, Sir,","Men of destiny : | or, The moment of no return / | $c: Stephen King- Hall.",1960,m,,624.2246680919576
uiuo.ark:/13960/t8sb4qd43,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,620.9465985925211
uiuo.ark:/13960/t04x5xf7m,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,582.7300017658486
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,575.6513741099604
uiuo.ark:/13960/t8gf1fc8c,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,568.5377017586123
uc2.ark:/13960/t3125v37k,"Grant, Marjorie.",Verdun days in Paris,1918,f,,529.0907065681506
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,504.8325044571643
uiuo.ark:/13960/t84j0w803,"Gore,","Greville, or, A Season in Paris",1841,f,,503.5469977197872
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,484.3975806883263
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,480.637937626304
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,471.0006677477822
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,466.92718809263835
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,450.7121251577493
mdp.39015048917853,"Ali, Tariq.",Fear of mirrors / | $c: Tariq Ali.,1998,u,,443.6989787487192
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,442.3310848169856
uiuo.ark:/13960/t13n2sh8d,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,429.1677025135097
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,426.2542436816296
uc1.$b322835,"Blair, Andrew James Fraser,","1957, | $c: by Hamish Blair.",1930,m,high_male,424.6681218627642
uc1.$b193205,"Morris, Ira J.",My East was gorgeous,1958,m,,422.6332537788385
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,418.392879117273
uiuo.ark:/13960/t22b9d63x,"Gore,",The ambassador's wife,1842,f,high_female,411.3192225537099
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,397.5424647632815
uc1.32106012238371,"Stangerup, Henrik",Snake in the heart : | a novel / | $c: Henrik Stangerup ; translated from the Danish by Anne Born,1996,u,mixed,396.916793342239
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,396.82539682539687
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,392.0905507234124
uiuo.ark:/13960/t7hq4mf5t,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,391.8495297805643
mdp.39015032138300,"Nayman, Michele.",Jetlag : | a novel / | $c: Michèle Nayman.,1994,f,,391.82565835017857
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,390.25310701512126
inu.30000042624605,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,1995,m,mixed,388.6682099342953
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,387.7847794474067
uiuo.ark:/13960/t0zp4pz92,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,387.6318398990354
uc2.ark:/13960/t8jd4zv1w,"Martin, Frederick Townsend,",Things I remember,1913,m,,386.7791842475387
uc1.32106010943360,"Darvas, Robert.",Right through the pack : | a bridge fantasy / | $c: by Robert Darvas and Norman de V. Hart ; introduction by Guy Ramsey.,1978,m,,385.1962699699325
uiuo.ark:/13960/t0bv84w96,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,385.08439766382133
inu.30000100855364,"Plivier, Theodor,",Berlin | $c: [by] Theodor Plievier; [translated from the German by Louis Hagen],1969,m,high_male,385.0395588587869
mdp.39015030130374,"Sharp, William,",Life of Heinrich Heine,1888,m,high_male,384.29104927117214
njp.32101072790544,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,383.9091971290269
uiuo.ark:/13960/t3xs6cp6m,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,381.89300411522635
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,376.1721305517192
wu.89099400848,"Klimov, Grigoriĭ Petrovich.","The terror machine; | the inside story of the Soviet administration in Germany, | $c: by Gregory Klimov.  Translated from the German by H. C. Stevens.  Introduced by Edward Crankshaw and Ernst Reuter.",1953,u,,373.1910825257486
mdp.39015053140938,"Campbell, Naomi.",Swan / | $c: Naomi Campbell.,1994,f,high_female,371.5928524677848
uc1.$b389725,"Langley, Noel,",The loner.,1967,m,mixed,371.5300282070709
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,371.0480837653757
uc1.b4253908,"Tilden, William A.","Sir William Ramsay, K. C. B., F. R. S;",1918,m,high_male,367.6613624868692
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,366.3003663003663
mdp.39015005498665,"Cooper, William,",Scenes from provincial life | $c: [by] William cooper [pseud.],1961,m,high_male,365.01959578882656
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,364.9102320829076
uc1.32106017112365,"James, Richard",Red / | $c: Richard James,2002,m,high_male,364.5618379419452
mdp.39015060860080,"Archibald, Malcolm.",Whales for the wizard / | $c: Malcolm Archibald.,2005,m,high_male,363.96137402329344
mdp.39015002235896,"O'Faoláin, Seán,",And again : | a novel / | $c: by Seán O'Faoláin.,1979,m,,363.7424902479998
