htid,author,title,year,authgender,female_category,farm
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,high_female,624.4520005987896
coo.31924003427071,"McNicol, Harry B.",The young beekeeper.,1953,m,high_male,601.3654533234285
mdp.39015002264037,"Orwell, George,",Animal farm : | a fairy story / | $c: by George Orwell ; illustrated by Joy Batchelor & John Halas.,1954,m,high_male,544.18936600452
coo.31924003055195,"Browning, George Henry,","The children's story-book of bees, | $c: by Gareth H. Browning.",1933,m,,538.0577427821522
pst.000049733785,"Laurie, Peter.",Mauby's big adventure / | $c: by Peter Laurie ; illustrated by H. Ann Dodson.,2000,m,high_male,441.41990068052235
uc1.$b70107,"Fleuron, Svend,",The wild horses of Iceland / | $c: by Svend Fleuron ; translated from the Danish by E. Gee Nash.,1933,u,high_male,409.08874688823
wu.89047405857,"Homewood, Robert A.",Three farms.,1947,m,,374.7795414462081
uc1.b3553254,"Prewett, Frank,",The collected poems of Frank Prewett. / | $c: Introd. by Robert Graves.,1964,m,high_male,343.9192155714913
uc1.$b244866,"Street, A. G. (Arthur George),","Holdfast, | $c: a novel by A.G. Steet.",1946,m,high_female,310.54242596810934
mdp.39015065613286,"Truepeney, Charlotte.",Our African farm.,1965,f,mixed,305.6957462148522
mdp.39015005319200,"Sholokhov, Mikhail Aleksandrovich,","Virgin soil upturned,",1935,m,high_male,278.35686534634704
mdp.39015065155890,"Potrč, Ivan.",The land and the flesh: | a novel; | $c: translated from the Slovene by H. Leeming.,1969,m,high_female,270.7419307487809
mdp.39015043042426,"North, Sam.",The lie of the land / | $c: Sam North.,1998,m,high_female,266.8410997591162
uc1.$b437190,"Abramov, Fedor,","The dodgers, | $c: by Fyodor Abramov. Translated by David Floyd.",1963,u,,238.1786339754816
mdp.39015079208693,"Davis-Cooke, Graham.",Dawning gold / | $c: Graham Davis-Cooke.,2008,m,mixed,233.95143981853505
uc2.ark:/13960/t7dr2tf8d,"Bairnsfather, Bruce,",Bullets & billets,1916,m,high_male,224.9334197077665
mdp.39015000655095,"Gordimer, Nadine.",The conservationist / | $c: Nadine Gordimer.,1974,f,high_male,224.80148967167403
