htid,author,title,year,authgender,female_category,streets
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,859.9742219029307
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,647.2212633759061
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,486.2199013635045
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,417.6334106728538
inu.30000084051147,"Cossu, Antoni,",The Sardinian hostage / | $c: Antonio Cossu ; translated from the Italian by Isabel Quigly.,1971,m,high_male,412.41721181585467
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,397.76536312849163
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,382.43560798046354
uc1.b4076279,"Langstaff,","Diary of a driver, | $c: by Langstaff, illustrated by the author.",1943,u,high_male,367.89753372394057
uc1.32106018341088,"Prinz, Martin,",On the run / | $c: Martin Prinz ; translated by Mike Mitchell,2005,m,high_male,367.77536173525544
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,350.04850069587957
mdp.39015072453833,,"Coventry constables' presentments, 1629-1742 / | $c: edited by Levi Fox.",1986,u,high_male,346.92552209727586
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,343.4827721922072
inu.39000003654576,"Barber, Noel,",A handful of ashes; | a personal testament of the battle of Budapest.,1957,m,,338.17990360860233
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,329.95558891599427
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,301.02347983142687
uc1.32106010068143,"Miller, David,",True points : | eight prose texts 1981-1987 / | $c: David Miller.,1992,m,mixed,299.11334259160344
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,297.3830293417922
mdp.39015001790107,"Dos Passos, John,",One man's initiation--1917,1920,m,high_male,296.50300863346996
mdp.39015031918884,"Poli͡akov, A. (Aleksandr),","With a Soviet unit through the Nazi lines | $c: [by] A. Polyakov. Published by authority of Soviet war news, issued by the Press department of the Soviet embassy in London.",1941,u,,293.0249594474387
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,289.3857166905817
njp.32101073695114,"Kennedy, Bart,",The German danger,1914,m,high_male,279.4314178107156
mdp.39015038669662,"Sutcliffe, Halliwell,",The open road,1910,m,,276.8408324317444
uc1.b4137344,"Acōkamittiran̲,",Water (Tannir) / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström.,1993,u,high_female,276.576596351823
mdp.39015031918447,"Grant, Douglas.",The fuel of the fire.,1960,m,high_male,276.4031382015691
mdp.39015032967500,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,275.8258356866093
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,275.6609276507668
uc1.b3752397,"Ionesco, Eugène.",The hermit / | $c: Eugène Ionesco ; translated from the French by Richard Seaver.,1983,u,high_female,275.2697643690817
uc1.32106011930507,"Ashokamitran,",Water / | $c: Ashokamitran ; translated from the Tamil by Lakshmi Holmström,1993,u,high_female,274.28869974094954
mdp.39015030175445,"Keith, Eric A.",My escape from Germany,1918,m,high_male,273.73103293984497
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,272.50018923624253
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,272.3806065008171
uc1.32106013111692,"Balle, Solvej,",According to the law : | four accounts of mankind / | $c: Solvej Balle ; translated from the Danish by Barbara Haveland,1996,u,mixed,271.0678012626956
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,269.69144126279053
wu.89001126705,"Howarth, David Armine,",A near run thing: | the day of Waterloo | $c: [by] David Howarth.,1968,m,high_male,267.95836339276514
uc2.ark:/13960/t7dr2tf8d,"Bairnsfather, Bruce,",Bullets & billets,1916,m,high_male,264.5217015763334
mdp.39015028457037,"Palliser, Charles.",The sensationist / | $c: Charles Palliser.,1991,m,,263.5325477842062
uc1.$b243907,"Mais, Roger.",Brother man. | With drawings by the author.,1954,m,,259.6648795613191
uc2.ark:/13960/t4sj1fg8f,"Bashford, H. H.",Vagabonds in Périgord,1914,m,mixed,257.6054955839058
mdp.39015064690574,"Anderson, Martin,",The Hoplite Journals : | I-XXIX / | $c: Martin Anderson.,2006,m,high_male,257.6001515295009
uc1.$b119620,"Rathbone, Julian,",Hand out.,1968,m,,250.86675874510246
mdp.39015066998314,"Wade, Aubrey.","The war of the guns; | western front, 1917 & 1918, | $c: by Aubrey Wade; with an introduction by Edmund Blunden; illustrated from photographs.",1936,m,high_male,250.8129800041514
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,250.4117346791359
uc1.b4948777,"Mais, Roger",Brother man / | $c: Roger Mais ; introduction by Edward Brathwaite ; with drawings by the author,1974,m,,250.39387801035338
uc1.32106012556582,"Özdamar, Emine Sevgi,","Life is a caravanserai : | has two doors, I came in one, I went out the other = ; Das Leben ist eine Karawanserai ; hat Zwei Türen aus einer kam ich rein aus der anderen ging ich raus / | $c: by Emine Sevgi Özdamar ; translated by Luise von Flotow",2000,u,mixed,249.39698043536524
mdp.39015081814736,"Green, Leonard.",The youthful lover and other prose studies,1919,m,high_male,249.00110023741965
uc1.$b119734,"Coulter, Stephen,",A stranger called the blues.,1968,m,high_male,247.88356720398934
uc1.$b185714,"Heinrich, Willi,",The crumbling fortress. | $c: Translated from the German by Michael Glenny.,1963,m,high_male,247.31589513806045
uc1.32106014173949,"Petterson, Per,",To Siberia / | $c: Per Petterson ; translated from the Norwegian by Anne Born,1998,m,mixed,245.8323730506261
uc2.ark:/13960/t4wh2gg7b,"Butler, Patrick Richard,",A galloper at Ypres,1920,m,high_male,241.50422632396067
mdp.39015034348261,"Pasolini, Pier Paolo,",A dream of something / | $c: Pier Paolo Pasolini ; translated from the Italian and with an introduction by Stuart Hood.,1988,m,high_female,238.94862604540023
mdp.39015005201168,"Calvino, Italo.","Marcovaldo, or, The seasons in the city / | $c: Italo Calvino ; translated from the Italian by William Weaver.",1983,m,,238.5238523852385
mdp.39015002206210,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,high_male,236.44291592458393
inu.39000002580509,"Plivier, Theodor,","Moscow, | a novel; | $c: translated from the German by Stuart Hood.",1953,m,mixed,233.7584187747356
uc1.32106015061093,"Garmendia, Salvador",Memories of Altagracia / | $c: Salvador Garmendia ; translated from the Spanish by Jeremy Munday ; with an introduction by Fernando Ainsa,1998,m,high_male,233.7215023782188
mdp.39015021924884,"Kiely, Benedict.","The cards of the gambler, | a folktale.",1953,m,mixed,232.66680944685658
mdp.39015066090047,"Hamilton, Hugo.",Last shot / | $c: Hugo Hamilton.,2006,m,high_female,232.05857911159194
mdp.39015060807727,"Cunliffe, Barry W.",Fishbourne : | a guide to the site / | $c: by Barry Cunliffe ; with the results of recent excavations in the north wing by David J. Rudkin.,1977,m,high_male,231.96810438564697
njp.32101074257377,"Graham, Stephen,",A vagabond in the Caucasus,1915,m,mixed,231.1878312210274
mdp.39015019125452,"pseud. Zeno,",The cauldron | $c: [by] Zeno.,1966,m,high_male,230.99133782483156
mdp.39015064708210,"Collins, Richard,",Overland / | $c: Richard Collins.,2006,m,mixed,230.88903168189591
mdp.39015005019669,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,,230.51529179631174
mdp.39015009195960,"Crisp, Robert.",The gods were neutral.,1960,m,high_male,230.01503450225516
mdp.39015028919572,"Tizón, Héctor.",The man who came to a village / | $c: Héctor Tizón ; translated by Miriam Frank.,1993,u,high_female,229.21176620399848
mdp.39015016915939,"Borden, Mary.","The forbidden zone, | $c: by Mary Borden.",1929,f,high_male,228.7772585669782
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,228.48743987172634
