htid,author,title,year,authgender,female_category,trains
mdp.39015006100492,,A Book of railway journeys / | $c: compiled by Ludovic Kennedy.,1981,u,,660.2718861901907
mdp.39015064331484,"Williams, Herbert Darkin,","The steel highway, a romance of the railway, | $c: by Herbert D. Williams.",1925,m,high_male,565.2744662040882
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,534.2995762451636
mdp.39015047594034,,The Penguin book of Indian railway stories / | $c: edited by Ruskin Bond.,1994,u,high_male,391.6915460971191
mdp.39015028025560,"Matveev, Vladimir.","The commissar of the gold express; | an episode in the civil war, | $c: by V. Matveyev; illustrations by Ernst.",1933,u,high_male,385.98519457756066
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,373.98962480395704
mdp.39015030855764,"Bayley, Victor,",Indian artifex. | $c: Woodcut decorations by P. Youngman Carter.,1939,m,high_male,348.3827969584667
mdp.39015021319069,"Webster, Henry Charles,",2750: | legend of a locomotive. | $c: Illustrated by R. Barnard Way.,1953,m,high_male,347.14109282686337
mdp.39015020727973,"Francis, Dick.",The edge / | $c: Dick Francis.,1988,m,,337.52570560009536
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,324.3548159638979
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,319.499233853878
uc1.b3752270,"Simenon, Georges,",The train. | $c: Translated from the French by Robert Baldick.,1964,m,high_female,304.1503854683705
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,286.76451419484346
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,268.0264592136895
uc2.ark:/13960/t1gh9f65g,"Littlefair, Mary.",An English girl's adventures in hostile Germany,1915,f,mixed,263.47305389221555
uc1.$b83911,"Bayley, Victor,","Permanent way through the Khyber, | $c: by Victor Bayley.",1934,m,high_male,253.958085476343
mdp.39015077638164,"Marston, Edward.",Murder on the Brighton Express / | $c: Edward Marston.,2008,m,,251.74655491411298
uc1.32106016706043,"Buĭda, I͡Uriĭ",The zero train / | $c: Yuri Buida ; translated and with an afterword by Oliver Ready,2001,u,high_male,250.37847909630838
uc1.$b322906,"Aiken, Conrad,",A heart for the gods of Mexico.,1939,m,high_female,242.02656913892326
uiuo.ark:/13960/t55d9b38m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,1892,m,mixed,238.65209297885542
mdp.39015035775363,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,221.6636197440585
mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,218.91817933047523
mdp.39015063583309,"Southerns, Leonard.",An outline of relativity ...,1923,m,high_male,217.84428869103996
mdp.39015029533471,"Drevet, Patrick,",La micheline / | $c: Patrick Drevet ;translated by James Kirkup.,1993,m,high_female,214.47721179624665
uc1.$b605193,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930,u,high_female,213.91604370327775
mdp.39015058264964,"Baricco, Alessandro,",Lands of glass / | $c: Alessandro Baricco.,2003,m,high_male,210.47771652046387
pst.000049380361,"Jewesbury, Daniel.",Lived between lines / | $c: Daniel Jewesbury.,2001,m,,204.55667630669393
mdp.39076005032920,"Christie, Agatha,",Murder on the Orient express.,1968,f,,199.23295313044778
mdp.39015035917627,"Jecchinis, Chris.","Beyond Olympus; | the thrilling story of the ""train-busters"" in Nazi-occupied Greece. | $c: With a foreword by C. M. Woodhouse.",1960,m,,198.79862700228833
uc1.b3148809,"Kellermann, Bernhard,",The tunnel / | $c: by Bernhard Kellerman.,1936,u,mixed,196.22204740073605
mdp.39015011956490,"MacHarg, William Briggs,",The blind man's eyes,1916,m,mixed,194.99982969447188
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,193.403155747667
uc2.ark:/13960/t55d8sb4t,"Price, Julius M.",On the path of adventure,1919,m,high_male,189.60296572997143
mdp.39015033585244,"Strati, Saverio,",The lights of Reggio. | $c: Translated from the Italian by Angus Davidson.,1965,m,,188.2740564233813
uc1.32106005226854,"Avery, Gillian,",The lost railway / | $c: Gillian Avery.,1980,f,,187.5664071817334
mdp.39015008442041,"Wain, John.",The smaller sky / | $c: John Wain.,1967,m,high_male,182.8061583872807
mdp.39015026305204,"Griffith, George.",Briton or Boer?,1897,m,high_male,181.45125599674273
mdp.39015000618754,"Greene, Graham,",The collected edition.,1970,m,,181.19125010981287
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,181.16944183216242
inu.32000000359739,"Greene, Graham,","Stamboul train, | $c: by Graham Greene.",1932,m,mixed,179.74366989684276
uc1.$b105776,"McDonell, Gordon,",Burning secret / | $c: Gordon McDonell.,1959,m,,179.60130740827503
inu.30000003994732,"Morley, Des.",Children of fear / | $c: Des Morley.,1990,u,high_male,179.28218501235244
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,177.12261455833618
uc1.b3762859,"Japrisot, Sébastien,",The 10:30 from Marseille. | $c: Translated by Francis Price.,1964,u,,176.6855398947918
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,174.35058231565102
mdp.39015053482330,"Rees, David,",Out of the winter gardens / | $c: David Rees.,1984,m,,174.10368841888058
mdp.39015049860797,"Josipovici, Gabriel,",The air we breathe / | $c: Gabriel Josipovici.,1981,m,,173.61855360740773
uc1.b4180718,"Mahoff, Alexis.","Smell of smoke,",1936,m,,172.53835366112787
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,170.62040044402417
uiuo.ark:/13960/t6b28dx0b,"Moore, Frank Frankfort,",A gray eye or so,1893,m,mixed,163.39147714727312
mdp.39015019789240,"Ihimaera, Witi,",Tangi | $c: [by] Witi Ihimaera.,1973,u,high_female,160.48663689898402
mdp.39015062063501,"Haddon, Mark.",The curious incident of the dog in the night-time / | $c: Mark Haddon.,2003,m,high_female,159.4700686947988
uc1.$b479444,"Hámori, Laszlo,",Dangerous journey. | $c: Translated from the Swedish by Annabelle MacMillan. Illustrated by W.T. Mars.,1963,u,high_male,152.9769310787933
uc1.32106002020177,"Waugh, Alec,",Brief encounter : | a novel / | $c: by Alec Waugh.,1975,m,high_female,148.51175587793898
mdp.39015018993504,"Hopkins, John,",In the Chinese mountains / | $c: John Hopkins.,1990,m,mixed,148.15356757448833
mdp.39015003875179,"Wittlin, Józef,","Salt of the earth,",1939,u,high_male,147.28833398361294
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,144.5608962775569
uiuo.ark:/13960/t83j3v84f,,The Golden calf,1849,u,mixed,143.97051483856106
mdp.39015078785808,"Fleming, James,",Cold blood / | $c: James Fleming.,2009,m,high_male,143.65400779399403
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,142.43661570601083
nyp.33433082444211,"Hare, Francis Augustus.",The last of the bushrangers,1895,m,high_male,141.8953909891248
mdp.39015058119853,"Fleming, James,",Thomas Gage / | $c: James Fleming.,2003,m,,141.03946842450617
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,140.48890137679123
uc1.$b176799,"Ceccherini, Silvano.",The transfer (La traduzione);,1966,m,,139.0473474044495
njp.32101072858358,"Dickens, Charles,",Mugby Junction,1898,m,,138.923344083354
inu.30000036578213,"Fink, Ida.",The journey / | $c: Ida Fink ; translated by Joanna Weschler and Francine Prose.,1992,f,high_female,137.12022142376497
uc1.$b674189,"Makucewicz, Peter.","I escaped from Germany, | $c: by Peter Makucewicz.",1944,m,mixed,136.24163816945736
mdp.39015014612710,"Blyton, Enid.",The big Noddy book / | $c: by Enid Blyton.,1959,f,mixed,135.79576317218903
mdp.39015061859792,"Raj Rao, R. (Ramachandrapurapu),",The boyfriend / | $c: R. Raj Rao.,2003,u,high_male,135.31341970839958
mdp.39015066053714,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,135.1826614498615
mdp.39015030175445,"Keith, Eric A.",My escape from Germany,1918,m,high_male,134.23348730703935
mdp.39015024982368,"Pristavkin, Anatoly,",The Inseparable twins / | $c: Anatoly Pristavkin ; translated from the Russian by Michael Glenny.,1991,u,mixed,134.0596310814709
mdp.39015038555606,"Pervent͡sev, Arkadiĭ Alekseevich,",The test.,1944,u,high_male,133.45333788523013
uc2.ark:/13960/t0dv1hg1g,"Howe, Sonia Elizabeth,",Real Russians,1917,f,,133.0889184642041
nyp.33433043830078,"Stevenson, Rennie.",Through Rhodesia with the sharpshooters,1901,f,high_male,131.02071375093587
mdp.39015031918884,"Poli͡akov, A. (Aleksandr),","With a Soviet unit through the Nazi lines | $c: [by] A. Polyakov. Published by authority of Soviet war news, issued by the Press department of the Soviet embassy in London.",1941,u,,130.81471403903512
uc1.$b745559,"Clarke, Basil.",My round of the war;,1917,m,high_male,130.68217912533692
mdp.39015002754417,"St. John, Robert,","The man who played God, | a novel.",1963,m,,129.79850592449404
uc1.$b120148,,"A calendar of letters; | extracts from the publications of Number Five John Street, 1910-1925.",1926,u,,129.63930998431783
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,128.8518477903279
mdp.39015000630858,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,128.10807663192222
wu.89041256702,"Tute, Warren.",Escape Route Green.,1971,m,high_male,126.49105002279781
mdp.39015007061354,"Solzhenit͡syn, Aleksandr Isaevich,",Stories and prose poems | $c: [by] Alexander Solzhenitsyn. Translated by Michael Glenny.,1971,m,mixed,126.20360848836123
mdp.39015031288627,"Balestier, Charles Wolcott,",The average woman,1892,m,mixed,125.65632993762061
mdp.39015030663762,"Wittlin, Tadeusz.",A reluctant traveller in Russia. [Translated from the Polish by Noel E. P. Clark],1952,m,,125.06831462563585
