htid,author,title,year,authgender,female_category,urban_others
pst.000032008142,"Brook, Peter.",Peter Brook.,1994,m,high_male,500.79206908886505
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,472.5509533201841
mdp.39015059287584,"Momjian, Serge.",The singer of the opera / | $c: Serge Momjian.,2004,m,high_female,409.19052184632244
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,375.8919469928644
coo.31924087514372,,"The Vintage book of office life, or, Love among the filing cabinets / | $c: edited, with an introduction, by Jeremy Lewis.",1998,u,,361.90313097582555
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,285.4890018760706
uc1.$b796103,"Werfel, Franz,","Verdi; | a novel of the opera / | $c: Franz Werfel, translated  by Helen Jessiman.",1923,m,mixed,270.0591747309337
wu.89006984728,"Wodehouse, P. G.",William Tell told again,1904,m,high_male,264.4609498086878
mdp.39015017751713,"Taylor, Alistair.",Yesterday : | the Beatles remembered / | $c: Alistair Taylor with Martin Roberts.,1988,u,high_male,254.70496674685157
uc1.b4362247,"Anderman, Janusz,",The edge of the world / | $c: by Janusz Anderman ; preface by Jerzy Pilch ; translated by Nina Taylor.,1988,u,high_male,252.69928784746153
mdp.39015024986732,"Poliakoff, Stephen,",Close my eyes / | $c: Stephen Poliakoff.,1991,m,high_female,243.83542825743527
mdp.39015056224192,"Thapa, Manjushree.",The tutor of history / | $c: Manjushree Thapa.,2001,u,,231.39674737227423
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,228.27455919395467
mdp.39015029213868,"Modiano, Patrick,",Honeymoon / | $c: Patrick Modiano ; translated from the French by Barbara Wright.,1992,m,high_female,227.63379413368742
mdp.39015032763081,"Purdy, James,",Out with the stars / | $c: James Purdy.,1992,m,,224.18291228024174
mdp.39015032138300,"Nayman, Michele.",Jetlag : | a novel / | $c: Michèle Nayman.,1994,f,,221.52687397889957
uc1.b2840598,"Simenon, Georges,",Maigret takes the waters / | $c: Georges Simenon ; translated from the French by Eileen Ellenbogen.,1969,m,high_female,221.41250719154797
mdp.39015038166156,"Chukovskai͡a, Lidii͡a Korneevna.",The deserted house / | $c: Lydia Chukovskaya ; translated from the Russian by Aline B. Werth.,1967,u,high_female,219.23814743765416
uc1.b3473209,"Sotabinda, Maurice.",The money-doublers / | $c: Maurice Sotabinda.,1985,m,mixed,218.86574630814374
mdp.39015050498065,"Smith, Ali,",Hotel world / | $c: Ali Smith.,2001,m,high_female,217.59883198562443
uc1.32106011414254,"Simenon, Georges,",Maigret's failure / | $c: Georges Simenon ; translated from the French by Daphne Woodward,1962,m,,215.134019713301
mdp.39015063963832,"Quin, Shirland.","I sing of Honolulu, | $c: by Shirland Quin.",1935,u,mixed,214.12264819334015
uiuo.ark:/13960/t51g1cb2p,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,,209.38386629167545
uc1.32106014264334,"Atxaga, Bernardo",The lone man / | $c: Bernardo Atxaga ; translated from the Spanish by Margaret Jull Costa,1996,m,,209.25428769436763
uc1.b3125641,"Berners, Gerald Hugh Tyrwhitt-Wilson, Baron,","Count Omega, | $c: by Lord Berners. With a frontispiece by the author.",1941,m,mixed,206.94090998070416
uc1.b3565307,"Forester, C. S. (Cecil Scott),",Marionettes at home.,1936,m,,206.8706118355065
mdp.39015039745800,"Tierney, Jane.",Tōbō : | one woman's escape.,1985,f,high_female,206.28311884935655
mdp.39015013518900,"Simenon, Georges,",The night-club / | $c: Georges Simenon ; translated from the French by Jean Stewart.,1979,m,high_female,205.28289239405936
mdp.39015029101790,"Lively, Adam.",Sing the body electric : | a novel in five movements / | $c: Adam Lively.,1993,m,mixed,201.5484229137626
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,199.04898816764347
uc1.32106011414197,"Simenon, Georges,",Madame Maigret's friend / | $c: Georges Simenon ; translated from the French by Helen Sebba,1967,m,high_male,198.24880224681976
mdp.39015037444844,"Palin, Michael.",Hemingway's chair / | $c: Michael Palin.,1995,m,mixed,197.79798367157463
mdp.39015019119463,"Trevor, William,",Mrs. Eckdorf in O'Neill's Hotel.,1969,m,,197.54964246297104
mdp.39015053577055,"Mokoso, Ndeley.","Man pass man, and other stories / | $c: Ndeley Mokoso.",1987,u,high_male,197.308621721684
uc1.b3346278,"Dunning, Philip,",Broadway : | a novel / | $c: by Philip Dunning and George Abbott.,1928,m,mixed,197.2629762051535
inu.30000045132572,"Chitambo, John.",Secret blood / | $c: John Chitambo.,1993,m,,194.50447669033653
mdp.39015002716614,"Rhys, Stella.",Five stories.,1952,f,,194.29389508129665
mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923,m,high_male,193.99264110559773
uc1.$b120264,"Bradley, Marjorie D.",The long walkabout | $c: [by] Marjorie D. Bradley.,1968,f,,193.5115007403281
mdp.39015025927370,"Koš, Erih.",The strange story of the great whale also known as Big Mac. | $c: Translated from the Serbo-Croat by Lovett F. Edwards.,1962,u,,192.09930056152103
mdp.39015049678942,"Mathur, Anurag.",Scenes from an executive life / | $c: Anurag Mathur.,2000,u,high_male,191.0497034908602
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,190.87588784818024
mdp.39015034995848,"Griffiths, Janette.",The singing house / | $c: Janette Griffiths.,1995,f,,190.83969465648855
mdp.39015070219053,"Strong, L. A. G. (Leonard Alfred George),","The big man, | $c: by L. A. G. Strong.",1931,m,high_female,188.59551808298204
inu.32000006722955,"Buchanan, Meriel,","Petrograd, the city of trouble, 1914-1918",1918,u,high_male,187.65036086607859
mdp.39015011346924,"Kubly, Herbert.",Easter in Sicily.,1956,m,mixed,187.01155534557768
mdp.39015054068088,"Hrabal, Bohumil,",A close watch on the trains; | $c: translated by Edith Pargeter.,1968,m,,185.83118703745964
mdp.39015080823795,,Midsummer nights / | $c: edited by Jeanette Winterson.,2009,u,,183.1636017290644
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,182.64313454070057
uc1.$b684901,"Altman, Phyllis.",The law of the vultures / | $c: by Phyllis Altman.,1954,f,high_male,181.66129252009628
njp.32101013041064,"Balzac, Honoré de,",Comedy of human life,1887,f,mixed,179.75333270991138
mdp.39015003664318,"Narayan, R. K.,",The dark room / | $c: R. K. Narayan.,1978,m,high_female,179.5430811791217
mdp.39015046880368,"Singh, Ajay,","Give 'em hell, Hari / | $c: Ajay Singh.",1998,u,high_male,179.48181507867469
mdp.39015064872859,"Ballard, J. G.,",Kingdom come / | $c: J.G. Ballard.,2006,m,mixed,178.40186458722988
mdp.39015041621841,"Karagiōrgas, Geōrgios,",The fall of a dictator / | $c: George Karagiorgas.,1997,u,high_male,177.917955560947
mdp.39015001528036,"Cendrars, Blaise,",To the end of the world; | $c: translated from the French by Alan Brown.,1967,u,,176.5515590400383
uc1.b4097211,"Chitty, Thomas Willes, Sir, bart.,","Games of chance; | the interviewer, the investigator, | $c: [by] Thomas Hinde.",1965,m,,176.45171639396855
uc1.$b243801,"Jacobson, Dan.",The price of diamonds.,1957,m,high_male,176.2125548320982
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,175.71497818710617
uc1.b2841234,"Fisher, Michael.",The executive : | a novel / | $c: by Michael Fisher.,1969,m,,175.6090603578146
uc1.32106011414098,"Simenon, Georges,",Maigret's revolver; | $c: translated from the French by Nigel Ryan,1954,m,,175.5021842391408
uc1.$b807432,"Morgan, Robert,",The winds blow red / | $c: by Robert Morgan.,1962,m,high_male,175.37080521951074
uc1.32106011414155,"Simenon, Georges,",Maigret loses his temper / | $c: translated from the French by Robert Eglesfield,1967,m,high_male,174.56465278664794
uc1.32106009000859,"Okri, Ben.",Stars of the new curfew / | $c: Ben Okri.,1988,m,,173.60483200115738
uc1.b5032759,"Stead, Christina,",The little hotel : | a novel / | $c: Christina Stead.,1973,f,,173.47752486744358
uc1.32106017532174,"Stark, Richard",The green eagle score / | $c: Richard Stark,1986,m,mixed,173.24072440288094
