htid,author,title,year,authgender,female_category,vertical
uc1.b3888656,"Williamson, Henry,","Salar the salmon, | $c: by Henry Williamson.",1935,m,high_male,1284.0105886526758
inu.32000014254751,"Richter, Hans Werner,",The odds against us / | $c: Hans Werner Richter ; translated by Robert Kee.,1950,m,,1203.1867149735242
uc1.b4356098,"Woolf, Douglas,","Spring of the lamb; | $c: a tale by Douglas Woolf. Broken field runner; a Douglas Woolf notebook, by Paul Metcalf. With two photos. by Ralph Eugene Meatyard",1972,m,high_male,1186.145816859086
mdp.39015010389347,"O'Connor, John J. (John Joseph),","Come day, go day.",1984,m,,1180.7298309129058
mdp.39015018022502,"Macfie, Harry,",Wasa-wasa; | a tale of trails & treasure by Harry Macfie and Hans G. Westerlund. | $c: Translated from the Swedish by F.H. Lyon & illustrated by Jack Robinson.,1953,m,high_male,1175.609804328696
uc1.32106002182878,"Padgett, Ron,",The adventures of Mr. and Mrs. Jim and Ron | $c: [by] Jim Dine and Ron Padgett.,1970,m,high_male,1169.5906432748538
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,1163.9574553481839
mdp.39015003931675,"Golding, William,",Pincher Martin.,1956,m,high_male,1152.8158683589515
mdp.39015019205106,"Tregenza, L. A.",The Red Sea mountains of Egypt.,1955,u,high_male,1152.710919096081
uc1.b4087141,"Bagnold, Enid.","Alice and Thomas [and] Jane, | $c: by Enid Bagnold; illustrated by the author and Laurian Jones.",1930,f,mixed,1149.3663092000616
uc1.b3296224,"Macfie, Harry,","Wasa-wasa, | a tale of trails and treasure,",1951,m,high_male,1146.808984628498
uc1.32106014786138,"Wurlitzer, Rudolph",Quake / | $c: Rudolph Wurlitzer,1995,m,mixed,1137.5105130361649
uc1.$b188443,"Frison-Roche, Roger,","First on the rope, | a novel, | $c: tr. by Janet Adam Smith.",1949,m,high_male,1127.7466400325816
uc1.31822013422639,"(Leonard Harrison) Matthews, L. Harrison",Wandering albatross; | adventures among the albatrosses and petrels in the Southern Ocean. | $c: Illustrated by the author,1951,m,high_male,1107.2948172450915
mdp.39015041543888,"Warner, Alan.",These demented lands / | $c: Alan Warner.,1997,m,,1093.1701935613278
wu.89098657877,"Percy, Cyril Heber.",Hym : | the life story of a famous fox / | $c: by Cyril Heber Percy ; illustrated by Michael Lyne.,1959,m,,1082.089552238806
mdp.39015048881596,"Salisbury, Ray.",Birds of the air : | a novel / | $c: by Ray Salisbury.,1988,m,,1070.8459296257065
coo.31924003394628,"Lidman, Hans Gustav Otto,",People of the forest.,1963,m,high_male,1052.0047637951568
uc2.ark:/13960/t7rn33g2q,"Taylor, Neville.",Ibex shooting on the Himalayas,1903,u,high_male,1045.3295825075122
mdp.39015031237665,"Hanley, James,",No directions. | $c: With an introd. by Henry Miller.,1946,m,,1037.125115603118
uc1.b4340672,"Wightman, Frank Armstrong.",The wind is free.,1949,m,high_male,1035.1928116810184
uc1.b4457279,"Tomkies, Mike.",Golden eagle years / | $c: Mike Tomkies.,1982,m,,1034.6719619575158
uc1.$b174673,"Lord, Derek Rowland,","""Germany quivers,"" | $c: edited by Peter Rance ...",1942,m,high_male,1031.5958632487493
pst.000049733785,"Laurie, Peter.",Mauby's big adventure / | $c: by Peter Laurie ; illustrated by H. Ann Dodson.,2000,m,high_male,1029.9797682545523
mdp.39015022430865,"Nünlist, Hugo.",Spitzbergen; | the story of the 1962 Swiss-Spitzbergen Expedition; | $c: translated from the German by Oliver Coburn.,1966,m,,1027.103115903994
mdp.39015000519630,"Kennett, John.",Two eggs on my plate | $c: [by] Oluf Reed Olsen; retold by John Kennett.,1972,m,high_male,1018.3007285870002
uc1.32106019834404,"Beard, G. S",Lieutenant Fury / | $c: G.S. Beard,2007,u,high_male,1011.0831791806985
uc1.b4949097,"Hewison, Rowan.",Salt pan / | $c: by Rowan Hewison.,1980,m,,1008.1597420153423
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,1007.8368296772869
