htid,author,title,year,authgender,female_category,windows
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,high_male,264.71074835934485
uc1.$b391733,"Thomas, Dylan,",The followers : | a story / | $c: by Dylan Thomas ; with illustrations by Meg Stevens.,1976,m,high_female,255.49310168625448
uc1.$b157073,"Arrabal, Fernando.",The burial of the sardine; | $c: translated from the French by Patrick Bowles.,1966,m,high_male,230.58862988428643
mdp.39015073907191,"Kuyper, Sjoerd.",Josie / | $c: Dutch Cooper ; translated by Patricia Crampton.,2000,u,high_female,211.864406779661
mdp.39015061210301,,The book of St Andrews / | $c: edited by Robert Crawford.,2005,u,high_female,204.1209320238783
inu.30000000878250,"Bednarczyk, Czesław.",Kubus : | my friend the cat / | $c: Czesław Bednarczyk.,1988,u,high_male,193.05019305019306
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,192.91430954925832
mdp.39015005019669,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,,191.62176519693406
mdp.39015002206210,"Robbe-Grillet, Alain,",Jealousy; | a novel. | $c: Translated by Richard Howard.,1965,m,high_male,190.38260762758705
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,189.9696048632219
uc1.b3750429,"Butor, Michel.",Second thoughts. | $c: Translated from the French by Jean Stewart.,1958,m,high_female,189.17576436520434
nyp.33433074876230,"MacIlwaine, Herbert C.",The tower maiden,1907,m,high_male,187.05362203831766
uc1.b4692438,"Vince, Charles.","Barrie Marvell, his dreams and adventures",1922,m,high_male,186.953520478601
mdp.39015000631336,"Laver, James,","The laburnum tree, | and other stories.",1935,m,high_male,183.5985312117503
mdp.39015015407326,"James, M. R.",The five jars,1922,u,high_female,180.8924025190942
mdp.39015073918511,"Gallas, John,",The book with twelve tales / | $c: John Gallas.,2008,m,high_male,178.26232981114526
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,177.3852657004831
mdp.39015073496062,"Neukrantz, Klaus,",Barricades in Berlin / | $c: Klaus Neukrantz.,1932,u,,176.70607368486895
inu.30000093786220,"Lash, Jennifer.",The climate of belief.,1962,f,,174.57129615325198
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,163.73074959789653
uc1.$b322847,"Boden, Frederick C.","Flo; | a novel, | $c: by F. C. Boden.",1933,m,,162.7622542101797
mdp.39015014119625,"Ruyslinck, Ward,",The deadbeats: | a novel | $c: [by] Ward Ruyslinck; translated from the Flemish by R. B. Powell.,1968,m,high_male,161.1285075852005
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,160.54585591009433
mdp.39015012187459,"Banville, John.",Mefisto / | $c: John Banville.,1986,m,,159.5405232929164
mdp.39015011573626,"Weiss, Peter,","The conversation of the three walkers; | and, The shadow of the coachman's body; | $c: translated by S. M. Cupitt.",1972,m,high_male,159.46354826838942
uc1.$b115274,"Day Lewis, C. (Cecil),",The Otterbury incident; | $c: illus. by Edward Ardizzone.,1948,u,high_male,156.71289339229745
mdp.39015012414341,"Poliakoff, Stephen,","Runners ; &, Soft targets / | $c: Stephen Poliakoff.",1984,m,,156.12130748521764
mdp.39015063276706,"Taylor, Chad,",Departure lounge / | $c: Chad Taylor.,2006,m,,155.45340576681988
uc1.32106006845306,"Tolstoy, Aleksey Nikolayevich, graf,",Nikita's childhood / | $c: Alexei Tolstoy. Translated by Violet Lansbury Dutt.,1940,u,high_female,154.55599245403096
mdp.39015014863271,"Mittelhölzer, Edgar.",The weather family; | a novel.,1959,m,high_female,154.50032579416526
