htid,author,title,year,authgender,female_category,england_as_such_intensity
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,mixed,559.0496156533892
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,mixed,514.5989484282358
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,494.78341166255495
uc2.ark:/13960/t4nk3bv1m,"James, G. P. R.",Dark scenes of history,1849,m,high_male,292.3345237106553
nnc1.0035530944,"Hudson, W. H.",The purple land that England lost,1885,m,,259.02864259028644
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,251.032162699424
nnc1.0022575324,"Hudson, W. H.",The purple land that England lost,1885,m,,219.8876129978011
inu.30000007177755,"Plaidy, Jean,",The bastard king / | $c: Jean Plaidy [i.e. E. Hibbert].,1974,f,high_male,209.29323285213775
inu.32000009470826,"De Polnay, Peter,",Death and to-morrow.,1942,m,,205.35537026007543
uc1.$b80840,"Delarue-Mardrus, Lucie,",William the Conqueror; | $c: translated by Colin Shepherd.,1933,u,high_male,199.8947922146239
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,197.36257736894672
inu.32000011265255,"Coryn, M. S.,","The acquirer, 1027-1087, | $c: by M. Coryn.",1934,u,high_male,194.46398278786876
uc2.ark:/13960/t19k49671,"O'Donovan, Gerald,",Conquest,1920,m,,190.7571591856909
uc1.b4091228,"Lewis, Hilda Winifred,",Wife to the Bastard | $c: [by] Hilda Lewis.,1966,f,,190.49774609102397
mdp.39015070310894,,John Bull and his wonderful lamp,1849,u,high_male,189.07715802487093
njp.32101065836619,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,188.6527697656652
nyp.33433074879838,"De Longueville, Thomas,",The prigment;,1892,m,high_male,183.2022041071378
uc1.32106005651358,"Westlake, Donald E.",The handle / | $c: Richard Stark.,1985,m,high_male,180.4160181123532
uc2.ark:/13960/t5w66c784,"Lytton, Edward Bulwer Lytton,","Harold, the last of the Saxon kings;",1848,m,,178.4703782701432
uiuo.ark:/13960/t9q24kd0d,"Tupper, Martin Farquhar,",Stephan Langton,1858,m,,175.82932833196577
mdp.39015059246887,"Hawes, J. M. (James M.)",Speak for England / | $c: James Hawes.,2005,m,high_male,175.4284820082855
njp.32101065836593,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,172.0416653633207
uc2.ark:/13960/t1xd0z54b,"Capes, Bernard Edward Joseph,",Where England sets her feet;,1918,m,high_male,168.1887750811511
mdp.39015063974300,"White, Richard Grant,",Mr. Washington Adams in England,1883,m,,165.99478302110504
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,165.16129032258064
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,163.91203387515367
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,161.92349312417556
nnc1.1002331357,"Neele, Henry,",The romance of history,1833,m,,160.4336570365959
mdp.39015031299079,"Morier, James Justinian,","The adventures of Hajji Baba of Ispahan, | $c: by James Morier.",1925,m,high_male,159.517497550267
uc2.ark:/13960/t1wd3tw5d,"Trowbridge, W. R. H.",Court beauties of old Whitehall,1906,m,mixed,155.45096862034586
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,154.19277090397384
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,153.37771819400578
uc2.ark:/13960/t3pv6jb2s,"Sampson, George,",A day with Felix Mendelssohn Bartholdy,1910,m,high_male,152.65056897030252
uc1.b3322745,"Herbert, Henry William,",Oliver Cromwell,1840,m,high_male,151.4594515109183
mdp.39015038538826,"Hope, Christopher.",Darkest England / | $c: Christopher Hope.,1996,m,mixed,150.97937939528785
uc2.ark:/13960/t2988792t,"Maclean, Donald.","The luck of the ""Gold Moidore""",1920,m,high_male,148.29676800279148
uiuo.ark:/13960/t8jd5541b,"Charles, Elizabeth Rundle,",Against the stream,1873,f,high_female,145.8592188428502
uc2.ark:/13960/t4sj1d82f,"Hales, A. G.",The watcher on the tower,1904,m,,136.65293897416697
mdp.49015001034512,"(Gilbert Keith), Chesterton, G. K.","The sword of wood, | a story | $c: by G.K. Chesterton.",1928,u,high_male,136.56538067599865
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,135.99313234681648
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,135.75605680868838
mdp.39015078569764,"Ross, Joseph Carne-","Quintura, its singular people and remarkable customs;",1886,m,,133.29687606808395
nnc1.1002331250,"Neele, Henry,",The romance of history,1833,m,,133.08954314215703
hvd.hwe4lw,"Ritchie, Leitch,",The romance of history,1831,m,high_male,131.7491206652726
mdp.39015051144783,"Byrne, Donn,","The power of the dog, | $c: by Donn Byrne.",1929,m,,131.25284702866716
mdp.39015059427495,"Williamson, A. M.",What I found out in the house of a German prince,1915,f,,130.4666416456669
uc2.ark:/13960/t5w66cv1t,"Ghosh, Sarath Kumar,",The prince of destiny,1909,m,mixed,129.73792938264705
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,128.25348924933988
mdp.39015063239969,"Knight, Margaret,",Ginger Lily / | $c: Margaret Knight.,2004,f,mixed,128.08662353096528
njp.32101065836601,"Michel,","Henry of Monmouth, or, The field of Agincourt",1841,m,mixed,126.30914162412505
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,124.68257418041226
dul1.ark:/13960/t01z4w03g,"Ford, Douglas Morey.",The raid of Dover,1910,m,mixed,124.47680841463225
mdp.39015003929703,"Gibbs, Philip,","The middle of the road; | a novel, | $c: by Philip Gibbs.",1920,m,mixed,124.33392539964476
mdp.39015009035422,"Lyly, John,",Euphues. | The anatomy of wit.,1928,m,high_female,124.16100409367662
inu.32000002425082,"Bowen, Marjorie,",The governor of England,1913,f,,124.12889241742592
mdp.39015048890829,"Lyly, John,",Euphues. | The anatomy of wit.,1928,m,,123.91897685800036
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,122.92969214703976
uc2.ark:/13960/t2q52jk6g,"Wood, Eric Erskine.",A bachelor in Japan,1916,m,high_female,122.88564406534624
njp.32101067627628,"Appleton,",Edgar,1816,f,high_male,121.4710563793248
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,120.58420636298742
