htid,author,title,year,authgender,female_category,gb_england_suba1_intensity
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,976.8711392041376
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,975.4785366406162
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,828.9001608313745
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,806.2834503371099
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,797.2364601741607
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,675.5418201988987
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,642.9756637168142
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,637.3047693136257
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,636.4139457664637
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,555.7547508067406
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,524.7547342003194
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,516.5657285358035
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,516.4598350300959
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,509.592978941179
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,493.74418364181577
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,491.69559913671753
uiuo.ark:/13960/t50g4495m,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,491.0461342994008
uiuo.ark:/13960/t3jw8ts57,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,490.7677356656948
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,488.1165799889952
uiuo.ark:/13960/t9s18j533,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,476.4806914510499
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,472.11566833874303
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,464.41399190135206
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,456.72162015985265
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,452.6886965004268
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,441.955054647913
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,430.1467712922651
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,429.2343387470998
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,427.6944751937205
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,425.7847311615011
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,419.860372015818
inu.30000114945995,"Lane, Jane,",Heirs of Squire Harry / | $c: Jane Lane.,1974,f,mixed,417.1194608182128
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,413.62588252074073
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,411.6518402232687
uc2.ark:/13960/t12n5226r,"Buchanan, Robert Williams,",Andromeda; an idyll of the great river,1901,m,,409.4051529221293
uc1.b3321304,"Crake, A. D.",The last abbot of Glastonbury,1886,u,mixed,406.2888942933578
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,398.21551543459384
uiuo.ark:/13960/t1zc8db1h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,398.1370192307692
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,397.2527341039078
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,391.4719344736208
uiuo.ark:/13960/t9d516b21,"Moriarty, Henrietta Maria.",Brighton in an uproar;,1811,f,high_female,390.28923219886167
inu.30000118485758,"Maddock, Llywelyn W.,","West Country folk tales, | $c: by Llywelyn W. Maddock. Illus. by Harold W. Hailstone.",1965,u,mixed,389.3992665683718
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,389.3964355249363
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,388.8118632828983
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,382.4806847254213
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,379.3719558459995
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,378.6444528587657
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,378.0241935483871
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,375.3743198976507
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,374.9736675795239
mdp.39015059376221,,The New British novelist;,1830,u,,373.22173118665773
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,370.6906145930537
uc2.ark:/13960/t2w37sp12,"Bell, May.",What of the night?,1918,f,high_female,369.0459161779431
uc2.ark:/13960/t9k35vq9k,"Newbigging, Thomas.",Lancashire humour,1901,m,high_male,367.5916719394981
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,367.0858472050593
inu.30000060903774,"Ainsworth, William Harrison,",Windsor castle ;,1863,m,mixed,364.9800654759976
mdp.39015029992768,"Tennant, Emma.",Tess / | $c: Emma Teennant.,1993,f,high_female,363.4225227874155
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,361.8163179159381
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,354.03522988173114
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,353.9863429785096
njp.32101067301786,"Munford, George Frederick.",Ghosts and legends of South Somerset,1922,m,mixed,349.870547897278
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,349.28342078471286
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,348.3023583526096
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,345.8284443895511
mdp.39015030931433,,England invaded : | a collection of fantasy fiction / | $c: edited and introduced by Michael Moorcock.,1977,u,high_female,345.61049445005034
njp.32101068179116,"Harris, Edwin.",Richard Watts,1903,u,,345.2717449640417
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,345.2556443478936
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,342.641768031523
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,342.54316565526585
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,341.67274923862976
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,339.3733713108296
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,339.07472125145625
uc1.b4027911,"Hume, Martin Andrew Sharp,",True stories of the past,1910,m,,336.41891468332744
njp.32101065853366,"Reid, Mayne,",No quarter!,1888,m,,334.80250889981363
uc2.ark:/13960/t8x926w87,"Baring-Gould, S.",The vicar of Morwenstow,1886,m,high_male,333.79772045142164
uc2.ark:/13960/t3zs2pc7k,"Roper, Edward.",A sportsman's memories,1921,m,high_male,333.753053081906
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,333.1112591605596
wu.89042045070,"Wardle, C      Francis.","All dogs, | $c: by C. Francis Wardle.",1935,u,high_male,332.1155762205248
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,332.08561282272774
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,330.5065204580974
wu.89092530534,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,330.29758850692656
uc2.ark:/13960/t3125st0s,"Harris, Edwin.",William d'Albini,1901,u,high_male,330.2154848024083
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,327.50861030701293
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,326.25189681335365
