htid,author,title,year,authgender,female_category,gb_fraction
mdp.49015002055169,"Kavan, Anna,",Eagles' nest : | a novel / | $c: Anna Kavan.,1976,f,high_male,1.0
hvd.hn2hei,"Semple, Elizabeth,","Summer rambles, or, Conversations, instructive and entertaining",1801,f,high_female,1.0
uc1.b3579008,"Borrow, George,",The story of Tim;,1913,m,high_male,1.0
mdp.39015027553141,"Beaton-Jones, Cynon,",So Hi and the White Horse of Fu. | $c: Illustrated by John Ward.,1952,u,mixed,1.0
uc1.$b244161,"Powys, Theodore Francis,","The only penitent, | $c: by T. F. Powys.",1931,m,,1.0
hvd.hn2hep,"Kilner, Dorothy,","The rational brutes, or, Talking animals",1803,f,,1.0
uc1.b3347023,"Powys, Theodore Francis,",The dewpond : | a story / | $c: by T. F. Powys.,1928,m,,1.0
inu.30000118997760,"Bates, H. E. (Herbert Ernest),","The spring song ; and, In view of the fact that : | two stories / | $c: by H.E. Bates.",1927,m,mixed,1.0
uc1.b3548995,"Topolski, Feliks,",Portrait of G.B.S. / | $c: with an introduction by Hesketh Pearson.,1946,u,high_male,1.0
inu.30000000878250,"Bednarczyk, Czesław.",Kubus : | my friend the cat / | $c: Czesław Bednarczyk.,1988,u,high_male,1.0
mdp.39015057591961,"Mills, Magnus.",Once in a blue moon / | $c: Magnus Mills.,2003,m,high_male,1.0
mdp.39015063583309,"Southerns, Leonard.",An outline of relativity ...,1923,m,high_male,1.0
mdp.39015002711391,"Powys, Theodore Francis,",Uriah on the hill / | $c: by T.F. Powys.,1930,m,mixed,1.0
uc1.$b87224,"Davies, Rhys,",Arfon.,1931,m,high_male,1.0
hvd.hn2hej,"Semple, Elizabeth,","Summer rambles, or, Conversations, instructive and entertaining",1801,f,high_female,1.0
uc1.b3331938,,The little merchant,1855,u,high_male,1.0
uiuo.ark:/13960/t1bk1zz7x,"Ponsonby, Emily,",Violet Osborne,1865,f,high_female,0.9617486338797812
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,0.9598393574297188
uiuo.ark:/13960/t08w3w201,"Harris, Richard,",Mayfair to Millbank,1870,m,mixed,0.9589041095890412
uiuo.ark:/13960/t1vd7bz9n,"St. Aubyn, Alan.",The master of St. Benedict's,1893,f,high_female,0.9523809523809524
mdp.39015002741448,"(Sydney Castle), Roberts, S. C.",Zuleika in Cambridge / | $c: by S. C. Roberts.,1941,u,high_female,0.9473684210526312
uiuo.ark:/13960/t1jh46x85,"Walford, Lucy Bethia,",A stiff-necked generation,1889,f,,0.9411764705882354
uc1.$b63960,"Whitfield, Christopher.","Together and Alone, | two short novels | $c: by Christopher Whitfield, with engravings by John O'Conner.",1945,m,,0.935483870967742
njp.32101067179398,"Trollope, Frances Milton,",The life and adventures of a clever woman,1854,f,high_female,0.9318181818181818
uc1.b4105470,"Pain, Barry,",The octave of Claudius,1897,m,mixed,0.9310344827586212
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,0.9260869565217392
njp.32101067643617,"Conway, Hugh,",Living or dead,1886,m,mixed,0.9251700680272108
uc2.ark:/13960/t9v11ww43,,The story of Jack and the giants,1851,m,high_male,0.923076923076923
mdp.39015022220324,"Sturgeon, Theodore.","Starshine, | $c: by Theodore Sturgeon.",1968,m,mixed,0.917910447761194
