htid,author,title,year,authgender,female_category,gb_intensity
umn.319510020674797,"D'Oyley, Elizabeth.",The mired horse.,1951,f,,1088.7046888531486
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,1086.9565217391305
wu.89092530542,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1067.5048136821838
mdp.39015032936745,"Clarke, Peter A.",The English nobility under Edward the Confessor / | $c: Peter A. Clarke.,1994,m,high_male,1066.7135786081549
njp.32101069186128,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,1064.502226691567
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1055.6844547563803
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,high_male,840.7635689067082
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,834.0863279349413
uiuo.ark:/13960/t0000gm33,"Curling, Henry,",John of England,1846,m,mixed,768.6932215234101
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,745.9483762849726
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,727.1239973641757
uiuo.ark:/13960/t8w95vn3c,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,,725.9402654867255
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,,717.1441023812355
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,710.9644807161737
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,708.0465287718907
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,702.3403719887443
njp.32101062933468,"West, Jane,",Alicia de Lacy,1814,f,,694.8056773426471
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,694.3792812236089
njp.32101069186110,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,694.2859936764562
uiuo.ark:/13960/t13n2j57j,"Gore,",The birthright and other tales,1844,f,,685.2436602753996
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,684.0016708437761
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,664.4885526186499
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,653.5770461571839
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,645.8966565349543
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,high_female,630.7660940924616
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,604.7893189612936
mdp.39015064746129,"Charles, Edward.",In the shadow of Lady Jane : | a novel of Tudor England / | $c: Edward Charles.,2006,m,high_female,603.2361331910538
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,601.4302142677751
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,596.9915795510829
uc1.b3322565,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,594.7681456918785
mdp.39015048416500,"Newby, P. H. (Percy Howard),","A guest and his going, | a novel.",1959,m,mixed,593.0551771830926
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,590.8378136200719
mdp.39015012193952,"Quiller-Couch, Arthur,","Historical tales from Shakespeare, | $c: by Sir A. T. Quiller-Couch. Illustrated.",1930,m,high_male,589.0202544771489
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,582.2759909511163
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,mixed,580.2334716154197
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,576.1492500914522
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,573.5299974775301
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,572.173839875468
mdp.39015068053472,"Parker, Katherine Borradaile (Kensit) Mrs.","""My Lady Dundie"" | being a very true accompt of her life death & burial, & of the finding of her body so perfect one hundred years later, | $c: all faithfully told by her biographer & scribe Katherine Parker ... With a foreword by Professor Charles Sanford Terry.",1928,f,,572.1094455006614
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,571.0979168763208
inu.32000001703182,"Wilson, Violet A.",Queen Elizabeth's maids of honour and ladies of the privy chamber,1922,f,high_female,570.9634281062852
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,570.3855806525211
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,570.1846780422724
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,569.3880133278972
uiuo.ark:/13960/t5db8cm5d,"Curling, Henry,",John of England,1846,m,mixed,568.9354833554407
inu.30000004380105,"Holland, Richard.",Supernatural Clwyd : | the folk tales of North-East Wales / | $c: Richard Holland.,1989,m,,564.9569743415374
umn.31951002082062h,"Frankland, Edward Percy,",The bear of Britain.,1940,m,high_male,560.9113428738226
inu.30000039146844,"Whitaker, Terence W.",Scotland's ghosts and apparitions / | $c: Terence Whitaker.,1991,m,mixed,556.4073396310403
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,549.5593623131002
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,549.2359517648782
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,546.3734462505121
inu.39000005593822,"Dixon, Geoffrey M.",Folktales and legends of Kent / | $c: by Geoffrey M. Dixon ; and illustrated by Susy-Jane Tanner.,1984,m,mixed,543.6189490033652
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,543.5037982614142
njp.32101075688935,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,543.2311484432958
njp.32101068177532,"Edgar, John G.",Runnymede and Lincoln Fair,1866,m,high_male,540.4232067605296
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,539.4808391288173
