htid,author,title,year,authgender,female_category,gb_scotland_intensity
mdp.39015025923064,"Ramsay, James Henry,","Bamff charters, A. D. 1232-1703",1915,m,high_male,545.0995281227965
mdp.39015064983151,"Smith, Donald,",The English spy / | $c: Donald Smith.,2007,m,high_female,494.57399194784495
mdp.39015027321770,"Simpson, William Douglas,","Noltland Castle, Westray, Orkney.",1950,m,high_male,455.92705167173256
inu.30000039146844,"Whitaker, Terence W.",Scotland's ghosts and apparitions / | $c: Terence Whitaker.,1991,m,mixed,403.0862060438201
mdp.39015031305421,"Simpson, Evelyn Blantyre,",Robert Louis Stevenson's Edinburgh days,1898,f,,379.08418075696494
mdp.39015068053472,"Parker, Katherine Borradaile (Kensit) Mrs.","""My Lady Dundie"" | being a very true accompt of her life death & burial, & of the finding of her body so perfect one hundred years later, | $c: all faithfully told by her biographer & scribe Katherine Parker ... With a foreword by Professor Charles Sanford Terry.",1928,f,,342.56476752030414
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,331.63014640856835
mdp.39015021059772,"Prebble, John,",The high girders / | $c: John Prebble.,1956,m,high_male,330.76499019243346
mdp.39015059587298,"Drummond, Andrew.","An abridged history of the construction of the railway line between Garve, Ullapool and Lochinver; And other pertinent matters : | being the professional journal and regular chronicle of Alexander Auchmuty Seth Kininmonth / | $c: edited by Andrew Drummond ; with a foreword by Alfred Marjoribanks.",2004,m,high_male,325.6901034463683
mdp.39015073428784,"Henty, G. A.",In freedom's cause,1885,m,high_male,305.0885348517625
uc1.$b56315,"Barclay, Hubert, Mrs.,","The queen's cause, | Scottish narrative, 1561-1587.",1938,f,,302.6978441040011
inu.39000005770560,"Mackintosh, William R.",Around the Orkney peat-fires,1914,m,high_male,293.34277933981264
mdp.39015000596570,"pseud. Oliver, Jane,",Not peace but a sword.,1939,f,,283.3282833920722
nyp.33433071388346,"Mackintosh, W. R.",Around the Orkney peat-fires,1905,u,high_male,278.3013637875596
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,277.5574940523394
uc1.$b322939,"Barke, James,",The well of the silent harp : | a novel of the life and loves of Robert Burns.,1954,m,,276.6757566843432
wu.89080114168,"Brown, John,",The Enterkin,1865,m,high_male,275.5150934355534
inu.39000001190797,"McGonagall, William.","Further poetic gems / | $c: William McGonagall, poet and tragedian ; died in Edinburgh 29th September, 1902.",1980,m,high_male,274.42908948348526
uc1.b4451122,"McEwen, Todd.",McX / | $c: Todd McEwen.,1990,m,high_female,273.3524110536881
mdp.39015084102576,"Russell, Craig,",Lennox / | $c: Craig Russell.,2009,m,,268.2904264892642
inu.39000005886747,"Robertson, R. MacDonald.","Selected Highland folk tales; | gathered orally | $c: by R. MacDonald Robertson, edited by Jeremy Bruce Watt.",1961,m,high_male,255.75136096259945
mdp.39015010344334,"Hanley, Clifford.",Dancing in the streets / | $c: Clifford Hanley.,1983,m,mixed,244.081238233285
uiuo.ark:/13960/t2p566t0s,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,237.94456397924313
mdp.39015063947488,,Patrick Welwood,1841,u,high_male,232.43238115115693
uc1.$b300163,"Douglas, Ronald MacDonald.",The sword of freedom; | a romance of Lord James of Douglas and Scotland's war of independence | $c: [by] Ronald MacDonald Douglas.,1936,m,high_male,230.56034703601867
mdp.39015062821890,"McCall Smith, Alexander,","One city / | $c: Alexander McCall Smith, Ian Rankin, Irvine Welsh ; with an introduction by J.K. Rowling ; foreword by Lesley Hinds.",2005,m,,228.13212912903523
mdp.39015046311257,"McHardy, Stuart.",The silver chanter and other piper tales / | $c: by Stuart McHardy.,2004,m,high_male,224.17563001082232
uc1.$b101965,"Plaidy, Jean,","Royal road to Fotheringay, | $c: by Jean Plaidy.",1956,f,,223.317104457596
mdp.39015005719573,"Mackenzie, Compton, Sir,","The north wind of love, | being volume four of ""The four winds of love.""",1949,m,,218.57700243090312
mdp.39015065549191,"Ross, Martin,",The silver fox,1898,f,,217.54310576354945
uiuo.ark:/13960/t4cn7h270,"Grant, James,",The white cockade =,1867,m,high_male,216.08464557150663
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,215.36304055407683
mdp.39015073624267,"Archibald, Malcolm.",Powerstone : | stealing the Scottish crown jewels / | $c: Malcolm Archibald.,2008,m,high_female,213.9361317612121
uc1.31158010777703,"Grant, John,",Legends of the braes o' Mar,1910,m,high_male,212.4766275709672
inu.32000006980835,"McGonagall, William.","The railway bridge of the silvery Tay, and other disasters; | $c: selected from the works of William McGonagall.",1972,m,,201.19589334737324
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,high_female,198.90158824402553
uc2.ark:/13960/t91839t3d,"Galt, John,",Ringan Gilhaize,1823,m,high_male,192.72343349365687
mdp.39015079149228,"Knight, Alanna.",Murder in paradise / | $c: Alanna Knight.,2008,f,,189.4472747753514
inu.30000108973037,"Bliss, Douglas Percy,","The devil in Scotland; | being four great Scottish stories of diablerie, | $c: along with an introductory essay and thirty-nine original wood engravings, by Douglas Percy Bliss.",1934,m,high_male,189.14255375630475
mdp.39015061210301,,The book of St Andrews / | $c: edited by Robert Crawford.,2005,u,high_female,187.43179921689452
uiuo.ark:/13960/t3708fq32,"Grant, James,",The white cockade =,1867,m,high_male,185.06117976502105
uc2.ark:/13960/t04x5639d,"Warner, Anne.",Seeing England with Uncle John,1908,f,mixed,181.7262277235361
mdp.39015043091290,,Echoes of the sea : | Scotland and the sea : an anthology / | $c: edited by Brian D. Osborne & Ronald Armstrong.,1998,u,,181.41811030424375
mdp.39015049970992,"Robertson, James,",The fanatic / | $c: James Robertson.,2000,m,,181.2441113644373
coo.31924013520287,"McGonagall, William.","Poetic gems, | $c: selected from the works of William McGonagall,  with biographical sketch and reminiscences by the author.",1954,m,,180.81192415332853
uiuo.ark:/13960/t3902hh03,"Grant, James,",The white cockade =,1867,m,high_male,180.55104177951105
mdp.39015062852390,"McCall Smith, Alexander,",Espresso tales : | the latest from 44 Scotland Street / | $c: Alexander McCall Smith ; illustrated by Ian McIntosh.,2005,m,,173.35364821398338
uc1.b3332024,"Simpson, E. Blantyre",Robert Louis Stevenson's Edinburgh days,1914,u,,172.59651778955336
mdp.39015000577141,"Brown, George Mackay.",Magnus: | a novel.,1973,m,high_male,170.8713047343854
njp.32101065845875,"Munro, Neil,",Hurricane Jack of the Vital Spark / | $c: by Hugh Foulis.,1923,m,high_male,169.8890181522723
mdp.39015062819795,"Brown, George Mackay.",Beside the ocean of time / | $c: George Mackay Brown.,2005,m,,166.12426639796294
njp.32101068574530,"Orczy, Emmuska Orczy,",Lady Molly of Scotland Yard,1910,f,high_female,164.7413758882141
nyp.33433082227798,"Smollett, T.",The works of Tobias Smollett,1895,m,,164.08012579476312
inu.30000029844648,"Brander, Michael.",Tales of the Borders / | $c: Michael Brander.,1991,m,mixed,160.9899681624317
mdp.39015055899960,"Stephen, Ian,",Mackerel & creamola : | stories and recipes / | $c: Ian Stephen.,2001,m,high_male,160.33436019384243
uc1.b4948526,"Brown, George Mackay.",Magnus: | a novel.,1973,m,,159.74859237920649
uiuo.ark:/13960/t8rb7ph0x,,St. Clyde,1816,u,mixed,158.9094598992935
mdp.39015048881158,"Linklater, Eric,","Magnus Merriman, | a novel.",1934,m,,158.2278481012658
uc2.ark:/13960/t03x84n7m,"Hunter, John Kelso.",Life studies of character,1871,m,high_male,156.14543832255185
hvd.hwadam,"Scott, Walter,",The Waverley novels,1829,m,high_male,155.81312812167278
uiuo.ark:/13960/t3bz6v35r,"Scott, Walter",Rob Roy,1818,m,,155.50389545111835
inu.30000092685563,,Milking the Haggis / | $c: edited by Valerie Thornton and Hamish Whyte ; with Maoilios Caimbeul (Gaelic adviser).,2004,u,,155.09571037916822
uc1.32106006950585,"Defoe, Daniel,","An account of the conduct and proceedings of the late John Gow, alias Smith, captain of the late pirates, executed for murther [sic] and piracy, committed on board the George Galley, afterwards call'd the Revenge : | with a relation of all the horrid murthers [sic] they committed in cold blood : as also of their being taken at the islands of Orkney, and sent up prisoners to London / | $c: by Daniel Defoe.",1978,m,high_male,153.56880550176936
inu.32000005270816,,"The Abduction, or, The adventures of Major Sarney",1825,u,,152.17081173617385
mdp.39015058006282,"Brown, John,"," With brains, sir",1866,m,,151.6875237011756
hvd.32044086801958,,Cameron,1832,u,,148.16311411927128
mdp.39015051177718,"Hoyle, Fred, Sir.","The inferno, | $c: by Fred Hoyle and Geoffrey Hoyle.",1973,m,high_male,147.76223989275817
