htid,author,title,year,authgender,female_category,gb_strict_london_intensity
nyp.33433074850755,"Harraden, Beatrice,",An idyll of London,1899,f,high_female,834.0863279349413
uc2.ark:/13960/t6ww79d07,"Makino, Yoshio,",A Japanese artist in London,1910,m,,576.147133339589
uc1.$b313869,"Matters, Leonard.","The mystery of Jack the Ripper; | the world's greatest crime problem, | $c: by Leonard Matters; with 10 illustrations and 5 diagrams.",1929,m,,543.5448309652132
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,505.5571948460706
uiuo.ark:/13960/t00z7t18b,"Oliphant,",A house in Bloomsbury,1894,f,high_female,468.7406101640592
uiuo.ark:/13960/t1fj33j1n,"Oliphant,",A house in Bloomsbury,1894,f,high_female,416.34193363140406
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,383.914003263269
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,372.25660584191655
mdp.39015018955651,"Farson, Negley,",Bomber's moon / | $c: Negley Farson ; with 48 illustrations by Tom Purvis.,1970,u,high_female,370.27791645864534
mdp.39015059376221,,The New British novelist;,1830,u,,363.8521479769509
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,high_male,361.1943962267459
inu.30000000222921,,A Visual history of costume.,1983,u,high_male,350.3098895176502
mdp.39015016605449,,A Visual history of costume.,1983,u,high_male,347.46143477609706
uc1.b4401592,"Breakwell, Ian.","Ian Breakwell's diary, 1964-1985",1986,m,,346.72436716285614
mdp.49015002057033,,A Visual history of costume.,1983,u,high_male,346.61522695762255
mdp.39015038922228,,A Visual history of costume.,1983,u,high_male,340.27945073476275
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,high_male,328.8490284005979
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,,319.2029598819916
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,308.74851378821
inu.30000110447988,"Beauchamp, Michelle.",On the streets : | a journey through London with the young homeless / | $c: Michelle Beauchamp ; photographs by Glynn Griffiths.,1989,f,,306.82117461153547
mdp.39015059392269,"Davidson, John,",A random itinerary,1894,m,high_male,305.7616122942756
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,301.5135982632817
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,292.57832376244824
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,289.1217925551138
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,285.1676049600765
mdp.39015014278033,"Moorcock, Michael,",Mother London : | anovel / | $c: Michael Moorcock.,1988,m,,281.8627450980392
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,279.0646972257045
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,278.7993043293549
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,273.7669268336468
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,272.8325813925131
mdp.39015034434293,"Ackroyd, Peter,",Dan Leno and the Limehouse Golem / | $c: Peter Ackroyd.,1994,m,mixed,271.5701992605438
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,268.77917668694295
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,268.28404462546484
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,267.69399085184887
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,266.16412806963007
