htid,author,title,year,authgender,female_category,intl_intensity
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,2302.0063357972545
mdp.39015073316757,"Carlyle, Thomas,",[Works],1885,m,high_male,1422.3788417336805
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,1405.5260262509491
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1403.7122969837587
uc1.31822022095780,"Mathews, Basil,",The ships of peace. | $c: Rev. and edited by Joyce Reason,1947,m,high_male,1391.1297551181383
uc2.ark:/13960/t1qf8mt9n,"Larrouy, Maurice,",The odyssey of a torpedoed tramp,1918,m,high_male,1391.1230265117665
wu.89079729414,"Moorehead, Alan,","African trilogy : | comprising Mediterranean front, A year of battle, The end in Africa : a personal account of the three years' struggle against the axis in the Middle East and North Africa, 1940-3 / | $c: Alan Moorehead ; with a foreword by Field-Marshal Viscount Wavell.",1944,m,high_male,1389.284912608519
uc1.$b582056,"Macdonald, Mina",Some experiences in Hungary,1916,f,mixed,1362.680962614836
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,1344.847188760456
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,1331.2764255513655
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,1320.7203455993338
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,1318.542305259573
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,1301.3798048905192
mdp.39015050674871,"Jones, Tristan,",Somewheres east of Suez / | $c: Tristan Jones.,1988,m,high_male,1296.2156670657812
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,1292.476920054999
mdp.39015073316914,"Carlyle, Thomas,",[Works],1885,m,high_female,1285.8201991066392
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,1275.6477312892505
nyp.33433074964960,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814,f,high_female,1246.0583867358357
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1238.031618793142
wu.89095837944,"McMillan, Richard.","Miracle before Berlin, | $c: by Richard McMillan.",1946,m,high_male,1237.1555192411874
uc1.b4567288,"Divine, A. D. (Arthur Durham),","The wake of the raiders : | the exploits and the failure of the pocket battleships, and a consecutive account of events at sea / | $c: A.D. Divine.",1940,m,high_male,1221.8463455888898
uc2.ark:/13960/t4rj4bm4w,"Mathews, Basil,",The ships of peace,1919,m,high_male,1211.3447091025564
mdp.39015070528594,"Donatti, Arthur Louis.","The orphan of Novogorod, an Illyrian tale",1841,m,high_male,1191.6278251692902
uc1.b4084788,"Viscount Samuel, Samuel, Edwin,","My friend Musa, and other stories.",1963,m,,1186.3962394891098
mdp.39015073317078,"Carlyle, Thomas,",[Works],1885,m,high_male,1162.0322872927395
nnc1.cu01579681,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,1156.2402738873325
inu.30000004090332,"Sitwell, Sacheverell,",Touching the Orient; | six sketches | $c: by Sacheverell Sitwell.,1934,u,high_male,1152.8305532298573
uc1.31822011370293,"Mielche, Hakon,",Round the world with Galathea. | $c: [Tr. from the Danish by M. A. Michael],1953,u,high_male,1141.9705631578213
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,1140.3277342948436
mdp.39015002758228,"Viscount Samuel, Samuel, Edwin,",A coat of many colors.,1960,m,,1124.8651702706866
wu.89100004720,"Zbyszewski, Karol.","The fight for Narvik; | impressions of the Polish campaign in Norway. | $c: Text by Karol Zbyszewski, drawings by Józef Natanson.",1940,u,high_male,1121.5991116046644
uiuo.ark:/13960/t1rf6927n,"Craik, Georgiana M.",Sydney,1881,f,high_female,1117.959538749144
uc2.ark:/13960/t87h1gb9b,Officer's wife.,Experiences of an officer's wife in Ireland,1921,u,high_male,1116.559788758959
wu.89100006006,"Aldor, Francis.","Germany's ""death space"" : | the Polish tragedy.",1940,m,high_male,1091.790670456445
uc2.ark:/13960/t72v2fs3v,"Mühlbach, L.",Queen Hortense,1870,f,high_female,1084.8567237863556
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,1081.2903225806451
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,1078.9068080147365
mdp.49015001248211,,The Holy Bible. | The Authorized or King James version of 1611 now reprinted with the Apocrypha. | $c: With reproductions of 105 of the sixteenth-century woodcuts of Bernard Salomon.,1963,u,high_male,1078.757862977827
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,1076.134699853587
uc1.32106006093162,,The Holy Bible. | The Authorized or King James version of 1611 now reprinted with the Apocrypha. | $c: With reproductions of 105 of the sixteenth-century woodcuts of Bernard Salomon.,1963,u,high_male,1073.1154247166942
inu.30000110619701,"Gardner, Frank,",Far horizons : | unusual journeys and strange encounters from a travelling life / | $c: Frank Gardner ; with a foreword by Michael Palin.,2009,m,,1064.7619345652547
uc1.31822004859112,,"Catalogue of the George Ortiz collection of African and Oceanic works of art ... / | $c: sold by auction by Sotheby Parke Bernet and Co. ... 29th June, 1978",1978,u,high_male,1062.6368345170076
mdp.39015012192483,"Farah, Nuruddin,",From a crooked rib.,1970,m,high_female,1061.585458473275
uc2.ark:/13960/t7kp7zc3h,"Weindel, Henri de.",The real Francis-Joseph,1909,m,high_female,1054.2326045815
wu.89073622094,"Budd, Jackson.",Around France in an 8 h p car.,1950,m,,1050.188569770815
uc1.b3296373,"Turquan, Joseph,",The Empress Josephine,1913,m,high_female,1047.2141840495424
uc1.$b298821,"Graham, Stephen,",St. Vitus day | $c: [by] Stephen Graham.,1930,m,high_male,1042.6638677754584
uc2.ark:/13960/t74t6jf5c,"Murray, John Wilson,",Memoirs of a great detective,1904,m,high_male,1042.199488491049
uc1.32106007020925,"Battye, Evelyn.",Costumes and characters of the British Raj / | $c: Evelyn Battye ; illustrated by Cecil Elgee ; introduction by M.M. Kaye.,1982,f,mixed,1041.914269867681
inu.30000041710629,"Weindel, Henri de.",Behind the scenes at the court of Vienna;,1914,m,high_female,1036.6731999905542
