htid,author,title,year,authgender,female_category,intl_subcity_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1252.9002320185614
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1233.578267646404
uiuo.ark:/13960/t1rf6927n,"Craik, Georgiana M.",Sydney,1881,f,high_female,1093.8974956965965
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,1039.4346077215143
mdp.39015012192483,"Farah, Nuruddin,",From a crooked rib.,1970,m,high_female,977.1986970684038
mdp.39015025220321,"Sinclair, Clive,",Augustus Rex : | a novel / | $c: by Clive Sinclair ; original drawings by Yosl Bergner.,1992,m,,737.5901106385165
uc2.ark:/13960/t2b854q62,"Nicholson, John Gambril,",In Carrington's duty-week,1910,m,high_male,500.4549590536852
uc2.ark:/13960/t3gx46g5z,"Morison, Margaret Cotter.",A lonely summer in Kashmir,1904,u,high_male,484.1675765760587
inu.32000007536644,"Bowen, Elizabeth,",The hotel.,1960,f,high_female,483.8572461610447
mdp.39015020827344,"Bowen, Elizabeth,",The hotel.,1950,f,high_female,483.6720809592652
uc1.$b662550,"Tushkan, Georgiĭ.",The hunter of the Pamirs; | a novel of adventure in Soviet Central Asia | $c: [by] Georgi Tushkan. Translated from the Russian by Gerard Shelley.,1944,u,,455.61595102998024
uiuo.ark:/13960/t5gb2g06d,"Eden, Eleanor.",Dumbleton Common,1867,f,high_female,454.1539425260355
mdp.39015006587300,"Bonhomme, Samuel,",Enoch Powell and the West Indian immigrants.,1971,m,high_male,451.6129032258064
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,451.440799695131
uc1.32106017093730,"Enquist, Per Olov",Plays / | $c: Per Olov Enquist,2004,m,mixed,445.4220511410504
uiuo.ark:/13960/t85h81r5f,"Lauder, Thomas Dick,",Lochandhu,1825,m,mixed,445.3985221531004
uc1.b4104233,"Trollope, Anthony,",Harry Heathcote of Gangoil,1874,m,,434.22116899150006
