htid,author,title,year,authgender,female_category,intl_subcountry_intensity
mdp.39015064789327,"Ayers, Jane.",Bradford old and new / | $c: [compiled by] Jane & John Ayers.,1976,f,high_male,1357.308584686775
nyp.33433082290879,"Yonge, Charlotte M.",Aunt Charlotte's stories of German history for the little ones,1878,f,high_male,1302.358324533615
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,1240.6947890818858
uiuo.ark:/13960/t0cv52b6x,"Craik, Georgiana M.",Sydney,1881,f,high_female,1235.804943219773
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,1201.7479970866716
mdp.39015073316914,"Carlyle, Thomas,",[Works],1885,m,high_female,1140.123418083368
uiuo.ark:/13960/t1rf6927n,"Craik, Georgiana M.",Sydney,1881,f,high_female,1105.003054028541
mdp.39015073316757,"Carlyle, Thomas,",[Works],1885,m,high_male,1084.3123746349552
uiuo.ark:/13960/t8qc0k82w,"Craik, Georgiana M.",Sydney,1881,f,high_female,1063.869779331604
mdp.39015012192483,"Farah, Nuruddin,",From a crooked rib.,1970,m,high_female,1026.1430186832288
nyp.33433074964960,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814,f,high_female,962.94035872919
njp.32101073814392,"Froissart, Jean,",The Chronicles of Froissart,1904,f,high_male,952.1498655724706
mdp.39015016869177,"Cieza de León, Pedro de,",The war of Chupas,1918,m,high_male,942.58412062478
uc2.ark:/13960/t1pg1p49w,"James, G. P. R.",Dark scenes of history,1849,m,high_male,940.2213055719244
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,935.046573816554
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,934.2632592515484
mdp.39015018941461,"White, Kenneth,",The blue road / | $c: Kenneth White.,1990,m,high_male,932.1959370328028
mdp.39015060652222,"Evans, Diana.",26a / | $c: Diana Evans.,2005,f,high_female,911.6429028044134
mdp.39015073317078,"Carlyle, Thomas,",[Works],1885,m,high_male,893.0302741846207
