htid,author,title,year,authgender,female_category,ni_gb_fraction
uc1.32106019238838,"Gilden, Bruce",After the off / | $c: photographs by Bruce Gilden ; short story by Dermot Healy,1999,m,high_male,0.5
mdp.49015003138964,"Swann, Leonie,",Three bags full : | a sheep detective story / | $c: Leonie Swann ; translated by Anthea Bell.,2006,f,,0.5
wu.89014636112,"Lynch, Conor.",Equal citizenship and the end of sectarian politics.,1987,u,high_male,0.489795918367347
mdp.39015002193913,"Cervantes Saavedra, Miguel de,",Stories,1909,m,high_female,0.3333333333333333
uc1.b4948964,"Muldoon, Paul.",New weather.,1973,m,high_male,0.2857142857142857
mdp.39015028874512,"McGrath, Eamonn,",The fish in the stone / | $c: Eamonn McGrath.,1994,u,high_female,0.2857142857142857
mdp.39015055119385,"Doyle, Roddy,","Paddy Clarke, ha ha ha / | $c: Roddy Doyle.",1993,m,high_male,0.2692307692307692
uc1.b4362879,"Monsarrat, Nicholas,","H. M. corvette, | $c: by Nicholas Monsarrat.",1942,m,high_male,0.25
uc1.32106016824846,"Deane, John F.,",The coffin master : | and other stories / | $c: John F. Deane,2000,m,,0.2
inu.30000087202325,"Johnson, Jason,",Wound Licker / | $c: Jason Johnson.,2005,m,high_male,0.1909090909090909
inu.30000026313316,"Crosland, Susan.",Dangerous games / | $c: Susan Crosland.,1992,f,mixed,0.1756272401433692
mdp.39015011710756,"Marcus, David.",Tears of the shamrock: | an anthology of contemporary short stories on the theme of Ireland's struggle for nationhood; | $c: edited and introduced by David Marcus. -,1972,m,high_male,0.1481481481481481
mdp.39015011712638,"Mauriac, François,",The lamb (L'agneau) / | $c: Translated by Gerard Hopkins.,1955,m,,0.1481481481481481
inu.30000126981772,"Marsh, Christopher W.",A year in the Province : | being the memoir of Jess͠ Sǹchez Ventura / | $c: Christopher Marsh.,2008,m,mixed,0.145
mdp.39015034025968,"Germain, Sylvie,",The medusa child / | $c: Sylvie Germain ; translated from the French by Liz Nash.,1994,f,,0.1428571428571428
mdp.39015021844827,"Johnston, Jennifer,",The Invisible worm / | $c: by Jennifer Johnston.,1991,f,,0.1428571428571428
mdp.39015060547042,"Bryant-Jefferies, Richard.",Counselling victims of warfare : | person-centred dialogues / | $c: Richard Bryant-Jefferies.,2005,m,,0.1408450704225352
