text_string,occurs_100k
london,19.87675
england,11.68286
paris,7.16492
france,4.54461
india,2.84175
italy,2.51846
rome,2.46069
ireland,2.17541
sydney,2.1604
america,2.12475
europe,2.077
scotland,1.90808
new york,1.67146
spain,1.45358
germany,1.35926
edinburgh,1.13311
naples,1.1232
africa,1.11754
russia,1.11727
oxford,1.10375
florence,1.07637
venice,0.94453
australia,0.85853
dublin,0.83842
brighton,0.83589
cambridge,0.8274
vienna,0.79853
egypt,0.7483
wales,0.73407
great britain,0.71083
poland,0.62418
canada,0.57452
britain,0.56191
berlin,0.55423
switzerland,0.54154
norway,0.51018
california,0.49561
glasgow,0.48911
greece,0.46943
moscow,0.46363
israel,0.4615
brussels,0.45148
richmond,0.43856
warsaw,0.43677
yorkshire,0.42236
manchester,0.42231
cornwall,0.4214
denmark,0.41374
bristol,0.38272
jerusalem,0.38047
south africa,0.37006
wexford,0.3655
holland,0.36332
atlantic,0.36242
austria,0.34941
japan,0.34452
athens,0.3396
new zealand,0.33726
norfolk,0.32098
united states,0.32052
milan,0.31828
illinois,0.31138
leicester,0.31061
sweden,0.30879
boston,0.30859
us,0.30426
versailles,0.29826
portugal,0.29453
madrid,0.29382
jamaica,0.29352
turkey,0.29183
calcutta,0.29034
persia,0.29027
mediterranean,0.28766
georgia,0.28589
hungary,0.27808
washington,0.27517
calais,0.27156
normandy,0.26808
dresden,0.2643
liverpool,0.26001
birmingham,0.2565
geneva,0.24475
kensington,0.24451
malta,0.24215
arlington,0.24057
belgium,0.24001
st petersburg,0.23727
sicily,0.23606
states,0.2337
windsor,0.2325
chicago,0.23185
melbourne,0.2272
cairo,0.2232
marseilles,0.2226
saxony,0.22254
devonshire,0.22212
prague,0.22193
bombay,0.21938
hampstead,0.2158
portsmouth,0.21425
southampton,0.20932
launceston,0.20771
thames,0.20764
bloomsbury,0.20467
woodville,0.19928
asia,0.19889
south america,0.19685
suffolk,0.19415
halifax,0.19377
gloucester,0.19249
marina,0.1912
baghdad,0.18966
west indies,0.18782
mexico,0.18613
rhine,0.18494
alps,0.18194
hyde park,0.18153
exeter,0.18123
hollywood,0.18108
devon,0.17528
pisa,0.17453
munich,0.17363
somerset,0.1726
navarre,0.17185
lancaster,0.17064
johannesburg,0.16647
siberia,0.16575
orlando,0.1656
san francisco,0.1642
falkland,0.16413
amsterdam,0.16142
belfast,0.16137
bohemia,0.16116
caribbean,0.15988
soho,0.15962
stratford,0.15946
cape,0.15914
rouen,0.15731
lisbon,0.15661
jersey,0.15576
york,0.15553
worcester,0.15469
somerton,0.15405
tuscany,0.149
chelsea,0.14429
michigan,0.14258
brazil,0.14207
constantinople,0.14187
cumberland,0.14118
northumberland,0.14117
madeira,0.14108
covent garden,0.14094
nigeria,0.14026
jordan,0.13953
dorset,0.13953
languedoc,0.13937
algiers,0.13911
madras,0.1389
bordeaux,0.13871
provence,0.13771
surrey,0.13679
malvern,0.13673
xenia,0.13656
auckland,0.13415
cleveland,0.13268
genoa,0.13255
grosvenor square,0.13252
essex,0.13172
delhi,0.13165
dover,0.13059
florida,0.12957
hamburg,0.12884
monte carlo,0.12869
greenwich,0.12839
hampshire,0.12836
seville,0.12754
toronto,0.12748
salisbury,0.12611
syria,0.1256
antwerp,0.12515
plymouth,0.12509
arundel,0.12491
los angeles,0.12449
kent,0.12344
lancashire,0.12246
united kingdom,0.12246
oxford street,0.1224
cape town,0.12216
alexandria,0.12207
brittany,0.12207
palmyra,0.12186
cheshire,0.12139
uk,0.12111
prussia,0.12079
palestine,0.12042
kingston,0.11888
eton,0.11819
pacific,0.11783
kensington gardens,0.11777
budapest,0.11741
stockholm,0.11718
petersburg,0.11649
park lane,0.11547
hong kong,0.1153
damascus,0.11508
myrtle,0.11486
carlingford,0.11401
st louis,0.11349
cyprus,0.11224
mandeville,0.1114
panama,0.11104
garden,0.11077
ailsa,0.11024
morocco,0.11009
iceland,0.11007
serbia,0.10974
clarinda,0.10935
magdalen,0.10905
singapore,0.10905
lewes,0.10897
bournemouth,0.1087
crimea,0.10846
norwich,0.10817
uganda,0.10813
newburgh,0.10734
lisle,0.1073
danube,0.10693
westminster,0.1067
cannes,0.1067
congo,0.10646
hera,0.10585
burma,0.10573
wilmington,0.10555
burlington,0.10454
cheltenham,0.1045
taunton,0.10414
copenhagen,0.10409
almeria,0.10337
orleans,0.10327
guildford,0.10205
