text_string,occurs_100k
london,18.6927
england,12.48847
paris,6.538
france,5.40827
europe,3.03456
rome,2.77313
america,2.69737
india,2.44548
ireland,2.34387
new york,2.26117
italy,2.24143
scotland,2.14558
germany,1.99626
spain,1.80791
russia,1.59061
africa,1.46127
dublin,1.3319
oxford,1.32966
britain,1.16751
edinburgh,1.09047
venice,1.06386
cambridge,1.03261
australia,1.02515
egypt,1.01969
berlin,1.00784
great britain,0.87974
israel,0.87754
moscow,0.85773
florence,0.77163
sydney,0.76117
wales,0.75846
vienna,0.74938
united states,0.73158
naples,0.73073
atlantic,0.72169
glasgow,0.71882
california,0.70152
japan,0.6924
canada,0.69191
greece,0.68516
jerusalem,0.65116
brighton,0.60979
athens,0.57528
holland,0.57126
manchester,0.54875
mexico,0.53075
switzerland,0.50902
washington,0.50245
madrid,0.4839
boston,0.47614
chicago,0.47166
austria,0.44982
bristol,0.44376
poland,0.44198
south africa,0.44005
mediterranean,0.43347
cairo,0.41756
new zealand,0.40518
cornwall,0.40343
norway,0.39635
yorkshire,0.38421
brussels,0.37707
states,0.36794
us,0.36511
richmond,0.3596
jamaica,0.35907
birmingham,0.35622
liverpool,0.35511
asia,0.35287
calcutta,0.35212
sicily,0.34955
turkey,0.3398
milan,0.33408
melbourne,0.331
portugal,0.329
singapore,0.32674
san francisco,0.32262
pacific,0.32107
norfolk,0.31509
persia,0.30964
bombay,0.30255
cape,0.29759
geneva,0.29463
denmark,0.29446
marseilles,0.29181
hollywood,0.28905
south america,0.28752
munich,0.28392
belfast,0.28348
portsmouth,0.27888
thames,0.27843
gloucester,0.27576
calais,0.27511
rhine,0.27349
belgium,0.27321
amsterdam,0.27193
west indies,0.26954
hungary,0.26479
delhi,0.25944
iceland,0.25813
normandy,0.25682
alexandria,0.2553
hamburg,0.25321
malta,0.25125
leicester,0.2508
versailles,0.24862
lisbon,0.2473
prague,0.24633
texas,0.24556
hampstead,0.24032
hong kong,0.2403
sweden,0.23988
siberia,0.23871
windsor,0.23825
constantinople,0.23739
soho,0.23708
palestine,0.23456
montreal,0.23218
gibraltar,0.2259
exeter,0.2253
alps,0.21797
brazil,0.21538
perth,0.21219
southampton,0.21169
somerset,0.21123
trinidad,0.209
st petersburg,0.20532
madeira,0.20506
michigan,0.20274
prussia,0.20183
illinois,0.20178
york,0.19898
suffolk,0.19404
north sea,0.19397
worcester,0.19114
monmouth,0.19017
kingston,0.19
jordan,0.18976
tokyo,0.18816
derby,0.18699
burma,0.18561
warsaw,0.18518
congo,0.18492
los angeles,0.18377
lancashire,0.18268
cleveland,0.1826
bohemia,0.18144
bordeaux,0.1811
devon,0.17995
new orleans,0.17974
seville,0.179
hyde park,0.17846
cape town,0.17743
northumberland,0.17509
cumberland,0.17438
dresden,0.1731
kenya,0.17227
morocco,0.17212
woodville,0.17086
boulogne,0.17021
kensington,0.16953
norwich,0.16876
babylon,0.1686
florida,0.16833
uk,0.1649
shanghai,0.16396
peru,0.16391
cuba,0.16234
copenhagen,0.16219
greenwich,0.16195
buckingham,0.16133
nottingham,0.16081
united kingdom,0.15801
syria,0.15735
plymouth,0.15732
surrey,0.15717
millbank,0.15642
dover,0.156
panama,0.1551
westminster,0.15438
west end,0.15396
broadway,0.1539
algiers,0.15374
toronto,0.15369
halifax,0.15245
covent garden,0.15174
lagos,0.15164
bangkok,0.15037
devonshire,0.14978
galway,0.14962
philadelphia,0.14945
oxford street,0.14774
danube,0.14721
chelsea,0.14666
bengal,0.14543
new england,0.14509
mirabel,0.14433
cyprus,0.14236
durham,0.14227
mississippi,0.14216
soviet union,0.14182
malaya,0.14173
greenland,0.14133
auckland,0.14014
chatham,0.14
salisbury,0.13997
flanders,0.13802
hanover,0.13729
budapest,0.13689
johannesburg,0.13688
crimea,0.13607
genoa,0.13581
damascus,0.13568
havana,0.13523
nairobi,0.13438
bavaria,0.13418
vietnam,0.13382
wakefield,0.13378
cologne,0.13361
essex,0.13327
glastonbury,0.13217
crete,0.13174
manhattan,0.1312
turin,0.13014
cadiz,0.12983
stratford,0.12967
dorset,0.12863
maine,0.12709
marlborough,0.12686
dieppe,0.12643
antwerp,0.12635
caribbean,0.12615
rouen,0.12599
islington,0.12548
middle east,0.12301
madras,0.12291
hudson,0.12263
kent,0.12241
navarre,0.12223
buenos aires,0.12128
cannes,0.12108
pall mall,0.12097
vatican,0.12055
nigeria,0.12033
arundel,0.11999
newmarket,0.11998
portland,0.11925
margate,0.11907
monte carlo,0.11874
newfoundland,0.11868
provence,0.11855
epsom,0.1176
flint,0.11683
toulouse,0.11651
scotland yard,0.11635
ravenswood,0.1161
stockholm,0.11596
tarleton,0.11574
mecca,0.11552
seine,0.11414
jericho,0.11383
georgia,0.11356
hampshire,0.11339
st louis,0.11336
shrewsbury,0.11336
orlando,0.11237
woodstock,0.11235
new south wales,0.11205
wiltshire,0.1114
zurich,0.11127
riviera,0.1107
cheltenham,0.11014
trafalgar square,0.10993
pompeii,0.10975
valencia,0.10862
brixton,0.1083
limerick,0.10805
strindberg,0.10753
barcelona,0.10737
toulon,0.10727
dallas,0.10722
tibet,0.10605
lancaster,0.106
sheffield,0.10538
toledo,0.10492
amherst,0.1048
miami,0.1046
cardiff,0.10455
cheshire,0.10422
amazon,0.1042
dunkirk,0.10391
denver,0.10306
guildford,0.10275
manila,0.10186
lucca,0.10156
london bridge,0.10134
lincolnshire,0.10078
sussex,0.10069
canterbury,0.10045
indiana,0.1003
orleans,0.10028
sahara,0.09998
brisbane,0.09977
kew,0.0997
usa,0.09958
eton,0.09944
inverness,0.09936
tunis,0.09924
folkestone,0.09922
brittany,0.09921
gravesend,0.09903
indian ocean,0.09901
khartoum,0.09894
borneo,0.0989
saxony,0.09885
houston,0.09866
ganges,0.09812
petersburg,0.09811
garden,0.09754
quebec,0.09692
far east,0.09689
kremlin,0.09686
paddington,0.0966
sudan,0.09641
u s ,0.09626
leipzig,0.09561
iran,0.09545
park lane,0.09541
derbyshire,0.09508
smyrna,0.09502
marina,0.09487
arcadia,0.09481
bournemouth,0.09423
ebla,0.09423
tuscany,0.09412
tyrol,0.09407
finland,0.09402
kiev,0.09373
thebes,0.0933
lebanon,0.09306
lima,0.09266
belgrade,0.09262
knightsbridge,0.09248
siam,0.09227
baltimore,0.09217
torrington,0.0918
