text_string,occurs_100k
london,13.83884
england,8.96316
paris,6.21812
france,4.58992
india,3.65866
ireland,2.88628
europe,2.67687
rome,2.51621
america,2.4857
moscow,2.10055
new york,1.98534
russia,1.94041
germany,1.88916
italy,1.80746
africa,1.69279
spain,1.64515
israel,1.49771
scotland,1.48662
egypt,1.27173
dublin,1.23945
britain,1.13501
jerusalem,1.08274
oxford,1.05235
berlin,1.03384
cambridge,0.93259
great britain,0.91921
edinburgh,0.82013
australia,0.80048
vienna,0.78196
japan,0.74357
wales,0.74037
norway,0.69525
naples,0.65943
poland,0.65657
somerset,0.64612
canada,0.64216
iceland,0.64016
cairo,0.62015
greece,0.61067
south africa,0.60994
united states,0.60486
glasgow,0.5891
venice,0.58796
florence,0.58368
california,0.57915
calcutta,0.57369
sydney,0.56944
athens,0.54654
brighton,0.54017
madrid,0.53947
bombay,0.52418
atlantic,0.46966
holland,0.45799
delhi,0.45306
switzerland,0.44093
denmark,0.4201
sweden,0.41846
leningrad,0.39681
manchester,0.39156
birmingham,0.3805
bengal,0.37679
bristol,0.37629
us,0.37272
persia,0.37053
turkey,0.36825
austria,0.36682
asia,0.36257
warsaw,0.3505
mediterranean,0.3488
beirut,0.34797
belfast,0.34419
singapore,0.34414
uk,0.33104
siberia,0.32351
burma,0.32255
pakistan,0.32047
prague,0.31886
nigeria,0.31831
brazil,0.31737
mexico,0.31605
istanbul,0.31467
lagos,0.31321
hungary,0.3127
jordan,0.31255
nairobi,0.30836
alexandria,0.29863
boston,0.29824
cornwall,0.2958
new zealand,0.29572
washington,0.29424
kiev,0.29371
trinidad,0.29292
states,0.28997
normandy,0.28914
milan,0.28897
yorkshire,0.28047
portugal,0.27533
soviet union,0.26838
hollywood,0.26758
copenhagen,0.26667
florida,0.26417
chicago,0.26399
brussels,0.26239
cape,0.26135
palestine,0.25424
tokyo,0.25375
budapest,0.25093
usa,0.25075
lisbon,0.24715
kola,0.24177
san francisco,0.24062
kashmir,0.24002
amsterdam,0.23958
kenya,0.23933
babylon,0.23883
danube,0.23762
malta,0.23695
morocco,0.23623
baghdad,0.23613
jamaica,0.23321
st petersburg,0.23271
munich,0.23245
melbourne,0.23115
rhine,0.23052
marseilles,0.22973
aden,0.22936
damascus,0.22812
syria,0.22809
hong kong,0.22791
northern ireland,0.22713
toulouse,0.22661
volga,0.22563
michigan,0.22438
leicester,0.22168
lebanon,0.21834
belgium,0.21679
constantinople,0.21449
ellerslie,0.21224
shanghai,0.21157
dorset,0.20954
pacific,0.20884
stockholm,0.20696
luxembourg,0.20574
zurich,0.2042
algiers,0.20292
jericho,0.20282
sicily,0.20189
johannesburg,0.20176
versailles,0.20175
belgrade,0.20095
petrograd,0.20024
national portrait gallery,0.19918
west indies,0.19831
thames,0.19809
urdu,0.19778
richmond,0.19767
ganges,0.19742
cape town,0.19724
afghanistan,0.19722
liverpool,0.19687
mecca,0.1965
toronto,0.19608
south america,0.19525
raleigh,0.19428
hamburg,0.1937
windsor,0.1936
tashkent,0.19355
texas,0.1891
madras,0.18761
tibet,0.18338
portsmouth,0.18226
crimea,0.17815
geneva,0.17729
sudan,0.17689
buenos aires,0.17603
dresden,0.17518
united kingdom,0.17408
tahiti,0.17041
north sea,0.17012
algeria,0.16941
uganda,0.16924
essex,0.16822
galilee,0.16769
petersburg,0.16763
finland,0.16742
malvern,0.16736
narvik,0.16716
los angeles,0.16704
york,0.16568
norfolk,0.16533
cleveland,0.16498
jura,0.1642
congo,0.16056
galway,0.15914
gloucester,0.15912
bali,0.15815
rimini,0.15674
calais,0.15485
korea,0.15453
mahala,0.15398
jamuna,0.1536
devon,0.15209
iran,0.15188
caribbean,0.15187
auckland,0.1511
malaya,0.15055
seville,0.14955
bordeaux,0.1495
artesia,0.14918
illinois,0.14633
alps,0.14628
exeter,0.14479
almeria,0.14434
haifa,0.1439
rouen,0.14338
kingdom,0.14334
gibraltar,0.14101
seoul,0.14044
bohemia,0.1395
northampton,0.13929
greenland,0.13892
soho,0.13885
punjab,0.13814
suffolk,0.13801
odessa,0.13615
southampton,0.13608
black sea,0.13574
cuba,0.13541
devonshire,0.13484
accra,0.1341
valencia,0.1334
prussia,0.13253
lahore,0.13237
fricka,0.13179
rangoon,0.13162
ethiopia,0.12957
listowel,0.12956
karachi,0.12952
beijing,0.1293
toulon,0.12897
frankfurt,0.12864
nepal,0.12734
hyde park,0.1256
havana,0.12548
kingston,0.12412
sahara,0.12328
cardiff,0.12327
middle east,0.12239
northumberland,0.12227
worcester,0.12212
vietnam,0.12095
eton,0.11996
georgia,0.11979
brittany,0.11964
amazon,0.11841
benin,0.11797
ghana,0.1175
hudson,0.11706
muju,0.11699
ukraine,0.11591
montreal,0.11573
toledo,0.11547
north america,0.11516
peking,0.11487
soweto,0.11476
grettir,0.11448
arabia,0.11441
chatham,0.11423
haarlem,0.1142
garden,0.11393
madeira,0.11312
libya,0.11305
antwerp,0.11268
cyprus,0.11258
mass,0.11255
crete,0.11232
brooklyn,0.11229
lhasa,0.11205
bethlehem,0.11181
tripoli,0.11133
wiltshire,0.11117
himalayas,0.11096
lisle,0.11057
palermo,0.11056
lucknow,0.11041
salisbury,0.10985
judea,0.10984
seine,0.10984
barcelona,0.10976
surrey,0.10904
oslo,0.10902
new orleans,0.10839
provence,0.10831
hiroshima,0.1082
iraq,0.10808
new delhi,0.10718
thebes,0.10636
norwich,0.10599
eltham,0.10599
glastonbury,0.10586
tel aviv,0.10563
guildford,0.10529
marina,0.10507
riga,0.10467
kremlin,0.10372
cheshire,0.10347
dover,0.10347
auschwitz,0.10334
yugoslavia,0.10317
angola,0.10298
morven,0.10252
agra,0.10235
maine,0.10208
enugu,0.10164
tangier,0.10151
netherlands,0.10111
tunis,0.101
dieppe,0.10055
bucharest,0.1004
ryazan,0.10033
quebec,0.10019
cumberland,0.09961
newport,0.09955
maidstone,0.09933
vatican,0.0991
jellico,0.09901
cannes,0.09879
ibadan,0.09868
kabul,0.09868
mali,0.09859
assisi,0.09832
hampstead,0.09808
lancashire,0.09793
luanda,0.097
kent,0.09648
orleans,0.09628
calabar,0.09618
indonesia,0.09536
dacia,0.09532
sydenham,0.09453
colombo,0.09426
metro,0.0942
far east,0.09401
north africa,0.09372
killarney,0.0937
leipzig,0.09343
bosnia,0.09316
pompeii,0.0929
perth,0.09279
smyrna,0.09232
murom,0.09222
barbados,0.09216
baltimore,0.092
biskra,0.09175
westminster,0.09127
chelsea,0.09106
derby,0.09105
peru,0.09095
tahta,0.09031
indian ocean,0.08996
bahia,0.08967
kensington,0.08963
bulgaria,0.08947
serbia,0.08947
dakar,0.08932
cambrai,0.08931
cologne,0.08909
new england,0.08901
orlando,0.08861
mauritius,0.08849
halifax,0.08843
senegal,0.08807
ontario,0.08805
argentina,0.08769
philadelphia,0.08696
bangladesh,0.08683
flower hill,0.0866
pisa,0.08613
orkney,0.08585
riviera,0.0858
struga,0.08551
nazareth,0.08514
west end,0.0851
monte carlo,0.08505
zagreb,0.08504
saxony,0.08493
moon lady,0.08493
weimar,0.08486
manhattan,0.08483
ceuta,0.08458
mombasa,0.08437
benares,0.08403
derry,0.08388
ogun,0.08376
magdalen,0.08369
sarajevo,0.08361
armenia,0.08351
ravana,0.0833
chile,0.08323
west africa,0.08317
tsavo,0.08273
papeete,0.08249
lorton,0.08232
padua,0.08203
new guinea,0.0819
urbino,0.08188
kikuyu,0.08155
caucasus,0.08134
red sea,0.0813
durban,0.08128
buckingham,0.08119
carthage,0.08109
pretoria,0.08107
boulogne,0.08056
honolulu,0.08043
topsail,0.08036
nottingham,0.08015
east africa,0.08014
broadway,0.08006
kuwait,0.07999
bosphorus,0.07991
hawaii,0.07989
inverness,0.07966
oxford street,0.07822
stalingrad,0.07811
plymouth,0.07808
ballycullen,0.07793
harran,0.07787
basra,0.07781
united states of america,0.07757
srinagar,0.07714
s s ,0.07709
yeovil,0.07657
ohio,0.07611
bavaria,0.0759
california los angeles,0.07572
kumasi,0.07507
tigris,0.07504
usna,0.07499
reykjavik,0.07489
swansea,0.07485
teheran,0.07443
phoenix,0.07436
durham,0.07431
cheltenham,0.07428
santa,0.07392
amritsar,0.07382
covent garden,0.0737
sart,0.07332
vailima,0.07323
brixton,0.07316
new york city,0.0731
sparta,0.07305
bamian,0.07295
santiago,0.07279
genoa,0.07276
portland,0.07244
siam,0.07183
flanders,0.07179
alaska,0.07176
hanover,0.0714
czechoslovakia,0.07139
euphrates,0.07107
dadu,0.07069
avignon,0.07066
lerwick,0.07034
winchester,0.07026
heathrow,0.07022
ussr,0.07016
samara,0.07009
rotterdam,0.07006
newfoundland,0.07005
lotte,0.06993
verdun,0.06979
panama,0.06976
sao paulo,0.06961
hampshire,0.06924
arcadia,0.06919
khartoum,0.06917
gaza,0.06876
beauport,0.06846
paulo,0.06817
tula,0.06808
palatine,0.06798
xenia,0.06794
little river,0.06765
rhodesia,0.06758
zimbabwe,0.06738
siena,0.06724
tuscany,0.06689
limerick,0.06681
fiji,0.06644
greenwich,0.0659
kharkov,0.06589
turin,0.06563
st louis,0.06524
aberdeen,0.06519
bjarg,0.06518
samaria,0.06514
pall mall,0.06511
cadiz,0.06507
merton,0.06499
sussex,0.06484
lyon,0.06473
straits,0.06471
madagascar,0.06447
louvre,0.06445
borneo,0.06444
seattle,0.06435
marlborough,0.06426
ithaca,0.06416
east london,0.06402
antarctic,0.06392
south seas,0.06389
melilla,0.0638
niagara,0.06378
kadis,0.06373
amiens,0.06373
folkestone,0.06365
boyne,0.06357
d o ,0.06311
sanya,0.06303
samoa,0.06298
london bridge,0.06285
bangkok,0.06263
east end,0.06253
lima,0.06224
new south wales,0.06216
leeds,0.06203
stratford,0.06178
guinea,0.06172
eiffel tower,0.0615
shrewsbury,0.06094
sheffield,0.0609
casca,0.06084
newmarket,0.06082
canaan,0.06046
macedonia,0.06046
simla,0.06041
isolo,0.06031
golden lotus,0.06028
u s ,0.06024
bihar,0.06015
west germany,0.05996
bonn,0.05979
canton,0.05978
chennai,0.05973
mumbai,0.05969
albania,0.05966
harlem,0.05962
malacca,0.05958
travnik,0.05952
padre,0.05948
santa maria,0.05942
tunisia,0.05942
canterbury,0.0594
bokhara,0.05899
northern sea,0.05889
new jersey,0.05888
loire,0.05886
northboro,0.05885
zanzibar,0.05885
islington,0.05881
mozambique,0.05877
lancaster,0.05869
belleville,0.05866
corinth,0.05827
belmont,0.0582
kampala,0.05818
lincolnshire,0.05816
gallipoli,0.05816
montmartre,0.05815
vanka,0.05809
new world,0.05809
hamilton,0.05791
myrtle,0.05781
buckingham palace,0.05746
bagdad,0.05735
aleppo,0.05735
stuttgart,0.05734
ayodhya,0.05726
mississippi,0.05694
south sea,0.0569
zambia,0.05687
arundel,0.05676
paddington,0.05657
tonga,0.05639
timor,0.05619
izmir,0.05615
ypres,0.05596
brest,0.05586
hammersmith,0.05584
wago,0.05577
scandinavia,0.05576
romania,0.05569
midlands,0.05557
casablanca,0.05534
moab,0.05531
frigga,0.05526
north wales,0.05523
shannon,0.05517
neva,0.05501
kensington gardens,0.05488
santa claus,0.05482
flint,0.05473
kolkata,0.05473
trafalgar square,0.05473
cuchulain,0.05469
abbeville,0.05448
corsica,0.05447
rio,0.0544
castile,0.05423
patna,0.0542
south wales,0.05397
lanka,0.05393
amman,0.05375
pa,0.05364
chuska,0.05358
jaffna,0.05351
antioch,0.0535
valhalla,0.05346
st martin,0.05342
balkans,0.05337
the gables,0.05336
yemen,0.05316
trieste,0.05314
southampton street,0.05304
antarctica,0.05299
dhaka,0.05279
belton,0.05265
araba,0.05259
holborn,0.0525
la,0.05245
middlesex,0.05244
isfahan,0.05232
squire,0.05224
epsom,0.05222
park lane,0.052
kathmandu,0.05199
peshawar,0.05174
hertfordshire,0.05153
jutland,0.05124
jaffa,0.05116
tyrol,0.05113
tate gallery,0.05093
lithend,0.0508
sandhurst,0.05071
buda,0.05069
long island,0.05063
port of spain,0.05061
flamenca,0.05061
aldershot,0.05043
notre dame,0.05034
monmouth,0.05019
onitsha,0.05017
sumatra,0.0501
bannu,0.05006
galicia,0.04998
sophiatown,0.04997
somerton,0.04996
heidelberg,0.04986
philippines,0.04978
mycenae,0.04978
andes,0.04968
cracow,0.04957
mexico city,0.04946
orient,0.04944
ephesus,0.04928
oregon,0.04925
namur,0.04924
dallas,0.04919
nagasaki,0.04916
croydon,0.04914
corfu,0.04912
massachusetts,0.04902
irkutsk,0.049
sakai,0.04894
fifth avenue,0.04886
botswana,0.04881
milford,0.04869
jarnac,0.04862
d c ,0.0486
ostend,0.04853
sind,0.04852
mesopotamia,0.04846
vistula,0.04839
judaea,0.0483
newcastle,0.04829
anjou,0.04821
rostov,0.0481
connecticut,0.0481
drangey,0.04788
kavala,0.04784
liberia,0.04779
scotland yard,0.04765
taranto,0.04759
verona,0.04754
chernobyl,0.04737
granada,0.04733
bering,0.04733
gloucestershire,0.04728
meerut,0.04718
sidon,0.04714
mons,0.04714
indiana,0.04703
putney,0.04687
detroit,0.04678
wexford,0.04675
hyderabad,0.04669
east indies,0.04661
montenegro,0.04642
harley street,0.04641
jeddah,0.04627
cana,0.04625
vancouver,0.04624
east germany,0.04622
ankara,0.04618
rumania,0.04611
eaton square,0.04599
zebulon,0.04593
gulbahar,0.04587
assyria,0.04585
sebastopol,0.04581
carlisle,0.0458
lonend,0.04569
aegean,0.04567
saudi arabia,0.04556
croatia,0.04548
smolensk,0.04546
yokohama,0.04527
ny,0.0451
salem,0.04505
rio de janeiro,0.04496
lithuania,0.04495
chesterfield,0.04494
nabu,0.04485
burgundy,0.04464
diwali,0.04462
lincoln,0.04459
alberta,0.0445
sorbonne,0.04445
grosvenor square,0.04432
kerala,0.04428
eastern europe,0.04419
leicester square,0.04417
attica,0.04416
west coast,0.0441
southwark,0.04402
hobart,0.04399
tasmania,0.04394
youghal,0.04394
district,0.04387
melcombe,0.04386
leinster,0.04383
mount ararat,0.04377
batavia,0.04374
latvia,0.04366
thailand,0.04363
yedo,0.04357
stamford,0.04355
basle,0.04347
portland place,0.04342
gravesend,0.04331
kalulu,0.04313
poona,0.043
fontainebleau,0.04299
nubia,0.04297
lucca,0.04296
dunkirk,0.04293
spencer,0.0429
bergen,0.04282
allahabad,0.04282
linz,0.04266
piccadilly,0.04263
carmel,0.04252
dauphin,0.04246
emmaus,0.04246
marseille,0.0424
java,0.04239
waituhi,0.04238
noumea,0.04238
navarre,0.04225
calif ,0.04223
kew,0.04222
kolya,0.04221
latin america,0.04212
sablin,0.04198
arras,0.04198
limoges,0.04186
colorado,0.04177
highgate,0.04158
memphis,0.04156
pollington,0.04151
lakshmi,0.04143
white city,0.04131
staffordshire,0.04122
falmouth,0.04113
yarmouth,0.0411
somalia,0.04109
central asia,0.04102
harare,0.041
nakuru,0.04097
cherbourg,0.04094
malaga,0.04094
taiwan,0.04093
sacramento,0.04092
capitol,0.04084
syracuse,0.0408
boeotia,0.04072
donegal,0.04069
vittoria,0.04068
baker street,0.04056
salzburg,0.04053
belgravia,0.0404
buffalo,0.0404
lagan,0.04038
kirkwall,0.04034
banbury,0.04019
tanzania,0.04012
western europe,0.04002
south london,0.03994
biarritz,0.03994
niger,0.03991
adele,0.03979
chiltern,0.03978
talleyrand,0.03954
littledale,0.0394
albuquerque,0.03939
lausanne,0.03935
miami,0.03931
tusitala,0.03922
bedford,0.03921
haymarket,0.03918
chinatown,0.03912
togo,0.03911
dnieper,0.03905
antrim,0.03904
grand prince,0.03896
novara,0.03882
rishikesh,0.03881
alhambra,0.03881
pushkin,0.03878
armagh,0.03876
surabaya,0.03871
chandigarh,0.03871
adriatic,0.03865
tennessee,0.0386
kauna,0.03858
alsace,0.03843
dead sea,0.03841
medway,0.03838
tehran,0.03837
black river,0.03836
buckinghamshire,0.03829
pennsylvania,0.03828
strindberg,0.03816
sri lanka,0.03813
mandalay,0.03805
miranda,0.03801
charleston,0.038
thessaly,0.03795
west bank,0.03793
knightsbridge,0.03792
nanking,0.03787
grafton street,0.03783
connemara,0.03782
tangiers,0.0378
southern africa,0.03778
creek,0.03767
jersey,0.03767
maui,0.03761
queensland,0.03754
vanya,0.03754
minsk,0.03748
peredur,0.03739
lethbridge,0.03729
kentucky,0.03729
sierra leone,0.03723
liege,0.03721
venka,0.03718
palais royal,0.03716
sheba,0.0371
taunton,0.03708
deptford,0.03707
magdeburg,0.03707
lorman,0.03704
manila,0.03699
birnagar,0.03695
ararat,0.03695
osaka,0.03686
petushki,0.03679
bermuda,0.03675
haiti,0.03674
rhondda,0.03673
bloomsbury,0.0367
sligo,0.0367
bournemouth,0.03669
jakarta,0.03667
peterborough,0.03659
bridgewater,0.03658
bangalore,0.03655
freetown,0.03632
derbyshire,0.0363
truro,0.03601
upper egypt,0.03584
oakstone,0.03583
innsbruck,0.03582
baku,0.03579
third world,0.03578
bay of biscay,0.03575
elbe,0.03573
east anglia,0.03572
oran,0.03571
mauthausen,0.03567
mohawk,0.03565
ibiza,0.03565
great hall,0.03562
brisbane,0.03562
pacific ocean,0.03561
transylvania,0.03556
tottenham court road,0.03547
twickenham,0.03544
samarkand,0.03542
hanoi,0.03542
robespierre,0.03536
central park,0.03534
biza,0.03533
city hall,0.03531
chester,0.03527
bangor,0.0352
utah,0.03519
benguela,0.03519
port harcourt,0.0351
ocean,0.03502
my garden,0.03499
road,0.03499
u s a ,0.03492
cojo,0.03485
hebron,0.0348
ottawa,0.03477
strasbourg,0.03477
arta,0.03468
manchuria,0.03468
dar es salaam,0.03465
u s s r ,0.03465
shetland,0.03465
dahomey,0.03455
andalusia,0.03453
modena,0.03451
gisborne,0.03442
lille,0.03429
emain,0.03426
pembroke,0.03421
arizona,0.03413
angouleme,0.03413
georgetown,0.03411
nyeri,0.03403
lewes,0.03397
nuremberg,0.03397
vladivostok,0.03395
pembrokeshire,0.03394
lapland,0.03392
u k ,0.03391
effingham,0.03389
ballycastle,0.03388
oban,0.03387
saigon,0.03382
pekin,0.03375
mosul,0.03373
americas,0.03363
miguel street,0.03348
mukund,0.03345
atlantic ocean,0.03341
central africa,0.03336
sciacca,0.03336
chartres,0.03333
bremen,0.03331
punjabi,0.03331
margate,0.03329
wakefield,0.03324
white house,0.03324
new burlington,0.03304
carmarthen,0.03302
lombardy,0.03302
kalya,0.03302
ailsa,0.03292
mass ,0.03292
falls road,0.03288
nyambe,0.03286
hera,0.03283
lamu,0.03274
pentecost,0.03271
lucerne,0.0327
roumania,0.03269
hudson street,0.03269
victoria station,0.03268
edom,0.03265
staplehurst,0.03264
rhone,0.03262
piraeus,0.03251
tuileries,0.03251
patala,0.03248
dorchester,0.03244
holy city,0.0324
poros,0.03239
goa,0.03238
mungo,0.03237
savannah,0.03234
nebraska,0.03233
clagenfurth,0.03232
uxbridge,0.03225
cabourg,0.03204
malays,0.03198
ca,0.03197
lafayette,0.03196
phoenicia,0.03192
bradford,0.03188
orissa,0.03185
erfurt,0.0318
grand hotel,0.03179
williston,0.03179
seychelles,0.03179
bolivia,0.03176
lady of the lake,0.03175
grey,0.03174
san pedro,0.03167
breton,0.03166
woodstock,0.03166
alabama,0.03164
northumbria,0.0316
lemira,0.03158
orava,0.03152
thrace,0.03146
daintree,0.03146
portman square,0.03138
marusa,0.03135
barnadiston,0.03128
hastings,0.03121
levingstone,0.03118
tipperary,0.03115
lida,0.0311
helsinki,0.03102
hinduism,0.03097
windermere,0.03096
bedford square,0.03092
san pietro,0.03084
vorkuta,0.03083
catania,0.0308
breda,0.03079
brahma,0.03079
hanover square,0.03079
pomona,0.03076
golden temple,0.03075
cloon,0.0307
brunswick,0.03068
rabat,0.03068
st martin s lane,0.03068
yarra,0.03067
everest,0.03067
rockies,0.03066
tarsus,0.03064
mansion house,0.03063
calabria,0.03062
turkestan,0.0306
octa,0.03046
west berlin,0.03044
calena,0.0303
frankfort,0.03029
caen,0.03025
yangtze,0.0302
abyssinia,0.03017
st james s park,0.03016
irvine,0.03014
west country,0.03011
yunnan,0.03009
flosi,0.02999
hague,0.02997
ruwenzori range,0.02993
weymouth,0.02988
rutland,0.02982
waterford,0.02978
shoreditch,0.02977
south georgia,0.02975
barrackpore,0.02973
terai,0.02972
harbour,0.02972
pyrenees,0.02969
joppa,0.02967
venezuela,0.02964
apennines,0.02962
ayrshire,0.02961
perigueux,0.02959
thornwood,0.02958
guyana,0.02957
red square,0.02953
blacky,0.02951
bayswater,0.02942
garden of eden,0.02941
manden,0.0294
kyoto,0.02932
komsomol,0.02932
penang,0.0293
oldham,0.0293
asmund,0.0293
charing cross road,0.02929
charlemont,0.02927
marrakech,0.02927
gosford street,0.02927
british isles,0.02925
river,0.02919
denver,0.02918
