text_string,occurs_100k
london,20.28987
england,8.58656
paris,7.71231
france,3.71259
rome,3.54123
dublin,2.76111
india,2.5138
america,2.36529
italy,2.34371
new york,2.28081
europe,1.96117
ireland,1.43589
scotland,1.3818
ebla,1.29861
germany,1.28541
edinburgh,1.20917
palmyra,1.20005
russia,1.1999
venice,1.17355
africa,1.15815
great britain,0.99669
egypt,0.97351
oxford,0.91463
sydney,0.87946
florence,0.87171
moscow,0.81736
tashkent,0.784
australia,0.76778
cambridge,0.76461
spain,0.76065
brighton,0.75471
luxembourg,0.7374
britain,0.69621
california,0.69241
athens,0.68655
berlin,0.67052
poland,0.66019
jamuna,0.65084
naples,0.63134
greece,0.62477
pompeii,0.62117
canada,0.62052
st austell,0.61808
vienna,0.48955
holland,0.48807
wales,0.48436
garden,0.48341
cornwall,0.48091
denver,0.4638
south africa,0.46079
warsaw,0.45991
jerusalem,0.45614
boston,0.44802
chicago,0.44567
richmond,0.4405
switzerland,0.4391
israel,0.39143
manchester,0.38651
sweden,0.3852
copenhagen,0.37098
stockholm,0.36261
atlantic,0.35929
jamaica,0.3379
brussels,0.33787
japan,0.33154
pemberley,0.32989
carthage,0.32644
us,0.32576
lagos,0.32461
austria,0.32249
tuscany,0.31524
united states,0.31291
bristol,0.30632
leningrad,0.30162
mediterranean,0.29864
caribbean,0.29662
glasgow,0.29535
rhine,0.29504
georgia,0.29419
petersburg,0.29088
yorkshire,0.2829
norway,0.2809
bombay,0.27907
states,0.27372
milan,0.27219
persia,0.27104
vilna,0.27049
madras,0.26932
washington,0.26926
mdlle,0.26162
cairo,0.25526
marina,0.25506
sevenoaks,0.25481
geneva,0.25284
michigan,0.2486
calcutta,0.24237
denmark,0.24202
soho,0.23533
oslo,0.23471
kensington,0.23004
hollywood,0.22561
versailles,0.22268
west indies,0.21643
asia,0.21625
longinus,0.21478
marlborough,0.21398
strasbourg,0.21341
madrid,0.20933
etoile,0.20919
dresden,0.20871
vellore,0.20858
southampton,0.20856
bering,0.20838
marseilles,0.20608
prague,0.20553
siberia,0.20499
turkey,0.20471
newnham,0.20468
heidelberg,0.20461
liverpool,0.20434
orlando,0.20427
white rabbit,0.20288
santiago,0.2027
altamont,0.19918
chernobyl,0.19884
hampstead,0.19873
myrtle,0.1973
nabu,0.19584
dunallan,0.19581
bordeaux,0.19438
alps,0.19331
illinois,0.19133
uk,0.19127
kiev,0.18934
nigeria,0.18868
new zealand,0.18647
sicily,0.18643
birmingham,0.18613
portsmouth,0.18446
volga,0.18261
brixton,0.18223
lyon,0.18209
oxford street,0.18152
onya,0.17667
magdalen,0.17496
mexico,0.17231
kingston,0.17205
delhi,0.1695
beech park,0.16875
thames,0.16866
tibet,0.16698
west end,0.16629
norwich,0.16611
calabar,0.16528
rosetta,0.1646
stalingrad,0.16347
somerset,0.16326
south america,0.16276
covent garden,0.16253
united kingdom,0.16113
babylon,0.1605
windsor,0.16015
jagua,0.15894
usa,0.1581
kolya,0.15769
irvine,0.15729
turin,0.15728
melbourne,0.15593
arundel,0.15528
cracow,0.15491
belfast,0.15404
malta,0.15384
leicester,0.1536
damascus,0.15237
belgium,0.15152
syria,0.15083
budapest,0.15055
jordan,0.15042
montoni,0.1497
norfolk,0.14926
florida,0.14905
pohja,0.14753
st petersburg,0.14673
cheshire,0.14602
kensington gardens,0.14587
belgrade,0.14543
calais,0.14535
hyde park,0.1442
baghdad,0.1439
amsterdam,0.14293
prussia,0.14278
toronto,0.14202
claremont,0.14162
holloway,0.14129
devonshire,0.14046
worcester,0.13577
west africa,0.13522
truro,0.13462
hamburg,0.13369
thornfield hall,0.13183
alexandria,0.13113
bethlehem,0.1311
rouen,0.13098
san francisco,0.12855
hudson,0.12848
los angeles,0.12846
bohemia,0.12838
leicester square,0.12711
cuba,0.12681
yarmouth,0.12661
chelsea,0.12628
iraq,0.12585
hungary,0.12503
galilee,0.12491
s s ,0.12461
normandy,0.12453
fiordelisa,0.12267
grosvenor square,0.12241
norwood,0.12192
provence,0.12183
trafalgar square,0.12125
devon,0.12026
