text_string,occurs_100k
london,20.60291
england,10.16986
paris,6.93261
france,3.69946
india,3.10908
rome,2.61741
sydney,2.45027
italy,2.34874
america,2.20388
new york,1.94809
europe,1.91833
scotland,1.73568
ireland,1.63279
germany,1.2921
dublin,1.16997
russia,1.16039
brighton,1.15843
edinburgh,1.05551
oxford,1.01751
africa,1.00867
spain,0.95264
venice,0.9237
cambridge,0.82836
australia,0.81555
egypt,0.81331
florence,0.81327
naples,0.78326
great britain,0.77206
wales,0.65339
canada,0.64268
vienna,0.62971
britain,0.61177
moscow,0.57721
poland,0.56426
berlin,0.5616
california,0.53547
japan,0.49273
switzerland,0.49248
richmond,0.47755
israel,0.47681
greece,0.46597
glasgow,0.44245
cornwall,0.43286
athens,0.41062
yorkshire,0.40899
boston,0.40258
manchester,0.38347
jerusalem,0.36659
atlantic,0.36528
brussels,0.35882
georgia,0.35608
united states,0.34357
south africa,0.33522
new zealand,0.33357
holland,0.33249
bristol,0.32452
birmingham,0.32406
launceston,0.32365
mexico,0.3199
melbourne,0.31965
milan,0.31792
bombay,0.30961
illinois,0.30483
calcutta,0.30346
mediterranean,0.29572
st petersburg,0.29103
austria,0.28977
bloomsbury,0.28154
jamaica,0.27895
chicago,0.27054
kensington,0.26725
warsaw,0.25958
dresden,0.25848
leicester,0.25778
us,0.25762
states,0.25428
washington,0.24598
geneva,0.238
mirabel,0.23748
liverpool,0.23511
turkey,0.23311
woodville,0.23256
devonshire,0.22946
hampstead,0.22878
falkland,0.22864
ebla,0.22784
malta,0.22652
cairo,0.22612
palmyra,0.22045
prague,0.21606
hollywood,0.21241
sweden,0.21208
xenia,0.2107
norway,0.21068
southampton,0.20963
versailles,0.20874
malvern,0.20762
somerton,0.20528
exeter,0.20211
norfolk,0.2013
san francisco,0.20034
belgium,0.19716
suffolk,0.19639
thames,0.19603
soho,0.19536
windsor,0.19377
munich,0.19261
marseilles,0.19052
persia,0.1884
sicily,0.18785
luxembourg,0.18749
lagos,0.18744
portsmouth,0.18702
west indies,0.18618
rhine,0.18596
brazil,0.18564
south america,0.18465
siberia,0.18402
marina,0.18383
asia,0.1799
hyde park,0.17921
hungary,0.17918
caribbean,0.17679
earlham,0.1764
oxford street,0.1751
lisbon,0.17446
alps,0.17425
chelsea,0.17208
devon,0.17034
wexford,0.16881
madrid,0.16839
normandy,0.16779
uk,0.16559
calais,0.16269
michigan,0.16238
amsterdam,0.16228
denver,0.16203
pompeii,0.16195
cape,0.16185
monte carlo,0.16147
hong kong,0.16142
belfast,0.16037
newburgh,0.15979
surrey,0.15957
myrtle,0.15932
portugal,0.1571
urbino,0.15519
bohemia,0.15468
norwich,0.15234
halifax,0.1507
covent garden,0.15052
kingston,0.1489
madras,0.14843
madeira,0.14719
copenhagen,0.14671
stockholm,0.14641
weymouth,0.14596
stratford,0.14522
kent,0.1426
tashkent,0.14186
jordan,0.14102
burlington,0.14023
bournemouth,0.13934
cumberland,0.13911
denmark,0.13884
provence,0.13667
alexandria,0.1361
iceland,0.13569
nigeria,0.13395
united kingdom,0.1338
orlando,0.13374
brixton,0.1333
west end,0.13292
morocco,0.13225
dorset,0.13174
hampshire,0.13131
cape town,0.13112
bordeaux,0.13051
kensington gardens,0.13007
lisle,0.12976
prussia,0.12969
delhi,0.12937
cannes,0.12871
mandeville,0.12799
guildford,0.12697
petersburg,0.12623
los angeles,0.12546
florida,0.12429
constantinople,0.12357
riviera,0.12347
arlington,0.12331
magdalen,0.12252
arundel,0.12201
wilmington,0.12138
auckland,0.12136
toronto,0.12119
cal,0.12111
garden,0.11836
new england,0.11804
tuscany,0.11788
islington,0.11783
belgrade,0.11772
somerset,0.11762
nairobi,0.11747
johannesburg,0.11719
palestine,0.11702
cheltenham,0.11689
lewes,0.11666
leningrad,0.11633
jamuna,0.11535
dover,0.11397
cheshire,0.11304
syria,0.11274
usa,0.11228
fiesole,0.11141
greenwich,0.11115
sydenham,0.11109
uganda,0.11066
burma,0.11054
st austell,0.11021
crimea,0.1102
tokyo,0.10957
beirut,0.10956
hamburg,0.10908
kenya,0.10853
sussex,0.10822
park lane,0.1076
essex,0.10751
danube,0.10714
york,0.10673
grosvenor square,0.10462
congo,0.10456
rainham,0.10444
brooklyn,0.10434
hudson,0.10428
damascus,0.1042
valence,0.10382
gloucester,0.10381
putney,0.1037
babylon,0.10302
pomfret,0.10222
budapest,0.1022
baghdad,0.10214
pacific,0.10173
worcester,0.10084
almeria,0.10063
chatham,0.10043
picardy,0.10036
kazimir,0.10012
southampton street,0.09984
listowel,0.09973
northumberland,0.09956
heidelberg,0.09844
lebanon,0.09761
montreal,0.09738
derbyshire,0.09708
carpentaria,0.09638
singapore,0.09637
north sea,0.09572
belton,0.09552
vatican,0.0954
havana,0.09375
dunallan,0.09346
wiltshire,0.09271
texas,0.09246
panama,0.09184
phoenix,0.09179
belgravia,0.09105
algiers,0.09066
westminster,0.08895
jersey,0.08846
marlborough,0.08814
armenia,0.08808
carthage,0.088
shaba,0.08784
cleveland,0.08778
nottingham,0.08777
bengal,0.08759
finland,0.08678
eton,0.08675
genoa,0.0866
brittany,0.08617
glyndon,0.086
lancashire,0.08586
philadelphia,0.08581
heathrow,0.08542
knightsbridge,0.08537
gibraltar,0.08518
bavaria,0.08504
mentone,0.08499
arcadia,0.08458
petrograd,0.08455
manhattan,0.08444
trafalgar square,0.08323
harley street,0.08321
penn,0.08317
cyprus,0.08317
haarlem,0.08314
baltimore,0.08301
ailsa,0.08275
hammersmith,0.08275
rouen,0.08261
seine,0.0824
paddington,0.08219
plymouth,0.0821
cologne,0.08053
altamont,0.08046
pisa,0.08042
stanmore,0.08006
palermo,0.07972
broadway,0.07954
dieppe,0.07904
mass,0.07878
irvine,0.0787
bethlehem,0.07786
sheffield,0.07737
perth,0.07702
trafford,0.07694
newfoundland,0.07693
peru,0.07657
algeria,0.07651
xuma,0.07575
boulogne,0.07568
durham,0.0755
cuba,0.07546
effingham,0.07533
folkestone,0.07473
trinidad,0.07471
portland place,0.07465
new orleans,0.0744
soviet union,0.07408
mons,0.07401
pall mall,0.07373
miami,0.07372
fontainebleau,0.07371
rockstone,0.07358
buckingham palace,0.07308
highgate,0.073
cardiff,0.07297
dacia,0.07281
deepdale,0.07278
salisbury,0.07268
lewiston,0.07241
bayswater,0.07214
berkeley square,0.07182
fairfield,0.07123
wandsworth,0.07083
carlisle,0.07061
middle east,0.07054
derby,0.0705
vietnam,0.07041
strasbourg,0.07036
denville,0.06978
sahara,0.06974
fulham,0.06948
buenos aires,0.06932
pemberley,0.06891
turin,0.06883
hertfordshire,0.0682
antwerp,0.06801
blackpool,0.068
fifth avenue,0.06793
lancaster,0.06784
shropshire,0.06779
portland,0.06763
louvre,0.06748
south kensington,0.06746
torrington,0.06742
croydon,0.06735
leeds,0.067
toulon,0.06684
metro,0.06667
barbados,0.06666
eaton square,0.06664
verona,0.06649
kiev,0.06631
lincolnshire,0.06622
arabia,0.06598
taunton,0.0657
delaford,0.06551
orleans,0.06542
kew,0.06525
camden town,0.06496
amazon,0.06445
margate,0.06441
biarritz,0.06414
new south wales,0.06406
volga,0.06389
crete,0.06383
tunis,0.06349
dorchester,0.06341
notre dame,0.06326
new burlington,0.06307
east end,0.06301
bangkok,0.06271
carlingford,0.0627
salvador,0.06245
inverness,0.06238
shanghai,0.06237
yeovil,0.06217
st louis,0.06184
auschwitz,0.06177
bellevue,0.06176
saxony,0.06144
notting hill,0.06111
killarney,0.0611
siena,0.06098
argentina,0.06092
montmartre,0.06085
vienne,0.06084
leicester square,0.06069
gloucestershire,0.06063
far east,0.06027
glastonbury,0.06015
hastings,0.06013
norham,0.06008
tottenham court road,0.06006
rangoon,0.05997
santa,0.05996
brook street,0.05976
oslo,0.05964
bahia,0.05956
frankfurt,0.05945
kalpana,0.0593
white house,0.05916
newmarket,0.05914
midlands,0.05888
piccadilly,0.05887
istanbul,0.05866
lucerne,0.05865
trouville,0.05864
yugoslavia,0.05858
haymarket,0.05848
kodai,0.05845
sevenoaks,0.0581
jericho,0.0581
belgrave square,0.05788
canterbury,0.05782
galway,0.05778
avignon,0.05776
maine,0.05771
lyon,0.05771
selborne,0.05753
tibet,0.05747
tyrol,0.05742
mecca,0.05741
squire,0.05721
tahiti,0.05708
mdlle,0.05641
loire,0.05631
colombo,0.05624
arizona,0.05613
chester,0.05608
corsica,0.05558
white city,0.05544
st mawr,0.05536
chesterfield,0.05536
seville,0.05531
iraq,0.0551
hanover,0.05491
shrewsbury,0.05486
sandhurst,0.05468
swansea,0.05463
staffordshire,0.05456
newcastle,0.05448
buckinghamshire,0.05445
cavendish square,0.05435
claremont,0.05435
portman square,0.05422
melksham,0.05404
sheba,0.05397
lausanne,0.05383
twickenham,0.05383
montague,0.05361
lethbridge,0.0535
galilee,0.05343
adriatic,0.0534
hertford,0.05337
pakistan,0.05336
somalia,0.05299
thailand,0.05296
beaufort,0.05295
mapleton,0.05286
castleford,0.0528
appledore,0.05273
iran,0.05272
vancouver,0.05259
ganges,0.0525
thebes,0.05243
zurich,0.05232
dumbleton,0.05231
flanders,0.05213
barcelona,0.05209
signora,0.05201
winchester,0.05199
lisu,0.05174
belmont,0.05144
himalayas,0.05098
pacifica,0.05095
loudon,0.05095
rockingham,0.05069
north america,0.05049
great house,0.05044
etoile,0.0504
aberdeen,0.05035
bond street,0.05023
clapham,0.05013
cracow,0.05005
dorsetshire,0.04991
scotland yard,0.04988
chile,0.04988
burwood,0.04983
london bridge,0.04981
lima,0.04969
nice,0.04969
curzon street,0.04967
aldershot,0.04927
padua,0.04916
westerton,0.04912
st james s park,0.04906
namur,0.04897
santiago,0.04884
spencer,0.04882
west africa,0.04881
north africa,0.04877
rupert,0.04876
monmouth,0.04872
moore park,0.04867
st kilda,0.04866
navarre,0.04861
ostend,0.04851
new york city,0.04847
nazareth,0.04834
hexham,0.04828
eiffel tower,0.04826
great marlborough street,0.04822
vilna,0.04813
queensland,0.04805
odessa,0.04799
miranda,0.04786
green park,0.0478
baker street,0.04764
newnham,0.04749
longinus,0.0474
amiens,0.04738
buckingham,0.04721
new world,0.04717
indiana,0.04697
middlesex,0.04693
torquay,0.04687
siam,0.04685
black sea,0.04682
vail,0.04679
kingdom,0.04665
sloane street,0.04664
windermere,0.04662
la,0.04653
newport,0.04651
boscawen,0.0465
meadowthorpe,0.04649
alice,0.04642
indian ocean,0.04641
kampala,0.04637
milford,0.0463
ghana,0.0462
eastbourne,0.04588
orient,0.04585
atalanta,0.04565
santa lucia,0.04564
yaxley,0.04561
massachusetts,0.04549
victoria station,0.04549
bedford,0.04542
yarmouth,0.04541
lahore,0.04536
united states of america,0.04526
truro,0.04512
kansas,0.04485
holborn,0.04484
epsom,0.0448
ethiopia,0.04471
ontario,0.04471
mali,0.04468
amelia,0.04467
mossgray,0.04446
holloway,0.04428
greenland,0.04423
bosphorus,0.04418
bruges,0.04412
east indies,0.04412
tetuan,0.04391
flint,0.04388
grand hotel,0.04374
rieti,0.04373
northern sea,0.04365
ravenswood,0.04351
portia,0.04349
tuileries,0.04346
queenstown,0.04345
dead sea,0.04345
maidstone,0.04337
majorca,0.04331
haltham,0.0433
mayfair,0.0433
hazlewood,0.04318
antigua,0.04298
palatine,0.04298
bering,0.04296
hague,0.04295
czechoslovakia,0.04292
streatham,0.04284
clermont,0.04283
robespierre,0.04268
seaview,0.0426
battersea,0.04259
benares,0.04258
beppo,0.04253
falmouth,0.04241
banbury,0.04238
goodwood,0.04236
belville,0.04216
chernobyl,0.04215
chiswick,0.04214
afghanistan,0.04212
bentley priory,0.04201
st dorval,0.04193
wildwood,0.0418
pretoria,0.04167
castleton,0.04146
enfield,0.04144
bermuda,0.04143
hobart,0.0414
bulgaria,0.04129
new jersey,0.04124
sebastopol,0.04119
cowes,0.04107
somerville,0.04102
bagheria,0.04097
colchester,0.04092
hilstone,0.04089
somersetshire,0.04089
karachi,0.04088
lilliput,0.04061
regent street,0.04061
silesia,0.04059
mississippi,0.04059
toulouse,0.04043
lucca,0.04039
biskra,0.04033
fribourg,0.04029
eussia,0.04027
