text_string,occurs_100k
london,13.86782
england,11.65394
france,6.03587
paris,5.18374
europe,3.10205
ireland,2.72304
rome,2.71477
germany,2.59185
india,2.49022
scotland,2.25899
spain,2.21046
america,2.19851
africa,2.07376
italy,1.91633
new york,1.8658
russia,1.80076
israel,1.7963
britain,1.59542
egypt,1.38617
berlin,1.26636
oxford,1.12306
dublin,1.07786
jerusalem,1.07458
moscow,1.04038
great britain,1.02245
edinburgh,1.02004
australia,1.01573
naples,0.98568
norway,0.97938
cambridge,0.88621
japan,0.86122
united states,0.83007
sydney,0.81271
venice,0.80204
california,0.77754
vienna,0.7706
greece,0.76287
wales,0.74951
persia,0.73336
holland,0.72023
glasgow,0.71339
atlantic,0.70647
south africa,0.62884
canada,0.62708
poland,0.62493
athens,0.61923
iceland,0.61561
madrid,0.60458
austria,0.58241
mexico,0.58113
cairo,0.57551
denmark,0.56172
florence,0.52826
singapore,0.52131
bristol,0.51295
asia,0.50782
pacific,0.49431
washington,0.48845
calcutta,0.47915
turkey,0.4755
manchester,0.45894
switzerland,0.4574
mediterranean,0.45257
normandy,0.45249
delhi,0.45041
new zealand,0.43726
sicily,0.43457
sweden,0.42085
boston,0.41306
hamburg,0.38839
portugal,0.3816
gloucester,0.3734
congo,0.3661
burma,0.36057
bombay,0.35499
brighton,0.35356
chicago,0.34769
alexandria,0.33743
liverpool,0.33094
states,0.33025
texas,0.32496
calais,0.3242
brussels,0.32292
san francisco,0.3219
cape,0.31996
greenland,0.31747
belgium,0.31662
birmingham,0.31492
monmouth,0.3133
rhine,0.31245
south america,0.31236
west indies,0.30896
panama,0.30853
cornwall,0.3078
jamaica,0.30692
constantinople,0.30362
lisbon,0.30094
amsterdam,0.30006
us,0.29765
malta,0.29595
belfast,0.29584
north sea,0.29355
jordan,0.28936
siberia,0.27415
yorkshire,0.27275
hong kong,0.27242
milan,0.27159
palestine,0.27045
michigan,0.26726
toulouse,0.26695
melbourne,0.26658
prussia,0.26578
thames,0.26222
buckingham,0.25918
syria,0.25889
gibraltar,0.25818
baghdad,0.25817
norfolk,0.25786
hungary,0.25598
portsmouth,0.25572
kenya,0.25566
marseilles,0.25478
florida,0.25445
babylon,0.2536
leicester,0.25146
malaya,0.24969
rouen,0.24588
bengal,0.24492
maine,0.2447
tibet,0.24429
munich,0.24246
prague,0.23646
nairobi,0.23297
windsor,0.22826
zurich,0.22768
warsaw,0.22758
sudan,0.22522
seville,0.22301
geneva,0.22281
brazil,0.22152
valencia,0.22046
copenhagen,0.21792
narvik,0.21731
mecca,0.21689
perth,0.21418
shanghai,0.21177
hollywood,0.21151
york,0.21126
kabul,0.2105
johannesburg,0.21027
damascus,0.20674
tahiti,0.205
