text_string,occurs_100k
london,19.42628
england,12.71335
paris,6.97858
france,5.00043
europe,2.79213
america,2.75148
india,2.64113
ireland,2.52212
rome,2.40204
italy,2.24997
new york,2.07839
scotland,1.86539
spain,1.64343
germany,1.6183
russia,1.53369
oxford,1.39098
africa,1.28613
dublin,1.18005
cambridge,1.12662
florence,1.11176
egypt,1.03457
edinburgh,1.01374
venice,0.94111
moscow,0.93055
australia,0.92991
britain,0.92042
sydney,0.91813
wales,0.84638
vienna,0.78823
naples,0.75292
great britain,0.74798
berlin,0.72641
japan,0.66959
brighton,0.63756
israel,0.63513
greece,0.62193
canada,0.61879
glasgow,0.60201
atlantic,0.58097
manchester,0.57495
athens,0.56743
jerusalem,0.56284
california,0.55413
chicago,0.54009
united states,0.52408
poland,0.50736
switzerland,0.50271
madrid,0.45868
bristol,0.45151
richmond,0.43033
yorkshire,0.42228
south africa,0.42063
cornwall,0.41692
washington,0.41432
us,0.39917
portugal,0.39648
holland,0.392
cairo,0.38678
boston,0.38497
birmingham,0.38329
austria,0.38008
mediterranean,0.374
millbank,0.36957
mexico,0.36833
new zealand,0.36649
brussels,0.36275
norfolk,0.35437
liverpool,0.34922
milan,0.33231
sweden,0.32587
glastonbury,0.32248
malta,0.31466
melbourne,0.3142
jamaica,0.31254
hollywood,0.30997
hungary,0.30766
marseilles,0.30345
denmark,0.30223
geneva,0.3009
prague,0.30029
asia,0.29925
states,0.29874
calcutta,0.29823
tokyo,0.29295
hampstead,0.29185
turkey,0.28773
gloucester,0.28728
portsmouth,0.28233
windsor,0.28164
munich,0.27154
madeira,0.26487
illinois,0.26423
calais,0.26347
singapore,0.26223
thames,0.25551
sicily,0.25196
lisbon,0.25084
arundel,0.24879
trinidad,0.24594
bombay,0.24585
versailles,0.24446
warsaw,0.24243
san francisco,0.24072
belgium,0.23998
soho,0.2398
south america,0.2366
northumberland,0.23635
constantinople,0.23075
norway,0.22781
winnetka,0.22207
southampton,0.22031
amherst,0.2198
st petersburg,0.21941
cape,0.21777
worcester,0.21589
rhine,0.21514
hamburg,0.21471
york,0.21415
belfast,0.21367
seville,0.21124
normandy,0.20798
exeter,0.2057
bohemia,0.20343
navarre,0.20201
leicester,0.20162
crimea,0.20151
siberia,0.20057
hyde park,0.20002
alps,0.1992
algiers,0.19899
torrington,0.19749
cleveland,0.19715
palestine,0.19673
brazil,0.19635
suffolk,0.19495
west indies,0.19489
jordan,0.19381
kensington,0.19254
gibraltar,0.19114
pacific,0.18987
pisa,0.18893
florida,0.18799
norwich,0.18606
alexandria,0.1845
lancashire,0.18431
somerset,0.18281
devon,0.18181
devonshire,0.18088
amsterdam,0.18077
hong kong,0.17884
cape town,0.17738
uk,0.17612
delhi,0.17341
monmouth,0.17218
michigan,0.17072
bordeaux,0.16952
mirabel,0.16757
cannes,0.16723
dorset,0.16621
vermont,0.16606
morocco,0.16548
surrey,0.16505
philadelphia,0.16325
antwerp,0.16277
persia,0.1617
covent garden,0.16065
salisbury,0.16011
cyprus,0.15641
damascus,0.15474
shanghai,0.15445
dover,0.15323
brixton,0.15278
tiverton,0.1524
toronto,0.15106
copenhagen,0.15097
los angeles,0.14949
prussia,0.14913
kew,0.14867
derby,0.14622
babylon,0.14515
halifax,0.14492
west end,0.14412
auckland,0.14388
peru,0.14337
broadway,0.14304
galway,0.14268
oceana,0.14221
united kingdom,0.14212
monte carlo,0.14202
kingston,0.14107
greenwich,0.14078
turin,0.14026
lagos,0.13992
cheshire,0.13986
budapest,0.13959
dresden,0.13931
indiana,0.13927
essex,0.13787
dallas,0.13597
north sea,0.13546
oxford street,0.13525
syria,0.13519
durham,0.13456
islington,0.13328
hampshire,0.13327
danube,0.13266
texas,0.13233
nairobi,0.13217
chelsea,0.13214
pall mall,0.13201
kenya,0.13199
plymouth,0.13162
barbados,0.1315
grosvenor square,0.13029
frankfort,0.12998
orlando,0.12988
provence,0.12976
soviet union,0.1295
cumberland,0.129
marina,0.12872
johannesburg,0.12779
westminster,0.12749
tuscany,0.12666
new orleans,0.12495
caribbean,0.12395
arcadia,0.12379
genoa,0.12367
nigeria,0.12352
kent,0.12336
brittany,0.12325
eton,0.12298
thebes,0.12286
baghdad,0.12262
epsom,0.12239
bangkok,0.12232
newmarket,0.12205
lucca,0.12095
cardiff,0.12036
woodville,0.11882
boulder,0.11783
hillingdon,0.11667
cheltenham,0.11666
sligo,0.11651
buenos aires,0.11642
stratford,0.11611
algeria,0.11558
toulon,0.11539
perth,0.11458
mississippi,0.11294
ravenna,0.1117
limerick,0.11165
sahara,0.11095
iceland,0.11081
sheffield,0.11079
beauport,0.11074
boulogne,0.11058
congo,0.11044
cadiz,0.11015
portland,0.10986
riviera,0.1095
chesterfield,0.10906
belgrade,0.10899
london bridge,0.10837
park lane,0.10794
montreal,0.10741
stockholm,0.10677
buckingham,0.1066
beirut,0.10647
vancouver,0.10645
madras,0.10638
folkestone,0.10637
bournemouth,0.10636
jersey,0.10629
wiltshire,0.10605
sebastopol,0.10504
ostend,0.10496
chesham,0.10492
vatican,0.10478
ellesmere,0.10469
strindberg,0.10393
toulouse,0.10379
lafayette,0.10377
lebanon,0.10366
nottingham,0.10345
hanover,0.1033
scotland yard,0.10237
belgravia,0.10179
leeds,0.10135
bengal,0.10107
netherlands,0.10104
trafalgar square,0.10086
anjou,0.10059
quebec,0.10036
cuba,0.10018
cologne,0.09944
mecca,0.09912
argentina,0.09906
black sea,0.09906
new england,0.09876
brooklyn,0.09826
frankfurt,0.09811
tangier,0.09782
chatham,0.09781
myrtle,0.09781
raleigh,0.0969
squire,0.09689
usa,0.09671
burma,0.09645
bavaria,0.09629
georgia,0.09623
rouen,0.09601
marlborough,0.09586
kensington gardens,0.09569
sussex,0.09534
seine,0.09452
memphis,0.09446
dieppe,0.0941
louvre,0.09388
bayswater,0.0933
crete,0.09327
avignon,0.09317
jericho,0.09286
hudson,0.09275
vietnam,0.09263
newfoundland,0.09196
lisle,0.09173
guildford,0.09161
arlington,0.09158
smyrna,0.0912
heidelberg,0.09095
verona,0.09089
flanders,0.09069
padre,0.0894
canterbury,0.08894
morven,0.08877
lancaster,0.08826
finland,0.08824
caucasus,0.08808
manhattan,0.08777
new south wales,0.0877
leipzig,0.08731
derbyshire,0.08694
maine,0.0867
oakwood,0.08588
tunis,0.08577
newport,0.08538
amiens,0.08534
tyrol,0.08522
mantua,0.08513
haymarket,0.08513
barcelona,0.08484
leningrad,0.08466
paddington,0.08452
bethlehem,0.08426
knightsbridge,0.08413
kremlin,0.08386
milford,0.0838
north america,0.08379
guernsey,0.08378
bloomsbury,0.08313
orleans,0.08263
middle east,0.08261
mexico city,0.08231
kenilworth,0.08174
aldershot,0.08135
wilmington,0.08128
amazon,0.08123
montmartre,0.08115
tresham,0.08104
buckingham palace,0.08076
panama,0.08056
marlton,0.08056
pa,0.08035
yemen,0.07992
ravenswood,0.07991
saxony,0.0798
holborn,0.07971
east end,0.07964
pompeii,0.07925
harley street,0.07896
toledo,0.07872
doncaster,0.07811
harrogate,0.07796
southwark,0.07769
miami,0.07766
zurich,0.07742
mons,0.07742
ceuta,0.07736
mass,0.07726
korea,0.07689
afghanistan,0.07671
chartres,0.0764
margate,0.07631
galilee,0.07609
haifa,0.07596
derry,0.07579
albania,0.07524
kingdom,0.07511
south sea,0.07497
heathrow,0.07483
falmouth,0.07476
leicester square,0.07395
corsica,0.07313
tahiti,0.07289
hammersmith,0.07222
verdun,0.0722
garden,0.07219
ganges,0.07194
aberdeen,0.07166
northampton,0.07121
lida,0.07109
camden town,0.07049
baltimore,0.07049
tahta,0.07046
dauphin,0.07042
lincolnshire,0.07041
rhodesia,0.07028
brisbane,0.07013
winchester,0.06989
istanbul,0.06964
yarmouth,0.06954
cowes,0.06913
tibet,0.06889
cavendish square,0.06878
borneo,0.06876
arabia,0.06874
poitiers,0.06865
wrentham,0.06865
alberta,0.06865
u s ,0.06864
blackpool,0.06856
shrewsbury,0.06829
inverness,0.06826
clarinda,0.0682
greenland,0.0681
lewes,0.0681
bedford,0.06794
woodridge,0.06751
north africa,0.0674
piccadilly,0.06721
corfu,0.06708
carthage,0.06696
adriatic,0.06694
kiev,0.06684
loire,0.06683
pakistan,0.06679
midlands,0.06672
putney,0.06665
highgate,0.06664
burgundy,0.06661
glenburn,0.06655
aden,0.06641
berkeley square,0.06628
gravesend,0.06612
iraq,0.06606
far east,0.06594
petersburg,0.06549
harlem,0.06533
luxembourg,0.06533
red sea,0.06528
bulgaria,0.06524
iran,0.06487
south wales,0.06448
siena,0.06441
hertfordshire,0.06433
bremen,0.06409
california los angeles,0.06391
bermuda,0.0639
topsail,0.06381
malaga,0.06378
lyndhurst,0.06363
odessa,0.06338
volga,0.0631
carlisle,0.06305
chester,0.06282
notre dame,0.06231
colombo,0.0622
castile,0.06213
mandeville,0.06207
swansea,0.062
northern ireland,0.0619
melanthe,0.06189
moravia,0.06187
palermo,0.06184
carno,0.06178
phoenix,0.06169
donegal,0.06147
serbia,0.06133
rotterdam,0.06112
malaya,0.06106
hawaii,0.06105
dartford,0.06074
ohio,0.06069
strafford,0.06068
st louis,0.06063
lowick,0.06057
beaufort,0.06043
calabria,0.06042
eaton square,0.06033
uganda,0.06025
lima,0.06012
stanmore,0.06006
baker street,0.06004
taunton,0.05991
bruges,0.05974
artesia,0.05956
padua,0.0595
arrah,0.05943
united states of america,0.05931
robespierre,0.0592
gloucestershire,0.05912
auschwitz,0.05908
palais royal,0.05889
staffordshire,0.05884
south seas,0.05875
bucharest,0.05872
queen street,0.0587
great hall,0.05869
lombard street,0.0586
luneburg,0.05822
valencia,0.05819
lausanne,0.05796
trieste,0.05777
santiago,0.0577
pembroke,0.05738
hereford,0.05731
southampton street,0.05716
white bird,0.0571
alhambra,0.057
sudan,0.05679
miranda,0.05672
strasbourg,0.05669
cuernavaca,0.05655
middlesex,0.05628
croydon,0.05627
massachusetts,0.05612
palatine,0.05607
fulham,0.05576
new burlington,0.05574
moon lady,0.05566
goodwood,0.05541
newcastle,0.05538
rio,0.05514
santa,0.05502
la,0.05502
lyon,0.05501
road,0.05496
medway,0.05495
bologna,0.05483
queensland,0.05479
new york city,0.05475
himalayas,0.05469
otsu,0.05442
jermyn street,0.05442
ethiopia,0.0543
bern,0.05423
poona,0.05423
west africa,0.05419
denver,0.05402
hera,0.05393
hague,0.05383
corinth,0.05383
galicia,0.05378
danville,0.05358
punjab,0.05353
lerwick,0.05342
czechoslovakia,0.05341
metro,0.05328
south kensington,0.05318
ontario,0.05312
rhone,0.05309
charleston,0.05296
hounslow,0.05292
frisco,0.05286
windsor castle,0.05274
cheyenne,0.05271
portland place,0.05253
connecticut,0.05247
twickenham,0.05246
st grellan,0.05232
north wales,0.0522
capitol,0.05207
fifth avenue,0.05204
killarney,0.05198
cheops,0.0519
wye,0.05181
carmel,0.05175
st james s park,0.05162
carinthia,0.05158
battersea,0.05137
ukraine,0.05132
sardinia,0.05115
rockingham,0.05114
stamford,0.05108
colorado,0.05106
petrograd,0.05102
woodstock,0.05094
green park,0.05084
magdalen,0.05082
balkans,0.05068
haiti,0.05058
eastport,0.05057
boulevard,0.05053
barford,0.05052
bosphorus,0.05043
canton,0.05038
havana,0.0503
almeria,0.05022
st james s square,0.05021
alberton,0.05016
dorchester,0.05
bonn,0.04997
clerkenwell,0.04994
montague,0.0499
detroit,0.04989
wentworth,0.04978
fairfield,0.04958
arizona,0.04957
d c ,0.04956
maxilla,0.04955
valombrosa,0.0495
brest,0.04941
white dove,0.0493
romania,0.04927
glendower,0.04925
aix,0.04924
melilla,0.04924
dunkirk,0.04912
fontainebleau,0.04903
pentonville,0.04896
mali,0.0488
tottenham court road,0.04876
hertford,0.04875
pau,0.04871
dean park,0.0487
hamilton,0.04867
benares,0.04866
new jersey,0.04861
bradford,0.0486
weymouth,0.04852
west coast,0.04844
minden,0.04841
kentucky,0.04835
aleppo,0.04826
leamington,0.0482
indian ocean,0.04813
athelstan,0.04811
mentone,0.04781
sierra leone,0.04771
santa clara,0.04767
malvern,0.0476
pennsylvania,0.04753
christchurch,0.0475
beckhampton,0.04747
hanover square,0.04728
patagonia,0.04726
sandhurst,0.04674
flint,0.04659
agra,0.04658
maidenhead,0.04657
nazareth,0.04655
connemara,0.04644
weimar,0.04643
northboro,0.04629
somerville,0.04626
ailsa,0.04608
pomfret,0.046
