text_string,occurs_100k
london,20.40309
richmond,0.45017
hampstead,0.22152
bloomsbury,0.21009
hyde park,0.18634
soho,0.16385
chelsea,0.14811
covent garden,0.14467
grosvenor square,0.13603
greenwich,0.13179
oxford street,0.12564
kingston,0.12203
kensington gardens,0.12089
park lane,0.11853
westminster,0.10953
west end,0.09979
belgravia,0.09927
islington,0.09569
southampton street,0.09244
bayswater,0.08817
harley street,0.08612
chatham,0.08589
putney,0.08115
stanmore,0.07961
berkeley square,0.07679
pall mall,0.07641
portland place,0.07493
highgate,0.06929
paddington,0.06898
london bridge,0.06871
knightsbridge,0.06738
buckingham palace,0.06631
heathrow,0.06472
trafalgar square,0.06465
belgrave square,0.06456
hammersmith,0.06372
twickenham,0.06244
fulham,0.0619
eaton square,0.06183
kew,0.06015
cavendish square,0.06002
great marlborough street,0.0583
croydon,0.05616
battersea,0.05551
piccadilly,0.05533
notting hill,0.05481
leicester square,0.0548
scotland yard,0.05441
haymarket,0.05401
portman square,0.05388
wandsworth,0.05303
st james s square,0.05166
holborn,0.05139
russell square,0.05138
south kensington,0.04866
east end,0.04781
hanover square,0.04733
camden town,0.04584
tottenham court road,0.04548
green park,0.04516
streatham,0.04501
lombard street,0.04432
middlesex,0.04378
bond street,0.04217
southwark,0.04215
st james s park,0.042
curzon street,0.04054
clapham,0.04042
hyde park corner,0.03931
mayfair,0.03804
trafalgar,0.03795
north london,0.03558
bedford square,0.03492
poland street,0.03414
south london,0.03307
jermyn street,0.03182
vauxhall bridge road,0.03181
victoria station,0.03164
sloane street,0.0309
hillingdon,0.03088
grosvenor street,0.03047
enfield,0.03033
fleet street,0.03022
bruton street,0.03014
holland park,0.03004
zoological gardens,0.02972
hounslow,0.0294
regent street,0.02938
bentley priory,0.02879
clerkenwell,0.02867
mortlake,0.02853
westminster bridge,0.02772
dorset street,0.02755
national gallery,0.02706
south audley street,0.02677
charing cross road,0.0267
downing street,0.02642
victoria street,0.02629
leadenhall street,0.02627
waterloo bridge,0.02619
mansion house,0.02615
pimlico,0.02611
roehampton,0.02599
tavistock,0.02582
brentford,0.02565
chancery lane,0.02557
fulham road,0.02535
gower street,0.02526
st james s,0.02526
east london,0.02494
broad street,0.02463
west hill,0.02459
kew gardens,0.02457
primrose hill,0.02453
peckham,0.02438
wimpole street,0.02432
shaftesbury avenue,0.02424
euston,0.02414
st pancras,0.02408
kentish town,0.02397
edgware road,0.02384
chiswick,0.02343
white hall,0.02302
hatton garden,0.02292
sloane square,0.02201
orpington,0.02182
marylebone,0.02155
dulwich,0.02152
albemarle street,0.0214
richmond park,0.02118
cheapside,0.02111
westminster hall,0.02094
bulstrode,0.02074
hampstead heath,0.0203
notting hill gate,0.02019
westminster abbey,0.02019
eastcourt,0.01977
fitzroy square,0.01951
st john s wood,0.0195
shoreditch,0.01938
soho square,0.01937
waterloo place,0.01935
liverpool street,0.0192
st martin s lane,0.01913
euston road,0.01888
harmondsworth,0.0188
regent s park,0.01878
lowndes square,0.01872
ludgate hill,0.01867
purley,0.01829
spitalfields,0.0174
hamworth,0.01732
rainham,0.01723
ebury street,0.01702
eltham,0.01697
cromwell road,0.01691
welbeck street,0.01683
bayswater road,0.01682
bloomsbury square,0.01663
clarges street,0.01644
hoxton,0.01635
waterloo station,0.0162
finchley road,0.01615
tottenham,0.01573
nijinsky,0.0154
portobello road,0.01519
camberwell,0.01514
albert hall,0.01507
finchley,0.01506
bryanston square,0.01503
palace gardens,0.01476
west kensington,0.01465
