text_string,occurs_100k
london,19.3038
richmond,0.37136
hampstead,0.24818
soho,0.24484
kingston,0.19621
hyde park,0.1843
greenwich,0.16725
millbank,0.16154
westminster,0.15943
west end,0.15899
covent garden,0.1567
oxford street,0.15257
chelsea,0.15145
chatham,0.14457
islington,0.12958
pall mall,0.12493
scotland yard,0.12015
trafalgar square,0.11352
london bridge,0.10466
kew,0.10295
paddington,0.09976
park lane,0.09853
knightsbridge,0.09551
heathrow,0.09168
buckingham palace,0.09096
putney,0.09078
hammersmith,0.09024
haymarket,0.08971
east end,0.08619
grosvenor square,0.08565
kensington gardens,0.08255
belgravia,0.08109
croydon,0.08075
camden town,0.08049
highgate,0.08048
bloomsbury,0.08004
leicester square,0.07976
holborn,0.07404
southwark,0.06974
jermyn street,0.06971
bayswater,0.06947
middlesex,0.06866
fulham,0.06703
south kensington,0.06541
harley street,0.06478
tottenham court road,0.06053
piccadilly,0.06042
fleet street,0.05967
notting hill,0.05943
battersea,0.05818
berkeley square,0.05753
shoreditch,0.0551
st james s park,0.05484
hillingdon,0.0515
downing street,0.0486
pimlico,0.04826
rainham,0.04791
southampton street,0.04767
eaton square,0.04707
victoria station,0.04692
green park,0.04637
clerkenwell,0.04619
lombard street,0.04555
orpington,0.0453
hoxton,0.04394
shaftesbury avenue,0.04368
charing cross road,0.04319
curzon street,0.04273
hyde park corner,0.0425
westminster bridge,0.04211
trafalgar,0.04174
hanover square,0.04042
hounslow,0.04013
south london,0.03968
russell square,0.03935
chancery lane,0.03897
dulwich,0.0388
portman square,0.03856
st martin s lane,0.03807
mayfair,0.03806
cavendish square,0.03799
portland place,0.03795
bond street,0.03756
twickenham,0.03688
clapham,0.0365
kentish town,0.03588
fulham road,0.03585
national gallery,0.0356
st james s square,0.03496
regent street,0.03495
dagenham,0.03454
wandsworth,0.03396
aldgate,0.03333
pentonville,0.03318
victoria street,0.03296
waterloo place,0.03277
belgrave square,0.03268
tavistock,0.03267
waterloo bridge,0.03253
euston,0.03238
liverpool street,0.03181
sloane street,0.0311
mansion house,0.03108
north london,0.03098
edgware road,0.03097
chiswick,0.0309
vauxhall bridge road,0.03084
old bailey,0.03083
westminster hall,0.03025
wardour street,0.03003
st john s wood,0.02952
richmond park,0.0287
holland park,0.02831
zoological gardens,0.02819
broad street,0.02815
east london,0.02796
spitalfields,0.02796
willesden,0.02773
streatham,0.02768
marylebone,0.02675
wapping,0.02652
roehampton,0.02638
euston road,0.02599
brentford,0.02502
bedford square,0.02483
gower street,0.02481
st james s,0.02477
wembley,0.02424
hampstead heath,0.02402
limehouse,0.02343
sloane square,0.02338
soho square,0.02309
st pancras,0.02285
uxbridge,0.02266
ludgate hill,0.02241
poland street,0.0224
primrose hill,0.0223
dorset street,0.02209
kew gardens,0.02204
waterloo station,0.02189
camberwell,0.02188
westminster abbey,0.0215
harmondsworth,0.02096
cheapside,0.02058
stanmore,0.0203
brompton road,0.01995
bermondsey,0.01989
hatton garden,0.01976
grosvenor street,0.01936
mortlake,0.01921
west kensington,0.01899
regent s park,0.01897
tottenham,0.01883
welbeck street,0.01881
south audley street,0.01866
glenthorn,0.01854
kennington,0.01823
thrush green,0.01819
albemarle street,0.01812
albert hall,0.01795
balham,0.01783
cromwell road,0.01759
finchley,0.01749
leadenhall street,0.01732
bayswater road,0.01728
west london,0.01723
harrow,0.01708
paddington station,0.0168
notting hill gate,0.01657
wimpole street,0.01652
kensington palace,0.01645
great russell street,0.01642
gloucester road,0.01634
lancaster gate,0.01634
tower bridge,0.01624
east end of london,0.01619
walthamstow,0.01615
great portland street,0.01578
ladbroke grove,0.01545
palace gardens,0.01536
barnet,0.01535
romford,0.01516
kensington high street,0.01513
golden square,0.01488
battersea park,0.01478
marylebone road,0.0147
fitzroy square,0.01467
middle temple,0.01453
kilburn,0.01452
west end of london,0.0145
charing cross,0.01426
bloomsbury square,0.01425
euston square,0.01399
eastcheap,0.01391
finsbury park,0.01387
eltham,0.01386
bow street,0.0135
brick lane,0.01303
clarges street,0.01293
threadneedle street,0.01261
old kent road,0.01258
mile end road,0.01251
lowndes square,0.01247
cheyne walk,0.01223
peckham,0.01222
bruton street,0.01214
hackney,0.0121
bethnal green,0.01209
dover street,0.01207
whitechapel road,0.012
blackfriars bridge,0.01197
plumstead,0.01186
hanover street,0.01182
hornsey,0.01173
london town,0.01172
finchley road,0.01156
clapham junction,0.01149
dean street,0.01148
campden hill,0.01146
belsize park,0.01144
stepney,0.01141
great marlborough street,0.01139
eegent street,0.01125
harrow road,0.01122
ebury street,0.011
enfield,0.0109
old compton street,0.01081
minories,0.01072
maida vale,0.01068
castelneau,0.01061
nijinsky,0.01041
uxbridge road,0.01037
tavistock square,0.01034
paternoster square,0.0103
euston station,0.01021
praed street,0.01013
putney bridge,0.00994
wigmore street,0.00994
northumberland avenue,0.00992
south ken,0.00985
st james s hall,0.00979
gray s inn road,0.00978
stoke newington,0.00976
ilford,0.00974
garamond,0.00963
british museum,0.00961
kensal green,0.0096
isleworth,0.00953
london library,0.00948
muswell hill,0.00947
portobello road,0.00947
leman street,0.00946
fulham palace road,0.00944
greek street,0.00944
albert memorial,0.00944
bishopsgate street,0.00932
south kensington museum,0.00907
haverstock hill,0.009
queen s hall,0.009
berwick street,0.00899
connaught,0.00896
parliament square,0.00895
mortimer street,0.00891
moorfields,0.00888
hampstead road,0.00887
beckenham,0.00885
petticoat lane,0.00883
marshalsea,0.00879
london hospital,0.00873
great suffolk street,0.00872
brentham,0.00863
marlborough street,0.00861
gracechurch street,0.0086
heme hill,0.00859
manchester square,0.00847
finsbury,0.00841
mitcham,0.00841
vigo street,0.00834
upper street,0.00827
cafe royal,0.00825
gloucester place,0.00821
fairacre,0.00821
frith street,0.00821
mincing lane,0.00816
st paul s,0.00809
old bond street,0.00804
dalston,0.00803
caledonian road,0.00802
westbourne grove,0.00798
commercial road,0.00792
cadogan square,0.00783
greenwich park,0.00779
teddington,0.00778
london parks,0.0077
county hall,0.00763
great ormond street,0.00762
athole,0.00757
belsize,0.00749
tyburnia,0.00745
marryat,0.00743
pancras road,0.00743
waterloo road,0.00742
court road,0.00739
shoe lane,0.00737
west hampstead,0.00732
melchester,0.00729
bouverie street,0.00728
gunnersbury,0.0072
stamford bridge,0.00719
ratcliffe highway,0.00718
vauxhall bridge,0.00714
coventry street,0.00712
north kensington,0.00704
farringdon street,0.00703
fetter lane,0.00693
red lion square,0.00686
purley,0.00683
great queen street,0.0068
new oxford street,0.00676
gloucester terrace,0.00675
belgravian,0.00673
holloway road,0.0067
londra,0.0067
denmark hill,0.00669
grosvenor gardens,0.00667
kensington church street,0.00664
burlington gardens,0.00661
greater london,0.00659
cursitor street,0.00659
great russell street london,0.00655
st george s hospital,0.00649
tooley street,0.00648
herne hill,0.00645
upper brook street,0.00642
stamford hill,0.00633
heathrow airport,0.00633
hyde park gardens,0.00631
battersea bridge,0.00631
cricklewood,0.00629
bambridge,0.00618
cork street,0.0061
leytonstone,0.00607
white hall,0.00603
cornhill,0.00602
stepney green,0.00601
albany street,0.006
british islands,0.00599
gerrard street,0.00597
houndsditch,0.00593
hungerford bridge,0.00591
queen s gate,0.00589
king william street,0.00588
goodge street,0.00573
goldhawk road,0.00571
claverton street,0.00571
whitehall,0.00569
rutland gate,0.00566
berkeley street,0.00561
grosvenor gallery,0.00559
homerton,0.00559
catford,0.00558
throgmorton street,0.00558
new bond street,0.00551
lon don,0.00551
monmouth street,0.00549
turnham green,0.00549
chislehurst,0.00549
beauchamp tower,0.00548
old brompton road,0.00546
hammersmith bridge,0.00544
penge,0.00536
moorgate,0.00535
lothbury,0.00535
canning town,0.00522
guilford street,0.00518
farringdon road,0.00517
gray s inn lane,0.00507
chester square,0.00506
new scotland yard,0.00502
dollis hill,0.00495
hounslow heath,0.00494
golders green,0.00493
osnaburgh street,0.00491
st mungo,0.00489
leyton,0.00489
camden road,0.00488
museum street,0.00486
seething lane,0.00486
blackfriars,0.00485
buckingham palace road,0.00482
westminster bridge road,0.00481
