text_string,occurs_100k
london,14.67809
richmond,0.20965
soho,0.14727
hyde park,0.13321
kingston,0.13165
chatham,0.12116
eltham,0.11242
hampstead,0.10403
westminster,0.0968
chelsea,0.09659
west end,0.09026
oxford street,0.08297
covent garden,0.07817
heathrow,0.07447
greenwich,0.0699
pall mall,0.06905
east london,0.06791
london bridge,0.06666
east end,0.06632
islington,0.06238
buckingham palace,0.06095
paddington,0.06
hammersmith,0.05923
kensington gardens,0.05821
trafalgar square,0.05804
southampton street,0.05626
holborn,0.05569
middlesex,0.05562
park lane,0.05515
tate gallery,0.05402
croydon,0.05212
scotland yard,0.05054
putney,0.04972
harley street,0.04922
eaton square,0.04877
grosvenor square,0.04701
leicester square,0.04685
southwark,0.04669
portland place,0.04605
piccadilly,0.04521
kew,0.04478
highgate,0.0441
belgravia,0.04285
south london,0.04236
haymarket,0.04155
knightsbridge,0.04022
bloomsbury,0.03893
tottenham court road,0.03762
twickenham,0.03759
victoria station,0.03467
uxbridge,0.0342
portman square,0.03329
bedford square,0.0328
hanover square,0.03265
st martin s lane,0.03254
mansion house,0.03249
st james s park,0.03199
shoreditch,0.03158
bayswater,0.0312
charing cross road,0.03106
victoria street,0.03095
streatham,0.03095
camden town,0.03067
hanover street,0.02975
jermyn street,0.02956
harrow,0.02906
north london,0.02874
fleet street,0.02814
fulham,0.02791
south kensington,0.0276
euston,0.02732
liverpool street,0.02653
green park,0.02651
grosvenor street,0.02646
notting hill,0.02636
zoological gardens,0.02617
lombard street,0.02558
harmondsworth,0.02549
downing street,0.02517
battersea,0.02449
mayfair,0.02407
trafalgar,0.02388
hyde park corner,0.02373
hounslow,0.02362
west london,0.02359
bond street,0.02339
chancery lane,0.02335
fulham road,0.02327
broad street,0.0221
vauxhall bridge road,0.02122
westminster bridge,0.02064
russell square,0.02063
waterloo bridge,0.02013
kew gardens,0.01979
wapping,0.01968
british museum,0.01942
new southgate,0.01901
hampstead heath,0.01895
berkeley square,0.01892
campden hill,0.01879
soho square,0.01865
belgrave square,0.01813
cavendish square,0.01775
sloane square,0.01773
shaftesbury avenue,0.01764
st pancras,0.01751
orpington,0.01743
regent street,0.01726
brick lane,0.01722
st james s,0.01706
st james s square,0.01686
wandsworth,0.01658
st john s wood,0.01654
clarges street,0.01628
chiswick,0.01613
poland street,0.01608
euston road,0.01604
holland park,0.01603
dalston,0.016
westminster hall,0.01596
eccleston square,0.01532
primrose hill,0.01519
westminster abbey,0.01471
dorset street,0.01459
spitalfields,0.01456
kentish town,0.01439
aldgate,0.01423
national gallery,0.01411
pimlico,0.01397
hoxton,0.01384
garamond,0.01383
wembley,0.01379
ludgate hill,0.0136
clapham,0.01328
hillingdon,0.01308
dagenham,0.01308
hatton garden,0.01298
finchley road,0.01294
gower street,0.01266
albert hall,0.01241
balham,0.01238
bethnal green,0.01218
fitzroy square,0.01214
old bailey,0.0121
tottenham,0.01207
goodge street,0.01192
sloane street,0.01189
tower bridge,0.01188
richmond park,0.01186
red lion square,0.01168
merton hall,0.01147
old bond street,0.01146
dulwich,0.01143
belsize park,0.01143
edgware road,0.01135
limehouse,0.01134
heathrow airport,0.01131
bermondsey,0.01122
wardour street,0.01118
leadenhall street,0.01115
hackney,0.01107
caledonian road,0.01106
mortlake,0.01096
lancaster gate,0.01095
portobello road,0.01085
mile end road,0.01077
connaught,0.01068
new bond street,0.01063
cheapside,0.01058
brentford,0.01055
westbourne grove,0.01046
ebury street,0.01046
regent s park,0.01044
notting hill gate,0.01036
london town,0.01029
ladbroke grove,0.01028
cromwell road,0.01025
curzon street,0.01024
east end of london,0.01018
west end of london,0.01004
dornton,0.00988
clerkenwell,0.00987
battersea park,0.00982
walthamstow,0.00963
cadogan square,0.0095
tooley street,0.00945
marlborough street,0.00943
waterloo station,0.00938
west kensington,0.00935
muswell hill,0.00931
pentonville,0.00899
marylebone,0.00887
southall,0.00886
berners street,0.00877
bouverie street,0.00877
chesham place,0.00875
gloucester road,0.00875
carnaby,0.00875
great russell street,0.00868
london magazine,0.00858
kilburn,0.00858
kennington,0.00854
londres,0.00853
great portland street,0.00852
nijinsky,0.0085
eegent street,0.00846
albemarle street,0.00845
bethlem,0.0084
waterloo place,0.00827
camberwell,0.00826
doughty street,0.00819
denmark hill,0.00817
fulham palace road,0.00815
scadbury,0.00814
endfield,0.00813
west drayton,0.00813
clapham junction,0.00811
kensington high street,0.00808
paddington station,0.00801
wulfstan,0.00801
enfield,0.008
barnet,0.008
st mungo,0.00794
stepney,0.00782
finchley,0.00781
lowndes,0.00776
ilford,0.00768
white hall,0.00767
romford,0.00764
st paul s,0.00763
charing cross,0.0076
stamford hill,0.00755
stoke newington,0.00754
blackfriars bridge,0.0075
st george s hospital,0.00746
holloway road,0.00736
county hall,0.00735
british islands,0.00733
bayswater road,0.00729
great sutton street,0.00704
millbank,0.00703
minories,0.00703
chesington,0.00702
euston square,0.00701
old kent road,0.00695
greek street,0.00689
dover street,0.00678
chingford,0.00677
great queen street,0.0067
carnaby street,0.00668
harrow road,0.00668
welbeck street,0.00661
margaret street,0.00658
blackfriars road,0.00653
waterloo road,0.0065
pleydell street,0.00639
moorfields,0.00638
walham green,0.00633
whitechapel road,0.00633
upper thames street,0.00632
lothbury,0.00632
eastcheap,0.00631
old compton street,0.00625
frith street,0.0062
athole,0.00609
middle temple,0.00608
south kensington museum,0.00606
london hospital,0.00602
maida vale,0.006
marryat,0.00595
bow street,0.00595
great russell street london,0.00591
petticoat lane,0.00588
parliament square,0.00577
uxbridge road,0.00576
stamford bridge,0.0055
sydenham hill,0.00548
great marlborough street,0.00545
chislehurst,0.00543
great george street,0.00537
willesden,0.00535
brompton road,0.00532
hounslow heath,0.00529
haverley,0.00528
rainham,0.00523
cornhill,0.0052
petts wood,0.00514
pancras road,0.00512
upper street,0.00511
london library,0.00507
finsbury park,0.00506
central london,0.00505
west hampstead,0.00504
hungerford bridge,0.00503
upper grosvenor street,0.00503
streatham hill,0.00501
marylebone road,0.00499
inner temple,0.00494
dean street,0.00489
gracechurch street,0.00478
new ormond street,0.00473
hornsey,0.00473
praed street,0.00466
hobart hall,0.00465
carlton house terrace,0.00462
vigo street,0.00461
tavistock,0.00458
greater london,0.00456
queen s hall,0.00456
peckham,0.00451
south audley street,0.00447
henrietta street london,0.00446
teddington,0.00445
leyton,0.00444
kensal green,0.00443
liverpool street station,0.00443
white lion street,0.00439
euston station,0.00438
leytonstone,0.00437
berkeley street,0.00434
old palace,0.00432
gray s inn lane,0.00427
golden square,0.0042
mitcham,0.0042
st james s palace,0.00419
bermondsey street,0.00417
devonshire street,0.00416
marshalsea,0.00414
lon don,0.00414
air street,0.00412
brixton road,0.00406
berwick street,0.00402
pont street,0.004
sydenham park,0.004
finsbury,0.0039
camden lock,0.0039
south ken,0.00386
silvertown,0.00384
bloomsbury street,0.00383
harlesden,0.00382
wimpole street,0.00379
brompton road london,0.00379
st james s hall,0.00377
bethnal green road,0.00375
haringey,0.00374
pentonville road,0.00373
south eaton place,0.00372
goswell street,0.0037
mortimer street,0.00369
westbourne park,0.00367
highgate cemetery,0.00364
cafe royal,0.0036
vanburgh,0.00359
north circular road,0.00358
new oxford street,0.00355
coventry street,0.00355
gerrard street,0.00354
greenford,0.00353
albany street,0.0035
wembley stadium,0.00349
clerkenwell road,0.00348
kensington museum,0.00347
smith square,0.00345
wilton crescent,0.00344
belgravian,0.00339
cadogan place,0.00338
hackney road,0.00337
farringdon road,0.00337
cheam,0.00334
leman street,0.00334
cork street,0.00333
stanmore,0.0033
south norwood,0.00328
weymouth street,0.00325
wigmore street,0.0032
tulse hill,0.0032
albert memorial,0.00319
pavilion road,0.00316
st thomas s hospital,0.00315
aldersgate street,0.00311
canonbury,0.00311
albert bridge,0.00309
winchilsea,0.00307
marylebone high street,0.00304
kingsland road,0.00303
simurgh,0.00302
chester square,0.00301
lisson grove,0.00301
cheyne walk,0.003
heme hill,0.00299
isleworth,0.00299
beckenham,0.00298
museum street,0.00295
lancaster house,0.00293
ealing broadway,0.00293
port man square,0.00293
putney bridge,0.00292
farringdon street,0.00292
gloucester place,0.00291
st james street,0.00291
lowndes square,0.0029
turnham green,0.00289
wellington barracks,0.00289
lambeth,0.00287
west norwood,0.00286
st thomas s,0.00285
surrey street,0.00284
clapham road,0.00284
bethlem hospital,0.00284
forest gate,0.0028
hammersmith bridge,0.0028
new north road,0.00278
blackfriars,0.00272
threadneedle street,0.00271
villiers street,0.00271
whittington hospital,0.00271
east finchley,0.0027
vauxhall bridge road london,0.00269
lord hood,0.00269
walworth road,0.00268
greenwich park,0.00268
