text_string,occurs_100k
london,21.53093
richmond,0.46745
soho,0.24973
hampstead,0.21089
oxford street,0.19262
kingston,0.18257
west end,0.17646
covent garden,0.17248
kensington gardens,0.15479
hyde park,0.15302
leicester square,0.13488
chelsea,0.13401
grosvenor square,0.1299
trafalgar square,0.12867
greenwich,0.12525
camden town,0.12257
chatham,0.12128
pall mall,0.1194
islington,0.11046
putney,0.10948
westminster,0.10841
haymarket,0.1049
bloomsbury,0.09717
green park,0.09368
richmond park,0.09333
heathrow,0.09171
streatham,0.08449
hammersmith,0.08322
hamworth,0.08312
bayswater,0.08166
berkeley square,0.08036
paddington,0.07993
buckingham palace,0.07896
harley street,0.0779
fairacre,0.07774
park lane,0.07513
chiswick,0.07431
regent street,0.07405
tottenham court road,0.07401
st james s park,0.07363
charing cross road,0.06555
notting hill,0.06549
middlesex,0.06531
east end,0.06506
kew,0.06499
jermyn street,0.06462
north london,0.06436
holland park,0.06351
shaftesbury avenue,0.0627
highgate,0.06234
clerkenwell,0.06189
knightsbridge,0.05923
piccadilly,0.05819
bond street,0.05783
croydon,0.05714
albemarle street,0.05687
sloane street,0.05636
chesham place,0.05628
southwark,0.04897
portman square,0.04866
west kensington,0.04824
south kensington,0.04738
primrose hill,0.04689
london bridge,0.04455
clapham,0.04448
fulham,0.04327
lowndes square,0.04308
portland place,0.04253
fulham road,0.04074
scotland yard,0.0406
st john s wood,0.03964
kentish town,0.03891
westminster bridge,0.03847
plashet,0.03847
holborn,0.03826
st pancras,0.03761
hyde park corner,0.03668
battersea,0.03651
spitalfields,0.03432
berwick street,0.03431
victoria station,0.03414
euston,0.03373
euston road,0.03286
paternoster square,0.03214
soho square,0.0317
rutland gate,0.03168
mortlake,0.03157
finsbury park,0.03136
belsize park,0.03066
hanover street,0.0304
kensington high street,0.03039
south london,0.03031
notting hill gate,0.03028
bermondsey,0.03012
wandsworth,0.02943
zoological gardens,0.02905
bayswater road,0.02855
mayfair,0.02853
cavendish square,0.02742
edgware road,0.02706
great sutton street,0.02698
ludgate hill,0.02629
st martin s lane,0.026
rosoman street,0.02555
mortimer street,0.02544
bedford square,0.02531
vauxhall bridge road,0.02509
fleet street,0.02464
sloane square,0.02462
westminster bridge road,0.02409
grosvenor street,0.02399
mansion house,0.0239
west end of london,0.02385
queen s hall,0.02368
londinium,0.02354
marylebone road,0.02343
albert hall,0.02301
london library,0.02268
wimpole street,0.02262
holloway prison,0.02247
national gallery,0.02221
west london,0.02201
farringdon,0.022
twickenham,0.02181
belgrave square,0.02167
bryanston square,0.02155
hanover square,0.02154
great marlborough street,0.02116
portobello road,0.02114
westbourne grove,0.02087
lombard street,0.02087
hanway street,0.0208
south kensington museum,0.02036
gower street,0.02031
harmondsworth,0.0203
hatton garden,0.02001
british museum,0.01989
waterloo bridge,0.01984
marylebone,0.01979
old compton street,0.01969
pimlico,0.01935
kensington palace,0.01927
fitzroy square,0.01917
vigo street,0.01885
chingford,0.01873
acre lane,0.0187
uxbridge,0.01841
cheyne row,0.01832
kew gardens,0.01829
russell square,0.01819
hampstead heath,0.01807
wigmore street,0.01778
clarges street,0.01777
victoria street,0.01769
belgravia,0.0175
bloomsbury street,0.01736
redriff,0.01734
putney bridge,0.01716
parliament square,0.01708
north kensington,0.01703
red lion street,0.01702
north end road,0.01701
battersea park,0.01699
lisson grove,0.01693
south eaton place,0.01676
curzon street,0.01674
finchley,0.01662
catford,0.01643
