text_string,occurs_100k
london,21.19355
richmond,0.49124
bloomsbury,0.28962
hampstead,0.23534
soho,0.20096
hyde park,0.18434
oxford street,0.18012
chelsea,0.17701
covent garden,0.15483
kingston,0.15317
west end,0.13673
kensington gardens,0.1338
islington,0.1212
greenwich,0.11434
park lane,0.11069
grosvenor square,0.10762
rainham,0.10743
putney,0.10667
chatham,0.1033
southampton street,0.1027
belgravia,0.09366
westminster,0.0915
heathrow,0.08786
knightsbridge,0.08782
trafalgar square,0.08561
harley street,0.0856
hammersmith,0.08512
paddington,0.08455
stanmore,0.08236
portland place,0.07679
pall mall,0.07584
buckingham palace,0.07517
highgate,0.07509
bayswater,0.07421
berkeley square,0.07388
wandsworth,0.07286
fulham,0.07147
south kensington,0.06939
croydon,0.06928
eaton square,0.06855
kew,0.06712
camden town,0.06682
east end,0.06481
notting hill,0.06286
leicester square,0.06243
tottenham court road,0.06179
piccadilly,0.06055
haymarket,0.06016
belgrave square,0.05954
cavendish square,0.05591
portman square,0.05577
twickenham,0.05537
bond street,0.05167
clapham,0.05156
scotland yard,0.05131
london bridge,0.05124
curzon street,0.05109
st james s park,0.05046
great marlborough street,0.0496
green park,0.04917
middlesex,0.04827
sloane street,0.04798
victoria station,0.04679
holborn,0.04613
mayfair,0.04454
streatham,0.04407
battersea,0.04381
chiswick,0.04335
bentley priory,0.04322
enfield,0.04263
regent street,0.04177
hanover square,0.04073
jermyn street,0.04061
hyde park corner,0.04045
north london,0.04004
trafalgar,0.0398
shaftesbury avenue,0.03972
fairacre,0.0393
fulham road,0.03883
russell square,0.03857
charing cross road,0.03854
poland street,0.03751
st james s square,0.03742
gower street,0.03672
holland park,0.0367
south london,0.03611
southwark,0.0355
lombard street,0.03522
edgware road,0.03465
primrose hill,0.03432
victoria street,0.03429
national gallery,0.03405
bedford square,0.03317
vauxhall bridge road,0.03283
south audley street,0.03271
richmond park,0.03261
pimlico,0.03156
lancaster gate,0.03113
euston,0.0308
westminster bridge,0.03077
st martin s lane,0.03055
albemarle street,0.03033
west kensington,0.02941
kentish town,0.02888
mansion house,0.02838
st john s wood,0.0279
chancery lane,0.02769
hampstead heath,0.02753
purley,0.02747
grosvenor street,0.02743
east london,0.02738
liverpool street,0.02664
willesden,0.02633
hamworth,0.026
st pancras,0.02597
ebury street,0.02597
soho square,0.0254
hatton garden,0.02531
sloane square,0.02486
wimpole street,0.02458
zoological gardens,0.02437
waterloo bridge,0.02431
hoxton,0.02412
kew gardens,0.02397
fitzroy square,0.02387
orpington,0.0234
marylebone,0.02263
clerkenwell,0.0226
dorset street,0.02258
euston road,0.02245
hounslow,0.02237
welbeck street,0.02183
millbank,0.02179
campden hill,0.02174
finchley road,0.02172
wardour street,0.02167
west london,0.02165
kensington high street,0.0215
clarges street,0.02126
notting hill gate,0.02112
bruton street,0.02092
cromwell road,0.02082
regent s park,0.02077
fleet street,0.02073
st james s,0.02072
lowndes square,0.02033
brompton road,0.02007
waterloo station,0.02003
camberwell,0.02002
bryanston square,0.02002
mortlake,0.01976
downing street,0.0197
bayswater road,0.01956
eltham,0.01928
albert hall,0.01928
battersea park,0.01917
broad street,0.01915
onslow square,0.01901
portobello road,0.01896
shoreditch,0.01893
waterloo place,0.01868
belgrave street,0.0184
ludgate hill,0.01832
hanover street,0.01814
belsize park,0.0181
harmondsworth,0.01765
tottenham,0.01704
balham,0.01671
bulstrode,0.01656
dulwich,0.0165
wigmore street,0.01646
maida vale,0.01627
albert memorial,0.01589
marylebone road,0.01584
bloomsbury square,0.01569
spitalfields,0.01539
leman street,0.01529
plashet,0.0152
harrow,0.01505
finchley,0.01474
leyton,0.01473
finsbury park,0.01462
dagenham,0.01421
havering,0.01417
chester square,0.01381
nijinsky,0.0138
haverstock hill,0.0137
kennington,0.01361
paddington station,0.01334
shortlands,0.01309
bermondsey,0.01294
dorset square,0.01293
cheyne walk,0.01277
london library,0.01276
great portland street,0.01271
peckham,0.01259
mile end road,0.0124
osnaburgh street,0.01235
garamond,0.01221
westminster abbey,0.01195
kilburn,0.01191
barnet,0.01189
westbourne grove,0.01173
devonshire street,0.01161
great sutton street,0.01148
clapham junction,0.01146
new bond street,0.0113
st james s hall,0.0113
wembley,0.01125
ladbroke grove,0.01122
british museum,0.01117
east end of london,0.01116
hackney,0.01113
berwick street,0.01108
mortimer street,0.01098
chesham place,0.01097
gloucester place,0.0108
manchester square,0.01075
west end of london,0.0107
gloucester road,0.01069
paternoster square,0.01069
eegent street,0.01067
teddington,0.01045
putney bridge,0.0104
beckenham,0.01037
great russell street,0.01036
cadogan square,0.01028
kensal green,0.01027
walthamstow,0.01023
queen s gate,0.01021
old bailey,0.01016
tower bridge,0.01003
old kent road,0.01001
moorfields,0.00999
mitcham,0.00995
old compton street,0.0099
westminster bridge road,0.00982
hillingdon,0.00973
ave maria lane,0.00972
dalston,0.00954
uxbridge,0.00951
wapping,0.0095
euston square,0.00941
bethnal green,0.00941
dean street,0.00937
tavistock,0.00936
south kensington museum,0.0093
roehampton,0.00926
eegent s park,0.00924
edwardes square,0.00915
berkeley street,0.00914
golden square,0.00913
battersea power station,0.00913
