text_string,occurs_100k
london,14.77066
richmond,0.20699
westminster,0.17784
chatham,0.16975
kingston,0.16159
soho,0.14573
hampstead,0.1309
hyde park,0.12725
greenwich,0.11547
covent garden,0.10199
scotland yard,0.08854
west end,0.08773
chelsea,0.08714
pall mall,0.08502
london bridge,0.08484
oxford street,0.0848
trafalgar square,0.08358
middlesex,0.08113
islington,0.07693
southwark,0.07536
notting hill,0.07387
paddington,0.07069
croydon,0.06959
buckingham palace,0.06807
haymarket,0.06692
holborn,0.06471
fleet street,0.06162
trafalgar,0.05981
hammersmith,0.05841
knightsbridge,0.05732
fulham,0.05375
heathrow,0.053
battersea,0.0524
leicester square,0.05097
park lane,0.04813
east end,0.04742
putney,0.04582
dulwich,0.04528
dagenham,0.04489
harley street,0.04439
clerkenwell,0.04346
highgate,0.04292
camden town,0.04206
south kensington,0.0419
hounslow,0.04026
wapping,0.0402
tottenham court road,0.03989
tate gallery,0.03898
downing street,0.03891
kensington gardens,0.03884
mansion house,0.03679
aldgate,0.03672
bloomsbury,0.03671
chancery lane,0.03666
st james s park,0.03545
south london,0.03522
belgravia,0.03419
broad street,0.03377
lombard street,0.03326
grosvenor square,0.03325
shoreditch,0.03315
westminster hall,0.03311
bayswater,0.03195
piccadilly,0.03159
cheapside,0.03095
uxbridge,0.03094
pimlico,0.0307
westminster bridge,0.03069
national gallery,0.02985
euston,0.02848
berkeley square,0.02832
shaftesbury avenue,0.028
harmondsworth,0.02717
kew,0.02698
zoological gardens,0.02696
wandsworth,0.02641
brentford,0.02585
jermyn street,0.02548
wembley,0.02526
hyde park corner,0.02464
vauxhall bridge road,0.02454
east london,0.02442
southampton street,0.02432
romford,0.02411
hatton garden,0.0241
st martin s lane,0.02368
streatham,0.02353
old bailey,0.02351
spitalfields,0.02311
charing cross road,0.02279
white hall,0.02255
st james s square,0.02198
green park,0.02198
hanover square,0.02172
eastcheap,0.02139
soho square,0.02137
bedford square,0.02122
north london,0.02115
bond street,0.02045
westminster abbey,0.02013
mayfair,0.0201
euston road,0.01989
victoria station,0.0198
kentish town,0.01949
marylebone,0.01944
liverpool street,0.01914
paternoster square,0.01905
fulham road,0.01871
portman square,0.01856
harrow,0.01841
ludgate hill,0.01832
russell square,0.01805
kew gardens,0.01799
new southgate,0.01794
eaton square,0.0179
edgware road,0.01783
wardour street,0.01772
victoria street,0.01771
belsize,0.0177
waterloo bridge,0.01753
waterloo place,0.01734
limehouse,0.01729
cromwell road,0.01704
mortlake,0.01696
garamond,0.01688
clapham,0.01681
tottenham,0.01681
bermondsey,0.0166
st james s,0.01649
hampstead heath,0.01596
athole,0.01587
londra,0.01583
ilford,0.01547
moorfields,0.01531
great russell street,0.01503
midland hotel,0.01488
st pancras,0.01476
leadenhall street,0.01462
dorset street,0.01452
chiswick,0.01397
poland street,0.01397
orpington,0.01392
british museum,0.01362
melchester,0.01361
millbank,0.0135
enfield,0.01349
barnet,0.01348
bouverie street,0.01344
marshalsea,0.0132
regent street,0.01317
whitechapel road,0.01315
kensington church street,0.01295
charing cross,0.01279
homerton,0.01238
paddington station,0.01231
hanover street,0.01215
pentonville,0.01213
albert hall,0.0121
finchley,0.01207
twickenham,0.01203
eltham,0.012
stamford bridge,0.01183
minories,0.01181
holland park,0.01172
mile end road,0.0117
great portland street,0.01159
london town,0.01158
caledonian road,0.01154
east end of london,0.0114
walthamstow,0.01135
londinium,0.0113
west kensington,0.01098
middle temple,0.01095
marshalsea prison,0.01082
finsbury park,0.01071
harrow road,0.01065
sloane square,0.0105
old kent road,0.01049
old compton street,0.01037
richmond park,0.01035
sloane street,0.01027
hackney,0.01023
tower bridge,0.01014
frith street,0.01008
curzon street,0.00999
regent s park,0.00984
cavendish square,0.00968
tavistock,0.00964
eastcote,0.00956
golden square,0.00955
battersea park,0.00947
marryat,0.00934
fitzroy square,0.00927
glenthorn,0.00924
palace gardens,0.00923
gower street,0.00903
st george s hospital,0.00903
north kensington,0.00902
commercial road,0.00901
west end of london,0.00883
kennington,0.00867
west london,0.00865
cheyne walk,0.00861
museum street,0.00843
parliament square,0.00841
london hospital,0.00838
great new street,0.00826
northumberland avenue,0.00819
fulham palace road,0.00819
red lion square,0.00815
bruton street,0.00815
south audley street,0.00813
dover street,0.00812
basuto,0.00811
belgrave square,0.00811
st john s wood,0.00807
cornhill,0.00807
finsbury,0.00805
grosvenor street,0.00805
ladbroke grove,0.00802
stepney,0.00794
muswell hill,0.00788
camberwell,0.00788
almeida,0.00785
waterloo station,0.00784
hoxton,0.00783
lowndes,0.00779
gloucester road,0.00772
maida vale,0.0077
hampstead road,0.00768
westbourne grove,0.00761
petticoat lane,0.00759
marlborough street,0.00758
albemarle street,0.00757
nijinsky,0.00749
primrose hill,0.00742
brompton road,0.0074
kensington high street,0.00739
british islands,0.00737
bayswater road,0.00733
notting hill gate,0.0073
chenies street,0.00728
bethnal green,0.00727
denmark hill,0.00725
clapham junction,0.00719
kilburn,0.00718
hounslow heath,0.00716
great russell street london,0.0071
roehampton,0.00708
wimpole street,0.00686
wulfstan,0.00684
willesden,0.00683
portland place,0.00682
uxbridge road,0.00681
goswell street,0.00681
stoke newington,0.00678
gerrard street,0.00677
gray s inn road,0.00673
st paul s,0.00665
st james s hall,0.00661
greater london,0.00657
euston station,0.00653
vauxhall bridge,0.00648
forest gate,0.00639
praed street,0.00636
albert museum,0.00635
fairhazel gardens,0.00634
connaught,0.0063
monmouth street,0.00628
dean street,0.00625
dalston,0.00624
whitehall,0.00623
leytonstone,0.00619
kensington palace,0.00619
marylebone road,0.00612
balham,0.00603
queen square london,0.00599
great queen street,0.00598
gracechurch street,0.00598
scadbury,0.00596
blackfriars bridge,0.00595
upper norwood,0.00592
bloomsbury square,0.00591
inner temple,0.00583
south ken,0.00577
farringdon road,0.00573
threadneedle street,0.00572
hornsey,0.00572
greek street,0.00568
campden hill,0.00567
goodge street,0.00561
canning town,0.00557
neustria,0.00551
south kensington museum,0.00548
goldhawk road,0.00538
sydenham hill,0.00536
brick lane,0.00533
new scotland yard,0.00528
stanmore,0.00527
tooley street,0.00525
aldersgate street,0.00523
gray s inn lane,0.0052
camden high street,0.00519
london wall,0.00517
bow street,0.00516
pleydell street,0.00505
stamford street,0.00503
etchingham park,0.00503
leman street,0.00501
great marlborough street,0.005
farringdon street,0.005
stepney parish,0.00498
houndsditch,0.00492
guy s hospital,0.00491
turnham green,0.0049
bucklersbury,0.00488
mitcham,0.00487
london library,0.00484
portobello road,0.00484
st george s fields,0.00483
shooter s hill,0.00482
london city,0.00482
beckenham,0.00475
lea bridge,0.00468
old burlington street,0.00465
albert memorial,0.00465
new burlington street,0.00465
shoe lane,0.00461
heathrow airport,0.00461
fetter lane,0.00459
burlington gardens,0.00458
stationers hall,0.00455
greenford,0.00454
mortimer street,0.00453
putney bridge,0.00452
gough square,0.00452
bishopsgate street,0.00451
clarges street,0.00443
middle temple lane,0.00442
blackfriars road,0.00439
guilford street,0.00435
malmsey,0.00435
finchley road,0.00434
ebury street,0.00433
cressingham,0.00431
lothbury,0.00431
hillingdon,0.0043
walham green,0.00429
east ham,0.00428
st thomas s hospital,0.00427
north circular road,0.00426
cafe royal,0.00426
banstead downs,0.00423
villiers street,0.00421
chislehurst,0.00418
wembley stadium,0.00417
clapham road,0.00416
rutland gate,0.00414
court road,0.00414
haverstock hill,0.00411
margaret street,0.00409
paris garden,0.00407
peckham,0.00407
new bond street,0.00404
seething lane,0.00401
castellain,0.00401
queen victoria street,0.00399
central london,0.00399
wellington barracks,0.00397
greenwich park,0.00397
barbican,0.00396
london longmans,0.00394
vigo street,0.00394
streatham hill,0.00393
coleman street,0.00389
liverpool street station,0.00387
southwark street london,0.00386
stamford hill,0.00386
battersea power station,0.00386
cork street,0.00381
great coram street,0.00379
lancaster gate,0.00379
covent garden theatre,0.00378
holloway road,0.00375
central hall,0.00375
henrietta street london,0.0037
cricklewood,0.00369
vanburgh,0.00367
south molton street,0.00365
earls court road,0.00363
tavistock square,0.0036
meard street,0.00359
cockspur street,0.00358
ratcliff highway,0.00357
putney heath,0.00355
eccleston square,0.00354
petty france,0.00351
st pancras station,0.00351
london parks,0.0035
doughty street,0.00349
kabul gate,0.00349
south lambeth road,0.00347
carlton house terrace,0.00347
hillingdon hall,0.00346
wanstead,0.00344
pancras road,0.00343
berwick street,0.00342
coventry street,0.00341
bow road,0.00341
gray s inn square,0.00341
great turnstile,0.00341
strutton ground,0.00341
sutton,0.00341
paphlagonia,0.00339
lalage,0.00337
east india dock road,0.00332
bloomsbury street,0.00332
tothill fields,0.00331
white lion street,0.00328
lambeth bridge,0.00327
wellcombe,0.00327
drayton gardens,0.00326
kensal green,0.00324
wakefield tower,0.00324
waterloo road,0.00322
lord brook,0.00322
ratcliffe highway,0.00321
russell square london,0.00319
st paul s churchyard,0.00319
whitleys,0.00319
essex road,0.00317
haringey,0.00314
cable street,0.00312
queen s hall,0.00312
america square,0.00311
welbeck street,0.00311
new oxford street,0.00307
port of london,0.00306
lon don,0.00304
old bond street,0.00304
blackfriars,0.00303
gipsy hill,0.00302
st mungo,0.00301
smith square,0.003
guildford street,0.003
marylebone station,0.00298
chester square,0.00297
rainham,0.00297
bethlem,0.00296
buckingham palace road,0.00295
pentonville road,0.00293
kennington road,0.00292
walworth road,0.00292
st luke s,0.0029
moorgate,0.00289
london stone,0.00287
young england,0.00287
adelphi terrace,0.00287
hammersmith bridge,0.00286
torrington square,0.00285
chalk farm road,0.00285
stratford bow,0.00285
purley,0.00284
thorney island,0.00283
stockwell,0.00281
marylebone gardens,0.0028
battersea bridge,0.0028
upper street,0.00278
monplaisir,0.00278
stamford brook,0.00277
brompton cemetery,0.00275
south lambeth,0.00271
throgmorton street,0.00269
ingestre road,0.00268
victoria dock road,0.00265
heme hill,0.00265
wigmore street,0.00265
grosvenor gallery,0.00264
cheam,0.0026
waltheof,0.00259
london magazine,0.00259
isleworth,0.00258
south norwood,0.00256
furnival,0.00256
panton street,0.00255
clissold park,0.00255
maresfield gardens,0.00254
hampton wick,0.00253
