text_string,occurs_100k
london,19.94967
richmond,0.44193
millbank,0.37952
hampstead,0.29971
soho,0.24626
hyde park,0.2054
covent garden,0.16497
kew,0.15268
west end,0.14801
kingston,0.14487
greenwich,0.14458
oxford street,0.13889
islington,0.13687
chelsea,0.1357
pall mall,0.13556
grosvenor square,0.1338
westminster,0.13092
hillingdon,0.11982
london bridge,0.11129
park lane,0.11085
scotland yard,0.10513
belgravia,0.10453
trafalgar square,0.10357
chatham,0.10045
kensington gardens,0.09826
bayswater,0.09581
haymarket,0.08742
paddington,0.0868
knightsbridge,0.0864
bloomsbury,0.08537
buckingham palace,0.08293
holborn,0.08185
east end,0.08179
harley street,0.08108
southwark,0.07978
heathrow,0.07685
leicester square,0.07594
hammersmith,0.07416
camden town,0.07239
cavendish square,0.07064
piccadilly,0.06902
putney,0.06844
highgate,0.06844
berkeley square,0.06807
eaton square,0.06195
stanmore,0.06168
lombard street,0.06018
southampton street,0.0587
middlesex,0.05779
croydon,0.05779
fulham,0.05726
jermyn street,0.05588
south kensington,0.05461
hounslow,0.05434
portland place,0.05395
twickenham,0.05387
st james s park,0.05301
battersea,0.05275
green park,0.05221
st james s square,0.05157
clerkenwell,0.05128
pentonville,0.05028
tottenham court road,0.05008
hanover square,0.04856
hyde park corner,0.0467
tavistock,0.04624
downing street,0.04587
fleet street,0.04401
south london,0.04346
notting hill,0.04329
mayfair,0.04285
glenthorn,0.04116
westminster bridge,0.04111
clapham,0.04066
charing cross road,0.04052
shoreditch,0.04002
victoria station,0.04
regent street,0.03937
pimlico,0.03903
waterloo bridge,0.03899
chancery lane,0.03807
portman square,0.03746
russell square,0.03699
trafalgar,0.03637
west hill,0.03636
st john s wood,0.03559
sloane street,0.03492
grosvenor street,0.0348
bond street,0.03452
belgrave square,0.03447
westminster hall,0.03442
liverpool street,0.03388
st martin s lane,0.03327
shaftesbury avenue,0.03274
streatham,0.03251
east london,0.03222
national gallery,0.03203
euston road,0.03155
fulham road,0.03145
mansion house,0.03087
bedford square,0.03065
zoological gardens,0.03062
waterloo place,0.03052
victoria street,0.03026
rainham,0.03017
old bailey,0.02999
spitalfields,0.02967
vauxhall bridge road,0.02965
dulwich,0.02935
curzon street,0.02917
st pancras,0.02885
aldgate,0.02862
wandsworth,0.02829
north london,0.02777
broad street,0.02758
mortlake,0.02731
st james s,0.02695
hoxton,0.02658
kentish town,0.02641
edgware road,0.02554
westminster abbey,0.0254
clarges street,0.02523
marylebone,0.02494
euston,0.02453
ludgate hill,0.02439
golden square,0.02437
gower street,0.02415
willesden,0.02383
chiswick,0.02377
cheapside,0.02368
limehouse,0.02348
sloane square,0.02347
waterloo station,0.02344
poland street,0.02317
leadenhall street,0.02293
camberwell,0.02284
great suffolk street,0.02283
uxbridge,0.02227
kew gardens,0.02212
richmond park,0.02211
euston square,0.0219
hampstead heath,0.02123
notting hill gate,0.02114
wapping,0.02103
