text_string,formatted_address,location_type,occurs_100k
paris,"Paris, France",locality,8.32721
france,France,country,7.8157
ireland,Ireland,country,3.98259
rome,"Rome, Italy",locality,3.78448
italy,Italy,country,3.368
spain,Spain,country,2.83032
europe,Europe,continent,2.77683
naples,"Naples, Metropolitan City of Naples, Italy",administrative_area_level_3,2.18045
dublin,"Dublin, Ireland",locality,2.09421
india,India,country,1.84018
venice,"Venice, Italy",locality,1.28246
sydney,"Sydney NSW, Australia",colloquial_area,1.24897
america,United States,country,1.2086
germany,Germany,country,1.18469
florence,"Florence, Italy",locality,1.07941
vienna,"Vienna, Austria",locality,0.93172
madrid,"Madrid, Madrid, Spain",locality,0.87699
portugal,Portugal,country,0.84433
egypt,Egypt,country,0.835
russia,Russia,country,0.80856
woodville,"Woodville, TX 75979, USA",locality,0.80119
denmark,Denmark,country,0.74637
norway,Norway,country,0.7203
cleveland,"Cleveland, OH, USA",locality,0.69832
persia,Iran,country,0.68413
jerusalem,"Jerusalem, Israel",locality,0.6532
holland,Netherlands,country,0.62417
brussels,"Brussels, Belgium",locality,0.59258
israel,Israel,country,0.58063
greece,Greece,country,0.56954
switzerland,Switzerland,country,0.56293
arlington,"Arlington County, VA, USA",administrative_area_level_2,0.55952
austria,Austria,country,0.55396
africa,Africa,continent,0.54196
malta,Malta,country,0.51863
warsaw,"Warsaw, Poland",locality,0.51406
calais,"Calais, France",locality,0.51367
lisbon,"Lisbon, Portugal",locality,0.5044
sicily,"Sicily, Italy",natural_feature,0.48765
new york,"New York, NY, USA",locality,0.45987
versailles,"Palace of Versailles, Place d'Armes, 78000 Versailles, France",point_of_interest,0.45209
saxony,"Saxony, Germany",administrative_area_level_1,0.44834
sydenham,"Sydenham Clinic, 264 W 118th St, New York, NY 10027, USA",hospital,0.447
poland,Poland,country,0.43735
west indies,"West Indies, Cuba",colloquial_area,0.43511
rhine,Rhine River,natural_feature,0.43474
sweden,Sweden,country,0.43073
launceston,"Launceston TAS 7250, Australia",locality,0.42268
illinois,"Illinois, USA",administrative_area_level_1,0.41253
languedoc,"Le Languedoc Inn & Restaurant, 24 Broad St, Nantucket, MA 02554, USA",bar,0.39914
jamaica,Jamaica,country,0.39749
falkland,"FIQQ 1ZZ, Falkland Islands (Islas Malvinas)",country,0.3915
perth,"Perth WA, Australia",colloquial_area,0.38519
milan,"Milan, Italy",locality,0.37387
almeria,"Almería, Almería, Spain",administrative_area_level_4,0.36756
athens,"Athens, Greece",locality,0.36148
hungary,Hungary,country,0.36104
alps,"Alps, 7232 Furna, Switzerland",natural_feature,0.3573
normandy,Normandy,colloquial_area,0.35502
ravenswood,"Ravenswood, 1021 NY-146, Clifton Park, NY 12065, USA",bar,0.34307
tarleton,"Tarleton State University, 1333 W Washington St, Stephenville, TX 76401, USA",university,0.32306
buckingham,"Buckingham Manufacturing Co, 11 Travis Ave, Binghamton, NY 13904, USA",point_of_interest,0.31809
amherst,"Amherst College, Amherst, MA 01002, USA",museum,0.31584
atlantic,Atlantic Ocean,natural_feature,0.31035
constantinople,"Istanbul, İstanbul, Turkey",locality,0.30957
asia,Asia,continent,0.30698
mediterranean,Mediterranean Sea,natural_feature,0.30512
madeira,"Madeira, Portugal",administrative_area_level_1,0.30351
geneva,"Geneva, Switzerland",locality,0.30269
new burlington,"New Burlington, OH 45177, USA",locality,0.27924
toledo,"Toledo, Spain",locality,0.27882
washington,"Washington, USA",administrative_area_level_1,0.27212
mexico,Mexico,country,0.26562
turkey,Turkey,country,0.26515
vermont,"Vermont, USA",administrative_area_level_1,0.25986
kola,"Kola, 1940 Orange Tree Ln #200, Redlands, CA 92374, USA",point_of_interest,0.25916
cape,"Cape of Good Hope, Cape Point Rd, Cape Peninsula, Cape Town, 8001, South Africa",park,0.25863
urbino,"Urbino, Province of Pesaro and Urbino, Italy",administrative_area_level_3,0.25664
navarre,"Navarre, Spain",administrative_area_level_1,0.25519
palmyra,"Palmyra, Syria",locality,0.25452
bohemia,"Bohemia, 110 00, Czech Republic",colloquial_area,0.25184
seville,"Seville, Sevilla, Spain",locality,0.24646
montreal,"Montreal, QC, Canada",locality,0.24279
marseilles,"Marseille, France",locality,0.24146
moscow,"Moscow, Russia",locality,0.23846
prague,"Prague, Czech Republic",locality,0.23732
gibraltar,Gibraltar,country,0.23495
roseville,"Roseville, CA, USA",locality,0.23041
orlando,"Orlando, FL, USA",locality,0.22849
stratford,"Stratford, CT, USA",locality,0.22631
wilmington,"Wilmington, NC, USA",locality,0.22627
orleans,"Orléans, France",locality,0.22618
calcutta,"Kolkata, West Bengal 700001, India",locality,0.2259
toulouse,"Toulouse, France",locality,0.22533
provence,"Provence, 69430, France",colloquial_area,0.2218
palermo,"Palermo, Italy",locality,0.22146
dresden,"Dresden, Germany",locality,0.21732
florida,"Florida, USA",administrative_area_level_1,0.21703
killarney,"Killarney, Co. Kerry, Ireland",locality,0.21596
flanders,"Flanders, Belgium",administrative_area_level_1,0.21556
st louis,"St. Louis, MO, USA",locality,0.21511
pisa,"Pisa PI, Italy",locality,0.21473
palestine,Palestine,country,0.21399
oceana,"Oceana, International Headquarters, 1350 Connecticut Ave NW, Washington, DC 20036, USA",point_of_interest,0.20641
alexandria,"Alexandria, Alexandria Governorate, Egypt",locality,0.20475
tiverton,"Tiverton, RI, USA",locality,0.20187
prussia,Germany,country,0.20077
canada,Canada,country,0.19888
st petersburg,"St Petersburg, Russia",locality,0.19787
cadiz,"Cádiz, Cádiz, Spain",locality,0.19747
genoa,"Genoa, Italy",locality,0.1966
newburgh,"Newburgh, NY, USA",locality,0.19595
syria,Syria,country,0.19378
kenilworth,"Kenilworth, IL, USA",locality,0.19221
montague,"Lane's Riverhouse Inn & Cottages, 33 Brook St, Montague, PE C0A 1R0, Canada",lodging,0.19037
raleigh,"Raleigh, NC, USA",locality,0.18819
strafford,"Strafford Publications, Inc., 590 Dutch Valley Pl NE, Atlanta, GA 30324, USA",point_of_interest,0.18613
burgundy,"Burgundy, France",administrative_area_level_1,0.18342
us,United States,country,0.18255
rimini,"Rimini RN, Italy",locality,0.1806
mandeville,"Mandeville, LA, USA",locality,0.18009
dusseldorf,"Düsseldorf, Germany",locality,0.18001
the cape,"Cabo San Lucas, Baja California Sur, Mexico",locality,0.18001
oakwood,"Oakwood Apartments, 2538 Bahama Dr, Dallas, TX 75211, USA",point_of_interest,0.17897
cluny,"Abbaye de Cluny, Rue du 11 Août 1944, 71250 Cluny, France",place_of_worship,0.17614
dauphin,"Dauphin, 222 W Merchandise Mart Plaza #393, Chicago, IL 60654, USA",furniture_store,0.17598
rouen,"Rouen, France",locality,0.1694
limerick,"Limerick, Ireland",locality,0.16827
amsterdam,"Amsterdam, Netherlands",locality,0.1671
anjou,"Anjou Restaurant, 361 Township Ave, Ridgeland, MS 39157, USA",restaurant,0.16659
galway,"Galway, Ireland",locality,0.16578
danube,Danube,natural_feature,0.16539
damascus,"Damascus, Syria",locality,0.16426
burlington,"Burlington, VT, USA",locality,0.16262
south america,South America,continent,0.16259
liege,"Liège, Belgium",locality,0.16244
altamont,"The Altamont Theatre, 18 Church St, Asheville, NC 28801, USA",point_of_interest,0.16177
tuscany,"Tuscany, Italy",administrative_area_level_1,0.16022
zurich,"Zürich, Switzerland",locality,0.15938
lorton,"Lorton, VA, USA",locality,0.15801
cyprus,Cyprus,country,0.15594
boston,"Boston, MA, USA",locality,0.15593
babylon,"Hillah, Iraq",locality,0.15581
castile,Spain,country,0.15497
hanover,"Hanover, Germany",locality,0.15434
bremen,"Bremen, Germany",locality,0.15394
berlin,"Berlin, Germany",locality,0.15354
ghent,"Ghent, Belgium",locality,0.15299
weymouth,"Weymouth, MA, USA",locality,0.15234
bordeaux,"Bordeaux, France",locality,0.15152
united states,United States,country,0.15075
listowel,"Listowel, Co. Kerry, Ireland",locality,0.14991
mons,"Mons, Belgium",locality,0.14986
palatine,"Palatine, IL, USA",locality,0.14934
east indies,Indonesia,country,0.14851
bruges,"Bruges, Belgium",locality,0.14739
conde,"Conde Systems Inc, 5600 Commerce Blvd E, Mobile, AL 36619, USA",point_of_interest,0.1473
