text_string,occurs_100k
london,20.47538
hampstead,0.2223
bloomsbury,0.21083
hyde park,0.187
soho,0.16443
chelsea,0.14864
covent garden,0.14519
grosvenor square,0.13651
greenwich,0.13225
oxford street,0.12609
kensington gardens,0.12131
park lane,0.11895
westminster,0.10992
west end,0.10014
belgravia,0.09962
southampton street,0.09277
bayswater,0.08849
chatham,0.0862
putney,0.08144
berkeley square,0.07706
pall mall,0.07668
portland place,0.07519
highgate,0.06954
paddington,0.06922
london bridge,0.06895
knightsbridge,0.06762
buckingham palace,0.06655
trafalgar square,0.06488
belgrave square,0.06479
hammersmith,0.06394
fulham,0.06212
eaton square,0.06205
cavendish square,0.06023
great marlborough street,0.05851
battersea,0.05571
piccadilly,0.05552
leicester square,0.05499
scotland yard,0.0546
haymarket,0.0542
portman square,0.05407
st james s square,0.05185
holborn,0.05157
russell square,0.05156
south kensington,0.04883
east end,0.04798
camden town,0.046
tottenham court road,0.04564
streatham,0.04517
lombard street,0.04447
st james s park,0.04215
curzon street,0.04068
clapham,0.04056
hyde park corner,0.03945
mayfair,0.03818
trafalgar,0.03809
bedford square,0.03505
poland street,0.03426
jermyn street,0.03193
vauxhall bridge road,0.03193
victoria station,0.03175
sloane street,0.03101
grosvenor street,0.03058
fleet street,0.03033
bruton street,0.03025
holland park,0.03014
zoological gardens,0.02982
regent street,0.02949
clerkenwell,0.02877
mortlake,0.02863
westminster bridge,0.02781
dorset street,0.02765
south audley street,0.02687
charing cross road,0.02679
downing street,0.02652
leadenhall street,0.02637
waterloo bridge,0.02628
roehampton,0.02608
tavistock,0.02591
chancery lane,0.02566
fulham road,0.02544
gower street,0.02535
west hill,0.02467
primrose hill,0.02462
peckham,0.02447
wimpole street,0.0244
shaftesbury avenue,0.02433
euston,0.02422
st pancras,0.02417
kentish town,0.02405
edgware road,0.02392
chiswick,0.02351
white hall,0.0231
hatton garden,0.023
sloane square,0.02209
marylebone,0.02163
dulwich,0.0216
albemarle street,0.02147
cheapside,0.02119
westminster hall,0.02101
bulstrode,0.02081
hampstead heath,0.02037
notting hill gate,0.02026
westminster abbey,0.02026
fitzroy square,0.01958
st john s wood,0.01957
shoreditch,0.01945
soho square,0.01944
liverpool street,0.01927
euston road,0.01895
regent s park,0.01884
lowndes square,0.01878
ludgate hill,0.01874
spitalfields,0.01746
ebury street,0.01708
eltham,0.01703
cromwell road,0.01697
welbeck street,0.01689
bayswater road,0.01688
bloomsbury square,0.01669
clarges street,0.0165
hoxton,0.01641
waterloo station,0.01626
finchley road,0.01621
tottenham,0.01578
portobello road,0.01524
camberwell,0.0152
albert hall,0.01512
finchley,0.01511
bryanston square,0.01509
palace gardens,0.01481
west kensington,0.0147
upper grosvenor street,0.01427
kilburn,0.01425
maida vale,0.01411
westbourne grove,0.01406
kensington high street,0.01392
albert memorial,0.01361
manchester square,0.01328
brompton road,0.01315
leyton,0.01303
paddington station,0.0129
onslow square,0.01286
gloucester place,0.01272
wapping,0.01271
marylebone road,0.01271
belgrave street,0.01267
ladbroke grove,0.01256
finsbury park,0.01254
bermondsey,0.01251
willesden,0.01243
fulham palace road,0.0124
wigmore street,0.01236
old bailey,0.01234
campden hill,0.01221
wardour street,0.01192
st george s hospital,0.01172
aldgate,0.01165
walthamstow,0.01148
fairacre,0.01143
golden square,0.01125
belsize park,0.01122
euston square,0.0112
east end of london,0.01106
charing cross,0.01104
midland hotel,0.01093
chester square,0.01092
middle temple,0.01088
finsbury square,0.01083
blackfriars bridge,0.01083
west hampstead,0.01048
hyde park gate,0.01017
plashet,0.01016
battersea park,0.00998
dean street,0.00983
cheyne walk,0.00982
paternoster square,0.00978
lon don,0.00976
threadneedle street,0.00955
kensington palace,0.00946
upper brook street,0.00936
pentonville,0.0093
st james s hall,0.00917
pancras road,0.00902
kensal green,0.00881
balham,0.00873
eegent street,0.00857
uxbridge road,0.00844
queen s gate,0.0084
great sutton street,0.00834
gracechurch street,0.00831
connaught,0.00828
dalston,0.00822
holloway road,0.0082
denmark hill,0.00812
old compton street,0.00807
british museum,0.00804
muswell hill,0.00802
dorset square,0.00799
kennington,0.00799
moorfields,0.00798
shoe lane,0.00793
new burlington street,0.00786
carlton terrace,0.00779
north kensington,0.00778
parliament square,0.00775
dover street,0.00769
great queen street,0.00768
bethnal green,0.00764
clapham junction,0.00763
pont street,0.00753
mile end road,0.00752
great russell street,0.00749
mortimer street,0.00744
st james street,0.00742
bow street,0.0073
whitecross street,0.00728
hyde park gardens,0.00717
kensington palace gardens,0.00707
ladywell,0.00693
gloucester road,0.00691
south kensington museum,0.00688
furnival,0.00686
barnsbury,0.00685
south ken,0.00681
new bond street,0.00677
marlborough street,0.00663
frith street,0.00662
devonshire street,0.0066
leytonstone,0.00647
putney bridge,0.00638
bryanstone square,0.00637
carnaby street,0.00636
red lion square,0.00628
stoke newington,0.00618
hertford street,0.00613
london parks,0.00604
battersea power station,0.00603
marshalsea,0.00603
eccleston square,0.00602
london town,0.00597
fenchurch street,0.00596
garamond,0.00596
maresfield gardens,0.00594
stockwell,0.00594
new oxford street,0.00589
great portland street,0.00589
county hall,0.00589
farringdon,0.00588
queen s square,0.00586
port land place,0.00579
hornsey,0.00572
eastcheap,0.00571
golders green,0.00565
london bridge station,0.00565
edwardes square,0.00563
old kent road,0.00561
cleveland square,0.0056
wenlock,0.00556
west end of london,0.00554
weymouth street,0.00551
waterloo road,0.00551
ave maria lane,0.00548
neasden,0.00541
liverpool street station,0.00539
kensington gore,0.00538
lancaster gate,0.00535
great ormond street,0.00534
ebury,0.00532
grosvenor gardens,0.0053
greenwich park,0.00529
battersea bridge,0.00529
euston station,0.00526
caledonian road,0.00524
aldersgate street,0.00521
campden hill square,0.00519
ladbroke square,0.00515
basinghall street,0.00512
little russell street,0.00508
brick lane,0.00507
mountview,0.00507
lothbury,0.00506
walworth road,0.00505
marylebone high street,0.00499
bedford row,0.00497
limehouse,0.00497
london hospital,0.00487
jubilee gardens,0.00485
burlington street,0.00483
st james s palace,0.00482
st mungo,0.00482
gray s inn road,0.00479
lalage,0.00478
eegent s park,0.00475
upper street,0.00473
stepney,0.00473
peckham rye,0.00467
stamford hill,0.00465
greek street,0.00464
haverstock hill,0.00463
torrington square,0.00459
heme hill,0.00458
british islands,0.00453
bouverie street,0.00448
south molton street,0.00446
central london,0.00445
carlton house terrace,0.00445
whitehall,0.00444
tyburnia,0.00444
minories,0.00444
goodge street,0.00442
belgravian,0.00441
great russell street london,0.0044
hurlingham,0.00438
chepstow villas,0.00434
farringdon street,0.00434
cadogan square,0.00434
westbourne terrace,0.00434
st paul s churchyard,0.00433
finsbury,0.00431
swaffield,0.00429
billiter square,0.00427
cloak lane,0.00422
cadogan place,0.00421
highgate cemetery,0.00418
harlesden,0.00418
south lambeth road,0.00412
homerton,0.00406
turnmill street,0.00403
holloway prison,0.00399
north end road,0.00399
fitzroy road,0.00398
vauxhall bridge,0.00397
bread street,0.00396
new street square,0.00396
cricklewood,0.00396
dolphin square,0.00391
elgood street,0.00391
cressingham,0.00386
tate gallery,0.00386
moorgate street,0.00384
bina gardens,0.00382
camden lock,0.0038
albert museum,0.00379
chiltern street,0.00378
great george street,0.00377
gray s inn lane,0.00372
camberwell grove,0.00369
maygrove road,0.00363
monplaisir,0.00363
tavistock square,0.00363
turnham green,0.00362
camden road,0.00361
melchester,0.00359
wanstead,0.00359
whitechapel road,0.00359
athole,0.00357
tavistock street,0.00357
pleasaunce,0.00356
harrods,0.00354
stamford street,0.00354
kensington church street,0.00352
montague place,0.00351
devonshire terrace,0.00349
doughty street,0.00349
fetter lane,0.00348
barbican,0.00348
flood street,0.00347
upton lane,0.00345
port man square,0.00345
canonbury,0.00344
wigmore hall,0.00343
wilton crescent,0.00342
albert bridge,0.00341
upper belgrave street,0.0034
albany street,0.00337
young england,0.00337
chesham place,0.00336
archer street,0.00336
old street,0.00334
botolph lane,0.00333
vauxhall bridge road london,0.00333
houndsditch,0.00331
euston road london,0.0033
brompton road london,0.0033
tulse hill,0.00328
stamford bridge,0.00327
westbourne park,0.00326
lisson grove,0.00325
newington butts,0.00325
northumberland avenue,0.00324
london hotel,0.00324
myddleton,0.00322
paddington green,0.00322
earls court road,0.00322
court road,0.00318
brompton oratory,0.00318
london magazine,0.00317
scrope,0.00315
st thomas s hospital,0.00311
brockwell park,0.00306
guilford street,0.00306
sloan street,0.00304
compayne gardens,0.00303
almeida,0.00303
norwood cemetery,0.00302
berwick street,0.00301
tufnell park,0.00299
albert hall mansions,0.00298
halkin street,0.00297
prince regent,0.00296
white hart lane,0.00295
hungerford bridge,0.00294
belgrave road,0.00293
london longmans,0.00291
hampstead road,0.00288
canning town,0.00288
hammersmith bridge,0.00286
walham green,0.00285
cafe royal,0.00285
petty france,0.00284
mme tussaud,0.00284
camley,0.00281
guildford street,0.00281
kilburn high road,0.00279
southwark bridge,0.00278
holland park avenue,0.00277
kensington road,0.00277
umfreville,0.00277
lambeth bridge,0.00276
norfolk square,0.00275
gough square,0.00272
lower sloane street,0.00272
west end lane,0.00271
alwyne,0.0027
east hill,0.00266
inner temple,0.00265
camden market,0.00265
gros venor square,0.00265
floral street,0.00265
voysey,0.00263
lord brook,0.00263
south kensing,0.00261
beauchamp tower,0.0026
silvertown,0.00259
st paul s cathedral,0.00258
archway road,0.00257
moorgate,0.00257
tite street,0.00256
mornington crescent,0.00256
yarico,0.00254
frontispiece,0.00254
south kensington station,0.00254
woburn place,0.00252
titchfield street,0.00252
almayne,0.00252
london city,0.00251
covent garden market,0.00251
brompton cemetery,0.0025
museum street,0.0025
fen court,0.00248
cornhill,0.00248
east putney,0.00247
buckingham palace road,0.00245
farringdon road,0.00243
toynbee hall,0.00241
grosvenor gallery,0.00241
basuto,0.0024
cork street,0.0024
st thomas s,0.0024
ken sington gardens,0.00239
stanhope gate,0.00238
broomwood,0.00237
castelnau,0.00237
great tower street,0.00236
lollard,0.00235
kennington park,0.00235
london wall,0.00235
lambeth,0.00235
villiers street,0.00234
upper berkeley street,0.00233
beauchamp place,0.00233
south belgravia,0.00232
prince of wales drive,0.00231
broadwick street,0.00231
cockspur street,0.00231
vauxhall gardens,0.0023
north audley street,0.0023
neustria,0.00229
brixton road,0.00228
whiteleys,0.00227
leigham court road,0.00227
greenwich palace,0.00226
spayne,0.00225
catford,0.00224
edric,0.00223
berners street,0.00223
wellington barracks,0.00222
priory park,0.00221
cheyne row,0.0022
bulstrode street,0.00219
seething lane,0.00219
dowgate hill,0.00218
davies street,0.00218
rutland gate,0.00217
bel grave square,0.00216
charing cross station,0.00216
mecklenburgh square,0.00215
marechale,0.00212
kentish town road,0.00212
smith square,0.0021
st pancras station,0.00206
hanwell,0.00206
covent garden theatre,0.00206
marble arch,0.00204
hatchard,0.00203
st bartholomew s hospital,0.00203
aldwych,0.00203
old bond street,0.00203
snaresbrook,0.00202
hans place,0.00202
porchester terrace,0.00201
queen victoria street,0.002
queensborough terrace,0.002
willesden green,0.00199
hammersmith broadway,0.00199
trafal gar square,0.00198
merton road,0.00198
gunnersbury,0.00198
the theatre,0.00197
penge,0.00196
margiana,0.00196
gloucester terrace,0.00196
horseferry road,0.00195
marchmont street,0.00194
edgeware road,0.00194
aytoun,0.00194
granta,0.00194
cranbourn alley,0.00193
praed street,0.00193
malmsey,0.00193
kensington park gardens,0.00192
albert gate,0.00191
brixton hill,0.00191
earls court,0.00191
haggerston,0.0019
old brompton,0.00189
hanipstead,0.00188
bucklersbury,0.00188
guy s hospital,0.00187
west end london,0.00186
upton park,0.00186
lambeth palace,0.00184
kingsland road,0.00184
marylebone lane,0.00184
putney high street,0.00183
covcnt garden,0.00183
theobald s road,0.00183
kennington road,0.00182
drayton gardens,0.00181
chingford,0.00178
bellenden,0.00178
south lambeth,0.00178
hoxton square,0.00177
st dunstan s hill,0.00177
essex road,0.00176
cumberland gate,0.00176
aldersbrook,0.00175
camden high street,0.00174
meard street,0.00174
clapham common,0.00174
pycroft,0.00173
st james square,0.00173
forest gate,0.00172
cadogan gardens,0.00171
marryat,0.00171
tooley street,0.0017
kensington park road,0.00169
great court,0.00168
bambridge,0.00168
montagu square,0.00167
east ham,0.00167
totteridge,0.00165
camden hill,0.00164
shakespeare gallery,0.00164
harrington gardens,0.00163
petticoat lane,0.00163
paddington basin,0.00163
haverley,0.00162
new scotland yard,0.00162
royal free hospital,0.00161
coleman street,0.00161
margaret street,0.0016
king william street,0.00158
connaught square,0.00158
lower thames street,0.00157
middle temple lane,0.00157
dulwich gallery,0.00156
wastdale,0.00156
downshire hill,0.00155
wandsworth high street,0.00155
canary wharf,0.00155
lowndes street,0.00155
warwick avenue,0.00155
brown s hotel,0.00155
wood green,0.00155
londres,0.00155
bishopsgate street,0.00153
chester terrace,0.00153
old brompton road,0.00153
totten ham court road,0.00153
hayward gallery,0.00152
nunhead,0.00152
great coram street,0.00152
st ermin,0.0015
somers town,0.0015
caxton hall,0.00148
russel square,0.00148
kensington garden,0.00148
buckingham gate,0.00148
streatham high road,0.00148
st george s square,0.00147
embankment gardens,0.00147
endell street,0.00147
cranley gardens,0.00147
high holborn,0.00147
paddington street,0.00147
kegent street,0.00146
upper thames street,0.00146
lammas,0.00145
caven dish square,0.00145
kensal green cemetery,0.00145
tothill street,0.00145
lower belgrave street,0.00145
sloane gardens,0.00145
clerkenwell road,0.00144
tate modern,0.00142
ilampstead,0.00142
petergate,0.00141
camberwell green,0.00141
bury street,0.00141
carlton house,0.0014
brondesbury,0.0014
south hampstead,0.00137
west ken,0.00137
heatherley,0.00136
mincing lane,0.00136
hampstead garden suburb,0.00136
goldhawk road,0.00136
chiswick mall,0.00135
boulestin,0.00135
leman street,0.00133
london charities,0.00133
upper wimpole street,0.00133
westminster bridge road,0.00133
east finchley,0.00132
vice warden,0.00132
brunswick park road,0.00132
east india dock road,0.00132
marylebone station,0.00131
kensington museum,0.00131
cumberland hotel,0.0013
west norwood,0.0013
brompton square,0.00129
birchin lane,0.00129
nile delta,0.00129
hatherley road,0.00129
thorney island,0.00129
st mary axe,0.00128
russell square london,0.00128
aldermanbury,0.00128
bramham gardens,0.00127
chiswell street,0.00127
royal opera house,0.00126
elvaston place,0.00126
sussex gardens,0.00126
eotherhithe,0.00126
portland gallery,0.00125
liverpool road,0.00125
streatham hill,0.00125
st george s hanover square,0.00125
goswell road,0.00125
coventry street,0.00124
gloucester gate,0.00124
victoria line,0.00124
new cross,0.00124
westminster cathedral,0.00124
ennismore gardens,0.00123
mort lake,0.00123
stratford le bow,0.00122
fulham broadway,0.00122
streatham place,0.00122
ridgmount gardens,0.00122
central hall,0.00122
monkwell street,0.00122
hornsey wood,0.00122
cumberland terrace,0.00121
seymour place,0.0012
london clinic,0.0012
exhibition road,0.0012
waterlow park,0.0012
westbourne park road,0.00119
prince of wales road,0.00119
raynes park,0.00119
pudding lane,0.00118
birkbeck,0.00118
f r g s ,0.00117
clifford street,0.00117
pembridge gardens,0.00116
pimlico road,0.00116
serpentine gallery,0.00116
maryle,0.00116
daubeney,0.00116
kensal rise,0.00115
camden passage,0.00115
islington green,0.00114
basinghall,0.00113
south norwood,0.00113
knightrider street,0.00113
battersea fields,0.00112
scot land yard,0.00112
londom,0.00112
zoological garden,0.00111
lower grosvenor street,0.00111
barlby road,0.00111
chiswick high road,0.0011
ealing broadway,0.0011
frognal,0.00109
herne hill,0.00109
hatchards,0.00109
throgmorton street,0.00109
millennium dome,0.00109
clarges,0.00108
upper richmond road,0.00108
london london,0.00108
new southgate,0.00107
royal hospital road,0.00107
lon don bridge,0.00107
pentonville road,0.00107
great russel street,0.00106
pentonville prison,0.00106
campden hill gardens,0.00106
tofton,0.00106
lambeth road,0.00106
musard,0.00105
hatton gardens,0.00104
clapham road,0.00104
kingsley hall,0.00104
stroud green,0.00103
latimer road,0.00102
west kensing,0.00102
bentinck street,0.00101
roehamp,0.00101
british library,0.00101
woburn square,0.001
red lion street,0.001
west brompton,0.001
throgmorton,0.00099
cranbourn street,0.00099
st george s in the east,0.00098
kensal town,0.00098
phillimore gardens,0.00097
campden hill road,0.00097
big ben,0.00097
markham square,0.00097
hackney downs,0.00097
clapham high street,0.00097
lea bridge road,0.00097
great smith street,0.00096
garrick street,0.00096
london museum,0.00096
south place,0.00095
holborn viaduct,0.00095
cock lane,0.00095
acre lane,0.00095
physic garden,0.00095
st pancras way,0.00095
alexandra palace,0.00095
euston square station,0.00095
whitechapel gallery,0.00095
ormond street,0.00094
lonuon,0.00094
arnos grove,0.00094
coldharbour lane,0.00094
st clement danes,0.00094
tra falgar square,0.00094
royal albert hall,0.00094
broadcasting house,0.00094
cromer street,0.00094
southwark cathedral,0.00094
piccadilly hotel,0.00093
queenhithe,0.00093
willes road,0.00093
somerset house,0.00093
victoria coach station,0.00092
wakefield tower,0.00092
poplar,0.00092
sternhold,0.00092
streatham park,0.00092
leicester house,0.00092
northumberland house,0.00091
balls pond road,0.00091
whitecross street prison,0.00091
plumstead,0.0009
orme square,0.0009
vincent square,0.0009
st martin in the fields,0.0009
chalk farm road,0.0009
somerstown,0.00089
northcote road,0.00089
blackfriars road,0.00089
royal festival hall,0.00089
compton street,0.00088
waterloo street,0.00088
powis square,0.00088
charlwood street,0.00088
finsbury town hall,0.00088
london mail,0.00088
great st helen,0.00087
rosebery avenue,0.00087
st vedast,0.00087
mare street,0.00087
south bank centre,0.00087
holborn empire,0.00086
talfourd,0.00086
chesterfield street,0.00086
portpool lane,0.00086
ampton street,0.00085
east dulwich,0.00085
kegent s park,0.00085
gray s inn,0.00085
east sheen,0.00084
crosby hall,0.00084
ledbury road,0.00084
thurloe square,0.00084
west ham lane,0.00084
orgar,0.00084
bunhill,0.00084
simurgh,0.00084
king s cross,0.00084
southampton row,0.00083
thurloe,0.00083
grosvenor crescent,0.00083
tanza road,0.00082
west of eng,0.00082
m r c s eng ,0.00082
ritz hotel,0.00082
gresham street,0.00082
fenchurch street station,0.00082
methuen london,0.00082
norton folgate,0.00082
city of london,0.00081
victoria tower,0.00081
st peter s street,0.00081
bclgravia,0.00081
inner london,0.00081
london docks,0.0008
columbia road,0.0008
abchurch lane,0.0008
conway hall,0.00079
anchorage point,0.00079
belmarsh,0.00078
old palace yard,0.00078
vigo street,0.00078
south molton st ,0.00077
modern england,0.00077
maclise,0.00077
hammersmith road,0.00076
endsleigh gardens,0.00076
kentish village,0.00076
st marylebone,0.00076
lady hertford,0.00075
kennington oval,0.00075
leinster road,0.00075
mostyn road,0.00075
garrick theatre,0.00075
warwick gardens,0.00074
petty wales,0.00074
vauxhall bridge rd,0.00074
wandsworth prison,0.00074
anerley park,0.00074
merton hall,0.00073
claremont square,0.00073
brockley park,0.00073
st martin s theatre,0.00072
trinity square,0.00072
great james street london,0.00072
walham,0.00072
pall mall east,0.00072
kensington gravel pits,0.00071
shaftsbury avenue,0.00071
london john murray,0.0007
saint james s park,0.0007
cable street,0.0007
tenterden street,0.0007
bessborough gardens,0.0007
borough road,0.0007
st james hall,0.0007
pottery lane,0.00069
great newport street,0.00069
eversholt street,0.00069
