text_string,occurs_100k
london,19.39364
hampstead,0.24934
soho,0.24598
hyde park,0.18516
greenwich,0.16803
westminster,0.16017
west end,0.15973
covent garden,0.15743
oxford street,0.15328
chelsea,0.15215
chatham,0.14525
pall mall,0.12551
scotland yard,0.12071
trafalgar square,0.11405
london bridge,0.10514
paddington,0.10022
park lane,0.09899
knightsbridge,0.09595
buckingham palace,0.09138
putney,0.0912
hammersmith,0.09066
haymarket,0.09013
east end,0.08659
grosvenor square,0.08605
kensington gardens,0.08293
belgravia,0.08147
camden town,0.08086
highgate,0.08085
bloomsbury,0.08042
leicester square,0.08013
holborn,0.07438
jermyn street,0.07003
bayswater,0.06979
fulham,0.06734
south kensington,0.06571
tottenham court road,0.06081
piccadilly,0.0607
fleet street,0.05995
battersea,0.05845
berkeley square,0.0578
shoreditch,0.05536
st james s park,0.05509
downing street,0.04883
southampton street,0.04789
eaton square,0.04729
victoria station,0.04713
clerkenwell,0.04641
lombard street,0.04576
hoxton,0.04415
shaftesbury avenue,0.04389
charing cross road,0.04339
curzon street,0.04293
hyde park corner,0.0427
westminster bridge,0.0423
trafalgar,0.04194
russell square,0.03954
chancery lane,0.03915
dulwich,0.03898
portman square,0.03873
mayfair,0.03824
cavendish square,0.03816
portland place,0.03812
clapham,0.03667
kentish town,0.03605
fulham road,0.03601
st james s square,0.03512
regent street,0.03511
aldgate,0.03349
pentonville,0.03334
belgrave square,0.03284
tavistock,0.03282
waterloo bridge,0.03268
euston,0.03253
liverpool street,0.03196
sloane street,0.03124
edgware road,0.03111
chiswick,0.03105
vauxhall bridge road,0.03098
old bailey,0.03098
westminster hall,0.03039
wardour street,0.03017
st john s wood,0.02965
holland park,0.02845
zoological gardens,0.02833
spitalfields,0.02809
willesden,0.02786
streatham,0.02781
marylebone,0.02688
wapping,0.02665
roehampton,0.0265
euston road,0.02611
bedford square,0.02494
gower street,0.02492
hampstead heath,0.02413
limehouse,0.02354
sloane square,0.02349
soho square,0.0232
st pancras,0.02296
ludgate hill,0.02252
poland street,0.02251
primrose hill,0.0224
dorset street,0.0222
waterloo station,0.022
camberwell,0.02198
westminster abbey,0.0216
cheapside,0.02067
brompton road,0.02004
bermondsey,0.01999
hatton garden,0.01985
grosvenor street,0.01945
mortlake,0.0193
west kensington,0.01908
regent s park,0.01906
tottenham,0.01891
welbeck street,0.0189
south audley street,0.01874
kennington,0.01832
albemarle street,0.01821
albert hall,0.01803
balham,0.01791
cromwell road,0.01767
finchley,0.01757
leadenhall street,0.0174
bayswater road,0.01736
paddington station,0.01688
notting hill gate,0.01665
wimpole street,0.0166
kensington palace,0.01653
great russell street,0.0165
gloucester road,0.01641
lancaster gate,0.01641
east end of london,0.01627
walthamstow,0.01623
great portland street,0.01585
ladbroke grove,0.01552
palace gardens,0.01544
kensington high street,0.01521
golden square,0.01495
battersea park,0.01485
marylebone road,0.01476
fitzroy square,0.01474
middle temple,0.0146
kilburn,0.01459
west end of london,0.01456
charing cross,0.01433
bloomsbury square,0.01431
euston square,0.01406
eastcheap,0.01397
finsbury park,0.01393
eltham,0.01392
bow street,0.01357
brick lane,0.01309
clarges street,0.01299
threadneedle street,0.01267
old kent road,0.01264
mile end road,0.01256
lowndes square,0.01253
cheyne walk,0.01228
peckham,0.01228
bruton street,0.0122
bethnal green,0.01215
dover street,0.01213
whitechapel road,0.01205
blackfriars bridge,0.01203
plumstead,0.01191
hornsey,0.01178
london town,0.01178
finchley road,0.01161
clapham junction,0.01155
dean street,0.01153
campden hill,0.01151
belsize park,0.01149
stepney,0.01146
great marlborough street,0.01145
eegent street,0.0113
ebury street,0.01105
old compton street,0.01086
minories,0.01077
maida vale,0.01073
castelneau,0.01066
uxbridge road,0.01042
tavistock square,0.01039
paternoster square,0.01035
euston station,0.01026
praed street,0.01017
fenchurch street,0.01004
putney bridge,0.00998
wigmore street,0.00998
northumberland avenue,0.00997
south ken,0.00989
st james s hall,0.00983
gray s inn road,0.00983
stoke newington,0.00981
garamond,0.00968
british museum,0.00966
kensal green,0.00964
muswell hill,0.00952
portobello road,0.00952
leman street,0.00951
fulham palace road,0.00949
greek street,0.00948
albert memorial,0.00948
bishopsgate street,0.00937
south kensington museum,0.00911
haverstock hill,0.00904
berwick street,0.00903
connaught,0.00901
parliament square,0.00899
mortimer street,0.00895
moorfields,0.00892
hampstead road,0.00891
petticoat lane,0.00887
marshalsea,0.00883
london hospital,0.00877
great suffolk street,0.00876
brentham,0.00867
marlborough street,0.00865
gracechurch street,0.00864
heme hill,0.00863
manchester square,0.00851
finsbury,0.00845
vigo street,0.00838
upper street,0.0083
cafe royal,0.00829
gloucester place,0.00825
fairacre,0.00825
frith street,0.00825
mincing lane,0.0082
old bond street,0.00808
dalston,0.00807
caledonian road,0.00806
westbourne grove,0.00802
commercial road,0.00796
cadogan square,0.00787
greenwich park,0.00783
london parks,0.00773
county hall,0.00766
great ormond street,0.00766
athole,0.00761
belsize,0.00752
tyburnia,0.00749
marryat,0.00747
pancras road,0.00746
waterloo road,0.00746
court road,0.00743
shoe lane,0.0074
west hampstead,0.00735
melchester,0.00732
bouverie street,0.00732
gunnersbury,0.00723
stamford bridge,0.00722
ratcliffe highway,0.00721
vauxhall bridge,0.00717
coventry street,0.00715
north kensington,0.00707
farringdon street,0.00706
fetter lane,0.00696
red lion square,0.00689
great queen street,0.00683
new oxford street,0.00679
gloucester terrace,0.00678
belgravian,0.00676
holloway road,0.00673
londra,0.00673
denmark hill,0.00672
grosvenor gardens,0.0067
kensington church street,0.00667
burlington gardens,0.00664
cursitor street,0.00662
great russell street london,0.00658
st george s hospital,0.00652
tooley street,0.00651
herne hill,0.00648
upper brook street,0.00645
stamford hill,0.00636
hyde park gardens,0.00634
battersea bridge,0.00634
cricklewood,0.00632
bambridge,0.00621
cork street,0.00613
leytonstone,0.0061
white hall,0.00605
cornhill,0.00605
stepney green,0.00603
albany street,0.00603
british islands,0.00601
houndsditch,0.00596
hungerford bridge,0.00594
queen s gate,0.00592
king william street,0.00591
goodge street,0.00576
goldhawk road,0.00573
claverton street,0.00573
whitehall,0.00572
rutland gate,0.00568
grosvenor gallery,0.00561
homerton,0.00561
catford,0.00561
throgmorton street,0.00561
new bond street,0.00554
lon don,0.00553
turnham green,0.00552
beauchamp tower,0.00551
old brompton road,0.00549
hammersmith bridge,0.00546
penge,0.00538
moorgate,0.00538
lothbury,0.00537
canning town,0.00525
guilford street,0.0052
farringdon road,0.0052
gray s inn lane,0.00509
chester square,0.00508
new scotland yard,0.00504
dollis hill,0.00497
golders green,0.00495
osnaburgh street,0.00493
st mungo,0.00491
leyton,0.00491
camden road,0.0049
museum street,0.00489
seething lane,0.00488
buckingham palace road,0.00484
westminster bridge road,0.00483
lambeth bridge,0.00482
furnival,0.00482
central london,0.00478
st thomas s hospital,0.00476
daubeney,0.00475
barbican,0.00475
liverpool street station,0.00472
whitecross street,0.0047
eegent s park,0.00467
torrington square,0.00467
inner temple,0.00464
finsbury square,0.00461
mitre square,0.0046
east ham,0.0046
st james s palace,0.00458
almeida,0.00456
blackfriars road,0.00455
bryanston square,0.00453
albert bridge,0.00453
marshalsea prison,0.0045
st james street,0.0045
brixton road,0.00447
aldersgate street,0.00439
west hill,0.00438
walham green,0.00433
stockwell,0.00432
tufnell park,0.00431
tristram shandy,0.00431
chingford,0.00427
smith square,0.00425
cockspur street,0.00424
bucklersbury,0.00422
london wall,0.00411
north end road,0.00408
red lion street,0.00407
poplar,0.00407
onslow square,0.00406
wanstead,0.00404
brixton prison,0.00404
camden high street,0.00403
onslow gardens,0.00401
farringdon,0.004
lisson grove,0.004
sternhold,0.00398
hanbury street,0.00397
walworth road,0.00397
edgeware road,0.00396
guy s hospital,0.00393
new burlington street,0.00392
stamford street,0.00391
new street square,0.00387
tate gallery,0.00387
silvertown,0.00384
bedford row,0.00383
aldrick,0.00382
compton street,0.00378
hertford street,0.00376
panton street,0.00374
villiers street,0.00374
st pancras station,0.00374
wardour,0.00373
berners street,0.00371
meard street,0.00371
sussex gardens,0.0037
albert gate,0.00368
carnaby street,0.00367
london longmans,0.00367
holland park avenue,0.00366
new cross,0.00366
kennington road,0.00365
london street,0.00364
highgate cemetery,0.00364
bryanstone square,0.00362
east india dock road,0.00361
cheniston,0.00359
adelphi terrace,0.00356
nelson square,0.00354
queen victoria street,0.00354
westbourne park,0.00353
camden lock,0.00353
fulham broadway,0.00352
petty france,0.00351
thornhaugh street,0.00349
st thomas s,0.00348
kilburn high road,0.00347
clapham road,0.00347
pont street,0.00346
east hill,0.00344
childeric,0.00342
central hall,0.00341
carlton house terrace,0.0034
great new street,0.00338
waterlow park,0.00338
brompton square,0.00338
great george street,0.00337
st paul s churchyard,0.00336
chenies street,0.00336
malmsey,0.00336
london city,0.00333
neustria,0.00331
brixton hill,0.0033
hammersmith broadway,0.0033
old broad street,0.0033
jamaica road,0.00329
covent garden market,0.00329
coleman street,0.00328
london magazine,0.00327
pentonville road,0.00324
westbourne terrace,0.00323
albert museum,0.00323
doughty street,0.00321
kingsland road,0.0032
charing cross station,0.0032
upper norwood,0.0032
woburn place,0.0032
billiter street,0.00319
east finchley,0.00319
great court,0.00318
holborn viaduct,0.00317
london bridge station,0.00315
mecklenburgh square,0.00315
willesden lane,0.00314
covent garden theatre,0.00313
buckingham gate,0.00311
gresham street,0.0031
aldwych,0.00309
hurlingham,0.00309
shuldham,0.00309
burlington street,0.00309
young england,0.00308
marylebone high street,0.00307
chesterfield street,0.00305
kensington road,0.00305
wigmore hall,0.00303
de crespigny park,0.00302
