text_string,occurs_100k
london,14.81378
soho,0.14863
hyde park,0.13444
chatham,0.12228
eltham,0.11346
hampstead,0.10499
westminster,0.0977
chelsea,0.09748
west end,0.0911
oxford street,0.08373
covent garden,0.07889
greenwich,0.07055
pall mall,0.06969
london bridge,0.06728
east end,0.06693
buckingham palace,0.06151
paddington,0.06055
hammersmith,0.05978
kensington gardens,0.05874
trafalgar square,0.05858
southampton street,0.05678
holborn,0.0562
park lane,0.05566
tate gallery,0.05452
scotland yard,0.05101
putney,0.05018
eaton square,0.04922
grosvenor square,0.04744
leicester square,0.04728
portland place,0.04648
piccadilly,0.04563
highgate,0.04451
belgravia,0.04325
haymarket,0.04194
knightsbridge,0.04059
bloomsbury,0.03929
tottenham court road,0.03797
victoria station,0.03499
portman square,0.0336
bedford square,0.0331
st james s park,0.03229
shoreditch,0.03187
bayswater,0.03149
charing cross road,0.03135
streatham,0.03123
camden town,0.03095
jermyn street,0.02984
fleet street,0.0284
fulham,0.02817
south kensington,0.02785
euston,0.02758
liverpool street,0.02677
grosvenor street,0.0267
zoological gardens,0.02641
lombard street,0.02582
downing street,0.0254
battersea,0.02471
mayfair,0.0243
trafalgar,0.0241
hyde park corner,0.02395
chancery lane,0.02357
fulham road,0.02348
vauxhall bridge road,0.02142
norbury park,0.02095
westminster bridge,0.02083
russell square,0.02082
waterloo bridge,0.02032
wapping,0.01987
british museum,0.0196
new southgate,0.01918
hampstead heath,0.01913
berkeley square,0.01909
campden hill,0.01896
soho square,0.01882
belgrave square,0.0183
cavendish square,0.01792
sloane square,0.0179
shaftesbury avenue,0.0178
st pancras,0.01767
regent street,0.01742
brick lane,0.01738
st james s square,0.01702
st john s wood,0.01669
clarges street,0.01643
chiswick,0.01628
poland street,0.01623
euston road,0.01618
holland park,0.01618
dalston,0.01614
westminster hall,0.01611
eccleston square,0.01546
primrose hill,0.01533
westminster abbey,0.01485
dorset street,0.01473
spitalfields,0.0147
kentish town,0.01452
aldgate,0.01436
hoxton,0.01397
garamond,0.01395
ludgate hill,0.01372
clapham,0.0134
hatton garden,0.0131
finchley road,0.01306
gower street,0.01278
albert hall,0.01253
balham,0.01249
bethnal green,0.01229
fitzroy square,0.01226
old bailey,0.01221
tottenham,0.01218
goodge street,0.01203
sloane street,0.012
red lion square,0.01179
merton hall,0.01157
old bond street,0.01157
dulwich,0.01154
belsize park,0.01153
edgware road,0.01146
limehouse,0.01144
bermondsey,0.01132
wardour street,0.01129
leadenhall street,0.01125
caledonian road,0.01117
mortlake,0.01106
lancaster gate,0.01105
portobello road,0.01096
mile end road,0.01087
connaught,0.01078
new bond street,0.01073
cheapside,0.01068
westbourne grove,0.01056
ebury street,0.01056
regent s park,0.01053
notting hill gate,0.01046
london town,0.01039
ladbroke grove,0.01038
cromwell road,0.01035
curzon street,0.01034
east end of london,0.01027
west end of london,0.01013
dornton,0.00997
clerkenwell,0.00996
battersea park,0.00991
walthamstow,0.00971
cadogan square,0.00959
tooley street,0.00953
marlborough street,0.00951
waterloo station,0.00947
west kensington,0.00944
muswell hill,0.0094
pentonville,0.00907
marylebone,0.00895
berners street,0.00885
bouverie street,0.00885
chesham place,0.00883
gloucester road,0.00883
carnaby,0.00883
great russell street,0.00876
london magazine,0.00866
kilburn,0.00866
kennington,0.00862
londres,0.00861
great portland street,0.0086
eegent street,0.00853
albemarle street,0.00853
camberwell,0.00833
doughty street,0.00827
