text_string,occurs_100k
london,21.71628
soho,0.25188
hampstead,0.2127
oxford street,0.19428
west end,0.17798
covent garden,0.17396
kensington gardens,0.15612
hyde park,0.15433
leicester square,0.13604
chelsea,0.13516
grosvenor square,0.13102
trafalgar square,0.12978
greenwich,0.12633
camden town,0.12363
chatham,0.12233
pall mall,0.12043
putney,0.11042
westminster,0.10934
haymarket,0.1058
bloomsbury,0.09801
streatham,0.08522
hammersmith,0.08393
bayswater,0.08236
berkeley square,0.08106
paddington,0.08062
buckingham palace,0.07964
fairacre,0.0784
park lane,0.07578
chiswick,0.07495
regent street,0.07469
tottenham court road,0.07465
st james s park,0.07427
charing cross road,0.06612
east end,0.06562
jermyn street,0.06518
holland park,0.06405
shaftesbury avenue,0.06324
highgate,0.06288
clerkenwell,0.06242
knightsbridge,0.05974
piccadilly,0.05869
albemarle street,0.05735
sloane street,0.05684
chesham place,0.05676
portman square,0.04908
west kensington,0.04865
south kensington,0.04779
primrose hill,0.04729
london bridge,0.04494
clapham,0.04487
fulham,0.04364
lowndes square,0.04345
portland place,0.0429
fulham road,0.04109
scotland yard,0.04095
st john s wood,0.03998
kentish town,0.03925
westminster bridge,0.03881
plashet,0.0388
holborn,0.03859
st pancras,0.03793
hyde park corner,0.037
battersea,0.03683
spitalfields,0.03462
berwick street,0.03461
victoria station,0.03443
euston,0.03402
euston road,0.03314
paternoster square,0.03242
soho square,0.03198
rutland gate,0.03195
mortlake,0.03185
finsbury park,0.03163
belsize park,0.03092
kensington high street,0.03065
notting hill gate,0.03054
bermondsey,0.03038
zoological gardens,0.0293
bayswater road,0.0288
mayfair,0.02877
cavendish square,0.02766
edgware road,0.0273
great sutton street,0.02722
ludgate hill,0.02652
rosoman street,0.02577
mortimer street,0.02566
bedford square,0.02553
vauxhall bridge road,0.02531
fleet street,0.02485
sloane square,0.02483
westminster bridge road,0.02429
grosvenor street,0.0242
west end of london,0.02406
marylebone road,0.02363
albert hall,0.0232
wimpole street,0.02281
holloway prison,0.02267
farringdon,0.02218
belgrave square,0.02185
bryanston square,0.02173
great marlborough street,0.02134
portobello road,0.02132
westbourne grove,0.02105
lombard street,0.02105
hanway street,0.02098
south kensington museum,0.02053
gower street,0.02049
hatton garden,0.02019
british museum,0.02006
waterloo bridge,0.02001
marylebone,0.01997
old compton street,0.01986
kensington palace,0.01943
fitzroy square,0.01933
vigo street,0.01901
chingford,0.01889
acre lane,0.01887
cheyne row,0.01848
russell square,0.01835
hampstead heath,0.01823
wigmore street,0.01793
clarges street,0.01792
belgravia,0.01765
putney bridge,0.01731
parliament square,0.01723
north kensington,0.01718
red lion street,0.01716
north end road,0.01715
battersea park,0.01714
lisson grove,0.01708
south eaton place,0.0169
curzon street,0.01688
finchley,0.01676
catford,0.01657
cafe royal,0.01654
dalston,0.01652
roehampton,0.01632
old kent road,0.01631
downing street,0.01629
minories,0.01606
air street,0.01604
garamond,0.01591
paddington station,0.01582
great russell street,0.01572
walworth road,0.01529
east end of london,0.01516
kingsland road,0.01515
wardour street,0.01509
dean street,0.01507
kilburn,0.01504
cheyne walk,0.01497
cadogan square,0.01485
dulwich,0.01467
south audley street,0.01466
palace gardens,0.01444
stamford hill,0.01425
regent s park,0.0141
doughty street,0.01408
fulham palace road,0.01401
st james s square,0.01386
albert memorial,0.01386
east hill,0.01386
shoreditch,0.01383
poland street,0.01343
russel square,0.01322
gloucester road,0.01302
lower sloane street,0.01298
holland road,0.01289
camberwell,0.01285
liverpool street,0.01282
peckham,0.01274
willesden,0.01259
chancery lane,0.01201
albert bridge,0.0119
new oxford street,0.01164
new burlington street,0.01158
ladbroke grove,0.01138
bramham gardens,0.01135
campden hill,0.01122
lower thames street,0.0112
eaton square,0.01103
marylebone high street,0.01101
gracechurch street,0.01087
great ormond street,0.01086
tufnell park,0.01075
museum street,0.01069
dollis hill,0.01061
fulham broadway,0.01059
new kent road,0.01041
upton lane,0.01021
court road,0.0101
pont street,0.01001
ave maria lane,0.01001
londom,0.00997
trafal gar square,0.00997
old bailey,0.00992
hammersmith broadway,0.0099
westminster abbey,0.00987
finchley road,0.00987
balham,0.0098
upper brook street,0.00979
forest gate,0.00977
nile delta,0.00973
brompton road,0.0097
st george s hospital,0.00966
old brompton road,0.00958
bruton street,0.00955
stockwell,0.00951
stoke newington,0.00948
waterloo station,0.00936
cromwell road,0.00931
covcnt garden,0.0092
beauchamp tower,0.00917
king william street,0.00904
coventry street,0.00892
pentonville,0.00888
bethnal green,0.00888
wapping,0.00872
dorset street,0.00869
putney high street,0.00866
charing cross,0.00864
carnaby street,0.00861
tottenham,0.00858
farringdon road,0.00855
holloway road,0.0085
london parks,0.00846
caledonian road,0.00838
west ken,0.00834
euston station,0.00833
st james s palace,0.00833
vauxhall bridge road london,0.00832
london museum,0.00816
praed street,0.00811
trafalgar,0.0081
cheapside,0.00788
maida vale,0.00768
kensal town,0.00761
brixton road,0.00761
westminster hall,0.00752
adelphi terrace,0.00751
smith square,0.0075
chester square,0.00738
regency street,0.00714
buckingham palace road,0.0071
kentish town road,0.00706
westminister,0.00703
kegent street,0.007
st thomas s hospital,0.00693
stanhope gate,0.00691
south ken,0.00678
north finchley,0.00678
greenwich park,0.00674
leinster road,0.00669
mostyn road,0.00668
shoreditch high street,0.00667
lon don,0.00659
southampton street,0.00651
eltham,0.00648
hornsey,0.00647
prince of wales road,0.00645
methuen london,0.00645
highgate woods,0.00643
hammersmith bridge,0.00642
st pancras station,0.00642
greek street,0.00638
plumstead,0.00634
middle temple,0.00633
walthamstow,0.00632
bow street,0.00632
new street square,0.00632
west hampstead,0.00631
great russell street london,0.00629
great queen street,0.00629
turnham green,0.00622
ken sington gardens,0.00622
ampton street,0.00616
cricklewood,0.00612
london town,0.00608
chiswick high road,0.00607
northumberland avenue,0.00607
pembridge gardens,0.00603
earls court road,0.006
central london,0.00599
brick lane,0.00586
clapham junction,0.00585
blackfriars bridge,0.00585
gray s inn road,0.0058
raynes park,0.00577
camden road,0.00577
limehouse,0.00574
great windmill street,0.00573
st paul s cathedral,0.00572
battersea bridge,0.00571
frontispiece,0.00566
east ham,0.00563
chalk farm road,0.0056
cork street,0.00559
kensington park gardens,0.0055
marshalsea prison,0.00548
